বাঁক	kurwes
যুগল	paartjie
জার	tsaar
লায়ন	lion
লায়ন	leeu
অভিযোগের	kostes
ভাঙন	erosie
ফিলিপস	philips
ফিলিপস	phillips
টুকরা	stuk
টুকরা	stukkie
টুকরা	stukke
বরাক	barak
অসুস্থতা	illness
অসুস্থতা	siekte
রহমত	mercy
সারের	kompos
কিথ	kees
কিথ	keith
দেওয়াল	muur
দেওয়াল	mure
নোভা	nova
অ্যাক্ট	wet
টহল	patrollie
কোস্টা	costa
লাইক	soos
লাইক	likes
জুরি	jure
জুরি	jury
পিঠা	koek
ডাটাবেস	databasisse
ডাটাবেস	databasis
স্থানসমূহ	plekke
শার্লক	sherlock
সি++	c++
স্পষ্টভাবে	beslis
পিটার্সবার্গ	petersburg
শ্রোতাদের	luisteraars
গোয়ার	goa
ঢোল	drum
ঢোল	drom
মন্ত্রনালয়	ministry
মন্ত্রনালয়	ministerie
মন্ত্রনালয়	hoofgebou
জারী	jari
অভিনব	spoggerige
অভিনব	fancy
অভিনব	deftige
ভেজা	nat
কুমির	krokodil
খুনের	moorde
খুনের	moord
আর্কিটেকচার	argitektuur
তেহরান	teheran
প্রার্থীদের	kandidate
ম্যাজিক	toor
ম্যাজিক	magic
রোমানদের	romeine
একশ	honderd
হোল	gat
ট্রানজিস্টর	transistor
স্প্রিং	lente
ক্রেইগ	craig
কীট	insek
আদর্শে	ideale
সারসংক্ষেপ	oorsig
সারসংক্ষেপ	oorleg
সারসংক্ষেপ	opsomming
শিক্ষাগত	opvoedkundige
উদ্ভিদবিজ্ঞান	plantkunde
তাক	rak
সুড়ঙ্গ	tonnel
জুল	jules
ফ্যাক্টর	factor
ফ্যাক্টর	faktor
তুই	julle
তুই	jy
লুসিয়া	lucia
নৈতিকতা	etiek
নৈতিকতা	moral
নৈতিকতা	morals
রাজহাঁস	goose
রাজহাঁস	gans
গ্যালিলিও	galileo
গাদ্দাফি	gaddafi
উষ্ণতা	warmte
স্টকহোম	stockholm
ভাবতে	dink
প্রসারণ	uitbrei
আংটি	ring
আংটি	rings
পশ্চিমী	westerse
পশ্চিমী	western
পশ্চিমী	westelike
নন্দ	nanda
কিড	kinder
কিড	kind
উট	kameel
উট	camel
জামা	hemde
জামা	hemp
গ্রীষ্মের	somer
ফরিদ	farid
দিবালোক	daglig
ইউয়ান	yuan
গল	cisalpina
বাঁচতে	regstreekse
বাঁচতে	lewendige
বাঁচতে	gepubliseer
বাঁচতে	regstreeks
কলম্বাস	columbus
ট্যাঙ্ক	tenk
ট্যাঙ্ক	tenks
ব্রিটানিকা	britannica
আরোগ্য	genees
আরোগ্য	healing
কোকিল	cuckoo
ক্রোয়েশীয়	kroatiese
হতাশ	gefrustreerd
হতাশ	teleurgesteld
উত্পাদন	produksie
উত্পাদন	vervaardiging
তেরেসা	teresa
ফাতিমা	fatima
ক্রিসেন্ট	crescent
নেচার	aard
নেচার	prent
নেচার	natuur
নেচার	nature
প্লাটুন	platoon
লিখুন	skryf
তিতির	francolinus
মরিশাস	mauritius
ফাঁদ	lokval
ফাঁদ	trappe
গ্যালারী	galleries
ব্যঞ্জনধ্বনি	konsonant
বোস্টন	boston
সুইফট	swift
অপশন	opsies
মার্কস	merke
পকেট	pocket
পকেট	broeksak
বোর	bore
বোর	bohr
আনুষঙ্গিক	bykomstighede
কাঁধ	skouer
স্পিরিট	geeste
স্পিরিট	spirits
স্পিরিট	gees
টিকেট	kaartjie
ডিজেল	diesel
মোস্ট	meeste
মোস্ট	mees
শান	shan
মার্ক্স	marx
ছোঁয়া	touch
ছোঁয়া	aanraking
অঙ্গীকার	belowe
অঙ্গীকার	verbintenis
অঙ্গীকার	commitment
হোস্ট	gasheer
হোস্ট	bediener
হোস্ট	aanbieders
হোস্ট	gashere
ইভা	eva
ইভা	eva
ইভা	eve
বিস্ফোরিত	ontplof
সরানো	gekuif
সরানো	geskuif
সরানো	verhuis
ড্রাম	drum
ড্রাম	drom
দড়ি	tou
পাসপোর্ট	paspoort
ফেরি	ferry
উল্লম্ব	vertikaal
অগ্রগামী	pioneer
অগ্রগামী	pionier
প্রিন্টার	drukker
প্রিন্টার	drukkers
জাস্টিস	geregtigheid
জাস্টিস	justice
জাস্টিস	justisie
মার্টিনেজ	martinez
ফুসফুসের	long
গেজেট	staatskoerant
গেজেট	gazette
বাউডেন	bowden
রেসিং	racing
রেসিং	resies
যাদু	toor
যাদু	magic
এয়ারওয়েজ	airways
শার	shar
আইভি	ivy
সাম	sum
সাম	som
পিস্তল	pistool
কেরি	kerry
দুধের	melk
জ্যাজ	jazz
পাজ	paz
আর্সেনিক	arseen
আর্সেনিক	frans
আর্সেনিক	franse
বিস্মিত	verras
বিস্মিত	verbaas
বিস্মিত	geskok
আয়না	weerspieël
আয়না	spieël
আয়না	spieëlbeeld
আয়না	dupliseer
অঞ্চলগুলি	streke
পয়সা	muntstuk
পয়সা	coin
পার্কিং	parkering
মাম্বা	mamba
কম্পটন	compton
সর্বোত্তম	hoogste
সর্বোত্তম	beste
সর্বোত্তম	uitstekend
সর্বোত্তম	uitstekende
সর্বোত্তম	excellent
বাক্যে	sin
পরিকাঠামো	infrastruktuur
ভিজুয়াল	visuele
অপর্যাপ্ত	onvoldoende
হি	hee
অবজেক্ট	voorwerp
অবজেক্ট	voorwerpe
অবজেক্ট	objekte
পোলার	polêre
সিল্ক	silk
অনুকরণ	simulasie
রুডলফ	rudolph
কেলি	kelly
তীক্ষ্ণ	keen
তীক্ষ্ণ	skerp
থিওডোর	theodore
থিওডোর	fjodor
থিওডোর	theodorus
ব্র্যাড	brad
রোভার	rover
টার্নার	turner
খরা	droogte
জোরে	loud
বক	reier
পুলিৎজার	pulitzer
কঙ্কাল	geraamte
কঙ্কাল	skelet
ফিদে	fide
ডেরেক	derek
নুর	noor
টিয়া	papegaai
রূপালী	silwer
ঘুড়ি	kite
উইন্ডসর	windsor
ডকুমেন্ট	dokument
কর্মসংস্থান	employment
কর্মসংস্থান	indiensneming
ঘাসের	gras
লাফ	spring
তৃণভূমি	grasveld
তৃণভূমি	heuningbier
গানগুলি	liedere
গানগুলি	liedjies
আইওএস	ios
উজ্জ্বলতা	helderheid
ডেবিয়ান	debian
রিম	rim
যাজক	pastor
যাজক	predikante
যাজক	predikant
অনুভূতির	feelings
অনুভূতির	gevoelens
যোগফল	sum
যোগফল	som
পাখা	waaier
পাখা	aanhanger
পাখা	bewonderaar
মাংসের	vleis
ফাটল	swart
সন্ত্রাসবাদী	terroriste
গ্লাসগো	glasgow
ফোটন	foton
নির্ভুল	perfek
ম্যানগ্রোভ	mangroves
একরকম	verbruikers
ইসিবি	ecb
গিল	gill
গিল	gil
সজীব	vars
প্রাইম	prime
রোপণ	geplant
উত্তরপশ্চিম	noordwes
শহরতলি	suburban
কেনেথ	kenneth
অ্যালগোরিদম	algoritme
নিছক	sheer
হোমো	homo
সন্নিবেশিত	ingebedde
সন্নিবেশিত	ingelegde
সন্নিবেশিত	ingebed
মহীশূর	mysore
প্যাকেট	pakkies
কাছিম	skilpad
আল্প	alpes
আল্প	alp
বর্গাকার	vierkantig
বর্গাকার	vierkant
বর্গাকার	vierkantige
কাঁচা	rou
জিব্রাল্টার	gibraltar
নিরো	niro
নিরো	nero
রাসূল	messenger
রাসূল	apostle
রাসূল	apostel
উড়োজাহাজ	vliegtuig
কালেক্টর	collector
সংক্রামক	aansteeklik
গণ্ডার	renoster
বর্ম	armor
ফ্লোরেন্স	florence
সরিষা	mosterd
ভোরের	dawn
স্লোভেনিয়া	slowenië
চিতা	jagluiperd
চিতা	cheetah
চিতা	luiperd
যাচ্ছেন	going
যাচ্ছেন	gaan
প্লেটো	plato
বরো	munisipaliteit
খোসা	skil
খোসা	peel
মালি	mali
নেইমার	neymar
গ্রামার	grammatika
গ্রামার	grammar
ফ্রান্সিস্কো	francisco
বিচ	strand
ওয়ার্ন	warne
ফেলিক্স	felix
ভ্রমন	uitstappie
ওবামা	obama
জাগ্রত	awake
বান্ধবী	vriendin
ক্রেওল	kreool
ইসলামাবাদ	islamabad
ধারালো	skerp
ভিটা	vita
পেঁয়াজ	ui
পেঁয়াজ	onion
অসহায়	poor
অসহায়	arme
অসহায়	swak
অসহায়	armes
হসপিটাল	hospitaal
হিরোশিমা	hirosjima
হর	har
হর	denemarke
সচিত্র	pictorial
ট্রি	boom
কানের	oor
রোদ	sonskyn
রোদ	sonlig
দেখলাম	martian
দেখলাম	saag
প্রামাণ্যচিত্র	dokumentêr
প্রামাণ্যচিত্র	documentary
ফরওয়ার্ড	vorentoe
স্টেফি	steffi
শৈশবেই	boyhood
মুলতান	multan
রেবেকা	rebecca
হিপ	hip
চাও	chao
চাও	wil
ম্যাথিউ	matthew
ম্যাথিউ	matteus
ম্যাথিউ	mathieu
ম্যাথিউ	ahmed
পাম্প	pomp
পাম্প	pompe
নিষ্পত্তি	betaal
নিষ্পত্তি	vereffen
এভিয়েশন	lugvaart
নিকোলা	nicolas
নিকোলা	nikola
নিন	neem
নিন	tree
নিন	vat
মিং	ming
দৈত্য	reus
পোর্টল্যান্ড	portland
এক্সপ্লোরার	verkenner
এক্সপ্লোরার	explorer
ঝর্ণা	lente
ঝর্ণা	waterval
ঝর্ণা	fontein
ঝর্ণা	watervalle
অনুভূমিক	horisontale
স্বশাসিত	outonome
ব্যাধি	disorder
টেকসই	volhoubare
ইন্টেলিজেন্স	intelligensie
নিশ্চয়	inderdaad
নিশ্চয়	sekerlik
