ngc	ngc
kao	kao
koji	tko
koji	ko
koji	koji
koji	koja
također	također
također	takođe
također	previše
također	previse
katalog	katalog
katalog	kataloga
katalog	katalog
spisak	lista
spisak	popis
galaksija	galaksije
galaksija	galaksiji
galaksija	galaksija
galaksija	galaxy
galaksija	galaksiju
vanjski	vanjski
vanjski	vanjska
vanjski	vanjski
vanjski	vanjska
koja	koje
koja	koja
koja	koji
što	što
što	sta
što	šta
nalazi	pronalazi
nalazi	pronađe
nalazi	nađe
bio	bio
bio	bila
bio	bio
prečnik	promjer
prečnik	promjeru
gdje	gdje
broj	broj
oko	oka
oko	oko
oko	oko
mjesto	mjesto
mjesto	mesto
nakon	nakon
nakon	poslije
pogledajte	provjeri
pogledajte	provjerite
pogledajte	provjera
sajtu	site
sajtu	sajt
najveći	najveći
najveći	najveće
najveći	najveća
najveći	najveci
najveći	najveći
najveći	najveci
poznat	znan
poznat	poznat
poznat	poznata
poznat	poznato
poznat	poznati
poznat	poznat
poznat	slavni
poznat	poznati
poznat	poznata
poznat	slavan
stanovnika	stanovnici
izvještaj	prijavi
izvještaj	izvješće
izvještaj	izvještaj
izvještaj	prijavite
pgc	pgc
ali	ali
udaljenost	daljina
udaljenost	udaljenost
apsolutna	apsolutna
pomak	pomak
grupa	grupa
spiralna	spirale
pop	pop
vidljivo	vidljiv
vidljivo	vidljiva
vidljivo	vidljive
vidljivo	vidljivo
vidljivo	vidljivi
minuta	minuta
minuta	minute
minuta	minuta
minuta	minut
minuta	minutu
općine	općine
najmanji	mondo
najmanji	najmanja
najmanji	najmanji
naseljeno	naseljen
naseljeno	naseljena
mag	mag
novi	novo
novi	nova
novi	novi
sadrži	sadrži
zvijezda	zvjezdica
zvijezda	star
zvijezda	zvijezda
zvijezda	zvezda
zvijezda	zvijezde
zvijezda	zvezde
zvijezda	zvjezdice
može	može
može	mogu
može	moze
licenca	dozvola
licenca	dozvolu
com	com
stadion	estadio
stadion	stadion
kod	kôd
kod	šifra
kod	kod
svg	svg
pod	pod
pod	ispod
sastavu	sastav
isbn	isbn
samo	samo
samo	jedino
samo	samo
godina	godine
godina	godinama
godina	godina
godina	godine
godina	godina
prvo	prvo
prvo	prvi
zavod	zavod
zavod	institut
sve	sve
sve	sve
sve	svi
zemlje	države
zemlje	zemljama
zemlje	zemlje
brzina	brzina
naselje	naselje
naselje	nagodba
naselje	susjedstvu
naselje	susjedstvo
naselje	kvart
više	više
kada	kada
kada	kad
prvi	prvo
prvi	prvi
deset	desetka
deset	deset
tip	tip
tip	guy
tip	momak
tip	vrsta
tip	tip
odnos	omjer
između	izmedju
između	između
sljedeći	sljedeća
lokacija	lokacija
lokacija	lokaciju
lokacija	lokacije
svjetlost	svjetlo
svjetlost	svijetlo
svjetlost	svjetlost
svjetlost	sjaja
masa	masu
masa	mise
masa	misa
masa	masa
masa	misu
masa	gužva
masa	gomila
masa	gužve
masa	publika
masa	masa
baza	baza
objekti	ustanove
objekti	objekti
objekti	objekte
objekti	predmeti
pozicija	položaj
pozicija	pozicija
pozicija	pozicije
karta	karta
karta	mapa
karta	kartu
karta	mapu
karta	ulaznica
karta	karta
karta	kartu
karta	karticu
karta	kartica
projekt	projekt
projekt	projekat
online	online
dimenzije	dimenzije
dok	dok
nasa	nasa
messier	messier
night	noć
night	noći
night	noc
kako	kako
atlas	atlas
sky	neba
sky	nebu
sky	sky
sky	nebo
najbliži	najbliže
najbliži	najbliža
najbliži	najbliži
najbliži	najbliže
najbliži	najbliža
najbliži	najbliži
dio	dijelom
dio	dio
jedan	jedan
jedan	jedna
bilo	bilo
astronomska	astronomski
radijalna	radijalni
interaktivni	interaktivna
style	stil
style	style
style	stila
napravio	napravljen
napravio	napravio
napravio	napravljeno
rezultat	rezultat
rezultat	ocjena
rezultat	rezultat
otkriće	otkrića
otkriće	otkriće
otkriće	discovery
grad	town
grad	grad
grad	grad
grad	gradom
tokom	tijekom
vrijeme	vreme
vrijeme	vrijeme
stranica	stranicu
stranica	stranica
stranica	stranice
stranica	stranice
dva	dva
sastav	sastav
log	dnevnik
hrvatska	hrvatica
hrvatska	hrvatska
hrvatska	croatia
ukupno	ukupno
ugc	ugc
msg	msg
baz	baz
baz	buzz
županija	županije
županija	okrugu
županija	okrug
županija	županija
županija	kotar
knjiga	knjiga
knjiga	knjige
tri	tri
bosna	bosne
bosna	bosnia
bosna	bosna
bili	billie
bili	bile
bili	bili
prije	prije
toga	to
jer	jer
protiv	protiv
ime	naziv
ime	ime
nekoliko	par
nekoliko	nekoliko
kasnije	kasnije
stare	stara
stare	staro
stare	stari
jpg	jpg
republika	republike
republika	republika
hercegovina	hercegovine
