ngc	ngc
kao	like
kao	curta
kao	como
koji	oms
koji	who
koji	quem
također	igualmente
također	também
također	também
također	demais
katalog	catálogo
katalog	catálogo
spisak	lista
spisak	listar
galaksija	galaxy
galaksija	galáxia
vanjski	exterior
vanjski	externas
vanjski	externo
vanjski	externos
vanjski	externa
koja	qual
the	os
nalazi	conclusões
nalazi	constatações
nalazi	achados
nalazi	achados
bio	bio
bio	biografia
bio	estava
bio	era
bio	tava
bio	foi
bio	sido
prečnik	diâmetro
gdje	aonde
gdje	onde
broj	número
broj	numero
oko	sobre
oko	eye
oko	olho
oko	olhos
mjesto	lugar
mjesto	place
mjesto	local
mjesto	sítio
nakon	após
nakon	after
nakon	depois
nakon	wake
nakon	velório
pogledajte	verificar
pogledajte	verifique
pogledajte	confira
pogledajte	verificação
sajtu	sítio
sajtu	site
najveći	maiores
najveći	maior
najveći	greatest
poznat	conhecida
poznat	conhecido
poznat	conhecidas
poznat	conhecidos
poznat	famosa
poznat	famosas
poznat	famosos
poznat	famoso
stanovnika	habitantes
izvještaj	relatório
izvještaj	denunciar
izvještaj	relatar
pgc	pgc
ali	mas
udaljenost	distância
udaljenost	distâncias
udaljenost	distancia
apsolutna	absoluta
apsolutna	absoluto
apsolutna	absolutos
pomak	shift
pomak	turno
grupa	grupo
grupa	agrupar
spiralna	espiral
spiralna	espirais
pop	estouro
pop	pop
vidljivo	visíveis
vidljivo	visível
minuta	acta
minuta	minutos
minuta	actas
minuta	minuto
minuta	minute
općine	municípios
najmanji	mondo
najmanji	menor
naseljeno	habitadas
naseljeno	habitada
naseljeno	habitado
naseljeno	povoadas
naseljeno	povoada
mag	mag
novi	novo
novi	novas
novi	novos
novi	novidade
novi	nova
sadrži	continham
sadrži	continha
sadrži	contidos
sadrži	contidas
sadrži	contido
sadrži	contida
sadrži	contém
zvijezda	estrela
zvijezda	star
zvijezda	estrelas
zvijezda	estrelas
zvijezda	stars
može	poderiam
može	podia
može	poderia
može	podiam
može	pode
može	podem
može	lata
može	can
ima	ima
ima	tem
licenca	licença
com	com
popis	recenseamento
popis	censo
stadion	estádio
stadion	macron
stadion	estádio
stadion	stadium
kod	codigo
kod	código
svg	svg
pod	sob
pod	under
sastavu	composição
isbn	isbn
zbog	devido
zbog	devida
zbog	devidas
samo	só
samo	apenas
samo	somente
samo	unicamente
samo	só
samo	apenas
godina	years
godina	anos
godina	ano
prvo	primeira
prvo	primeiros
prvo	primeiramente
prvo	primeiro
hiljada	milhares
hiljada	mil
zavod	instituto
sve	everything
sve	tudo
sve	todas
sve	tudo
sve	todos
zemlje	países
brzina	velocidade
brzina	rapidez
brzina	velocidade
brzina	speed
naselje	liquidação
naselje	povoamento
naselje	assentamento
naselje	bairro
naselje	vizinhança
više	mais
više	more
kada	quando
kada	when
prvi	primeira
prvi	primeiros
prvi	primeiramente
prvi	primeiro
deset	dez
deset	ten
tip	guy
tip	type
tip	digite
tip	tipo
odnos	rácio
odnos	proporção
između	entre
sljedeći	seguinte
sljedeći	próximo
sljedeći	próxima
sljedeći	next
lokacija	localização
lokacija	localizações
lokacija	localidades
lokacija	locais
svjetlost	light
svjetlost	luz
svjetlost	leve
svjetlost	brilho
masa	missa
masa	massa
masa	multidão
masa	masa
baza	base
objekti	facilidades
objekti	instalações
objekti	objectos
objekti	objetos
pozicija	posição
pozicija	posições
karta	mapa
karta	ingresso
karta	bilhete
karta	card
karta	cartão
projekt	project
projekt	projeto
projekt	projecto
online	online
dimenzije	dimensões
dok	enquanto
nasa	nasa
messier	messier
night	noite
night	night
kako	como
atlas	atlas
sky	ceu
sky	sky
sky	céu
dio	part
dio	parte
jedan	um
jedan	uma
jedan	one
bilo	qualquer
astronomska	astronômico
astronomska	astronomia
radijalna	radial
interaktivni	interativo
interaktivni	interativa
interaktivni	interactiva
interaktivni	interactivo
interaktivni	interactive
style	style
style	estilo
napravio	feitos
napravio	feita
napravio	feito
napravio	made
rezultat	pontuação
rezultat	placar
rezultat	resultado
otkriće	descobertas
otkriće	descoberta
otkriće	discovery
grad	vila
grad	cidade
grad	cidade
tokom	durante
vrijeme	hora
vrijeme	horário
vrijeme	tempo
vrijeme	time
još	outro
još	outra
stranica	pagina
stranica	página
stranica	page
stranica	páginas
dva	duas
dva	two
dva	dois
sastav	composição
log	facultativa
log	opcionais
log	opcional
log	facultativo
log	log
hrvatska	croácia
ukupno	total
ugc	ugc
msg	msg
baz	baz
baz	buzz
županija	condado
knjiga	livro
knjiga	reservar
knjiga	livros
knjiga	livros
tri	tres
tri	three
tri	três
bosna	bosna
bosna	bósnia
bili	billie
bili	estavam
bili	foram
bili	eram
prije	antes
toga	essa
toga	isso
toga	que
jer	porque
jer	pq
protiv	contra
ime	nome
nekoliko	poucas
nekoliko	poucos
nekoliko	casal
nekoliko	vários
nekoliko	varios
nekoliko	várias
kasnije	depois
stare	antiga
stare	velho
stare	antigo
stare	velha
stare	velhos
jpg	jpg
republika	república
hercegovina	herzegovina
autor	autor
autor	autora
strane	laterais
strane	lados
http	http
drugi	segunda
drugi	second
drugi	segundo
drugi	outro
drugi	outros
drugi	outras
drugi	outra
drugi	outros
drugi	outras
imao	tive
imao	tinha
imao	teve
prečkasta	barrada
tim	tim
tim	team
tim	equipa
tim	time
tim	equipe
danas	hj
danas	hoje
iako	embora
iako	embora
bih	bih
teritorijalne	territorial
teritorijalne	territoriais
bez	sem
koristi	uso
koristi	usar
koristi	use
koristi	utilizar
koristi	utilização
koristi	utilizada
koristi	usada
koristi	usado
koristi	utilizado
koristi	utilizados
koristi	usados
imaju	tenha
imaju	ter
preko	over
preko	via
jakov	jacob
jakov	jacó
sad	agora
izdavač	editor
izdavač	editora
vjerski	religiosos
vjerski	religiosa
vjerski	religioso
vjerski	religiosas
sarajevo	sarajevo
naseljima	bairros
naseljima	bairros
naseljima	vizinhanças
veliki	large
veliki	grande
veliki	grandes
veliki	big
veliki	grande
veliki	grandes
nisu	não
put	path
put	caminho
put	rota
put	percurso
put	rodoviário
put	estrada
put	road
eso	eso
već	já
već	ja
dana	dias
dana	dana
zvanična	oficial
zvanična	funcionário
zvanična	official
zvanična	oficiais
kroz	através
kroz	through
gelo	faustão
datoteka	arquivos
datoteka	ficheiros
datoteka	arquivo
datoteka	ficheiro
caption	legenda
text	texto
općina	municípios
općina	município
općina	concelho
često	freqüentemente
često	frequentemente
često	freqüentemente
često	frequentemente
ove	este
ove	esta
ove	isso
ove	isto
ove	essa
ove	esse
ove	estes
ove	essas
ove	estas
ove	esses
koju	qual
nego	than
pri	pri
sam	sam
hiljade	milhares
hiljade	mil
hiljade	milhares
film	filme
film	película
film	filmes
film	películas
film	filme
države	estados
cest	cest
ljudi	humanos
jedna	um
jedna	uma
jedna	one
odnosno	respectivamente
odnosno	respetivamente
eliptična	elíptica
država	estados
država	estaduais
država	state
država	estado
država	estadual
tada	então
tada	depois
njegov	seu
njegov	his
njegov	sua
grupe	grupos
jezik	língua
jezik	lingua
jezik	língua
jezik	idioma
jezik	linguagem
#aaa	#aaa
kralj	king
kralj	rei
napomena	note
napomena	nota
naselja	assentamentos
vrlo	muito
glavni	chief
glavni	chefe
glavni	alcaide
glavni	principais
glavni	main
glavni	principal
william	william
william	willian
william	guilherme
ona	ela
ona	she
postoji	existe
četiri	four
četiri	quatro
njegova	seu
njegova	his
njegova	sua
marta	marta
oni	essas
oni	aqueles
oni	esses
oni	aquelas
oni	eles
oni	elas
neki	alguns
neki	algum
neki	algumas
john	john
john	joão
john	joao
osim	excepto
osim	exceto
osim	apart
kojima	kojima
sistem	system
sistem	sistema
puta	vezes
puta	tempos
puta	times
mjesta	locais
mjesta	lugares
mjesta	sítios
mjesta	assentos
mjesta	lugares
mjesta	bancos
dan	dan
dan	dia
predstavlja	presentes
predstavlja	apresenta
predstavlja	representa
predstavlja	represente
predstavlja	poses
velika	velika
velika	large
velika	grande
velika	grandes
velika	grandioso
velika	grand
obično	geralmente
obično	normalmente
obično	habitualmente
obično	usualmente
obično	normalmente
prvenstvo	campeonato
prvenstvo	championship
zajedno	juntos
zajedno	juntas
zatim	então
zatim	depois
način	maneira
način	way
rat	guerra
rat	war
rat	guerras
vrsta	gentil
vrsta	bondoso
vrsta	tipo
vrsta	espécies
vrsta	espécie
radi	funciona
radi	obras
radi	trabalhos
radi	works
radi	trabalha
radi	trabalhando
radi	trabalhar
radi	funcionando
top	canhões
top	cannon
top	canhão
top	topo
top	top
top	torre
bgcolor	bgcolor
tom	tom
uglavnom	principalmente
uglavnom	principalmente
cet	cet
tome	tom
maja	maya
maja	maia
maja	maja
smrti	óbitos
smrti	mortes
mora	mosto
mora	deve
mora	must
dobio	got
dobio	recebida
dobio	recebido
dobio	receberam
dobio	recebidos
dobio	recebeu
dobio	recebidas
nalaze	conclusões
nalaze	constatações
nalaze	achados
nagrada	prémio
nagrada	premio
nagrada	prêmio
nagrada	recompensar
nagrada	recompensa
nagrada	recompensas
svi	todos
svi	todas
svi	tudo
svi	todos
svi	todos
veoma	muito
najbolji	melhor
najbolji	melhores
najbolji	best
sarajevu	sarajevo
rođen	born
rođen	nascido
rođen	nascida
rođen	nasceu
herschel	herschel
npr	npr
američki	americano
američki	americanos
američki	american
američki	americana
mnogo	lotes
mnogo	montes
mnogo	muito
mnogo	much
mnogo	lot
mnogo	lote
područja	áreas
jula	julho
doba	idade
drugim	outro
drugim	outros
drugim	outras
drugim	outra
postoje	existem
postoje	existir
postoje	existirem
zastava	pavilhão
zastava	bandeira
vrste	gentil
vrste	bondoso
vrste	tipo
vrste	tipos
jednom	outrora
jednom	once
uključujući	incluindo
uključujući	inclusive
sistema	mobilado
predsjednik	presidente
ipak	ainda
imena	nomes
posebno	particularmente
posebno	especialmente
treba	need
treba	preciso
treba	precisa
treba	necessidade
treba	precisa
treba	necessidades
treba	necessita
album	álbum
album	album
album	álbuns
član	membro
vijek	vitalício
vijek	idades
vijek	século
vijek	century
york	york
york	iorque
iii	iii
uvijek	always
uvijek	sempre
dolazi	vem
dolazi	venham
dolazi	venha
dolazi	vindo
dolazi	chegando
većina	most
većina	maioria
liga	league
liga	liga
liga	liga
koriste	uso
koriste	usar
koriste	use
koriste	utilizar
koriste	utilização
sin	son
sin	filho
njega	ele
manje	menos
one	essas
one	aqueles
one	esses
one	aquelas
sada	agora
juni	juni
juni	june
juni	junho
slika	foto
slika	fotografia
slika	imagem
slika	image
slika	imagem
njemački	alemã
njemački	alemães
njemački	alemão
znači	meios
znači	significa
ostrva	ilhas
nad	nad
radio	trabalhou
radio	trabalhava
radio	funcionou
radio	trabalhadas
radio	trabalhados
radio	trabalhado
radio	radio
radio	rádio
radio	trabalhando
radio	trabalhar
radio	funcionando
dijela	peças
dijela	partes
djela	deeds
život	vida
život	life
augusta	augusta
uefa	uefa
rijeka	rio
rijeka	rijeka
prava	direitos
januar	janeiro
žena	mulher
žena	mulher
žena	esposa
februar	fevereiro
bosanski	bósnia
bosanski	bósnio
bosanski	bósnios
april	april
april	abril
mart	mart
mart	march
mart	marchar
mart	marcha
mart	março
august	augusto
august	august
august	agosto
pet	pet
pet	bichinho
pet	cinco
pet	five
osoba	pessoa
septembar	setembro
riječi	palavras
decembar	dezembro
juli	julho
juli	juli
sezona	temporada
sezona	época
sezona	estações
sezona	temporadas
sezona	seasons
svaki	cada
svaki	cada
maj	may
maj	maio
maj	pode
ostali	outros
ostali	outras
ponovo	novamente
centar	centralizar
centar	centrar
centar	centro
centar	center
centar	centrar
centar	centralizar
centar	centro
centar	centre
centar	mall
centar	shopping
regija	região
njemačka	alemanha
polje	field
polje	campo
polje	polje
oktobar	outubro
počinje	começa
počinje	inicia
počinje	começa
počinje	começando
počinje	iniciando
osvojio	conquistou
osvojio	conquistaram
osvojio	conquistado
osvojio	conquistada
osvojio	conquistados
rezultati	resultados
rezultati	resultado
francuski	french
francuski	franceses
francuski	francês
ekipe	tripulações
ekipe	crews
ekipe	equipas
ekipe	equipes
ekipe	times
kluba	club
kluba	clube
igra	game
igra	jogo
ekipa	team
ekipa	equipa
ekipa	time
ekipa	equipe
ekipa	crew
ekipa	tripulação
primjer	instância
primjer	exemplo
tijelo	body
tijelo	corpo
fifa	fifa
onda	então
onda	depois
nešto	algo
tijela	body
tijela	corpo
tijela	painéis
tijela	corpos
tijela	órgãos
web	website
web	site
web	web
web	teia
mnogi	muitos
mnogi	muitas
malo	malo
malo	pequeno
malo	pouco
malo	pequena
malo	little
rad	trabalhos
rad	trabalho
rad	trabalhar
rad	trabalhe
ispod	embaixo
ispod	debaixo
ispod	abaixo
putem	via
joj	dela
joj	ela
joj	her
vlast	potência
vlast	energia
vlast	poder
vlast	power
vlast	governo
red	ordem
red	encomendar
