категория	category
през	through
като	like
година	year
след	after
това	this
български	bulgarian
българия	bulgaria
част	part
години	years
време	time
със	with
която	which
което	which
външни	external
препратки	references
град	town
град	city
много	very
много	many
също	also
век	century
село	village
един	one
между	between
около	around
софия	sofia
софия	sophia
други	other
други	others
още	still
още	more
война	war
само	only
само	just
област	region
област	oblast
област	district
област	area
под	under
община	municipality
място	place
място	location
когато	when
вид	type
вид	species
една	edna
една	one
всички	all
всички	everyone
семейство	family
започва	begins
започва	starts
македония	macedonia
сащ	usa
над	above
него	him
срещу	versus
срещу	against
тези	these
тези	those
души	souls
мини	mini
мини	mines
мини	minnie
намира	finds
република	republic
късно	late
май	may
път	path
път	route
път	road
отбор	team
няколко	few
няколко	several
август	august
август	aug
роден	born
беседа	conversation
беседа	discourse
септември	september
преди	before
името	name
група	band
група	group
език	tongue
език	language
юли	july
някои	some
тях	them
река	river
януари	january
юни	june
две	two
октомври	october
октомври	oct
име	name
заедно	together
фон	von
фон	background
американски	american
март	march
ноември	november
ноември	nov
април	apr
април	april
декември	december
декември	dec
чрез	via
чрез	through
история	story
история	history
жители	inhabitants
жители	residents
различни	different
различни	various
различни	miscellaneous
без	without
често	often
получава	gets
получава	receives
февруари	february
февруари	feb
работи	work
работи	works
провинция	province
империя	empire
иван	ivan
център	center
център	centre
повече	more
вече	already
сред	among
три	three
страна	country
страна	side
въпреки	despite
градове	towns
градове	cities
население	demographics
население	population
завършва	ends
бил	bill
малко	little
хора	people
университет	university
германия	germany
могат	can
син	blue
син	son
награда	reward
награда	prize
награда	award
георги	georgi
георги	georgy
голяма	large
голяма	big
италия	italy
сайт	website
сайт	site
участва	participates
световна	worldwide
край	end
уикипедия	wikipedia
използва	uses
сезон	season
окръг	county
окръг	district
днес	today
смъртта	death
франция	france
национален	national
гърция	greece
вижте	see
русия	russia
английски	english
едно	one
първи	first
отново	again
член	member
член	article
височина	altitude
височина	elevation
височина	height
дъщеря	daughter
там	there
система	system
нея	her
училище	school
били	billy
били	billie
света	sveta
света	world
села	villages
филми	films
филми	movies
александър	alexander
умира	dies
умира	dying
южна	southern
южна	south
европа	europe
европа	europa
димитър	dimitar
всеки	anyone
всеки	everyone
всеки	every
всеки	each
части	parts
баща	father
нова	new
нова	nova
крал	king
армия	army
църква	church
докато	while
докато	until
официален	official
официален	formal
северна	north
северна	northern
времето	weather
времето	time
българска	bulgarian
освен	except
места	places
места	seats
начин	way
период	period
резултат	outcome
резултат	score
резултат	result
футболисти	footballers
данни	data
страница	page
картинка	picture
картинка	image
граф	graff
граф	graf
родени	born
играе	play
играе	plays
играе	playing
живот	life
тук	here
император	emperor
църквата	church
ден	day
жени	women
руски	russian
известен	known
известен	famous
добре	good
мария	maria
дори	even
води	leads
води	waters
води	lead
тогава	then
голям	large
голям	big
род	genus
род	rod
филм	movie
филм	film
шаблон	template
почти	almost
печели	wins
страни	parties
страни	sides
страни	countries
площ	area
острови	islands
острови	isles
код	code
френски	french
генерал	general
защото	because
държава	country
държава	state
дата	date
двете	both
обикновено	usually
обикновено	typically
обикновено	normally
големи	large
големи	big
деца	kids
деца	children
петър	peter
петър	petar
остава	remains
остава	stays
сили	powers
сили	forces
дължина	length
дължина	longitude
българи	bulgarians
албум	album
гръцки	greek
дни	days
съюз	union
съюз	alliance
партия	party
политик	politician
пише	writes
брат	brother
работа	job
работа	work
голове	goals
остров	island
остров	isle
председател	president
председател	chairperson
председател	chairman
среща	date
среща	meet
среща	meeting
среща	rendezvous
групи	bands
групи	groups
информация	info
информация	information
нови	new
включва	includes
пъти	fold
пъти	times
писател	novelist
писател	writer
херцог	duke
министър	minister
цел	goal
цел	aim
цел	purpose
цел	objective
цел	target
участие	involvement
участие	participate
участие	participation
войната	war
османската	ottoman
никола	nicolas
никола	nikola
никола	nicola
море	sea
пловдив	plovdiv
отбора	team
продължава	continues
списък	list
дава	gives
историята	history
брой	count
брой	number
култура	culture
всяка	every
всяка	each
същата	same
известни	known
известни	famous
степен	grade
степен	degree
статия	article
територията	territory
регион	region
повечето	most
редактор	editor
разположен	located
разположен	situated
друг	other
друг	another
джон	john
малки	small
малки	little
футболист	footballer
вероятно	probably
организация	organization
организация	organisation
договор	contract
договор	treaty
север	north
васил	vasil
изток	east
изток	eastern
четири	four
испания	spain
особено	particularly
особено	especially
разположено	located
разположено	situated
човек	person
човек	human
човек	man
състав	composition
общо	total
треньор	trainer
треньор	coach
отбори	teams
рим	rome
статии	articles
управление	management
управление	governance
управление	controls
литература	literature
дейност	activity
цар	king
цар	tsar
хората	people
видове	species
видове	types
власт	power
живота	life
стефан	stefan
стефан	stephan
тип	type
военни	military
изчезване	extinction
изчезване	disappearing
изчезване	disappear
изчезване	disappearance
вида	vida
шампион	champ
шампион	champion
съвет	advice
съвет	tip
съвет	council
свързани	associated
свързани	related
свързани	connected
свързани	linked
исторически	historic
исторически	historically
исторически	historical
римски	roman
христо	hristo
кръг	circle
кръг	round
майка	mother
карта	map
карта	card
англия	england
нов	new
неговата	his
песни	songs
втори	second
множество	multiple
множество	multitude
политика	policy
политика	politics
преминава	passes
стара	old
форма	shape
форма	form
семейството	family
съпруга	spouse
съпруга	wife
втора	second
район	region
район	district
район	area
музика	music
близо	close
близо	near
първенство	championships
първенство	championship
представлява	represents
варна	varna
отнася	refers
манастир	monastery
манастир	convent
файл	file
средата	mid
награди	rewards
награди	awards
награди	prizes
немски	german
помощ	aid
помощ	help
вода	water
първоначално	initially
първоначално	originally
първоначално	initial
карл	karl
карл	carl
свят	world
николай	nikolai
николай	nicolai
николай	nikolay
административен	administrative
скоро	soon
западна	west
западна	western
войски	troops
стил	style
живее	lives
достига	reaches
избран	chosen
избран	selected
марк	marc
марк	mark
африка	africa
запад	west
революционер	revolutionary
уебсайт	website
земята	earth
връзка	connection
връзка	link
връзка	connect
връзка	relationship
роля	role
италиански	italian
създава	creates
москва	moscow
как	how
китай	china
линия	line
свети	saint
свети	holy
кариера	career
кариера	careers
кариера	quarry
развитие	development
лига	league
лига	liga
лига	leagues
роман	roman
роман	novel
източници	sources
политически	politically
политически	political
америка	america
консул	consul
книги	books
стадион	stadium
служба	service
другите	others
произход	origin
произход	originating
произход	provenance
произход	origins
точка	item
точка	point
фридрих	friedrich
фридрих	frederick
сърбия	serbia
академия	academy
първо	first
предимно	mainly
предимно	mostly
предимно	predominantly
силно	loud
силно	strong
силно	hard
писатели	writers
годината	year
михаил	mikhail
михаил	mihail
членове	members
всичко	everything
всичко	all
включително	including
такива	such
българско	bulgarian
птица	bird
влиза	enters
автор	author
възраст	age
комитет	committee
добър	good
езици	languages
държави	states
държави	countries
бързо	quick
бързо	fast
личности	personalities
сега	now
ссср	soviets
ссср	ussr
връх	mount
връх	peak
учи	study
битката	battle
ред	order
ред	red
ред	row
мач	game
мач	match
турция	turkey
дивизия	division
макар	although
макар	though
събития	events
серия	series
серия	serie
градът	town
градът	city
планина	mountain
планина	mount
нещо	something
ляво	left
сан	san
причина	reason
бразилия	brazil
бразилия	brasil
начало	start
начало	beginning
биография	bio
биография	biography
движение	motion
движение	move
