сараево	sarajeve
уелски	waleské
майер	mayer
майер	meyer
франко	franco
мощ	sila
мощ	pevnosť
мощ	silu
мощ	sily
мощ	moc
мощ	napájanie
мощ	výkon
мощ	power
клисура	rokliny
дарения	darcovstvo
дарения	dary
дарения	príspevky
отвън	vonku
отвън	vonka
отвън	mimo
мериленд	marylande
черта	znaku
болни	chorý
болни	chorí
болни	chorá
болни	choré
крайната	konečným
редовна	pravidelné
редовна	pravidelná
редовна	pravidelne
редовна	pravidelný
палермо	palermo
грузински	gruzínska
грузински	gruzínsko
поставено	umiestnená
поставено	umiestnené
кастро	castro
таблици	stoly
таблици	tabuľky
обещава	sľuby
обещава	sľubuje
сюжет	dej
сюжет	pozemok
сюжет	pozemku
пропуска	minie
майчина	materský
майчина	materinský
майчина	materské
барон	barón
барон	barron
психолог	psychológ
отстранен	pozastavené
отстранен	pozastavená
монасите	mníchov
монасите	mnísi
подпомагане	support
подпомагане	podporu
подпомагане	podporiť
подпомагане	podpora
подпомагане	podporovať
наркотици	lieky
наркотици	drogy
наркотици	liek
наркотици	droga
наркотици	drogu
наркотици	drog
душа	duša
душа	soul
душа	dušu
пелин	palina
израелски	izraelský
израелски	izraelských
израелски	izraelské
популярно	populárny
популярно	obľúbené
популярно	populárne
популярно	populárna
уникален	jedinečný
уникален	unikátne
уникален	jedinečné
уникален	jedinečná
уникален	unikátny
работник	zamestnanec
работник	zamestnanca
работник	pracovníka
работник	pracovníčka
работник	pracovník
работник	robotník
описания	opisy
обширни	rozsiahlych
обширни	rozsiahla
обширни	rozsiahly
обширни	rozsiahle
придружава	sprevádza
джейсън	jasona
джейсън	jason
критики	kritika
критики	kritike
критики	kritiku
критики	kritiku
издържа	vydržala
издържа	vydržali
бягство	uniknúť
бягство	únik
бягство	ujsť
бягство	útek
бягство	utiecť
селска	vidieckeho
селска	vidieka
селска	vidiecke
селска	sedliak
изригване	erupcia
изригване	výbuch
медина	medina
слънчева	slnečný
слънчева	slnečné
слънчева	slnečné
слънчева	solárne
слънчева	solárny
слънчева	slnečná
колектив	kolektívne
колектив	kolektív
видеоклип	video
видеоклип	videa
линкълн	lincoln
линкълн	lincolna
съдилища	súdy
съдилища	súdov
добавени	pridaný
добавени	pridal
добавени	pridané
дисни	disney
извършен	vykonávané
извършен	vykonaná
рисуване	maľovanie
рисуване	obraz
рисуване	maľba
рисуване	kresba
рисуване	kreslenie
рисуване	výkres
рисуване	čerpania
специфичен	špecifické
специфичен	konkrétne
специфичен	špecifická
специфичен	osobitné
специфичен	konkrétnych
специфичен	špecifický
клип	klip
изрично	výslovne
изрично	vyslovene
изрично	explicitne
изрично	výslovne
изрично	vyslovene
изрично	explicitne
изрично	výslovný
изрично	výslovné
дионисий	dionýza
ефективност	efektívnosť
ефективност	účinnosť
ефективност	efektivita
ефективност	efektívnosť
ефективност	účinnosť
ефективност	účinnosť
ефективност	výkonnosť
ефективност	predstavenie
ефективност	výkon
ефективност	plnenie
ефективност	vystúpenie
мишки	myší
мишки	myši
мишки	myšiach
мишки	myš
мишки	myška
мишки	myši
замества	nahradí
замества	nahrádza
замества	nahrádzajú
индо	indo
агрипа	agrippa
тесни	úzka
тесни	úzky
тесни	úzke
убиец	vraha
убиец	zabijak
убиец	vrahyňa
убиец	vrah
убиец	vrahom
убиец	vraha
убиец	vrahyňa
убиец	vrah
убиец	zabijak
напояване	zavlažovanie
емирства	emiráty
комунистите	komunisti
комунистите	komunistov
доверие	sebavedomie
доверие	dôvera
доверие	dôveru
доверие	veriť
доверие	dôvera
доверие	ver
доверие	dôveru
доверие	dôverovať
шеф	šéfkuchár
шеф	kuchár
курорт	resort
курорт	uchýliť
традициите	tradícií
традициите	tradície
изпълнителни	výkonná
изпълнителни	výkonný
тонга	tonga
посоки	smerovania
посоки	smeroch
посоки	smery
посоки	smer
затворена	uzavretá
затворена	zatvorená
затворена	zatvorené
затворена	zavreté
затворена	uzavreté
глад	hladomor
глад	hlad
глад	hladu
глад	hladu
глад	hlad
трек	trek
триъгълник	trojuholník
комикс	komiksy
комикс	comic
болен	chorý
болен	chorí
болен	chorá
болен	choré
тютюн	tabaku
тютюн	tabak
лукас	lucas
лукас	lukas
царски	regal
линк	spojiť
линк	spojenie
линк	súvislosť
линк	odkaz
линк	link
линк	prepojiť
хълмове	kopcov
хълмове	hills
хълмове	kopce
изобретател	vynálezca
чан	chan
пасища	pasienky
пасища	pastviny
изпрати	pošli
изпрати	poslať
изпрати	odoslať
изречения	viet
изречения	vety
първична	prvotného
първична	primárne
първична	primárna
първична	primárny
таймс	krát
таймс	časy
таймс	times
жлези	žľazy
коларов	kolarov
улицата	ulici
улицата	ulicu
улицата	street
улицата	ulica
отрича	popiera
яне	janne
отразяват	odrážať
отразяват	odrážajú
маркетинг	marketing
маркетинг	obchodovanie
верона	verona
реклами	reklamy
реклами	inzeráty
реклами	reklám
реклами	reklamy
реклами	reklamný
реклами	reklamné
реклами	reklamy
реклами	reklama
разрушени	zničený
разрушени	zničili
разрушени	zničené
разрушени	zničení
разрушени	zničená
разрушени	zbúrané
бейкър	baker
нула	nulová
нула	zero
нула	nulový
нула	nula
нула	nulové
театри	divadlá
театри	kinách
кризата	krízy
кризата	kríza
изписана	prepustený
органите	orgánov
органите	orgány
забележка	poznámku
забележка	poznámka
забележка	poznámku
забележка	poznámka
доналд	donald
колекции	zbierky
колекции	kolekcie
султана	sultán
етика	etické
етика	etiky
етика	etiku
цивилни	civilný
цивилни	civilného
цивилни	civilné
цивилни	civilná
цивилни	civilistov
цивилни	civilisti
путин	putin
представено	prezentované
представено	predstavené
представено	predložené
представено	predkladané
представено	predstavený
представено	predložený
представено	predkladané
представено	predložené
представено	odovzdané
бит	bit
бит	zbitý
бит	porazený
плод	ovocia
плод	plody
плод	ovocie
физици	fyzici
имението	sídlo
имението	panstvo
имението	manor
езиците	jazyky
езиците	jazykoch
езиците	jazykov
доктрина	doktrína
еволюцията	evolúcia
еволюцията	vývoj
еволюцията	evolúcie
рицар	rytiera
рицар	rytier
рицар	jazdec
неправилно	nesprávna
неправилно	nesprávne
неправилно	nesprávny
тото	toto
плаща	platí
плаща	vypláca
плаща	plati
плаща	zaplatí
оригинален	originálny
оригинален	pôvodný
оригинален	original
оригинален	originálne
оригинален	originál
оригинален	pôvodné
католици	katolíkov
католици	katolík
католици	katolíckej
гревена	grevena
твърд	firma
твърд	pevná
твърд	pevný
твърд	pevné
твърд	tuhé
твърд	pevná
твърд	tuhá
твърд	tvrdá
твърд	tvrdo
твърд	silno
твърд	ťažké
твърд	ťažko
развит	vyvinutá
развит	vyvinutý
развит	rozvinuté
развит	vyvinuté
вавилон	babylon
умрял	umrel
умрял	zomreli
умрял	zomrel
умрял	zomrela
значения	významy
невада	nevade
планети	planéty
планети	planét
месопотамия	mezopotámii
молекули	molekuly
молекули	molekúl
марек	marek
кайзерслаутерн	kaiserslautern
наляво	ľavá
наляво	vľavo
наляво	ľavé
наляво	ľavý
наляво	doľava
дакота	dakota
радиус	okruh
радиус	polomer
здрави	zdravý
здрави	zdravá
здрави	zdravo
здрави	zdravé
здрави	zdraví
ориз	ryžu
ориз	ryže
ориз	ryžové
ориз	ryža
дванадесет	twelve
дванадесет	dvanásť
дванадесет	dvanástich
подчинени	podriadených
подчинени	podriadený
подчинени	podriadené
подчинени	podriadený
подчинени	podriadené
желязна	železný
желязна	železo
желязна	železné
желязна	iron
желязна	železa
ястия	jedlá
ястия	riady
ястия	jedál
ястия	riad
ястия	jedlá
същността	podstata
същността	podstate
същността	esencie
дискове	disky
дискове	kotúče
дискове	diskov
дискове	disky
дискове	diskov
дискове	cds
дискове	cd
хелзинки	helsinkách
анкара	ankara
мирно	pokojný
мирно	pokojné
мирно	mierové
дървена	drevené
дървена	drevená
дървена	drevený
дървена	drevených
ръсел	russel
ръсел	russell
изработен	robený
прогрес	pokrok
прогрес	progress
прогрес	napredovanie
прогрес	priebeh
изпратена	odoslané
изпратена	poslané
изпратена	odoslaná
изпратена	poslali
цветни	farebné
цветни	farebný
човешко	ľudský
човешко	ľudských
човешко	človek
човешко	ľudské
човешко	ľudská
процесите	procesy
процесите	procesov
галерии	galérie
изпълнен	vyplnený
изпълнен	naplnený
изпълнен	naplnená
изпълнен	plnené
изпълнен	vyplnené
леля	teta
леля	teta
леля	tetu
леля	tete
контузия	úraz
контузия	ujmy
контузия	zranenie
контузия	poškodenie
контузия	poranenie
контузия	ujma
скок	skočiť
скок	skok
скок	skákať
скок	preskočiť
цикъла	cyklus
цикъла	cyklu
частична	čiastočný
частична	čiastočná
частична	čiastkové
частична	čiastočné
люк	luke
люк	lukáš
съпротивление	odolnosť
съпротивление	rezistencia
съпротивление	odpor
ресторант	reštaurácie
ресторант	reštaurácia
дева	virgo
дева	panny
дева	panna
дева	deva
андреас	andreas
казан	kotlík
казан	kazan
слънчеви	slnečný
слънчеви	slnečné
слънчеви	slnečné
слънчеви	solárne
слънчеви	solárny
слънчеви	slnečná
лусия	lucia
победителите	výhercov
победителите	víťazi
победителите	víťazov
въздушно	letecké
въздушно	vzdušné
въздушно	leteckých
въздушно	ovzdušie
въздушно	vzduchu
въздушно	ovzdušia
въздушно	vzduch
въздушно	air
арагон	aragon
азиатски	ázijských
азиатски	ázijské
азиатски	ázie
умерено	mierna
умерено	stredne
умерено	stredný
умерено	stredná
умерено	stredné
умерено	pomerne
умерено	mierne
умерено	stredne
анатомия	anatómie
истинска	real
истинска	reálny
истинска	skutočné
истинска	skutočná
истинска	reálne
стан	stan
стан	stana
журито	porota
журито	porote
журито	poroty
задвижване	pohonu
задвижване	pohon
образователни	vzdelávacie
формиране	tvorbe
формиране	tvorba
формиране	formácia
формиране	formovanie
агенцията	agentúra
агенцията	agentúry
добави	pridaj
добави	pridať
разработени	vyvinutá
разработени	vyvinutý
разработени	rozvinuté
разработени	vyvinuté
сиво	gray
сиво	sivé
сиво	sivá
сиво	sivý
сиво	šedá
сиво	šedá
сиво	sivý
сиво	grey
сиво	šedé
сиво	sivá
сиво	sivé
хордови	chordáty
условно	podmienený
условно	podmienečné
условно	podmienená
условно	podmienené
сфери	guľôčky
сфери	sféry
установка	spúšťač
календара	kalendár
календара	kalendára
археолог	archeológ
археолог	archeológ
сфорца	sforza
тъмна	dark
тъмна	temné
тъмна	tmavá
тъмна	tmavé
тъмна	tmavý
състави	zostaviť
състави	kompozícií
състави	zloženia
състави	konfigurácie
костите	kosti
костите	kosť
костите	kostí
слиза	zostupne
пръст	prstom
пръст	prst
пръст	palec
параметър	parameter
параметър	parametra
единна	jednotná
единна	jednotné
единна	zjednotení
единна	jednotný
модена	modena
астрономия	astronómia
президентските	prezidentských
президентските	prezidentské
президентските	prezidentský
сокол	falcon
сокол	sokol
изкуствен	umelých
изкуствен	umelé
изкуствен	umelá
изкуствен	umelý
великден	veľkonočné
великден	veľkonočný
неочаквано	nečakane
неочаквано	neočakávane
неочаквано	neočakávane
неочаквано	nečakané
неочаквано	neočakávané
пациенти	pacienti
пациенти	pacientov
пациенти	pacientom
пациенти	pacientky
сейшели	seychely
морско	námornej
морско	námorné
морско	námorná
морско	námorný
агенти	činidlá
агенти	agentov
агенти	zástupcovia
агенти	agenti
организирано	organizovanému
организирано	organizovaný
организирано	organizovaná
организирано	organizované
организирано	organizovaná
организирано	organizovaný
организирано	organizované
донякъде	pomerne
нормандия	normandii
построено	postavili
построено	postavená
построено	postavené
построено	postavený
построено	stavali
спортно	športový
спортно	športové
спортно	športovo
спортно	športová
спортно	šport
спортно	športy
спортно	športové
остро	ostrý
остро	ostré
остро	ostro
остро	ostrá
остро	akútne
остро	akútny
остро	akútna
стихотворение	báseň
руините	ruiny
финландски	fínsky
финландски	fínska
финландски	fínskom
финландски	fínske
дистанция	vzdialenosti
дистанция	vzdialenosť
клеопатра	kleopatra
пирамида	pyramída
пирамида	pyramídy
