категория	類別
през	透過
през	通過
като	讚
като	就像
като	像
като	喜歡
година	年度
година	年份
година	年
след	後
след	之後
това	這
това	這個
българия	保加利亞
години	歲月
години	年份
време	時光
време	時間
град	城鎮
град	鎮
град	城市
град	市
град	城
много	非常
много	許多
също	還
също	也
век	世紀
село	村
село	鄉村
село	村莊
село	村落
село	村子
един	一
един	one
един	一個
около	圍繞著
около	圍繞
около	周圍
софия	sofia
други	其他
други	其他
още	仍然
още	依然
още	多
още	更多
още	更
война	戰
война	戰爭
само	只
само	只有
само	只是
само	只要
област	區域
област	區
област	地區
област	面積
област	地區
област	區域
област	區
община	市
място	地方
място	地點
място	所在地
място	位置
място	地點
когато	當
вид	型態
вид	類型
вид	魚種
вид	物種
една	edna
една	一
една	one
една	一個
всички	全部
всички	所有
всички	all
всички	大家
всички	每個人
семейство	家人
семейство	家屬
семейство	家庭
македония	馬其頓
над	上方
над	以上
тези	這些
тези	那些
души	靈魂
мини	mini
мини	迷你
мини	地雷
мини	米妮
република	共和國
република	共和
късно	晚
късно	遲到
късно	遲
май	may
май	梅
май	五月份
май	五月
път	路徑
път	路線
път	公路
път	道路
път	路
отбор	團隊
отбор	球隊
отбор	隊伍
август	八月
август	八月份
август	八月
роден	生於
роден	誕生
роден	出生
роден	天生
беседа	對話
беседа	話語
септември	九月份
септември	九月
преди	以前
преди	前
преди	之前
името	名字
името	名稱
името	姓名
група	樂團
група	樂隊
група	群組
група	群
език	舌頭
език	舌
език	語言
език	語
език	語文
юли	七月
юли	七月份
някои	一些
някои	有些
река	河
река	江河
река	河流
река	江
януари	一月
юни	六月份
юни	六月
две	兩
две	兩個
две	二
октомври	十月
октомври	十月份
октомври	十月
име	名字
име	名稱
име	姓名
заедно	在一起
заедно	一起
фон	von
американски	美式
март	三月
ноември	十一月
ноември	十一月
април	四月
април	四月份
декември	十二月
декември	dec
декември	十二月
чрез	通過
чрез	經由
чрез	透過
чрез	通過
история	動態
история	故事
история	歷史
жители	居民
различни	不同
различни	雜項
често	時常
често	常常
често	經常
февруари	二月
февруари	二月
работи	工作
работи	工程
работи	作品
провинция	省
провинция	省省
провинция	省份
империя	帝國
център	中心
център	中心
повече	多
повече	更多
повече	更
вече	已經
три	三
три	三個
страна	國家
страна	一面
страна	側
градове	城鎮
градове	城市
население	人口
население	人口
завършва	末端
бил	bill
бил	法案
малко	小
хора	人
хора	人們
хора	人民
университет	大學
германия	德國
син	blue
син	藍
син	藍色
син	兒子
награда	獎勵
награда	獎賞
награда	賞金
награда	賞
награда	獎品
награда	獎賞
награда	獎
награда	授予
награда	獎
георги	georgi
георги	georgy
голяма	大型
голяма	big
голяма	大
италия	義大利
сайт	網站
сайт	網頁
сайт	網站
сайт	工地
край	終結
край	結尾
край	結束
сезон	季
сезон	季節
окръг	郡
окръг	縣
окръг	區
окръг	地區
днес	今日
днес	今天
смъртта	死亡
смъртта	死神
франция	法國
национален	national
национален	國家
гърция	希臘
вижте	見
русия	俄
русия	俄國
русия	俄羅斯
едно	一
едно	one
едно	一個
първи	首先
първи	第一
отново	再次
член	會員
член	成員
височина	海拔
височина	高度
височина	海拔
височина	身高
височина	高度
дъщеря	女兒
система	系統
