que	toga
per	za
les	les
els	the
amb	sa
com	kao
com	like
més	više
bar	bar
seu	sjedište
van	van
era	eru
era	ere
era	era
text	tekst
text	text
també	također
també	takođe
entre	između
fou	bio
anys	godina
any	godina
població	populacija
però	ali
aquest	ove
altres	ostala
altres	ostale
altres	drugim
altres	drugi
altres	ostali
altres	drugi
estat	država
estat	bio
després	nakon
són	su
fins	do
des	des
aquesta	ove
eren	bili
estats	države
estats	država
persones	narod
from	od
part	dio
cap	nijedan
cap	nijedna
gran	velikih
durant	tokom
durant	durant
tot	sve
enllaços	veza
dos	dva
externs	vanjska
externs	vanjski
família	porodica
família	porodično
ciutat	grad
quan	kada
qual	kom
qual	koja
qual	koju
molt	veoma
molt	vrlo
nord	sjever
habitants	stanovnici
habitants	stanovništvo
habitants	stanovnika
barcelona	barcelona
dones	žene
res	ništa
segons	sekundi
primer	prvo
primer	prvi
segle	vijek
nom	ime
tres	tri
sud	jug
lloc	mjesto
nova	novi
nova	nova
homes	muškarci
primera	prvo
primera	prvi
dues	dva
guerra	rat
guerra	ratu
següent	sljedeći
següent	narednu
següent	sledeći
següent	slijedeći
sense	bez
això	ove
general	general
municipi	općina
catalunya	katalonija
vivien	vivien
forma	oblik
forma	formi
forma	oblik
forma	formirati
forma	forma
forma	formi
forma	formiraju
mateix	ista
mateix	isti
mateix	isto
fet	uradio
fet	urađen
fet	završeno
fet	urađeno
han	han
encara	ipak
mort	smrt
dades	podatak
només	samo
només	samo
regió	regija
temps	vrijeme
empreses	kompanije
troba	nalaz
troba	nađe
troba	pronalaze
troba	pronaći
troba	find
troba	naći
grup	grupa
contra	protiv
admin	admin
properes	predstojeće
properes	predstojeći
famílies	porodice
frança	francuska
poblacions	populacijama
fills	djece
fills	djecu
fills	djeca
rei	king
rei	kralj
francès	francuski
mentre	dok
nombre	broj
tots	all
tots	svi
tots	sve
edició	izdavačka
edició	izdavačke
edició	izdavačkom
isbn	isbn
renda	najma
renda	rent
quatre	četiri
partit	stranka
partit	partija
alguns	neki
aquests	ove
fill	sin
nou	novi
