envolten	להקיף
levi	לוי
dead	מת
dead	מתים
dead	מתה
brut	ברוטוס
lang	לאנג
lang	לנג
clans	שבטים
tubs	צינורות
penes	צער
celebracions	חגיגות
accidents	תאונות
accidents	תאונה
lloyd	לויד
fix	תוקן
fix	מתוקן
fix	קבוע
privilegi	הזכות
privilegi	זכות
privilegi	חיסיון
càlculs	חישובים
acompanyament	פד
acompanyament	ליווי
montenegro	מונטנגרו
descàrrega	ההורדה
descàrrega	הורד
descàrrega	הורדה
realista	מציאותי
realista	מציאותיים
realista	ריאלי
realista	מציאותית
ras	ראס
angel	מלאך
angel	מלאכית
handbol	כדוריד
mercedes	מרצדס
mercedes	מרסדס
bizanci	ביזנטיון
hondures	הונדורס
malawi	מלאווי
primari	ראשוני
primari	עיקרי
primari	ראשי
primari	העיקרי
mobilitat	ניידות
crustacis	סרטנים
racó	לפינה
racó	פינת
racó	פינה
troia	טרוי
troia	טרויה
ascendir	להתעלות
erupció	התפרצות
gats	חתולים
homer	הומר
poderosa	עוצמה
poderosa	חזקה
poderosa	חזק
poderosa	עוצמתי
sàhara	סהרה
promotor	מקדם
tabac	טבק
metropolitan	המטרופולין
pics	קליעים
pics	כדורים
pics	פסגות
pics	פיקס
pronunciat	מבוטא
fiable	אמין
fiable	אמינה
fiable	אמינות
fiable	אמינים
assassí	רוצח
assassí	רוצחת
eficiència	יעילות
sencera	שלם
sencera	שלמה
entesa	ההבנה
entesa	הבנה
stanford	סטנפורד
info	מידע
classic	קלאסיקה
classic	קלאסי
classic	קלאסית
cràter	לוע
cràter	מכתש
esquadró	טייסת
suprema	עליון
suprema	העליון
antologia	אנתולוגיה
franquícia	זיכיון
declaracions	הצהרות
mecànic	מכונאי
mecànic	מכני
mecànic	מכנית
explorar	לחקור
explorar	גלה
explorar	גלי
hereva	יורשת
hereva	היורשת
wei	וויי
wei	ווי
diferencial	דיפרנציאלית
martell	מרטל
esplendor	הפאר
baker	אופה
baker	בייקר
turistes	תיירים
turistes	תיירות
revela	מגלה
revela	חושפת
revela	חושף
leiden	ליידן
limitacions	המגבלות
limitacions	מגבלות
consola	לנחם
partició	החלוקה
partició	חלוקה
postura	יציבה
