que	那個
com	讚
com	就像
com	像
com	喜歡
més	多
més	更多
més	更
bar	酒吧
bar	bar
seu	總部
van	貨車
van	梵
van	範
text	文字
text	案文
també	還
també	也
anys	歲月
anys	年份
any	年度
any	年份
any	年
població	人口
però	但
però	不過
però	但是
aquest	這
aquest	這個
altres	其他
altres	其他
estat	國家
estat	州
després	後
després	之後
fins	直到
aquesta	這
aquesta	這個
estats	國家
persones	人
persones	人們
persones	人民
from	來自
from	從
cap	無
sobre	信封
gran	棒
gran	偉大
tot	一切都
tot	一切
dos	兩
dos	兩個
dos	二
família	家人
família	家屬
família	家庭
ciutat	城市
ciutat	市
ciutat	城
quan	當
habitatges	房屋
habitatges	房子
molt	非常
nord	北方
nord	北
nord	北部
barcelona	巴塞隆納
barcelona	barcelona
dones	婦女
dones	女性
segons	秒
segons	秒數
primer	首先
primer	第一
segle	世紀
nom	名字
nom	名稱
nom	姓名
tres	三
tres	三個
sud	南
sud	南方
sud	南部
lloc	地方
lloc	地點
nova	新
nova	新的
nova	新星
nova	nova
homes	男性
homes	男人
homes	男子
primera	首先
primera	第一
dues	兩
dues	兩個
dues	二
guerra	戰
guerra	戰爭
següent	下一步
això	這
això	這個
municipi	市
forma	形狀
forma	形式
forma	表格
mateix	相同
fet	完成
han	韓
han	漢
han	han
encara	仍然
encara	依然
mort	死亡
mort	死神
dades	資料
només	只
només	只有
només	只是
només	只要
regió	區域
temps	時光
temps	時間
empreses	公司
troba	找到
troba	尋找
grup	群組
grup	群
famílies	家庭
frança	法國
fills	兒童
rei	國王
rei	king
rei	王
francès	法文
francès	法語
nombre	數字
nombre	數
nombre	號碼
nombre	編號
tots	全部
tots	所有
tots	all
edició	剪輯
edició	編輯
edició	出版
edició	發表
isbn	isbn
renda	房租
renda	租
renda	租金
quatre	四個
quatre	四
quatre	四名
partit	黨
partit	政黨
partit	宴會
partit	派對
partit	聚會
alguns	一些
alguns	有些
aquests	這些
fill	兒子
nou	新
nou	新的
març	三月
setembre	九月份
setembre	九月
principal	主要
menys	少
menys	少了
color	色
color	彩色
color	顏色
color	色彩
color	彩色
color	顏色
color	色彩
món	世界
octubre	十月
octubre	十月份
empresa	公司
abans	以前
abans	前
abans	之前
edat	年紀
edat	年齡
web	web
web	網
web	網路
jpg	jpg
dins	內在
dins	裡面
dins	內心
dins	內部
església	教會
església	教堂
maig	may
maig	梅
maig	五月份
maig	五月
casa	屋
casa	房屋
casa	房子
història	動態
història	故事
història	歷史
país	國家
segona	第二
segona	秒
joan	john
joan	瓊
joan	joan
final	終結
final	結尾
final	結束
govern	政府
est	東
est	東部
est	東方
est	東區
est	est
vida	生命
vida	人生
vida	生活
poder	電力
poder	電源
poder	動力
poder	權力
totes	全部
totes	所有
totes	all
gener	一月
tipus	型態
tipus	類型
habitatge	住房
juny	六月份
juny	六月
diferents	不同
parelles	夫妻
parelles	情侶
parelles	夫婦
títol	標題
oest	西邊
oest	西
oest	西方
oest	西部
desembre	十二月
san	san
nacional	national
nacional	國家
abril	四月
abril	四月份
major	少校
major	主要
major	主修
agost	八月
agost	八月份
vivint	生活
poble	村
poble	鄉村
poble	村莊
poble	村落
poble	村子
centre	中心
centre	中心
perquè	因為
aquestes	這些
riu	河
riu	江河
riu	河流
riu	江
disc	碟片
disc	碟
disc	磁碟
mostra	樣品
mostra	取樣
mostra	抽樣
mostra	樣本
mostra	展示
mostra	顯示
mostra	show
novembre	十一月
obres	工程
obres	作品
millor	best
millor	最好
espanya	西班牙
sistema	系統
santa	聖誕老人
juliol	七月
juliol	七月份
total	共計
total	總計
universitat	大學
dia	日
dia	一天
dia	白天
dia	day
mitjà	介質
mitjà	中型
mitjà	中等
mitjà	媒介
data	日期
data	約會
world	世界
departament	部門
construcció	施工
construcció	建設
construcció	建築
vol	班機
vol	飛行
premi	獎品
premi	獎賞
premi	獎
premi	授予
premi	獎
exemple	範例
febrer	二月
escola	學校
escola	上學
cinc	五
cinc	五個
espècie	魚種
espècie	物種
principals	主要
madrid	馬德里
font	來源
font	源
zona	區
zona	區域
grans	大型
banda	樂團
banda	樂隊
central	中央
província	省
província	省省
província	省份
oficial	官
oficial	軍官
superfície	表面
superfície	地面
superfície	地表
maria	瑪利亞
maria	瑪麗亞
maria	maria
molts	許多
cens	人口普查
cens	普查
equip	團隊
