και	그리고
από	출신
με	함께
που	어느
κατηγορία	카테고리
κατηγορία	범주
κατηγορία	분류
τους	그들
ένα	하나
μια	하나
αλλά	그런데
αλλά	그러나
αλλά	근데
αλλά	하지만
μετά	그렇다면
μετά	그러면
μετά	그때
επίσης	또한
ενώ	동안
δύο	두두
δύο	두분
αυτό	이거
αυτή	그녀
αυτή	그녀는
όπου	어디서
όπου	어디
όπου	어디에
όπου	어디로
όταν	언제쯤
όταν	언제
μία	하나
ομάδα	분대
ομάδα	스쿼드
ομάδα	그룹
ομάδα	집단
ομάδα	team
θέση	직위
θέση	위치
θέση	포지션
χρόνια	만성적인
χρόνια	만성
χρόνια	수년
πρώτη	우선
πρώτη	퍼스트
πρώτη	처음
πρώτη	먼저
πιο	기타
ένας	하나
πόλη	시내
πόλη	도시
πόλη	타운
πόλη	마을
πόλη	도시
πόλη	시티
σύνδεσμοι	링크
μόνο	단발
μόνο	오직
έγινε	완료
πολύ	아주
πολύ	매우
κάθε	꼴찌
κάθε	각각
περιοχή	지방
περιοχή	지역
περιοχή	구역
περιοχή	영역
περιοχή	지역
περιοχή	면적
αιώνα	세기
αθήνα	아테네
περίοδο	기간
περίοδο	시대
περίοδο	주기
τότε	그렇다면
τότε	그러면
τότε	그때
όνομα	이름
ελλάδα	그리스
μέρος	부분
μέρος	부품
μέρος	파트
μέρος	장소
σήμερα	오늘도
σήμερα	오늘
μέσα	인사이드
μέσα	내부
πως	어떻게
μαζί	함께
μαζί	같이
διάρκεια	기간
ιστορία	이야기
ιστορία	스토리
ιστορία	소식
ιστορία	역사
ιστορία	내역
ιστορία	히스토리
ιστορία	기록
πρωτάθλημα	동맹
πρωτάθλημα	리그
πρωτάθλημα	챔피언십
πρωτάθλημα	챔피언쉽
αργότερα	나중에
νέα	뉴스
νέα	소식
περίπου	소개
περίπου	대략
περίπου	대략
πριν	이전
πριν	전에
χωρίς	without
εθνική	국립
εθνική	내셔널
εθνική	국민
συζήτηση	대화하기
συζήτηση	대화
συζήτηση	토론
συζήτηση	논의
συζήτηση	토론
συζήτηση	논쟁
αρχείο	아카이브
αρχείο	보관
αρχείο	파일
φορά	시간
φορά	타임
φορά	time
πάνω	윗층
πάνω	위층
έλληνες	그리스인
ομάδες	그룹
πρώτο	우선
πρώτο	퍼스트
πρώτο	처음
πρώτο	먼저
έργο	프로젝트
έργο	퇴근
έργο	직장
έργο	작업
κυρίως	주로
κυρίως	주로
κυρίως	대부분
όχι	아님
ελληνική	그리스어
ελληνική	그리스
ταινία	영화
ταινία	테이프
ταινία	필름
ταινία	영화
άλλα	기타
άλλα	다른
άλλα	기타
τμήμα	부서
τμήμα	섹션
εκεί	거기
εκεί	거기에
ωστόσο	그러나
άλλες	기타
άλλες	다른
τέλος	마침내
τέλος	드디어
τέλος	종료
τέλος	끝내기
σειρά	시리즈
σειρά	순서
σειρά	주문
στοιχεία	원소
στοιχεία	자료
στοιχεία	데이터
εκτός	빼고
συνέχεια	연속성
συνέχεια	연속
συνέχεια	계속
συνέχεια	계속하기
κάτω	다운
κάτω	아래로
κάτω	아래쪽
κάτω	아래층
κάτω	아래쪽
κάτω	아래
κάτω	아래에
πολλές	많은
όλα	모두
όλα	전체
σύστημα	체계
σύστημα	시스템
ακόμα	아직도
ακόμα	여전히
φορές	타임스
φορές	타임즈
ίδια	동일한
ίδια	동일
ίδια	동일함
ίδια	같은
ίδια	동일
ίδια	똑같이
χώρα	나라
χώρα	국가
χώρα	시골
χώρα	컨트리
αποτέλεσμα	결과
αποτέλεσμα	결과
αποτέλεσμα	영향
αποτέλεσμα	효과
ιανουαρίου	일월
σεπτεμβρίου	구월
αγώνες	일치하는
αγώνες	성냥
αγώνες	일치
αγώνες	게임
ταινίες	필름
ταινίες	영화
ταινίες	영화
μέσω	비아
μέσω	via
μέσω	통해
μαρτίου	행진
μαρτίου	행진곡
γεννήθηκε	born
γεννήθηκε	출생
γεννήθηκε	탄생
πολλά	많은
απριλίου	에이프릴
απριλίου	사월
αυγούστου	아우구스트
έργα	웍스
