και	un
από	no
με	ar
που	kas
που	kuras
που	kura
για	par
για	priekš
για	for
κατηγορία	kategoriju
κατηγορία	kategorija
κατηγορία	kategorijā
τους	viņiem
ήταν	bija
ήταν	tika
ένα	viens
ένα	viena
ένα	vienu
ότι	ka
ότι	tas
μια	viens
μια	viena
μια	vienu
θα	būs
αλλά	bet
αλλά	taču
μετά	tad
μετά	pēc
επίσης	arī
όπως	patīk
όπως	like
είχε	bija
ενώ	kamēr
δύο	divas
δύο	divus
δύο	divi
αυτό	šī
αυτό	šo
αυτό	šis
αυτό	tas
αυτό	ka
αυτό	tas
αυτή	viņa
αυτή	vina
όπου	kur
όπου	ja
όταν	kad
μέχρι	līdz
μία	viens
μία	viena
μία	vienu
μπορεί	var
μπορεί	varam
ομάδα	squad
ομάδα	vadu
ομάδα	grupu
ομάδα	grupa
ομάδα	grupas
ομάδα	komanda
ομάδα	team
θέση	amats
θέση	novietojums
θέση	pozīcija
μεταξύ	starp
χρόνια	hroniska
χρόνια	hronisks
χρόνια	gadus
χρόνια	gadi
χρόνια	gadiem
πρώτη	pirmais
πρώτη	pirmā
πρώτη	pirmās
πρώτη	pirmie
πρώτη	pirma
πρώτη	vispirms
πιο	vairāk
πιο	vairak
ένας	viens
ένας	viena
ένας	vienu
πόλη	pilsēta
πόλη	pilsēta
σύνδεσμοι	saites
σύνδεσμοι	links
μόνο	tikai
έγινε	paveikts
έγινε	darīts
έγινε	izdarīts
πολύ	ļoti
πολύ	loti
κάθε	katrs
κάθε	katru
κάθε	katra
περιοχή	reģions
περιοχή	teritorija
περιοχή	platība
περιοχή	apgabals
περιοχή	laukums
αιώνα	gadsimts
αθήνα	atēnās
αθήνα	atēnu
περίοδο	laikposms
περίοδο	periods
τότε	tad
όνομα	vārds
όνομα	nosaukums
ελλάδα	grieķijā
ελλάδα	grieķija
μέρος	daļa
μέρος	vieta
σήμερα	šodien
μέσα	iekšpusē
μέσα	iekšā
πως	kā
μαζί	kopā
διάρκεια	ilgums
ιστορία	stāsts
ιστορία	vēsture
ιστορία	vēstures
ιστορία	vēsturi
ιστορία	vēsturē
πρωτάθλημα	līgas
πρωτάθλημα	līga
πρωτάθλημα	čempionāts
πρωτάθλημα	motokrosā
πρωτάθλημα	čempionāta
αργότερα	vēlāk
αργότερα	vēlākā
νέα	jauna
νέα	jaunums
νέα	jauni
νέα	jauns
νέα	jaunais
νέα	jaunas
νέα	jaunumi
νέα	ziņas
περίπου	par
περίπου	aptuveni
περίπου	apmēram
αυτά	šīs
αυτά	šie
πριν	pirms
χωρίς	bez
εθνική	nacionālais
συζήτηση	sarunas
συζήτηση	saruna
συζήτηση	pārrunas
συζήτηση	apspriešana
συζήτηση	diskusijas
συζήτηση	diskusija
συζήτηση	debates
αρχείο	arhīvā
αρχείο	arhīvs
αρχείο	arhīva
αρχείο	faila
αρχείο	fails
αρχείο	failu
φορά	laiks
φορά	laika
πάνω	augšstāvā
