mainland	continente
hamlet	hamlet
timeline	timeline
timeline	cronograma
timeline	cronologia
coup	golpe
newport	newport
negotiations	negociações
exhibitions	exibições
exhibitions	feiras
exhibitions	exposições
malta	malta
hate	ódio
hate	odiar
hate	odeio
hate	odeia
westminster	westminster
installation	montagem
installation	instalação
enters	entra
goalkeeper	goleiro
julian	julian
julian	juliano
julian	julián
morocco	marrocos
efficiency	eficiência
efficiency	eficácia
chapters	capítulos
helicopter	helicóptero
helicopter	helicópteros
fortress	fortaleza
ani	ani
burned	queimado
burned	queimada
burned	queimadas
burned	queimou
burned	queimados
displays	exibe
compiled	compilado
compiled	compilados
compiled	compiladas
compiled	compilada
ips	ips
contributors	contribuintes
contributors	colaboradores
torpedo	torpedo
giovanni	giovanni
chat	papo
chat	conversar
chat	chat
chat	conversa
catholics	católicos
herald	herald
herald	arauto
chuck	chuck
pit	pit
supplied	fornecido
supplied	fornecidos
supplied	fornecidas
supplied	fornecida
supplied	forneceu
optional	facultativa
optional	opcionais
optional	opcional
optional	facultativo
desk	secretária
desk	escrivaninha
garrison	guarnição
garrison	garrison
sprint	sprint
exile	exílio
surprised	surpreendida
surprised	surpresa
surprised	surpresos
surprised	surpreendido
surprised	surpreso
achievements	conquistas
achievements	realizações
biblical	bíblicos
biblical	bíblico
biblical	bíblia
biblical	bíblica
rebels	rebeldes
denis	denis
geographical	geográfico
geographical	geográfica
sit	senta
alpine	alpina
alpine	alpino
bills	contas
glacier	geleira
glacier	glaciar
binding	vinculativo
binding	encadernação
binding	vinculativas
indicating	indicando
estonia	estónia
estonia	estônia
eating	comendo
eating	comer
saving	salvando
saving	salvar
saving	poupança
chi	chi
developer	construtor
developer	desenvolvedores
developer	programador
developer	desenvolvedor
indie	indie
difficulties	dificuldades
doctrine	doutrina
fork	forquilha
fork	garfos
fork	bifurcação
fork	garfo
simpson	simpson
maintaining	mantendo
theological	teológica
upcoming	próximas
upcoming	próximos
vocalist	vocalista
temporarily	temporariamente
hotels	hotéis
edmonton	edmonton
developments	evoluções
developments	desenvolvimentos
literacy	literacia
literacy	alfabetização
currency	divisa
currency	moeda
missionary	missionário
missionary	missionários
missionary	missionária
arrives	chega
hammer	hammer
hammer	martelo
dollar	dólar
ambassadors	embaixadores
twitter	twitter
centres	centros
solomon	solomon
solomon	salomão
recommend	recomendo
recommend	recomendar
recommend	recomende
recommend	recomenda
descendants	descendentes
ruth	ruth
handling	manuseamento
handling	manipulação
handling	movimentação
customs	costumes
customs	alfândegas
customs	aduaneira
customs	alfândega
collect	cobrar
collect	recolher
collect	coletar
grid	grade
grid	grelha
grid	grid
secured	garantidos
certificate	certidão
certificate	certificado
certificate	atestado
destination	destino
albania	albânia
indies	índias
euro	euros
euro	euro
consumption	consumo
feat	façanha
pushing	empurrando
pushing	empurrar
constantly	constantemente
survivors	sobreviventes
mansion	mansão
cardiff	cardiff
temples	templos
blake	blake
sheet	planilha
sheet	lençol
sheet	folha
lift	levantar
lift	levante
lift	lift
lift	elevador
confidence	confiança
confidence	confidência
cuisine	culinária
cuisine	cozinha
cuisine	gastronomia
frankfurt	frankfurt
frankfurt	francoforte
galaxy	galaxy
galaxy	galáxia
ecuador	equador
breeding	reprodutores
breeding	procriação
breeding	reprodução
outbreak	surto
legendary	legendário
legendary	lendários
legendary	lendário
legendary	lendária
handball	handebol
georgian	georgiano
georgian	georgianos
georgian	georgiana
copenhagen	copenhague
copenhagen	copenhagen
copenhagen	copenhaga
trek	caminhada
trek	trek
ignored	ignorado
ignored	ignoradas
ignored	ignorados
ignored	ignorada
arch	arcos
arch	arco
arch	arc
arch	arch
keys	chaves
keys	teclas
enjoy	aproveite
enjoy	aproveita
enjoy	aproveitem
quartet	quarteto
aims	objectivos
propaganda	propaganda
disk	disquete
disk	disco
funny	engraçado
funny	engraçada
punishment	punição
punishment	castigos
punishment	punições
punishment	castigo
accuracy	exactidão
accuracy	rigor
accuracy	precisão
accuracy	exatidão
meter	medidor
meter	contador
meter	métrica
theoretical	teórica
theoretical	teórico
theoretical	teóricos
theoretical	teóricas
suspension	suspensão
graduation	formatura
graduation	graduação
flew	voaram
flew	voou
seeds	sementes
lighting	iluminação
jennifer	jennifer
smooth	suave
smooth	suaves
smooth	liso
customer	cliente
customer	clientes
armstrong	armstrong
southwestern	sudoeste
involve	envolva
involve	envolver
involve	envolvem
philosophical	filosófica
philosophical	filosóficos
philosophical	filosófico
philosophical	filosóficas
escaped	escapou
escaped	fugiu
escaped	escaparam
powell	powell
kills	mata
taste	gosto
taste	sabor
taste	provar
taste	prove
allmusic	allmusic
requiring	requerendo
requiring	necessitando
bros	bros
bros	manos
assertion	afirmação
boulevard	avenida
boulevard	boulevard
northeastern	nordeste
brooks	brooks
sending	envio
sending	enviando
sending	enviar
sending	mandando
atomic	atômica
atomic	atómica
atomic	atómico
atomic	atômico
antarctica	antártica
antarctica	antártida
antarctica	antárctica
antarctica	antárctida
strikes	greves
reconstruction	reconstrução
chronicle	crônica
chronicle	chronicle
chronicle	crónica
traveling	viajando
traveling	viajar
leslie	leslie
ellis	ellis
devon	devon
ghana	gana
gen	gen
rebel	rebeldes
rebel	rebelde
duncan	duncan
pianist	pianista
canon	canon
reformed	reformado
reformed	reformada
pack	pacote
pack	maço
pack	matilha
pack	pack
iceland	islândia
solve	resolve
solve	solucionar
solve	resolver
solve	resolva
cyclists	ciclistas
payment	pagamento
suburbs	subúrbio
suburbs	subúrbios
militia	milícias
militia	milícia
pronounced	pronunciado
pronounced	pronunciada
exhibit	exibição
mph	mph
glen	glen
eugene	eugène
eugene	eugene
compromise	compromisso
tactical	tático
tactical	táctica
tactical	tática
discovers	descobre
uganda	uganda
jail	cadeia
jail	prisão
jail	cárcere
yeah	sim
withdraw	retire
withdraw	retirar
holmes	holmes
promise	promete
promise	promessa
promise	prometa
deals	promoções
deals	ofertas
convert	conversão
convert	converte
convert	converter
convert	converta
dos	dos
afternoon	tarde
recall	recordar
arrive	chegar
warrior	warrior
warrior	guerreiro
warrior	guerreira
mammals	mamíferos
dimensions	dimensões
surrey	surrey
gaming	gaming
lutheran	luterana
ports	portos
amy	amy
survival	sobrevivência
responses	respostas
badly	mal
collegiate	colegial
scandal	escândalo
scandal	escândalos
widow	viúva
swing	baloiço
swing	balança
swing	balançar
swing	swing
nights	noites
nights	nights
polo	polo
polo	pólo
adr	adr
consist	consistir
consist	consistem
probability	probabilidade
probability	probabilidades
farms	quintas
farms	fazendas
conferences	conferências
zhang	zhang
crazy	doida
crazy	louca
crazy	maluco
crazy	doido
crazy	louco
witness	testemunha
witness	testemunhar
nephew	sobrinho
sensitive	sensíveis
sensitive	sensível
sensitive	sensibilidade
mutual	mútua
mutual	mútuo
diet	dietas
diet	alimentação
diet	dieta
diet	diet
clients	clientes
fringe	franja
fringe	fringe
fringe	franjas
passion	paixão
rings	argolas
rings	anéis
millions	milhões
millions	milhoes
dialect	dialeto
dialect	dialecto
orlando	orlando
relay	revezamento
relay	relé
relay	retransmissão
wet	molhado
wet	molhada
wet	húmido
wet	húmida
wet	wet
cruise	cruise
cruise	cruzeiro
cruise	cruzeiros
henri	henrique
henri	henri
publish	publicar
publish	publique
publish	publica
joy	joy
joy	alegria
joy	alegrias
julia	julia
julia	júlia
kitchen	cozinha
abstract	abstrato
abstract	abstracto
abstract	abstracta
abstract	resumo
abstract	abstrata
snake	cobra
snake	snake
snake	serpente
comedian	humorista
comedian	comediante
motorcycle	mota
motorcycle	motocicleta
motorcycle	motociclos
motorcycle	moto
nadu	nadu
arsenal	arsenal
millennium	milênio
millennium	millennium
millennium	milénio
assists	auxilia
assists	assistências
bow	curvar
bow	arco
bow	proa
bow	bow
andré	andré
serie	serie
dimensional	dimensional
travelled	viajou
travelled	viajado
eurovision	eurovisão
firing	disparar
firing	disparo
suite	suite
suite	suíte
doug	doug
gravity	gravidade
stored	armazenados
stored	armazenadas
stored	armazenado
optical	óptica
optical	óptico
optical	ópticos
optical	ótica
frontier	fronteira
evaluation	avaliação
graph	gráfico
graph	grafo
hybrid	híbrida
hybrid	híbrido
hybrid	híbridos
oslo	oslo
earn	ganhe
earn	ganhar
earn	merecer
keyboard	teclado
jamie	jamie
decorated	condecorado
decorated	decorados
decorated	decorada
decorated	decorado
complicated	complicados
complicated	complicado
complicated	complicadas
complicated	complicou
complicated	complicada
nathan	nathan
slavery	escravatura
slavery	escravidão
circular	circulares
circular	circular
operators	operadoras
operators	operadores
armor	blindagem
armor	armadura
armor	armaduras
mechanics	mecânicos
mechanics	mecânica
bradford	bradford
leon	león
leon	léon
leon	leon
rachel	raquel
rachel	rachel
footage	filmagem
strings	cordas
strings	strings
header	cabeçalho
hood	capuz
hood	hood
inspector	inspector
inspector	inspetor
warnings	avisos
warnings	advertências
relatives	parentes
plains	planícies
plains	planície
defended	defendida
defended	defendi
defended	defendidos
defended	defendeu
defended	defendido
wheels	rodas
criterion	critério
ace	craque
ace	ás
ace	eca
ace	ace
arrangements	arranjos
penn	penn
joke	brincadeira
joke	piada
joke	anedota
sailed	navegou
religions	religiões
grants	subsídios
grants	bolsas
grants	subvenções
andrews	andrews
moderate	moderar
moderate	moderado
moderate	moderados
moderate	moderada
stolen	roubadas
stolen	roubada
stolen	roubado
stolen	roubados
tributary	tributário
tributary	afluente
pin	fixar
pin	pino
pin	alfinete
pin	pin
carol	carol
prototype	protótipo
prototype	protótipos
copied	copiado
copied	copiou
copied	copiei
canterbury	cantuária
canterbury	canterbury
midnight	midnight
quarterback	zagueiro
quarterback	quarterback
duchy	ducado
bailey	bailey
arbitrators	árbitros
performers	artistas
handled	manipulados
exploration	exploração
exploration	prospecção
diversity	diversidades
diversity	diversidade
sixteen	dezesseis
sixteen	sixteen
sixteen	dezasseis
findings	conclusões
findings	constatações
findings	achados
repeat	repita
repeat	repete
repeat	repito
repeat	repetir
repeat	repetição
brussels	bruxelas
imdb	imdb
planets	planetas
theatrical	teatrais
theatrical	teatral
reconnaissance	reconhecimento
shots	shots
shots	tiros
complaint	reclamação
complaint	denúncia
complaint	queixa
batman	batman
espn	espn
investigate	investigar
investigate	investiga
verify	verificar
verify	verifique
discontinued	descontinuado
discontinued	interrompido
absent	ausente
absent	ausentes
girlfriend	namorada
resignation	resignação
resignation	demissão
resignation	renúncia
fossil	fóssil
fossil	fósseis
explaining	explicar
explaining	explicando
tang	tang
inches	polegadas
inches	centímetros
proven	provada
proven	comprovado
proven	comprovada
proven	provado
franco	franco
dying	morrendo
dying	morrer
tribal	tribais
tribal	tribal
tyler	tyler
surrender	rendição
surrender	render
glenn	glenn
substance	substância
luxembourg	luxemburgo
luxembourg	luxembourg
colored	colorido
administered	administrado
administered	administrados
administered	administrada
administered	administradas
explosion	explosão
pushed	empurrada
pushed	empurrou
pushed	empurrados
pushed	empurrado
generations	gerações
duck	patos
duck	pato
duck	duck
porter	carregador
porter	porteiro
porter	porter
permanently	permanentemente
memphis	memphis
salvador	salvador
emma	emma
emma	ema
mit	mit
zoo	zoológico
zoo	zoo
gibson	gibson
emerging	surgindo
emerging	emergente
emerging	emergentes
mere	mera
mere	meros
mere	mero
notre	notre
portions	porções
macedonia	macedónia
macedonia	macedônia
ethics	ética
curtis	curtis
rescued	resgatada
rescued	resgatado
rescued	resgatados
gaelic	gaélico
slovakia	eslováquia
elevated	elevado
elevated	elevada
elevated	elevados
