and	ve
for	icin
for	için
that	bu
that	bunu
with	with
with	ile
from	from
this	bu
this	bunu
utc	utc
his	onunki
his	onun
not	olmaz
not	değil
talk	konuş
talk	konuşmak
talk	talk
talk	konuşma
which	hangi
which	hangisi
also	ayrica
also	ayrıca
but	ama
but	fakat
one	biri
one	bir
new	yeni
first	öncelikle
first	önce
first	ilk
first	once
page	sayfaya
page	sayfa
page	sayfada
page	sayfası
page	sayfayı
you	sen
you	seni
you	siz
they	onlar
had	vardı
article	yazı
article	madde
article	makale
who	kimler
who	who
who	kim
all	all
all	hepsini
all	tamamı
all	hepsi
all	tümü
their	onların
their	onlarin
there	orada
there	orda
made	yapılmış
made	yapıldı
people	halk
people	kişiler
people	insanlar
people	millet
may	may
may	mayis
may	mayıs
after	sonrası
after	ardından
after	sonrasında
after	sonra
other	diğer
other	diğeri
other	öteki
other	diger
two	iki
score	puan
score	skor
score	sayı
her	onun
her	onu
can	can
more	daha
more	devamı
more	more
about	hakkında
about	yaklaşık
time	zaman
time	vakit
time	süre
time	time
team	team
team	ekip
team	takım
american	amerikalı
american	amerikan
american	american
discussion	tartışma
links	bağlantılar
links	bağlar
links	bağlantıları
only	yalnızca
only	sadece
some	bazı
some	bazıları
some	bazılarını
some	kimisi
see	gör
see	görün
see	görmek
united	birleşik
united	birlik
united	united
united	birleşmiş
years	yıllarca
years	yıllardır
years	yıllar
years	yılların
years	seneler
into	içine
school	okula
school	okulumuz
school	okulu
school	okul
school	school
world	world
world	dünya
world	dunya
university	üniversite
university	university
university	üniversitesi
during	esnasında
during	sırasında
out	dışarı
state	state
state	eyalet
state	devlet
states	devletler
states	eyaletler
national	millî
national	national
national	milli
national	ulusal
wikipedia	wikipedia
wikipedia	vikipedi
year	yıl
year	yılı
year	sene
most	çoğu
most	çogu
city	sehir
city	city
city	şehir
used	kullanılan
used	kullanılmış
used	kullanıldı
used	kullanılır
then	öyleyse
then	ozaman
then	sonra
county	şehristanı
county	ilçe
county	county
external	harici
where	nereye
where	nerde
where	nere
where	nerede
will	will
what	ne
delete	silme
delete	silin
delete	sil
any	herhangi
these	bunlar
these	bunları
these	şunlar
january	ocak
march	mart
march	marş
march	yürüyüş
august	ağustos
august	august
july	temmuz
being	olmak
film	filim
film	film
him	onu
many	birçok
south	güney
south	güneye
september	eylül
like	like
like	beğen
like	gibi
between	arasında
between	arasına
between	arası
between	arasındaki
october	ekim
three	üç
three	three
june	june
june	haziran
use	kullanın
use	kullanımı
use	kullanım
use	kullanmak
use	kullan
war	savaş
war	war
war	savas
under	altında
under	altinda
under	altına
them	onlar
them	onları
april	nişan
april	nisan
born	doğan
born	doğuştan
born	doğdu
born	doğmuş
born	doğdum
december	aralık
link	bağ
link	link
link	bağlantı
later	sonradan
later	sonra
part	kısım
part	parçası
part	bölüm
part	part
part	kısmen
november	kasım
players	oyuncular
list	liste
list	listesi
list	listeyi
please	lütfen
following	takip
february	şubat
known	bilinir
known	bilinen
second	ikinci
second	ikincisi
name	adınız
name	isim
name	ad
name	adın
name	adı
group	gurup
group	grup
group	grubu
history	tarihi
history	geçmiş
history	tarih
series	serisi
series	dizi
series	seri
just	sadece
just	just
north	kuzey
north	kuzeyde
north	north
north	kuzeye
work	çalış
work	çalışma
work	iş
work	çalışmak
before	önceki
before	önceden
before	önce
before	öncesi
before	öncesinde
season	sezonu
season	mevsim
season	sezon
both	ikisi
both	darısı
both	ikiside
high	high
high	yükseklerde
high	çak
high	yükseğe
high	yüksek
through	aracılığıyla
through	yoluyla
through	geçerek
district	ilçesi
district	bölge
district	semt
district	bahşı
district	ilçe
now	şimdi
now	simdi
comments	yorumları
comments	yorumlar
comments	yorum
because	cünkü
because	çünkü
football	football
football	futbol
music	music
music	müzik
diff	diff
century	yüzyıl
century	asır
league	league
league	birlik
league	lig
league	ligi
edits	düzenlemeler
edits	düzenlemeleri
debate	münazara
debate	tartışma
debate	müzakere
title	başlık
title	unvan
title	başlığı
title	ünvan
articles	makaleler
articles	yazılar
articles	makale
john	john
john	yahya
same	aynısından
same	aynen
same	ayni
same	aynı
same	aynısı
including	dahil
english	ingiliz
english	türkçe
english	turkish
english	ingilizce
album	albüm
number	rakam
number	numara
number	numarası
number	sayı
against	karsi
against	aleyhinde
against	karşı
family	ailesi
family	family
family	aile
user	kullanıcı
based	temelli
based	tabanlı
area	bölge
area	alanı
area	alan
york	york
life	life
life	hayat
life	yaşam
life	ömür
british	britanya
british	ingiliz
british	ingilizler
international	international
international	yurtdışı
international	uluslararası
game	oyun
game	maç
above	yukarıdaki
above	yukarıda
above	üzeri
above	üstünde
above	üstü
above	yukarda
club	klüp
club	club
club	kulüp
club	kulübü
your	sizin
your	senin
early	erken
early	erkenden
best	best
west	west
west	batıya
west	batı
west	batıda
house	house
house	ev
company	şirket
company	firma
company	bölük
general	genel
general	general
left	soldaki
left	soldan
left	sol
left	sola
very	cok
very	çok
here	burada
here	burda
don	don
living	yaşamak
living	yaşayan
living	yaşıyorum
day	gündüz
day	gun
day	gün
several	birkaç
several	birkaçı
place	yer
party	parti
party	party
college	üniversite
college	kolej
college	college
result	sonuç
keep	devam
appropriate	uygun
four	four
four	dört
even	bile
even	hatta
class	sınıf
class	ders
class	klas
government	devlet
government	hükümet
how	nasil
how	nası
how	nasıl
called	aradı
each	herbiri
found	bulunmuş
found	bulundu
found	buldum
center	merkezi
center	merkez
center	center
center	orta
per	per
style	tarz
style	stil
style	tarzı
style	biçim
com	com
long	uzun
long	long
country	ülke
country	vatan
back	geri
back	arka
way	şekilde
way	yol
www	www
modify	modifiye
modify	düzenle
modify	değiştir
end	bitir
end	son
end	sonu
end	bitiş
make	yap
public	kamu
public	halk
played	oynadı
won	kazanılan
won	kazandı
won	won
released	serbest
added	eklenen
added	eklendi
added	eklenmiş
added	ekledi
support	destekle
support	desteği
support	destek
games	oyun
games	maçlar
games	oyunlar
games	oyunları
those	bunlar
those	şunlar
films	filmleri
films	filmler
films	film
church	church
church	kiliseye
church	kilise
east	doğuya
east	doğu
east	doğuda
line	çizgi
line	hattı
line	satır
line	line
line	hat
major	major
major	binbaşı
members	üye
members	üyeler
members	üyeleri
good	güzel
good	iyi
much	çok
image	görsel
image	resim
image	görüntü
image	imaj
show	şov
show	gösteri
show	göster
show	gösterin
show	show
still	hala
still	hâlâ
still	halen
think	düşün
think	düşünün
below	aşağıda
below	aşağı
below	aşağıya
below	aşağıdan
town	town
town	kasaba
town	şehir
last	sonuncusu
last	last
last	sonuncu
last	son
system	sistem
system	sistemi
right	doğru
right	sağa
right	sağ
right	dogru
song	song
song	sarki
song	şarkı
non	olmayan
section	bölüm
section	kısım
section	bölümü
single	tekli
single	single
single	tek
single	bekar
included	dâhil
included	dahil
align	hizaya
home	yuva
home	ev
home	evde
home	eve
home	evim
women	kadınları
women	kadın
women	kadinlar
women	kadınlar
television	tv
television	televizyon
seed	tohum
member	üye
goals	gol
goals	hedefler
goals	amaçlar
goals	hedefleri
sources	kaynakları
sources	kaynaklar
book	kitap
station	karakol
station	station
station	istasyonu
station	istasyon
order	düzen
order	emir
order	sipariş
old	eski
old	yaşlı
old	old
old	ihtiyar
information	bilgi
information	bilgilendirme
information	bilgiler
set	set
set	seti
own	kendi
text	yazı
text	mesaj
text	metin
band	band
band	grup
band	bando
band	bant
point	puan
point	point
point	nokta
local	yerli
local	lokal
local	yöresel
local	yerel
around	çevresinde
around	çevrede
around	etrafta
around	etrafında
river	nehri
river	river
river	nehir
river	irmak
top	üst
top	üstü
top	top
top	üstte
main	main
main	ana
language	dil
language	dile
language	dili
language	lisan
french	fransızlar
french	fransız
french	fransızca
https	https
named	adında
off	izin
off	kapalı
off	off
note	not
note	nota
career	kariyeri
career	kariyer
original	orijinal
original	özgün
original	orjinal
original	aslı
age	age
age	yaş
age	yaşı
service	servis
service	servisi
service	hizmet
established	kurulmuştur
established	kurulmuş
established	kuruldu
established	yerleşik
established	kurulan
located	bulunan
said	dedi
website	site
population	nüfusu
population	nüfus
air	hava
air	air
german	alman
german	almanca
law	yasa
law	law
law	hukuk
law	kanun
military	askeriye
military	ordu
military	asker
military	askerlik
military	askeri
great	harika
within	içinde
clubs	kulüpler
clubs	kulüpleri
published	yayınlanan
published	yayınlanmış
published	yayınlandı
published	yayımlandı
president	başkan
president	cumhurbaşkanı
president	baskan
park	park
official	resmî
official	official
official	resmi
case	case
case	vaka
case	dava
london	londra
london	london
times	kez
times	times
times	zamanlar
although	gerçi
small	ufak
small	küçük
small	kucuk
third	üçüncüsü
third	üçüncü
different	farklı
different	farkli
different	değişik
due	vadesi
due	nedeniyle
get	al
get	alın
village	köyü
village	köy
closed	kapalı
closed	kapatılmış
closed	kapatıldı
closed	kapali
closed	kapandı
art	sanat
art	art
player	oyuncu
final	final
community	topluluk
community	toplum
community	ümmet
community	cemaat
again	yine
again	gene
again	yeniden
again	tekrar
army	ordu
award	ödül
award	ödülü
without	olmadan
without	onsuz
death	olum
death	ölüm
death	death
built	inşa
men	erkekler
men	men
men	erkek
men	adamlar
large	geniş
large	büyük
site	site
site	sitede
using	kullanıyor
using	kullanımı
using	kullanmak
using	kullanma
using	kullanarak
deletion	silme
white	white
white	beyaz
five	five
five	beş
central	merkezi
central	merkez
road	karayolu
road	yol
children	çocuk
children	çocuklar
free	bedava
free	özgür
free	free
free	ücretsiz
free	serbest
took	aldı
england	ingiltere
include	dahil
association	dernek
association	derneği
down	down
down	aşağıya
down	aşağı
given	verildi
given	verilmiş
given	verilen
source	kaynağı
source	kaynak
california	kaliforniya
california	california
man	insan
man	man
man	erkek
man	adam
man	adamım
version	sürüm
version	versiyon
version	sürümü
written	yazılmış
written	yazıldı
written	yazan
written	yazılı
written	yazılan
created	yaratılmış
created	oluşturuldu
created	yaratıldı
created	yarattı
created	oluşturulan
media	medya
media	basın
media	basında
media	ortam
black	black
black	siyah
black	kara
though	gerçi
php	php
report	şikayet
report	rapor
building	inşaat
building	bina
building	inşa
take	al
take	alın
division	bölüm
division	division
division	bölünme
comment	yorumda
comment	yorumu
comment	yorum
comment	yoruma
king	kral
king	king
edit	edit
edit	düzenle
edit	düzenleyin
edit	düzenleme
stadium	stadyumu
stadium	stadyum
died	öldü
died	öldüm
ship	gemi
research	araştırma
research	araştırmalar
record	plak
record	rekor
record	kayıt
archive	arşivi
archive	arşiv
places	mekanlar
places	yerleri
places	yerler
cup	kupa
cup	kupası
cup	cup
cup	fincan
cup	bardak
records	rekorlar
records	kayıtları
records	kayıtlar
records	records
often	sıklıkla
often	sıkça
few	birkaç
received	alındı
received	alınan
received	aldı
side	taraf
side	yan
side	side
side	yana
power	power
power	güç
education	eğitim
know	bil
