oli	бе
eesti	естонски
eesti	естония
eesti	eesti
mis	какво
mis	което
mis	която
kui	когато
kui	кога
või	маслото
või	масло
aasta	година
aasta	годината
see	това
see	че
oma	ома
oma	собствен
oma	собствена
oma	собствено
oma	собствени
tema	неговият
tema	неговата
tema	му
tema	неговия
tema	нея
selle	това
sai	сай
kuid	но
kes	кой
tartu	тарту
seda	това
seda	че
aga	но
pärast	след
kuni	докато
kus	къде
välja	вън
välja	навън
usa	сащ
usa	usa
tallinna	талин
olid	бяха
üle	над
nende	тяхното
nende	тяхната
nende	техните
nende	техният
saksa	германец
saksa	германски
saksa	немски
saksa	немска
saksa	германска
siis	тогава
mida	какво
inglise	английски
inglise	bulgarian
inglise	англичани
vaata	видя
vaata	вижте
vaata	виж
vaata	гледай
vaata	гледайте
vaata	виж
üks	една
üks	един
üks	едно
vene	руснак
vene	руски
vene	руснаци
vene	руска
vene	руско
jpg	jpg
von	фон
järgi	следвайте
nad	те
vastu	срещу
vastu	против
vald	енория
vald	париш
vald	периш
vald	община
alates	от
koos	със
koos	заедно
aastad	години
aastad	годините
sündinud	родени
sündinud	роден
sündinud	родена
august	август
august	аугуст
tallinn	талин
euroopa	европа
euroopa	европейско
euroopa	европейски
euroopa	европеец
euroopa	европейска
ameerika	американска
ameerika	американско
ameerika	американски
ameerika	американец
ameerika	америка
asub	разположена
asub	разположен
asub	разположени
asub	разположено
ole	оле
venemaa	русия
esimene	първи
esimene	първо
nagu	като
nagu	like
kaks	двама
kaks	две
rootsi	шведска
rootsi	шведски
rootsi	швеция
saab	сааб
saab	могат
saab	can
umbes	относно
liidu	профсъюз
liidu	съюз
liidu	съюза
liidu	юниън
küla	село
vahel	понякога
vahel	между
samuti	също
linn	град
linn	градът
linn	градче
linn	град
linn	градът
linn	сити
linn	city
need	тези
need	тези
linna	град
linna	градът
linna	градче
linna	град
linna	градът
linna	сити
linna	city
soome	финландия
soome	финландски
maakond	окръг
maakond	графство
all	долу
all	отдолу
all	под
väga	много
juba	вече
nsv	съветска
nsv	съветски
nsv	ssr
neid	тези
neid	ги
neid	тях
kõik	всичко
kõik	всички
kõik	всичко
kõik	всички
kõik	всеки
nime	името
nime	наименование
nime	име
poliitik	политици
poliitik	политик
ainult	само
ainult	единствено
sest	защото
pilt	снимка
pilt	картинка
pilt	имидж
pilt	картинка
pilt	образ
pilt	изображение
pilt	screenshot
nõukogude	съветска
nõukogude	съветски
kuna	защото
põhja	северно
põhja	север
põhja	северна
põhja	северни
põhja	северен
põhja	северна
kell	часовник
läbi	чрез
läbi	през
mitte	не
tänav	улица
tänav	стрийт
tänav	street
tänav	улицата
jaanuar	януари
sajandi	век
sajandi	вековен
sajandi	века
kokku	общо
kokku	общ
kokku	обща
alla	долу
alla	надолу
alla	алла
seal	там
kogu	събиране
kogu	колекция
prantsuse	френско
prantsuse	французи
prantsuse	френска
prantsuse	френски
prantsuse	французин
tagasi	назад
tagasi	обратно
tagasi	гръб
veebruar	февруари
enne	знамение
enne	поличба
enne	преди
lääne	запад
lääne	западно
lääne	западна
lääne	западен
lääne	уест
lääne	западна
lääne	западни
lääne	западен
lääne	западните
lääne	уестърн
lääne	western
lõpetas	завърши
lõpetas	завършила
lõpetas	завършил
juuli	юли
mai	май
mai	mai
mai	маи
itaalia	италия
itaalia	италианска
itaalia	италианец
itaalia	италиански
itaalia	италианско
näitleja	актриса
näitleja	актриси
näitleja	актрисата
näitleja	актьор
liige	член
suur	голямо
suur	големи
suur	голям
suur	голяма
suur	биг
suur	голямо
suur	големи
suur	голям
suur	голяма
juuni	джун
juuni	юни
palju	mnogo
palju	много
palju	лот
märts	март
september	септември
korda	повторение
kirjanik	писателка
kirjanik	сценарист
kirjanik	писател
teda	него
teda	нея
lõuna	обядът
lõuna	обяд
lõuna	обед
lõuna	южен
lõuna	южни
lõuna	южна
lõuna	южно
lõuna	южен
lõuna	юг
lõuna	южна
valla	необвързан
valla	единична
valla	сингъл
valla	необвързана
valla	единичен
ühe	една
ühe	един
ühe	едно
oktoober	октомври
iii	ііі
iii	iii
töötas	работил
aprill	ейприл
aprill	април
karl	карл
uus	ню
uus	ново
uus	нов
uus	нови
uus	нова
poola	поляк
poola	полски
poola	полска
poola	полша
saksamaa	германия
detsember	декември
november	ноември
rooma	рим
teine	второ
teine	втора
teine	втори
teine	друг
president	президентът
president	президент
president	председател
kuningas	крал
kuningas	кинг
kuningas	кралят
kuningas	цар
kuningas	краля
iga	всяка
iga	всеки
iga	всяко
iga	ига
iga	всяка
iga	всеки
kirik	църква
kirik	чърч
kirik	църквата
maa	маа
maa	земно
maa	земята
maa	земен
maa	земя
maa	земи
maa	земя
tee	чай
tee	пътят
tee	път
tee	road
tee	пътя
võimalik	възможно
võimalik	възможен
võimalik	възможна
võimalik	възможни
klubi	club
klubi	клуб
klubi	клубът
kuigi	макар
kuigi	макар
maailma	свят
maailma	света
mõis	имение
mõis	имението
mõis	имение
mõis	имението
koduleht	уебсайт
koduleht	сайт
võitis	уон
võitis	спечели
rohkem	повече
rohkem	още
tavaliselt	обикновенно
tavaliselt	обикновено
tavaliselt	нормално
tavaliselt	обикновено
kolm	три
kolm	трима
seotud	асоциирани
seotud	свързани
seotud	свързан
seotud	завързана
seotud	обвързана
seotud	свързани
seotud	свързан
seotud	свързана
seotud	свързано
seotud	свързани
tuleb	идва
tuleb	очаквайте
tuleb	идва
tuleb	идвам
tuntud	позната
tuntud	известни
tuntud	познат
tuntud	известна
tuntud	известен
tuli	огън
tuli	пожар
tuli	дойде
vana	старо
vana	стари
vana	стар
vana	стара
seejärel	тогава
seejärel	впоследствие
isa	татко
isa	баща
isa	татко
ida	източна
ida	източно
ida	източни
ida	изток
ida	източен
ida	източно
ida	изток
ida	айда
ida	ида
nimi	името
nimi	наименование
nimi	име
peamiselt	основно
peamiselt	предимно
peamiselt	главно
peamiselt	предимно
peamiselt	главно
õppis	научил
suri	умрял
suri	умряла
oleks	би
keel	езикът
keel	езика
keel	език
suure	голямо
suure	големи
suure	голям
suure	голяма
suure	биг
suure	голямо
suure	големи
suure	голям
suure	голяма
suure	страхотно
sama	същият
sama	същата
sama	същото
järv	езерото
järv	лейк
järv	езеро
andis	даде
andis	дала
prantsusmaa	франция
jalgpallur	футболист
eriti	особено
eriti	особено
elu	живот
