apostel	apostelen
arusaadav	forsto
arusaadav	forstått
arusaadav	forstod
arusaadav	forstatt
arusaadav	forståelig
lõpmatu	uendelig
lõpmatu	uendelige
struve	struve
osatähtsus	intensiteten
osatähtsus	intensitet
dean	dekanus
dean	dean
seisukohad	visninger
britid	briter
britid	briter
sakslane	tysk
sergio	sergio
liikuva	mobile
liikuva	mobilt
liikuva	mobil
põõsas	busk
põõsas	bush
põõsas	busken
põõsas	busk
mozart	mozart
puudel	puddel
presley	presley
mehitatud	bemannet
raad	raad
vaidlused	tvister
vaidlused	stridigheter
vaidlused	konflikter
lugemine	lest
lugemine	lese
lugemine	les
lugemine	read
lugemine	leser
lugemine	reading
lugemine	lesning
lugemine	lesing
vertikaalselt	vertikalt
henning	henning
parimat	best
parimat	beste
marin	marin
alonso	alonso
peidetud	skjulte
peidetud	gjemt
peidetud	skjult
dünaamika	dynamikk
dünaamika	dynamisk
dünaamika	dynamiske
domeeni	domene
domeeni	domenet
muhammad	muhammad
muhammad	muhammed
edukad	vellykket
edukad	vellykkede
tutvustab	introduserer
kinnine	lukka
kinnine	lukket
kinnine	stengt
federico	federico
lászló	lászló
kirjuta	skrive
kirjuta	skriv
kirjuta	skriving
tüüringi	thüringen
täpsus	punktlighet
täpsus	presisjon
täpsus	presisjon
täpsus	nøyaktighet
kombinatsioon	kombinasjon
christie	christie
üliõpilane	elev
üliõpilane	student
hapnikku	oksygen
vöö	belte
maalitud	malt
maalitud	malte
arizona	arizona
komi	komi
segatud	blanda
segatud	blandet
valley	dal
valley	valley
juhani	juhani
armin	armin
mars	mars
vennaskonna	brorskap
vennaskonna	studentforening
väljuvad	utadvendt
väljuvad	utgående
kõrgused	høyder
kõrgused	heights
lõigatud	kutt
lõigatud	cut
lõigatud	skjær
lõigatud	klipt
põhjendatud	berettiget
samoa	samoansk
samoa	samoa
seksuaalne	seksuelt
seksuaalne	seksuell
juurdepääs	adgang
juurdepääs	tilgang
juurdepääs	tilgjengelighet
igavene	evige
igavene	evig
ootamatu	uventede
ootamatu	uventet
bayern	bayern
rääkides	snakker
madu	slange
madu	snake
tükk	bit
tükk	stykke
tasakaal	saldo
tasakaal	balanse
tasakaal	likevekt
mateeria	materie
ühised	common
ühised	felles
ühised	vanlig
olend	vesen
olend	skapning
neutraalne	nøytralt
neutraalne	nøytrale
neutraalne	nøytral
inspiratsiooni	inspirasjon
discovery	oppdagelse
discovery	discovery
petri	petri
sööt	feed
sööt	mate
sööt	agn
sööt	åte
piero	piero
tüür	ror
liitrit	liter
liitrit	liters
mootorid	motors
mootorid	motorer
mootorid	motorene
läbipaistev	gjennomskinnelig
läbipaistev	gjennomsiktig
potentsiaali	potensial
potentsiaali	potensielt
potentsiaali	potensielle
potentsiaali	potensiale
leslie	leslie
keiserlik	keiserlige
keiserlik	imperial
lineaarne	lineær
illustratsioonid	illustrasjoner
traadita	trådløst
traadita	trådløs
muda	mud
muda	sølen
muda	søle
muda	gjørme
mõõtmine	måler
mõõtmine	målinger
mõõtmine	måling
krull	krull
lõhna	lukt
lõhna	lukte
lõhna	lukter
lõhna	duft
õnnetus	ulykke
õnnetus	uhell
suurused	størrelser
kommunismi	kommunisme
kommunismi	kommunismen
babüloonia	babylonsk
semper	semper
tragöödia	tragedie
meeli	sansene
meeli	sanser
eeldused	forutsetninger
eeldused	antagelser
eeldused	antakelser
václav	václav
valdkond	domene
valdkond	domenet
valdkond	areal
valdkond	område
valdkond	området
valdkond	area
konkurentsi	konkurranse
vicente	vicente
liu	liu
johansson	johansson
jälgib	monitorene
jälgib	skjermene
jälgib	skjermer
marge	marge
stein	stein
pen	penn
ungarlased	ungarere
germain	germain
kommentaar	kommentar
sean	sean
shanghai	shanghai
armastaja	elskeren
orange	orange
orange	appelsin
orange	oransje
sõnaraamat	ordbok
tuld	brann
tuld	fyre
tuld	ild
viimasena	siste
viimasena	sist
ilmaliku	sekulær
odavam	billigst
odavam	rimeligste
odavam	billigere
edge	kant
edge	edge
edge	kanten
kiili	dragonfly
kiili	øyenstikker
individuaalne	individuelle
individuaalne	individuell
individuaalne	individ
individuaalne	individet
myspace	myspace
robot	robot
pilv	skyen
pilv	sky
pilv	cloud
autosid	cars
autosid	biler
kristlus	kristendommen
kristlus	kristendom
java	java
opel	opel
nero	nero
pakkumise	ømt
pakkumise	ømme
pakkumise	øm
säilitab	bevarer
säilitab	fastholder
säilitab	opprettholder
thorpe	thorpe
mir	mir
konsul	konsul
allavoolu	nedstrøms
rõõm	fornøyelse
rõõm	glede
rõõm	nytelse
rõõm	joy
rõõm	glede
olümpia	olympiske
olümpia	olympic
dünaamiline	dynamisk
dünaamiline	dynamiske
owen	owen
järg	oppfølger
seen	sopp
thor	tor
thor	thor
agentuuri	agency
agentuuri	byrå
agentuuri	byrået
sang	sang
terav	skarpt
terav	skarp
terav	sharp
terav	skarpe
foorum	forum
foorum	forumet
luuletus	dikt
luuletus	diktet
õpetab	underviser
väidetud	hevdet
väidetud	krevd
väidetud	påsto
väidetud	benyttet
traditsioonilised	tradisjonelt
traditsioonilised	tradisjonelle
traditsioonilised	tradisjonell
sõnumid	beskjeder
sõnumid	meldinger
timothy	timothy
cat	tamkatt
cat	katt
cat	cat
kajastab	gjenspeiler
gnu	gnu
faktid	fakta
faktid	faktaene
täpsed	presis
täpsed	nøyaktig
täpsed	saklig
täpsed	korrekt
täpsed	nøyaktige
pete	pete
diameeter	diameter
gloria	gloria
kursused	retter
kursused	løyper
kursused	kurs
constantin	constantin
horisontaalselt	vannrett
horisontaalselt	horisontalt
suurenemine	øk
suurenemine	øke
suurenemine	økning
triinu	ella
triinu	elleville
léon	léon
strauss	strauss
institutsioonid	institusjoner
romantiline	romantiker
romantiline	romantiske
romantiline	romantisk
uhke	proud
uhke	stolt
uhke	stolte
uhke	fancy
kirjutades	skriver
haruldased	skjelden
haruldased	sjelden
haruldased	sjeldent
haruldased	sjeldne
vista	vista
kohvi	kaffe
marianne	marianne
tegija	skaper
tegija	maker
jeemeni	jemen
jeemeni	jemenittiske
jeemeni	jemenittiske
omar	omar
pinnas	jord
kodakondsus	nasjonalitet
kodakondsus	borgerskap
kodakondsus	statsborgerskap
ajavahemik	punktum
ajavahemik	perioden
ajavahemik	periode
giulio	giulio
standardid	standarder
standardid	standarden
allveelaev	ubåt
albumid	album
albumid	albumene
pühendunud	viet
pühendunud	hengiven
pühendunud	dedikert
pühendunud	engasjert
pühendunud	begått
pühendunud	forpliktet
tselluloosi	cellulose
liigitada	klassifisere
tasapisi	langsomt
tasapisi	sakte
romano	romano
resolutsioon	oppløsning
resolutsioon	resolusjon
andrzej	andrzej
philadelphia	philadelphia
oulu	uleåborg
mürgine	giftig
mürgine	giftige
mürgine	giftig
väärt	verdt
väärt	worth
väärt	verd
tapmine	slakting
tapmine	slakt
tapmine	slakter
tapmine	slakte
tapmine	dreper
tapmine	killing
esa	esa
read	rader
read	lines
read	replikker
read	linjer
michele	michele
korsika	korsikansk
korsika	korsika
kaksteist	twelve
kaksteist	tolv
ekspert	ekspert
ökoloogiline	økologisk
sool	salt
jung	jung
müük	salget
müük	salg
müük	salgs
müük	salg
vähendamine	reduksjon
vähendamine	reduserer
smithi	smith
smart	smart
viljakas	fruktbar
viljakas	fruktbar
hell	varsom
hell	milde
hell	mild
kokkupõrge	sammenstøt
kokkupõrge	innvirkning
kokkupõrge	nedslag
kokkupõrge	kollisjon
paber	paper
paber	papir
alasti	nakne
alasti	naken
alasti	nude
sammas	kolonnen
sammas	kolonne
sammas	søyle
sammas	pillar
maatriks	matrise
maatriks	matrix
neljandaks	fjerde
parameeter	parameteren
parameeter	parameter
žanr	sjanger
stella	stella
oskuste	ferdighet
otsustanud	besluttet
sinised	blå
sinised	blue
sinised	blått
schultz	schultz
lapselaps	barnebarn
lapselaps	barnebarn
lapselaps	sønnesønn
lapselaps	barnebarn
lapselaps	barnebarnet
wales	wales
elbe	elben
kogemata	tilfeldigvis
uuem	nyere
hani	goose
hani	gås
hani	gåsa
hani	hani
hani	han
rex	rex
jeffersoni	jefferson
bengali	bengal
harrison	harrison
maia	maia
chicagos	chicago
hävitatud	ødelagt
hävitatud	ødelegges
hävitatud	tilintetgjort
hävitatud	utryddet
karistuse	straff
hävitamine	ødelegge
hävitamine	ødeleggelse
hävitamine	tilintetgjørelse
korrus	etasje
korrus	etg
korrus	gulv
beach	beach
beach	stranda
beach	strand
õiglane	rettskafne
õiglane	rettferdige
õiglane	rettskaffen
õiglane	rettferdig
õiglane	fair
pööre	twist
pööre	vending
pööre	snu
pööre	skru
sõitja	passasjer
astrofüüsik	astrofysiker
kuru	bestå
kuru	pasning
kliendi	kunde
kliendi	klient
kliendi	kunde
katoliiklased	katolikker
pidulik	festlig
pidulik	festlige
pidulik	høytidsdag
phillips	phillips
kaas	lid
kaas	lokk
kaas	lokket
nurgakivi	grunnstein
lennata	fly
lennata	flue
lennata	flyr
lõpetatud	komplett
lõpetatud	fullføre
lõpetatud	fullført
lõpetatud	fullført
lõpetatud	gjennomført
lõpetatud	fullførte
lõpetatud	ferdige
lõpetatud	fullførte
lõpetatud	avsluttet
lõpetatud	ferdig
alumiiniumi	aluminium
yves	yves
ted	ted
kümmekond	dusin
abt	abbed
tõlked	oversettelser
camille	camille
claus	claus
meeldis	elska
meeldis	elsket
meeldis	likte
meeldis	likt
liides	grensesnitt
toll	tomme
toll	tommer
toll	skikker
toll	tollen
toll	toll
tammeka	eik
tammeka	oak
tammeka	eika
kaaslased	følgesvenner
cook	kokk
cook	kokke
cook	steker
cook	cook
cook	kokka
stressi	stress
varad	eiendeler
varad	ressurser
varad	aktiva
amy	amy
kive	stones
kive	steiner
kive	steiner
kive	bergart
kive	rocks
zürichi	zürich
brüssel	brussel
kaltsiumi	kalsium
gonzález	gonzález
sigmund	sigmund
ahven	abbor
suurendatud	økt
laienenud	forstørret
töölised	arbeidere
flash	flash
flash	blits
göteborgi	gøteborg
göteborgi	göteborg
projektid	prosjekter
projektid	prosjektene
june	juni
june	june
allāh	allāh
parasvöötme	temperert
gérard	gérard
konsooli	konsoll
siena	siena
verner	verner
verona	verona
singapuri	singapores
singapuri	singapore
kalm	kalm
rühmitus	gruppering
käsitöö	kunsthåndverk
käsitöö	håndverk
käsitöö	fartøy
käsitöö	craft
käsitöö	håndlagde
käsitöö	håndlaget
käsitöö	håndverk
käsitöö	håndarbeid
religioosne	religiøst
religioosne	religiøse
religioosne	religiøs
muljet	imponere
vincenzo	vincenzo
ülekanne	overføring
ülekanne	sending
ülekanne	overføring
ülekanne	transfer
ülekanne	forflytning
ülekanne	overføre
ülekanne	sending
ülekanne	sendingen
ülekanne	kringkasting
ülekanne	kringkaste
mõjud	effekter
arvud	figurer
määr	vurder
määr	rate
opositsioon	opposisjon
irene	irene
leidmine	finner
leidmine	finne
üheksas	niende
üheksas	ninth
fourier	fourier
mošee	moské
mošee	moskeen
benito	benito
valentina	valentina
mõistab	forstår
revolutsiooniline	revolusjonære
revolutsiooniline	revolusjonerende
revolutsiooniline	revolusjonær
astuuria	asturias
mitmekesine	mangfoldig
joonia	jonisk
tervishoid	helsa
tervishoid	helse
käimine	datering
käimine	dating
bauer	bauer
pidulikult	høytidelig
näita	vis
näita	vise
näita	show
budism	buddhisme
koguma	samler
koguma	samle
koguma	sanke
laenatud	lånte
laenatud	lånt
tunnistama	erkjenne
tunnistama	anerkjenne
magma	magma
sektor	sektor
enterprise	enterprise
keskmised	medium
keskmised	middels
joone	strek
joone	linje
joone	line
sõnum	melding
sõnum	budskap
sõnum	beskjed
tiigid	dammer
beethoven	beethoven
arenema	utvikle
teadis	visste
teadis	kjente
cura	cura
città	città
augusta	augusta
bio	biografi
bio	bio
biokeemia	biokjemi
nielsen	nielsen
jános	jános
hobused	hester
rongi	trene
rongi	tog
rongi	tren
rikkus	rikdommer
rikkus	formuer
rikkus	rikdom
rikkus	velstand
rikkus	ødelagt
rikkus	ruinert
etendus	vis
etendus	vise
etendus	show
marshalli	marshall
kvalifikatsioon	kvalifikasjoner
kvalifikatsioon	kvalifisering
