جودو	джудо
پژو	пежо
مسائلی	проблеми
مسائلی	проблемите
تامیل	тамил
نوسنگی	неолитна
کورت	кърт
کورت	кърт
کورت	курт
خطبه	проповед
نزاع	спор
نزاع	спорът
نزاع	конфликт
نزاع	конфликти
نزاع	свада
نزاع	караница
نزاع	кавга
داروین	дарвин
غواصی	гмуркане
غواصی	потапяне
غواصی	гмуркане
بلوط	жълъди
بلوط	кестени
بلوط	дъб
بلوط	оук
دستورات	нареждания
دستورات	заповеди
دستورات	поръчки
تقارن	симетрия
اسراییل	израел
اسراییل	израелски
اشباع	насищане
اشباع	наситени
اشباع	наситен
کوئین	куин
پلاتین	платина
پشتیبان	подпомагане
پشتیبان	подкрепа
پشتیبان	поддръжка
پشتیبان	подкрепление
اسکندریه	александрия
مرکوری	живак
مرکوری	меркурий
پخت	готвенето
پخت	готвене
پخت	пека
پخت	печене
موری	мори
موری	мъри
تضعیف	подкопава
تضعیف	затихването
تضعیف	отслабване
خزانه	финансите
خزانه	хазната
خزانه	хазна
شهروندی	гражданство
شهروندی	гражданин
فین	фин
زانو	коляно
زانو	коляното
زانو	колене
زانو	колената
زانو	колена
زانو	коленете
آرنا	арена
فلش	светкавица
فلش	проблясък
فلش	флаш
ناتمام	недовършена
ناتمام	недовършени
ناتمام	непълна
ناتمام	непълни
ناتمام	непълен
ناتمام	непълно
ورنر	вернер
تنبیه	наказан
تنبیه	наказана
تنبیه	наказани
تنبیه	наказание
تنبیه	наказания
تنبیه	наказанието
اشتباهات	грешки
ویدئوی	запис
ویدئوی	видеоклип
ویدئوی	видео
مناره	минаре
تقلب	измамник
تقلب	мами
تقلب	изневяра
تقلب	измама
تقلب	измами
نشینی	отстъпление
موزامبیک	мозамбик
ایرویز	airways
مغان	magi
حقایق	фактите
حقایق	факти
رواندا	руанда
تامسون	томсън
تامسون	томпсън
تامسون	томсън
انتقادات	критики
مانکن	супермодел
مانکن	манекен
پاور	мощност
پاور	сила
پاور	власт
پاور	мощ
جنجال	спорове
جنجال	спор
جنجال	противоречия
تبت	тибетски
تبت	тибет
پوش	калъф
پوش	обвивка
میتسوبیشی	мицубиши
نورد	файтон
نورد	превоз
نورد	карета
نورد	nord
اهلی	опитомени
اهلی	домашен
اهلی	домашна
اهلی	домашни
تیرداد	тиридат
خاکستر	аш
خاکستر	пепел
اساطیری	аватари
میانجی	посредник
میانجی	посредничеството
میانجی	посредничество
میانجی	междинна
میانجی	междинно
میانجی	междинен
میانجی	посредници
استریت	улица
استریت	стрийт
استریت	street
استریت	улицата
تکاملی	еволюционна
گوجه	домат
گوجه	домати
زرهی	бронирани
زرهی	брониран
زرهی	бронирана
قندهار	кандахар
خروس	чеп
خروس	кур
خروس	хуй
خروس	петел
خروس	петел
کاریکاتور	карикатура
توت	тут
نمادین	символична
نمادین	символично
نمادین	символичен
آگهی	обява
آگهی	реклама
آگهی	рекламен
آگهی	реклами
آگهی	реклама
واکسن	ваксини
واکسن	ваксините
واکسن	ваксина
منفرد	манфред
نیجر	нигер
تامی	томи
