در	врата
رده	клас
رده	класа
از	oд
از	од
که	кои
که	кој
که	тоа
که	дека
این	ова
این	оваа
این	овој
را	на
را	make
را	направи
با	со
میلادی	деценијата
میلادی	деценија
میلادی	декада
یک	една
یک	едната
یک	еден
یک	едно
سال	години
سال	сал
سال	година
سال	year
آن	ен
آن	ане
ایران	иран
برای	за
شهرستان	жупанија
شهرستان	округот
شهرستان	округ
آمریکا	америка
شده	бил
شده	била
شده	беше
فهرست	каталог
فهرست	листа
فهرست	список
فهرست	каталог
بود	била
بود	беше
دارد	има
او	таа
او	она
او	негова
او	негово
او	неговите
او	неговиот
او	неговата
او	негов
او	него
او	го
او	ја
او	нејзината
او	неа
او	нејзе
تا	мајски
تا	мај
وابسته	придавка
وابسته	зависни
وابسته	зависен
وابسته	зависно
وابسته	зависна
فوتبال	фудбал
فوتبال	фудбал
ساعت	часови
ساعت	саати
ساعت	час
ساعت	часовникот
ساعت	часовник
پایه	основа
پایه	фондација
پایه	темели
پایه	темел
پایه	базата
پایه	база
پایه	темелите
پایه	темели
پایه	основи
پایه	фондации
پایه	основно
پایه	основни
پایه	башиќ
پایه	основна
پایه	основен
پایه	основните
نام	име
استان	покраина
استان	провинција
استان	покраината
استان	регион
شهر	град
شهر	градче
شهر	град
شهر	градско
شهر	градот
شهر	градски
ملی	национални
ملی	национална
ملی	национален
ملی	национално
کشور	земја
کشور	држава
کشور	кантри
تاریخ	датум
تاریخ	дата
تاریخ	историја
فیلم	филм
فیلم	филмски
فیلم	филмска
فیلم	филм
فیلم	филмови
فیلم	кино
بخش	оддел
بخش	сектор
بخش	рез
بخش	оддел
بخش	отсек
بخش	секција
بخش	реон
بخش	округ
جمعیت	толпа
جمعیت	гужви
جمعیت	толпи
جمعیت	толпата
جمعیت	толпа
جمعیت	популација
جمعیت	население
دو	два
دو	двајца
دو	две
اثر	ефект
پس	потоа
پس	тогаш
یکی	некој
یکی	некого
یکی	некому
یکی	една
یکی	едната
یکی	еден
یکی	едно
بازیکنان	играчи
آثار	артефакти
آثار	ефекти
وی	веи
وی	wii
روستاهای	села
دیگر	уште
دیگر	повеќе
دیگر	macedonian
دیگر	други
دیگر	друг
دیگر	друга
دیگر	друѓи
دیگر	други
می	мајски
می	мај
می	меј
می	меи
عنوان	насловот
پیوند	врска
پیوند	поврзани
پیوند	поврзано
پیوند	поврзан
پیوند	врска
پیوند	бонд
پیش	пред
بحث	расправаат
بحث	тврдејќи
بحث	расправаше
بحث	расправа
بحث	дискусии
بحث	дискусија
بیرون	аут
بیرون	надвор
افراد	народ
افراد	луѓе
دوره	курс
دوره	епоха
دوره	период
دوره	period
دهه	декади
دهه	децении
دهه	деценијата
دهه	деценија
دهه	декада
متر	метри
متر	метар
متر	метри
متر	мерач
متر	метар
کاربر	кориснички
کاربر	корисник
کاربر	корисникот
مناطق	окрузи
مناطق	области
مناطق	подрачја
مناطق	области
