در	deur
رده	klasse
رده	class
رده	klas
از	van
از	uit
از	vanaf
که	wie
که	who
که	dat
این	dit
این	deze
را	het
را	de
را	maken
را	maak
با	met
میلادی	decennium
یک	one
یک	één
یک	een
یک	eén
سال	jaar
سال	jaren
سال	sal
سال	jaar
آن	anne
ایران	iraanse
ایران	iran
برای	voor
اهل	ahl
شهرستان	county
شهرستان	graafschap
آمریکا	amerika
فهرست	catalogus
فهرست	lijstje
فهرست	lijst
فهرست	catalogus
فهرست	rooster
بود	was
دارد	heeft
او	ze
او	zij
او	zijn
او	hem
او	haar
تا	mogen
تا	may
تا	mei
تا	mag
تا	moge
تا	tot
تا	till
وابسته	adjectief
وابسته	afhankelijke
وابسته	afhankelijk
وابسته	geassocieerd
وابسته	geassocieerde
فوتبال	voetballen
فوتبال	voetbal
فوتبال	voetballen
فوتبال	voetbal
ساعت	openingstijden
ساعت	uren
ساعت	uur
ساعت	uurtje
ساعت	uur
ساعت	klok
پایه	grondslag
پایه	stichting
پایه	fundering
پایه	base
پایه	basis
پایه	fundamenten
پایه	stichtingen
پایه	fundering
پایه	funderingen
پایه	grondslagen
پایه	fundamentele
پایه	basic
نام	naam
استان	provincie
استان	regio
شهر	stad
شهر	stad
ملی	nationaal
ملی	nationale
کشور	land
تاریخ	datum
تاریخ	geschiedenis
فیلم	filmpje
فیلم	film
فیلم	film
فیلم	films
فیلم	bioscoop
بخش	departement
بخش	afdeling
بخش	sector
بخش	afdeling
بخش	sectie
بخش	district
جمعیت	menigte
جمعیت	menigte
جمعیت	bevolking
جمعیت	populatie
دو	twee
دو	two
اثر	effect
پس	dan
پس	daarna
یکی	iemand
یکی	one
یکی	één
یکی	een
یکی	eén
بازیکنان	spelers
آثار	kunstvoorwerpen
آثار	artefacten
آثار	uitwerkingen
آثار	effecten
آثار	gevolgen
وی	wei
وی	wii
روستاهای	dorpen
روستاهای	dorpjes
دیگر	more
دیگر	meer
دیگر	overige
دیگر	andere
دیگر	ander
دیگر	overig
دیگر	overige
دیگر	andere
دیگر	overigen
دیگر	anderen
می	mogen
می	may
می	mei
می	mag
می	moge
می	mei
عنوان	onderschrift
عنوان	titel
پیوند	link
پیوند	koppeling
پیوند	gekoppelde
پیوند	gelinkt
پیوند	verbonden
پیوند	gekoppeld
پیوند	binding
پیوند	obligatie
پیوند	bond
پیش	voordat
پیش	vóór
بحث	discussie
بحث	discussies
بیرون	eruit
بیرون	uit
بیرون	out
افراد	mensen
افراد	personen
دوره	koers
دوره	cursus
دوره	tijdperk
دوره	tijdvak
دوره	periode
دهه	decennia
دهه	decennium
متر	meters
متر	meter
متر	meter
متر	meters
متر	meter
متر	meter
کاربر	gebruiker
مناطق	districten
مناطق	wijken
مناطق	oppervlakten
مناطق	gebieden
هر	elk
هر	ieder
هر	iedere
هر	elke
هر	elke
باشگاه	club
باشگاه	sportschool
باشگاه	fenerbahçe
قنات	qanat
شهرهای	gemeenten
دانشگاه	universiteit
دانشگاه	college
دانشگاه	hogeschool
دانشگاه	universiteit
مورد	geval
مورد	case
مورد	zaak
سده	eeuw
ثبت	houtkap
ثبت	loggen
ثبت	logboek
ثبت	log
وجود	bestaan
زبان	talen
زبان	tongue
زبان	tong
زبان	taal
زبان	taalgebruik
زادگان	afstammeling
مسکونی	residentiële
شماره	nummer
شماره	aantal
شماره	getal
کار	job
کار	baan
کار	werk
کار	arbeid
کار	werken
کار	werkend
کار	werken
کار	werkende
اما	maar
بازیگران	filmen
بازیگران	acteurs
بازیگران	actoren
روی	roy
روی	zink
فرودگاه	vliegveld
فرودگاه	luchthaven
صورت	gelaat
صورت	aangezicht
صورت	gezicht
صورت	face
مرکز	centrum
مرکز	centreren
مرکز	centrum
مرکز	centreren
زمان	zaman
زمان	tijd
شرکت	corporate
شرکت	gezelschap
شرکت	bedrijf
شرکت	onderneming
شرکت	deelnemen
مقاله	essay
مقاله	opstel
مقاله	artikel
مقاله	artikelen
مقاله	artikels
تیم	tim
تیم	team
مرد	man
انگلیسی	engels
انگلیسی	engelsen
نظر	reactie
نظر	comment
نظر	opmerking
نظر	commentaar
نظر	advies
نظر	mening
جهانی	internationaal
جهانی	universal
جهانی	universeel
جهانی	universele
جهانی	global
جهانی	mondiale
جهانی	globaal
جهانی	wereldwijd
جهانی	wereld
