les	the
est	istok
une	jedan
une	jedna
catégorie	kategoriju
catégorie	kategorija
pour	za
qui	ko
qui	koji
que	toga
avec	sa
son	zvuk
son	njegovo
son	njegov
son	njegova
son	its
plus	plus
plus	više
pas	nisu
sont	su
elle	ona
elle	elle
été	ljeto
avancement	napredak
comme	kao
comme	like
mais	ali
cette	ove
pop	pop
deux	dva
ses	njegovo
ses	njegov
ses	njegova
ses	ses
ses	its
naissance	born
naissance	rođen
naissance	rođena
naissance	rođeni
naissance	rođenja
naissance	rodila
aussi	također
aussi	takođe
france	francuska
saint	sveta
saint	sveti
saint	sveto
saint	sveti
saint	saint
après	nakon
fait	made
fait	napravio
fait	napravljena
fait	napravljen
fait	napravila
fait	uradio
fait	urađen
fait	završeno
fait	urađeno
notes	note
notes	nota
entre	između
sous	pod
même	čak
même	ista
même	isti
même	isto
nom	čvor
nom	prezime
nom	ime
français	français
français	francuski
ont	imaju
paris	pariz
lui	ga
lui	njega
lieu	mjesto
lieu	lokacija
cet	ove
autres	ostala
autres	ostale
autres	drugim
autres	drugi
autres	ostali
autres	drugi
décès	smrt
décès	smrti
décès	pogibije
références	reference
liens	veza
était	bio
commune	komuna
commune	zajednički
commune	zajedničkim
commune	zajedničku
ville	grad
ville	grad
jean	jean
jean	john
leur	njihov
leur	njihovi
leur	njihovo
leur	njihova
leur	njihove
date	datum
cest	cest
peut	maj
peut	može
depuis	od
première	premijeru
première	premijerno
première	prvo
première	prvi
ans	ans
ans	godina
alors	potom
alors	onda
alors	tada
alors	zatim
externes	vanjska
externes	vanjski
site	web
site	sajtu
site	sajt
premier	premier
premier	premijer
premier	prvo
premier	prvi
ces	ove
fut	bio
http	http
film	film
film	film
voir	vidi
voir	jie
voir	vide
voir	vidjeti
voir	see
voir	vidimo
voir	pogled
pays	zemlja
pays	zemljama
pays	zemlje
source	izvor
ils	oni
grand	velika
grand	velikih
grand	veliki
grand	velikih
grand	veliki
grand	velikih
grand	velika
grand	grand
grand	reisul
tout	sve
tout	all
tout	svi
tout	sve
lors	tokom
groupe	bend
groupe	grupa
également	također
également	takođe
titre	titula
monde	world
monde	svjetski
monde	svijet
nord	sjever
nord	sjeverna
nord	sjeverni
nord	nord
années	godina
bien	dobro
bien	dobar
bien	dobre
bien	pa
contre	protiv
liste	spisak
liste	lista
puis	potom
puis	onda
puis	tada
puis	zatim
équipe	odred
équipe	tim
équipe	ekipa
club	kluba
sud	jug
partie	stranka
partie	partija
partie	dio
avant	ispred
avant	front
avant	pre
avant	prije
non	nisu
très	veoma
très	vrlo
trois	tri
articles	članaka
articles	članci
article	članak
guerre	rat
guerre	ratu
sans	bez
sans	sans
saison	sezona
fin	kraj
vers	ka
année	godina
temps	vremenska
temps	vrijeme
plusieurs	mnoge
plusieurs	mnogi
plusieurs	nekoliko
faire	make
faire	načiniti
faire	faire
mars	mart
mars	mars
histoire	historija
série	serija
série	seriji
série	serijske
série	serijski
série	serijskog
série	serijska
joueur	igrač
mai	maj
mai	mai
tour	turneja
tour	tour
tour	toranj
mort	poginuo
mort	umro
mort	umrlo
mort	umrla
mort	smrt
mort	mort
mort	mrtva
mort	mrtvi
mort	mrtvo
mort	mrtav
juin	jun
juin	juni
jpg	jpg
française	francuski
pierre	stone
pierre	kamen
pierre	kameno
