hanoi	हनोई
islam	इस्लाम
islam	islam
profeta	पैगंबर
profeta	पैगम्बर
profeta	नबी
chámanlle	काल
chámanlle	कॉल
cas	साथ
devanceiros	पूर्वजों
devanceiros	पूर्वजो
perigosa	खतरनाक
categoría	वर्ग
categoría	श्रेणी
estatal	अवस्था
estatal	स्टेट
estatal	स्थिति
estatal	राज्य
amargo	कड़वी
amargo	कटु
amargo	कड़वा
equivocado	गलत
equivocado	ग़लत
representante	प्रॉक्सी
representante	जनप्रतिनिधि
representante	प्रतिनिधि
levárono	उससे
levárono	उसको
levárono	उसे
levárono	उन्होंने
levárono	वे
xogamos	निभाई
xogamos	खेल
feitas	बनाया
feitas	बना
logro	उपलब्धियाँ
logro	उपलब्धि
estranxeira	विदेश
estranxeira	विदेशी
favorita	पसंदीदा
seguranza	ठेकेदार
subtítulos	उपशीर्षक
ciclo	चक्र
ciclo	साईकिल
dirán	उन्होंने
dirán	वे
dirán	कहें
dirán	बोलो
dirán	कह
viaxa	ट्रेवल्स
viaxa	यात्रा
viaxa	सफर
néboa	धुंध
néboa	कोहरा
ducia	दर्जन
localización	लोकेशन
localización	अवस्थिति
localización	स्थान
levado	लिया
cidadás	नागरिकों
parker	पार्कर
esperan	उम्मीद
esperan	होप
esperan	आशा
esperan	प्रतीक्षारत
taza	कप
lémbrome	याद
lote	लॉट
metais	धातु
metais	धातुओं
lixeiro	रोशनी
lixeiro	प्रकाश
lixeiro	हल्का
lixeiro	लाइट
manchester	मैनचेस्टर
raíces	जड़
raíces	जड़ें
tina	टीना
condena	वक़्त
condena	वक्त
condena	समय
defunto	देरी
defunto	देर
defunto	लेट
defunto	मर
defunto	मुर्दे
fantasma	घोस्ट
fantasma	भूत
fantasma	भुत
regrese	पीछे
regrese	बैक
regrese	पिछे
regrese	वापस
escapou	दूर
escapou	से
escapou	इससे
escapou	फरार
tumbas	क़ब्रों
cooperativas	सहकारी
jenny	जेनी
colgar	हैंग
óesme	आपको
óesme	आप
óesme	तुम
óesme	सुन
internado	चिकित्सालय
internado	अस्पताल
internado	हॉस्पिटल
calade	shut
molesto	परेशान
pensado	सोचा
pensado	विचार
sabas	शीट
sabas	चादरें
sermón	उपदेश
barriga	बेली
barriga	पेट
refires	मतलब
refires	औसत
gustaríalle	like
gustaríalle	जैसे
gustaríalle	होता
parado	स्टैंड
mátote	किल
mátote	मारो
mátote	मार
mátote	आपको
