חנקן	nitróxeno
פנטום	membro
פנטום	pantasma
פנטום	carreta
כותנה	algodón
כותנה	de
התחייבות	compromiso
התחייבות	mecanismo
התחייבות	de
התחייבות	mecanismos
התחייבות	cos
לקוי	visuais
לקוי	con
בריאה	san
בריאה	saúde
בריאה	sans
בריאה	saudable
כבידה	gravidade
כבידה	a
מחזורים	ciclos
פוליצר	premio
פוליצר	pulitzer
גלקסיות	galaxias
חיסון	vacinas
חיסון	das
חיסון	as
תרנגול	galiña
תרנגול	polo
תרנגול	pito
בחורים	tipos
בחורים	mozos
בחורים	rapaces
בחורים	tíos
בחורים	homes
בחורים	rapaces
איסט	leste
איסט	oriente
איסט	este
איסט	do
איסט	próximo
השקיע	investimos
שביתה	folga
שביתה	ataque
שביתה	¡
שביתה	que
שביתה	empece
אינטראקציה	interactuar
אינטראקציה	interacción
אינטראקציה	interaccións
אינטראקציה	cós
זקוקה	precisamos
זקוקה	necesitamos
זקוקה	que
זקוקה	preciso
שהתקבלו	recibín
שהתקבלו	recibiron
שהתקבלו	recibimos
שהתקבלו	recibiu
שובל	rastro
שובל	pista
שוגר	azucre
הורמון	hormona
הורמון	hormonal
מדוייק	exacto
מדוייק	preciso
מדוייק	precisa
עתירה	petición
הקריביים	caribe
הבטחה	promesa
הבטחה	prometer
הבטחה	prométolle
הבטחה	prometo
הבטחה	prométocho
נפלא	marabillosas
נפלא	marabilloso
נפלא	marabillosa
כלה	noiva
לחבל	sabotaxe
מכנית	mecánica
מכנית	mecánico
טירה	castelos
טירה	castelo
התפשט	se
התפשט	estendeu
האפרטהייד	apartheid
לחגוג	celebrar
חלף	pasaran
חלף	morreu
חלף	aprobouse
חלף	transmitiron
חלף	pasou
חלף	pasar
לשכוח	esquecer
לשכוח	esquezas
לשכוח	o
נשרף	queimado
נשרף	queimaron
נשרף	queimou
נשרף	queimados
הל	hal
הריאות	pulmóns
כפיים	aplausos
כפיים	aplauso
הארקטי	ártico
לחתוך	cortar
התעמלות	exercicio
קליני	clínicos
קליני	clínicas
קליני	clínico
הרגלי	costumes
הרגלי	hábitos
קונצרט	concert
קונצרט	concerto
קונצרט	balde
קונצרט	espectáculo
קונצרט	show
אלגוריתמים	algoritmos
כישורים	habilidades
תיבה	caixa
תיבה	palco
תיבה	peito
תמצית	esencia
תמצית	extraer
תמצית	extraen
מסומנת	marcados
גזעים	razas
אומצה	bisté
פריצה	roubo
פריצה	invasión
פריצה	piratería
חתום	asinado
חתום	sinal
חתום	asinar
ניס	bonito
ניס	ben
ניס	bonita
ניס	bo
ניס	boa
צמר	la
עסוק	moi
עסוק	ocupado
עסוק	ocupados
עסוק	negocios
עסוק	ocupada
העמוק	máis
העמוק	profundo
העמוק	profunda
המחבל	bomber
הנאשמים	dos
הנאשמים	acusados
הנאשמים	acusado
הנאשמים	os
הנאשמים	imputados
פרנסה	vivo
פרנסה	vivir
פרנסה	vivindo
פרנסה	vida
חולשה	debilidade
חולצה	camisa
חולצה	camiseta
רלוונטיות	relevancia
רלוונטיות	relevante
רלוונטיות	relevantes
ספירה	contan
ספירה	contar
ספירה	conde
ספירה	con
ספירה	conta
ספירה	esfera
ספירה	contar
ספירה	contigo
נקייה	limpa
נקייה	limpo
נקייה	limpar
