से	от
है	hai
है	хай
एक	една
एक	един
एक	едно
श्रेणी	категория
श्रेणी	серия
श्रेणी	поредица
श्रेणी	сериал
श्रेणी	серии
श्रेणी	категории
भी	дори
भी	даже
भी	също
यह	това
किया	готово
किया	направено
किया	сторено
इस	това
हैं	са
कि	че
भारत	индия
जो	джо
जो	кой
ही	хи
रूप	формуляр
रूप	форма
रूप	появата
रूप	появяване
रूप	поява
कर	данъци
कर	данък
कर	данъците
कर	данъци
नहीं	не
उत्तराखण्ड	утаракханд
साथ	със
साथ	заедно
पूर्व	източно
पूर्व	изток
पूर्व	бивши
पूर्व	бивш
पूर्व	бивша
होता	би
बाद	след
तक	докато
तक	тил
तक	так
अपने	собствен
अपने	собствена
अपने	собствено
अपने	собствени
अपने	вашият
अपने	твоят
अपने	твоя
अपने	твоята
जिले	райони
जिले	области
जिले	квартали
था	бе
राज्य	държави
राज्य	щати
राज्य	щат
राज्य	държава
राज्य	държавно
बाहरी	открито
बाहरी	външен
बाहरी	външна
बाहरी	външен
बाहरी	външна
बाहरी	външно
बाहरी	външни
बाहरी	външен
कुछ	някои
कुछ	нещо
ईसा	исус
गाँव	село
सरकार	тръпки
सरकार	правителство
कड़ियाँ	вериги
कड़ियाँ	окови
कड़ियाँ	връзки
प्रदेश	район
प्रदेश	регион
प्रदेश	област
दिया	дадени
दिया	дадена
दिया	дадено
दिया	даде
दिया	дала
अन्य	друго
अन्य	друг
अन्य	други
अन्य	другите
अन्य	други
वर्ष	години
वर्ष	годините
वर्ष	година
वर्ष	годината
समय	времето
समय	време
नाम	името
नाम	наименование
नाम	име
वे	те
प्रकार	вид
प्रकार	тип
प्रकार	типове
प्रकार	видове
भारतीय	индианец
भारतीय	индиец
भारतीय	индийско
भारतीय	индийски
भारतीय	индийска
किसी	някой
क्षेत्र	зона
क्षेत्र	площ
क्षेत्र	област
क्षेत्र	район
क्षेत्र	район
क्षेत्र	регион
क्षेत्र	област
क्षेत्र	райони
क्षेत्र	зони
क्षेत्र	площи
क्षेत्र	области
अधिक	повече
अधिक	още
कई	mnogo
कई	много
कई	няколко
स्थित	разположена
स्थित	разположен
स्थित	разположени
स्थित	разположено
मण्डल	зона
आधिकारिक	официален
आधिकारिक	официално
आधिकारिक	официална
कारण	причини
कारण	причина
कारण	каузи
कारण	причини
कारण	причинява
जैसे	като
जैसे	like
करता	хулигани
उनके	тяхното
उनके	тяхната
उनके	техните
उनके	техният
उनके	ги
उनके	тях
सबसे	повечето
हिन्दी	хинди
बहुत	много
पहले	преди
पहले	първи
पहले	първо
अपनी	собствен
अपनी	собствена
अपनी	собствено
अपनी	собствени
अपनी	плътски
दो	двама
दो	две
जिला	окръг
जिला	област
जिला	район
जब	когато
जब	кога
उन्होंने	те
उन्होंने	египтяните
उन्होंने	египтяни
जन्म	родени
जन्म	роден
जन्म	родена
जन्म	раждането
जन्म	раждане
जन्म	рождение
कोई	koi
इन	inn
लेकिन	но
ये	това
ये	тези
कम	долно
कम	ниско
कम	ниски
कम	нисък
कम	ниска
कहा	каза
कहा	саид
लोग	народ
लोग	хора
लोग	хората
आदि	повече
आदि	още
आदि	ади
उसके	неговият
उसके	неговата
उसके	му
उसके	неговия
उसके	нея
प्राचीन	примитивни
प्राचीन	примитивна
प्राचीन	примитивен
प्राचीन	примитивно
प्राचीन	древни
प्राचीन	древен
प्राचीन	древно
प्राचीन	древна
प्राचीन	претор
देखें	гледай
देखें	гледайте
देखें	видя
देखें	вижте
देखें	виж
देखें	изглед
देखें	гледка
देखें	оглед
देखें	преглед
उत्तर	отговори
उत्तर	отговор
उत्तर	северно
उत्तर	север
उत्तर	северна
उत्तर	отговори
भाषा	езиците
भाषा	езици
भाषा	езикът
भाषा	езика
भाषा	език
लिये	за
सभी	всички
सभी	всичко
प्राप्त	получено
प्राप्त	получена
प्राप्त	получен
प्राप्त	получени
प्राप्त	получено
प्राप्त	получена
प्राप्त	получен
प्राप्त	получени
प्राप्त	получаване
प्रयोग	опити
प्रयोग	експерименти
प्रयोग	използване
प्रयोग	употреба
प्रयोग	експеримент
प्रयोग	експериментът
शामिल	замесена
शामिल	замесен
शामिल	включват
शामिल	включва
