से	from
है	hai
एक	one
श्रेणी	categoria
श्रेणी	sèries
श्रेणी	sèrie
श्रेणी	categories
भी	inclús
भी	també
यह	això
यह	aquesta
यह	aquest
किया	fet
इस	això
इस	aquesta
इस	aquest
हैं	són
कि	aixo
कि	que
भारत	índia
जो	joe
जो	qui
जो	who
रूप	forma
रूप	formulari
कर	impost
कर	impostos
नहीं	no
उत्तराखण्ड	uttarakhand
साथ	amb
साथ	junts
पूर्व	est
पूर्व	antiga
बाद	after
बाद	després
तक	fins
तक	tak
अपने	propi
अपने	propis
जिले	districtes
था	havien
था	fou
राज्य	estats
राज्य	estat
बाहरी	outdoor
बाहरी	alella
बाहरी	externs
बाहरी	extern
बाहरी	externa
कुछ	alguns
कुछ	algunes
कुछ	quelcom
कुछ	algo
ईसा	jesús
गाँव	poble
गाँव	aldea
सरकार	govern
कड़ियाँ	cadenes
कड़ियाँ	enllaços
प्रदेश	regió
दिया	donades
दिया	donada
अन्य	altres
अन्य	altres
वर्ष	anys
वर्ष	any
समय	temporització
समय	cronometratge
समय	temps
समय	time
नाम	nom
नाम	denominació
प्रकार	tipus
भारतीय	indi
किसी	algú
तहसील	tehsil
क्षेत्र	àmbit
क्षेत्र	àrea
क्षेत्र	regió
क्षेत्र	zones
क्षेत्र	àrees
क्षेत्र	àmbits
अधिक	més
कई	moltes
कई	molts
कई	diversos
कई	diverses
वाले	wale
मण्डल	zona
आधिकारिक	official
कारण	motius
कारण	raons
कारण	raó
कारण	motiu
कारण	causa
कारण	causes
होने	essent
होने	being
जैसे	com
जैसे	like
उनके	ells
हिन्दी	hindi
बहुत	molt
पहले	abans
पहले	primer
पहले	primera
पहले	primers
अपनी	propi
अपनी	propis
अपनी	carnal
दो	dos
दो	dues
जिला	districte
जब	quan
उन्होंने	egipcis
जन्म	nascut
जन्म	born
जन्म	naixement
कोई	koi
कोई	qualsevol
इन	inn
इन	hostal
लेकिन	però
ये	això
ये	aquesta
ये	aquest
ये	aquestes
ये	aquests
कम	baix
कम	baixes
कम	menys
लोग	gent
लोग	persones
आदि	etc
आदि	més
आदि	adi
उसके	ella
उसके	her
प्राचीन	primitives
प्राचीन	primitiu
प्राचीन	pretor
देखें	rellotge
देखें	veure
देखें	vista
देखें	visualitza
देखें	visualització
उत्तर	resposta
उत्तर	nord
उत्तर	respostes
भाषा	llengües
भाषा	idiomes
भाषा	idioma
भाषा	llenguatge
भाषा	llengua
लिये	per
सभी	tots
सभी	totes
प्राप्त	obtingut
प्राप्त	obtingudes
प्राप्त	obtinguda
प्राप्त	obtinguts
प्राप्त	rebut
प्राप्त	rebé
प्राप्त	rebuda
प्राप्त	rebre
प्रयोग	experiments
प्रयोग	ús
प्रयोग	experiment
शामिल	implicats
शामिल	involucrat
शामिल	inclou
शामिल	inclòs
शामिल	incloure
उन्हें	ells
उस	aixo
उस	que
स्थान	llocs
स्थान	ubicacions
स्थान	localitzacions
स्थान	lloc
स्थान	place
स्थान	localització
स्थान	ubicació
स्थान	emplaçament
प्रमुख	major
प्रमुख	main
प्रमुख	principals
प्रमुख	principal
हुई	hui
बीच	platja
बीच	centra
बीच	center
बीच	centre
गए	marxat
गए	anat
मुख्य	main
मुख्य	principals
मुख्य	principal
थी	fou
बिहार	bihar
उसे	ell
उसे	ella
उसे	her
कार्य	tasques
कार्य	treball
कार्य	feina
कार्य	treball
कार्य	treballs
कार्य	tasca
आंध्र	andhra
नगर	ciutat
नगर	nagar
उपयोग	ús
उपयोग	usa
उपयोग	utilització
उपयोग	ús
उपयोग	usos
लोगों	gent
लोगों	persones
आधार	base
आधार	premissa
आधार	base
काम	treball
जीवन	vida
जीवन	life
विश्व	món
विश्व	world
भाग	seccions
भाग	part
भाग	parts
निर्माण	creació
निर्माण	construcció
निर्माण	construir
निर्माण	fabricació
दोनों	ambdós
दोनों	ambdues
राष्ट्रीय	national
राष्ट्रीय	nacional
जानकारी	info
जानकारी	informació
पोर्टल	portal
शहर	ciutat
शहर	ciutats
बार	barrots
बार	bars
बार	barres
बार	barra
बार	bar
बार	vegades
वाली	valí
लगभग	gairebé
लगभग	aproximadament
फिल्म	film
यहाँ	aquí
यहाँ	aqui
यहाँ	ací
प्रसिद्ध	famós
प्रसिद्ध	famosos
प्रसिद्ध	renom
विकास	desenvolupament
विकास	creixement
केवल	només
देश	país
देश	nació
देश	països
अलग	separat
अलग	separats
अलग	diferent
अलग	diferents
विशेष	exclusiu
विशेष	exclusiva
विशेष	especial
विशेष	especials
दी	donades
दी	donada
पृष्ठ	pàgina
पृष्ठ	pàgines
माना	considerades
माना	considerat
माना	mana
माना	suposadament
शब्द	paraula
शब्द	paraules
फिर	aleshores
फिर	llavors
तीन	valldoreix
तीन	tres
पुरस्कार	recompenses
पुरस्कार	premia
पुरस्कार	premi
पुरस्कार	premi
पुरस्कार	adjudicació
पुरस्कार	guardó
पुरस्कार	premis
पुरस्कार	premis
पुरस्कार	recompensa
लेख	articles
लेख	tesi
लेख	tesis
लेख	article
अब	ara
दौरान	durant
अमेरिका	amèrica
मंदिर	temple
दक्षिण	sud
विभिन्न	divers
इतिहास	història
लिया	pres
फ़िल्म	film
क्योंकि	perquè
क्योंकि	perque
पास	passen
पास	passi
पास	pass
विस्तृत	detallat
विस्तृत	detallats
विस्तृत	elaborades
विस्तृत	elaborada
विस्तृत	exhaustiva
विस्तृत	avançat
विस्तृत	avançada
विस्तृत	advanced
दिन	jornada
दिन	dia
दिन	diürna
दिन	dies
कृषि	agricultura
कृषि	rompuda
गढ़वाल	garhwal
जाना	viabilitat
शुरू	començat
शुरू	iniciat
व्यक्ति	persona
व्यक्ति	individu
व्यक्ति	individuals
व्यक्ति	individual
व्यक्ति	individualisme
विज्ञान	ciència
विज्ञान	ciències
सदस्य	membre
सदस्य	subscriptor
सदस्य	subscriptors
सदस्य	abonats
सदस्य	membres
सिंह	singh
सिंह	leo
अनेक	moltes
अनेक	molts
अनेक	diversos
अनेक	diverses
अनेक	múltiples
अनेक	múltiple
यहां	aquí
यहां	aqui
यहां	ací
संख्या	número
संख्या	nombre
संख्या	nombres
संख्या	números
अपना	propi
अपना	propis
बात	cosa
साहित्य	literatura
शिक्षा	educació
दिल्ली	delhi
धर्म	religió
धर्म	religions
धर्म	dharma
मूल	origen
मूल	originals
मूल	nadiu
मूल	natiu
मूल	original
मूल	bàsic
मूल	bàsics
मूल	bàsiques
मूल	basic
तब	aleshores
तब	llavors
बना	make
बना	fetes
बना	feta
कोड	codi
कोड	codis
संयुक्त	concurrent
संयुक्त	concurrents
संयुक्त	combinats
संयुक्त	combinada
संयुक्त	combinades
संयुक्त	combinat
संयुक्त	conjunta
जुलाई	juliol
युद्ध	batalla
युद्ध	guerra
नदी	riu
काल	tensa
काल	convocatòria
काल	trucada
काल	període
वर्षों	anys
स्टेशन	estació
स्टेशन	estacions
स्टेशन	emissores
बड़े	grans
जनवरी	gener
मध्य	centrals
मध्य	central
मध्य	centra
मध्य	center
मध्य	centre
राजा	raja
राजा	king
राजा	rei
प्रथम	primer
प्रथम	primera
प्रथम	primers
विश्वविद्यालय	universitats
विश्वविद्यालय	universitat
जून	juny
उसकी	ella
उसकी	her
मार्च	març
मार्च	march
बन	bun
बनी	conillet
बनी	conilleta
अर्थ	significat
अप्रैल	abr
अप्रैल	abril
महत्वपूर्ण	important
महत्वपूर्ण	crític
महत्वपूर्ण	transcendental
प्रामाणिक	autèntica
प्रामाणिक	autèntics
आप	tu
आप	vostè
किए	coa
अक्टूबर	octubre
अक्टूबर	oct
समूह	congregació
समूह	grup
समूह	grups
वर्तमान	actuals
वर्तमान	actual
वर्तमान	corrent
वर्तमान	presents
वर्तमान	present
अध्ययन	estudiant
अध्ययन	estudi
अध्ययन	estudis
विभाग	departament
विभाग	divisió
विभाग	departaments
आम	mango
आम	comunes
आम	comú
आम	comuns
स्थिति	posició
स्थिति	estat
स्थिति	condició
स्थिति	situació
प्रभाव	impacte
प्रभाव	efectes
प्रभाव	influències
प्रभाव	efecte
आदर्श	idealisme
आदर्श	ideals
आदर्श	ideal
आदर्श	ídol
साल	anys
साल	any
पहली	primer
पहली	primera
पहली	primers
संगीत	música
अमेरिकी	american
अमेरिकी	americà
अमेरिकी	americans
सेवा	servei
बनाने	creant
बनाने	fent
बनाने	making
बनाने	diggers
आज	avui
स्थापित	establerta
स्थापित	fundat
स्थापित	fundada
स्थापित	establirà
उच्च	alta
उच्च	high
उच्च	alt
उच्च	sublim
उपलब्ध	disponibles
उपलब्ध	disponible
काफी	prou
काफी	suficient
काफी	sobrat
बड़ी	grans
चार	four
चार	quatre
शक	dubte
प्रभा	pera
श्री	sri
उदाहरण	instància
उदाहरण	instàncies
उदाहरण	exemple
उदाहरण	exemples
उसका	ella
उसका	her
ले	take
उत्तरा	uttara
जिससे	qual
स्थापना	establiment
कंपनी	companyia
कंपनी	empresa
अधिकांश	majoritàriament
सामाजिक	socials
सामाजिक	social
प्रत्येक	cadascú
प्रत्येक	cadascuna
प्रत्येक	cadascun
बड़ा	grans
बड़ा	gran
स्तर	nivells
स्तर	nivell
बनाया	fetes
बनाया	feta
बनाया	creades
बनाया	creats
बनाया	creat
जारी	continuat
जारी	continuada
जारी	expedit
जारी	emès
जबकि	mentre
चित्र	fotografies
चित्र	imatge
चित्र	imatges
इससे	from
इससे	inventa
प्रणाली	system
प्रणाली	sistema
सरकारी	official
सरकारी	govern
जहां	on
देशों	països
जल	aigua
सूची	llista
सूची	llistes
रखा	guardava
रखा	mantingut
रखा	guardats
विचार	idea
विचार	idees
विचार	ideas
विचार	pensament
विचार	consideració
विचार	contraprestació
विचार	pensaments
छोटे	petita
छोटे	petites
ऊपर	top
आधारित	basat
पानी	aigua
सामान्य	general
सामान्य	comunes
सामान्य	comú
सामान्य	comuns
सामान्य	normal
सामान्य	normals
कुल	totals
कुल	total
एक्स्प्रेस	expressi
एक्स्प्रेस	express
एक्स्प्रेस	expressar
पुलिस	policia
वर्ग	categoria
वर्ग	quadrat
वर्ग	plaça
वर्ग	classes
वर्ग	classe
शरीर	cos
अंग्रेजी	anglès
माध्यम	mitjà
मानव	humà
मानव	humans
पाकिस्तान	pakistan
भूमिका	introducció
भूमिका	rol
हर	har
हर	hur
अतिरिक्त	extres
अतिरिक्त	sobra
अतिरिक्त	recanvi
अतिरिक्त	addicional
अतिरिक्त	addicionals
अतिरिक्त	extra
पिता	pare
समाज	societat
उत्पन्न	generada
उत्पन्न	generades
उत्पन्न	generat
नीचे	down
नीचे	bottom
नीचे	fons
दुनिया	món
दुनिया	world
आधुनिक	moderna
आधुनिक	modern
ध्यान	meditació
ध्यान	atenció
हिंदी	hindi
दे	donar
सभा	congregació
सभा	assemblea
सभा	sabha
परिवार	família
परिवार	familia
विषय	temàtica
विषय	tema
विषय	temes
विषय	assignatures
विषय	assignatura
विषय	subjecte
विषय	subjectes
अधिकार	drets
रंग	color
रंग	colors
रंग	colors
रंग	color
बाहर	abandona
बाहर	outdoor
बाहर	alella
बाहर	out
खेल	reprodueix
खेल	esports
खेल	partida
खेल	joc
खेल	jocs
खेल	esport
खेल	sport
क्षेत्रों	zones
क्षेत्रों	àrees
क्षेत्रों	àmbits
जहाँ	on
समान	homogeni
समान	homogènia
समान	mateixa
समान	mateix
समान	similars
समान	semblants
समान	similar
सितंबर	setembre
दूर	llunyà
दूर	distant
पता	adreces
पता	adreça
शक्ति	força
शक्ति	potència
शक्ति	poder
शक्ति	shakti
ब्रिटिश	britànic
ब्रिटिश	british
ब्रिटिश	britànica
कला	arts
कला	art
देते	mentalitats
घर	domicili
घर	llar
घर	casa
संस्कृत	sànscrit
प्रकाशित	publicarà
प्रकाशित	publicat
मई	maig
प्रक्रिया	procés
प्रक्रिया	processos
प्रक्रिया	procediment
सेना	exèrcits
सेना	batallons
सेना	sena
सेना	exèrcit
पार्टी	party
पार्टी	partit
पार्टी	festa
हम	hum
रेलवे	ferrocarril
रेलवे	ferrocarrils
पश्चिम	oest
अंत	final
दशक	dècada
पूरी	sencer
पूरी	sencera
बिना	sense
क्या	quins
क्या	quina
क्या	quin
क्या	què
अगस्त	agost
अगस्त	ago
विकसित	desenvolupat
विकसित	desenvolupats
विकसित	evolucionat
संबंध	relacions
संबंध	relació
संबंध	relacions
प्रदर्शन	actuació
प्रदर्शन	rendiment
प्रदर्शन	actuacions
प्रदर्शन	exposició
मार्ग	ruta
पर्यटन	turisme
ज्ञान	coneixements
ज्ञान	coneixement
लगा	sentia
लगा	feltre
दिसम्बर	desembre
दिसम्बर	dec
प्रदर्शित	destacat
प्रदर्शित	mostrat
अक्सर	freqüentment
अक्सर	sovint
सहायता	auxili
सहायता	ajuda
सहायता	ajut
सहायता	suport
सहायता	ajuts
सहायता	assistència
पहला	primer
पहला	primera
पहला	primers
मृत्यु	defunció
मृत्यु	mort
मृत्यु	mortalitat
स्वयं	self
स्वयं	propi
स्वयं	propis
विकिपीडिया	wiki
विकिपीडिया	viquipèdia
तैयार	preparats
तैयार	preparat
तैयार	preparades
आवश्यक	requerit
आवश्यक	requerida
आवश्यक	requerits
आवश्यक	urgent
देखा	mirava
देखा	vigilat
देखा	vistos
देखा	vist
देखा	saw
उत्पादन	producció
रोग	malaltia
संबंधित	respectives
संबंधित	respectius
संबंधित	respectiva
संबंधित	respectiu
संबंधित	relacionat
संबंधित	relacionada
संबंधित	relacionats
शताब्दी	segle
चीन	xina
अभी	ara
संघ	union
संघ	unió
संघ	sindicatura
संघ	unions
संघ	federació
संघ	associació
संघ	association
यात्रा	viatges
यात्रा	trajecte
यात्रा	viatge
मात्रा	quantitat
मात्रा	import
मात्रा	quantia
मात्रा	quantitat
रचना	creació
रचना	composició
