और	και
से	απο
से	από
है	χάι
एक	ένας
एक	ενα
एक	μία
एक	ένα
एक	μια
श्रेणी	κατηγορια
श्रेणी	κατηγορία
श्रेणी	σειρές
श्रेणी	σειρά
श्रेणी	σειρα
श्रेणी	κατηγορίες
श्रेणी	κατηγοριες
भी	επισης
भी	επίσης
यह	αυτο
यह	αυτό
किया	έκανε
किया	κάνει
किया	έγινε
किया	εγινε
इस	αυτο
इस	αυτό
कि	αυτό
कि	ότι
कि	that
भारत	ινδία
भारत	ινδίας
जो	τζο
जो	joe
जो	ποιος
ही	χι
रूप	μορφη
रूप	μορφή
रूप	έντυπο
रूप	φόρμα
कर	φόρου
कर	φόρος
कर	φόρους
कर	φόροι
नहीं	όχι
नहीं	οχι
गया	πήγε
साथ	με
साथ	μαζί
साथ	μαζι
पूर्व	ανατολή
पूर्व	ανατολική
पूर्व	ανατολικά
पूर्व	ανατολικό
पूर्व	ιστ
पूर्व	πρώην
पूर्व	πρωην
बाद	αργότερα
बाद	αργοτερα
बाद	μετα
बाद	μετά
तक	μεχρι
तक	μέχρι
तक	έως
तक	τακ
जिले	συνοικίες
था	είχε
था	ήταν
राज्य	πολιτείες
राज्य	κρατών
राज्य	κράτη
राज्य	κράτος
राज्य	πολιτεία
राज्य	state
बाहरी	υπαίθρια
बाहरी	εξωτερική
बाहरी	εξωτερικά
बाहरी	εξωτερικό
बाहरी	εξωτερικός
बाहरी	υπαίθρια
कुछ	μερικές
कुछ	κάποια
कुछ	κάποιοι
कुछ	μερικοί
कुछ	μερικά
कुछ	κάτι
कुछ	κατι
ईसा	ιησούς
ईसा	ιησού
गाँव	χωριο
गाँव	χωριό
सरकार	κυβερνηση
सरकार	κυβέρνηση
कड़ियाँ	αλυσίδες
कड़ियाँ	σύνδεσμοι
कड़ियाँ	δεσμοί
कड़ियाँ	συνδέσεις
कड़ियाँ	συνδέσμους
प्रदेश	περιφέρεια
प्रदेश	περιοχή
इसके	its
दिया	δεδομένο
दिया	δεδομένου
दिया	έδωσε
अन्य	λοιπά
अन्य	αλλα
अन्य	άλλες
अन्य	άλλα
अन्य	άλλους
अन्य	άλλοι
अन्य	λοιποί
अन्य	αλλοι
अन्य	άλλα
वर्ष	χρονια
वर्ष	ετη
वर्ष	χρόνια
वर्ष	έτη
वर्ष	ετος
वर्ष	έτος
वर्ष	χρονιά
वर्ष	έτο
समय	χρόνος
समय	χρονος
समय	ώρα
समय	φορά
समय	ωρα
समय	χρόνο
नाम	ονομασία
नाम	όνομα
नाम	ονομα
वे	αυτοί
प्रकार	τύπου
प्रकार	type
प्रकार	τύπος
प्रकार	είδος
प्रकार	τύπους
प्रकार	τύποι
भारतीय	ινδιάνος
भारतीय	ινδικό
भारतीय	ινδός
भारतीय	ινδική
किसी	καποιος
किसी	κάποιος
किसी	κάποιον
क्षेत्र	έκταση
क्षेत्र	εμβαδόν
क्षेत्र	περιοχή
क्षेत्र	περιοχη
क्षेत्र	περιφέρεια
क्षेत्र	περιοχή
क्षेत्र	περιοχές
अधिक	περισσότερο
अधिक	περισσότεροι
अधिक	πιο
अधिक	περισσότερες
अधिक	περισσότερα
कई	πολλά
कई	πολλοι
कई	πολλοί
कई	πολλές
कई	πολλα
कई	αρκετές
