हल्दी	زردچوبه
हवाओं	بادها
हवाओं	بادهای
परम्पराओं	رسوم
पूछे	پرسیدن
पूछे	پرسید
पूछे	پرسیدند
सेब	سیب
सेब	apple
सेब	اپل
रो	گریستن
रो	گریه
पुस्तकालयों	کتابخانه
चौकी	پایگاه
बहनों	خواهران
अश्लील	پورن
आपात	اورژانسی
आपात	اضطراری
आपात	اورژانس
रेसलमेनिया	رسلمانیا
नामीबिया	نامیبیا
स्त्रियाँ	زنانی
स्त्रियाँ	زنها
स्त्रियाँ	زنان
एनी	آنی
मामा	mama
मामा	ماما
मामा	عمو
मामा	عموی
मामा	دایی
रूपांतर	variant
नगरीय	شهری
नगरीय	urban
नगरीय	اوربان
जैकी	جکی
क्रोधित	خشمناک
क्रोधित	خشمگین
क्रोधित	عصبانی
क्रोधित	خشمگین
क्रोधित	خشمناک
तात्कालिक	فوری
तात्कालिक	فوریه
तात्कालिक	ضروری
तात्कालिक	فوری
कमांड	فرمانها
कमांड	فرمانهای
कमांड	فرمان
कोबेन	کوبین
धोनी	دویی
बुराई	شر
बुराई	شرور
बुराई	شرارت
बुराई	بد
टाइपिंग	تحریر
टाइपिंग	تایپ
उत्तेजक	تحریک
उत्तेजक	محرک
उत्तेजक	محرک
दशमलव	دهدهی
काई	کای
क्रूर	ظالم
क्रूर	ظالمانه
क्रूर	وحشیانه
जोनाथन	جاناتان
फ्लाइट	پروازی
फ्लाइट	پرواز
निकटता	تقرب
मीणा	مینا
सैर	میرود
चिकनी	هموار
चिकनी	صاف
चिकनी	نرم
चिकनी	چرب
कैनेडी	کندی
टाई	گره
टाई	کروات
टाई	کراوات
करोड़ों	هزارها
इंजीनियरों	مهندسان
इंजीनियरों	مهندسین
इंजीनियरों	کارشناسان
गा	بخون
गा	بخونید
पूछताछ	تحقیق
पूछताछ	استعلام
पूछताछ	مکرر
सर्पिल	مارپیچ
सर्पिल	مارپیچی
परिशिष्ट	پیوست
परिशिष्ट	آپاندیس
गवाही	شهادت
वॉकर	واکر
वॉकर	والکر
लेआउट	چیدمان
कैदियों	اسیری
कैदियों	زندانیان
अरविंद	آراویند
फिजी	فیجی
हुक	قلاب
हुक	هوک
रिटर्न	بازگشت
प्लैटिनम	پلاتین
प्लैटिनम	پلاتینی
फिलीपींस	فیلیپین
दीवारें	دیوارها
दीवारें	دیوارهای
दीवारें	دیوار
सपाट	مسطح
सपाट	فلت
नक़ल	کپی
नक़ल	رونوشت
फ्रेमवर्क	چارچوب
फ्रेमवर्क	چهارچوب
केन्या	کنیا
