से	از
है	های
है	hai
एक	یکی
एक	یگانه
एक	یک
श्रेणी	مقوله
श्रेणी	دسته
श्रेणी	سری
भी	حتی
भी	حتى
भी	وحتی
भी	همچنین
भी	همچنین
यह	این
इस	این
हैं	هستند
हैं	are
कि	که
भारत	هند
भारत	هندوستان
जो	جو
जो	که
रूप	فرم
रूप	شکل
रूप	ظاهر
कर	مالیات
कर	مالیاتی
कर	مالیات
कर	مالیاتی
साथ	با
साथ	باهم
पूर्व	شرق
पूर्व	شرقی
पूर्व	سابق
पूर्व	پیشین
बाद	دیرتر
बाद	بعدها
बाद	بعدا
बाद	بعداً
तक	تا
तक	تا
तक	تاک
तक	tak
अपने	شما
जिले	نواحی
जिले	مناطق
था	had
था	بود
राज्य	حالت
राज्य	استیت
राज्य	دولت
राज्य	وضعیت
राज्य	ایالت
बाहरी	خارجی
कुछ	بعضیها
कुछ	برخی
ईसा	عیسی
गाँव	روستای
गाँव	دهکده
गाँव	ویلیج
गाँव	روستا
सरकार	دولتی
सरकार	حکومت
सरकार	دولت
कड़ियाँ	زنجیرها
कड़ियाँ	پیوندها
कड़ियाँ	پیوندهای
प्रदेश	منطقه
प्रदेश	ناحیه
प्रदेश	استان
प्रदेश	منطقۀ
इसके	its
अन्य	دیگر
अन्य	غیره
अन्य	دیگران
अन्य	دیگر
जा	jaa
वर्ष	سالهای
वर्ष	سالها
वर्ष	سال
वर्ष	سال
समय	زمانبندی
समय	زمان
समय	تایم
समय	time
नाम	نام
वे	اونا
वे	اونها
वे	آنها
वे	ایشان
प्रकार	مهربان
प्रकार	تیپ
प्रकार	نوع
प्रकार	تایپ
प्रकार	انواع
भारतीय	سرخپوست
भारतीय	هندی
किसी	یکی
किसी	کسی
तहसील	تهسیل
क्षेत्र	منطقه
क्षेत्र	مساحت
क्षेत्र	ناحیه
क्षेत्र	منطقه
क्षेत्र	ناحیه
क्षेत्र	استان
क्षेत्र	منطقۀ
क्षेत्र	نواحی
क्षेत्र	مناطق
अधिक	دیگر
अधिक	بیشتر
कई	بسیار
कई	چندین
मण्डल	منطقه
मण्डल	زون
आधिकारिक	رسمی
कारण	دلایل
कारण	دلیلی
कारण	علت
कारण	دلیل
कारण	علت
कारण	دلیل
कारण	cause
कारण	علل
कारण	موجب
होने	بودن
जैसे	شبیه
जैसे	لایک
जैसे	مثل
जैसे	like
जैसे	مانند
करता	درماندگان
करता	نزده
करता	کند
करता	بکند
उनके	آنها
उनके	آنان
सबसे	اکثر
सबसे	بیشتر
सबसे	بیشترین
हिन्दी	هندی
बहुत	خیلی
बहुत	بسیار
पहले	پیش
पहले	اول
पहले	ابتدا
पहले	نخستین
दो	دوتا
दो	دو
जिला	منطقه
जिला	ناحیه
जिला	بخش
जब	وقتی
जब	چون
उन्होंने	اونا
उन्होंने	اونها
उन्होंने	آنها
उन्होंने	ایشان
उन्होंने	مصریان
जन्म	متولد
जन्म	زاده
जन्म	تولد
जन्म	birth
जन्म	ولادت
कोई	koi
कोई	هر
कोई	هیچ
इन	مهمانسرا
इन	مهمانخانه
इन	مسافرخانه
लेकिन	ولی
लेकिन	اما
ये	این
ये	اینها
ये	اینا
कम	کم
कम	low
कम	کمتری
कम	کمتر
कम	کمتر
कम	less
कहा	گفت
लोग	افراد
लोग	مردمان
लोग	آدمها
लोग	مردم
आदि	غیره
आदि	دیگر
आदि	بیشتر
आदि	عدی
उसके	او
उसके	او
प्राचीन	کهن
प्राचीन	باستانی
प्राचीन	باستان
देखें	see
देखें	دیدن
देखें	نما
देखें	نمای
उत्तर	پاسخگویی
उत्तर	جواب
उत्तर	پاسخ
उत्तर	شمالی
उत्तर	نورث
उत्तर	شمال
उत्तर	جوابها
भाषा	زبانهای
भाषा	زبانها
भाषा	زبان
भाषा	زبان
लिये	برای
सभी	همه
प्राप्त	دریافت
इसका	its
प्रयोग	استعمال
प्रयोग	کاربرد
