है	האי
एक	אחת
एक	אחד
श्रेणी	קטגוריה
श्रेणी	קטגוריית
श्रेणी	סדרה
श्रेणी	סידרה
श्रेणी	סדרת
श्रेणी	קטגוריות
भी	אפילו
भी	גם
भी	וגם
भी	גם
भी	מדי
यह	זה
किया	עשה
किया	בוצע
किया	סיים
किया	סיימתי
किया	סגור
इस	זה
कि	זה
भारत	הודו
भारत	אינדיה
जो	מי
रूप	הטופס
रूप	צורת
रूप	טופס
रूप	צורה
रूप	מראה
रूप	הופעה
कर	מס
कर	מסים
कर	מיסים
उत्तराखण्ड	אוטראקהאנד
गया	הלכה
गया	הלך
साथ	לאורך
साथ	עם
साथ	יחד
साथ	ביחד
साथ	יחדיו
पूर्व	מזרחה
पूर्व	המזרח
पूर्व	איסט
पूर्व	מזרח
पूर्व	לשעבר
बाद	אחרי
बाद	לאחר
तक	עד
तक	עד
तक	טאק
अपने	משל
अपने	שלך
जिले	מחוזות
था	היה
था	הייתה
था	היתה
राज्य	מדינות
राज्य	מדינה
राज्य	המדינה
बाहरी	החיצון
बाहरी	החיצוניות
बाहरी	חיצוניים
बाहरी	חיצוניות
बाहरी	חיצונית
बाहरी	חיצוני
कुछ	כמה
कुछ	חלקם
कुछ	משהו
कुछ	משו
ईसा	ישו
ईसा	ישוע
गाँव	כפר
गाँव	הכפר
सरकार	ממשלה
सरकार	הממשלה
सरकार	ממשל
कड़ियाँ	שרשראות
कड़ियाँ	קישורים
प्रदेश	אזור
इसके	שלו
दिया	בהינתן
दिया	שניתנו
दिया	ניתנה
दिया	ניתנו
दिया	נתון
दिया	מסרו
दिया	נתן
दिया	נתנה
अन्य	אחרים
अन्य	אחר
अन्य	אחרות
अन्य	אחרים
अन्य	ואחרים
वर्ष	שנים
वर्ष	שנה
वर्ष	שנת
वर्ष	שנה
समय	תיזמון
समय	עיתוי
समय	תזמון
समय	זמן
समय	הזמן
समय	עת
समय	טיים
नाम	השם
नाम	שם
वे	הן
वे	הם
प्रकार	סוג
प्रकार	אדיב
प्रकार	סוג
प्रकार	הסוגים
प्रकार	סוגים
प्रकार	טיפוסים
भारतीय	הודית
भारतीय	אינדיאני
भारतीय	הודי
किसी	מישהי
किसी	מישהו
क्षेत्र	אזור
क्षेत्र	איזור
क्षेत्र	האזור
क्षेत्र	שטח
क्षेत्र	אזור
क्षेत्र	אזורים
क्षेत्र	תחומים
अधिक	עוד
अधिक	יותר
कई	הרבה
कई	רבות
कई	רבים
वाले	ווייל
स्थित	אותרה
स्थित	ממוקמת
स्थित	ממוקם
मण्डल	אזור
आधिकारिक	רשמי
आधिकारिक	רישמי
कारण	סיבות
कारण	הסיבה
कारण	סיבה
कारण	סיבה
कारण	גורם
कारण	סיבות
होने	היותך
होने	להיות
जैसे	כמו
जैसे	אוהב
जैसे	כאילו
करता	בריונים
उनके	שלהם
उनके	אותם
सबसे	רובם
सबसे	רוב
सबसे	הרוב
सबसे	הכי
हिन्दी	הינדי
बहुत	מאוד
पहले	לפני
पहले	ראשון
पहले	קודם
पहले	ראשית
पहले	תחילה
अपनी	משל
दो	שני
दो	שניים
दो	שתיים
जिला	מחוז
जब	מתי
जब	כאשר
उन्होंने	הן
उन्होंने	הם
उन्होंने	המצרים
जन्म	נולדת
जन्म	נולדתי
जन्म	נולדו
जन्म	נולד
जन्म	נולדה
जन्म	הלידה
जन्म	לידת
जन्म	לידה
कोई	קוי
कोई	כל
इन	פונדק
लेकिन	אך
लेकिन	אבל
ये	זה
ये	אלו
ये	אלה
कम	שפל
कम	נמוך
कम	נמוכה
कम	פחות
कम	פחות
कहा	סעיד
कहा	אמרה
कहा	אמר
लोग	אנשים
आदि	עוד
आदि	יותר
आदि	עדי
उसके	שלו
उसके	שלה
उसके	בה
उसके	לה
उसके	עליה
उसके	אותה
प्राचीन	פרימיטיבי
प्राचीन	עתיקים
प्राचीन	עתיקה
प्राचीन	עתיקות
प्राचीन	עתיק
प्राचीन	העתיקה
देखें	שעון
देखें	צפו
देखें	צפה
देखें	לצפות
देखें	ראי
देखें	רואה
देखें	ראה
देखें	צפי
देखें	צפייה
देखें	צפה
देखें	תצוגה
देखें	הצג
उत्तर	תשובה
उत्तर	תענה
उत्तर	ענה
उत्तर	התשובה
उत्तर	צפונה
उत्तर	הצפון
उत्तर	צפון
उत्तर	תשובות
भाषा	שפות
भाषा	שפה
लिये	בשביל
सभी	כולם
सभी	הכל
सभी	כל
प्राप्त	הושג
प्राप्त	התקבלה
प्राप्त	שהתקבלו
प्राप्त	התקבל
प्राप्त	קיבל
प्राप्त	התקבלו
इसका	שלו
प्रयोग	ניסויים
प्रयोग	שימוש
प्रयोग	ניסוי
शामिल	מעורבת
शामिल	מעורב
शामिल	כולל
शामिल	כוללת
शामिल	כולל
शामिल	כלולים
शामिल	כלול
शामिल	כלול
उन्हें	אותם
उस	זה
स्थान	מקומות
स्थान	למקומות
स्थान	מקום
स्थान	מיקומים
स्थान	המקום
स्थान	מקום
स्थान	המיקום
स्थान	מיקום
प्रमुख	המפקדת
प्रमुख	ראשי
बीच	חוף
बीच	החוף
बीच	המרכז
बीच	מרכז
बीच	סנטר
गए	נעלמה
गए	הלכה
गए	נעלמו
गए	הלך
गए	נעלם
गए	הלכה
गए	הלך
मुख्य	המפקדת
मुख्य	ראשי
थी	היה
थी	הייתה
थी	היתה
उसे	בו
उसे	אותו
उसे	שלה
उसे	בה
उसे	לה
उसे	עליה
उसे	אותה
कार्य	משימות
कार्य	מטלות
कार्य	עבודה
कार्य	משרה
कार्य	איוב
कार्य	עבודה
कार्य	עבודות
कार्य	משרות
कार्य	משימה
कार्य	מטלה
उनकी	שלהם
नगर	טאון
नगर	עיירה
नगर	עיר
नगर	העיר
नगर	העיר
नगर	עיר
नगर	סיטי
उपयोग	שימוש
उपयोग	להשתמש
उपयोग	שימוש
उपयोग	השתמש
उपयोग	משתמשת
उपयोग	שימושים
लोगों	אנשים
आधार	בסיס
आधार	בסיס
काम	עבודה
जीवन	life
जीवन	החיים
जीवन	חיים
विश्व	העולם
विश्व	עולם
भाग	מחלקות
भाग	חלקים
भाग	חלק
भाग	חלקים
निर्माण	היצירה
निर्माण	הבריאה
निर्माण	יצירה
निर्माण	בניה
निर्माण	בנייה
निर्माण	יבנה
निर्माण	בנה
निर्माण	לבנות
निर्माण	ייצור
गई	הלכה
गई	הלך
दोनों	שתיהן
दोनों	שניהם
राष्ट्रीय	לאומי
राष्ट्रीय	לאומית
जानकारी	מידע
जानकारी	מידע
जानकारी	אינפורמציה
पोर्टल	פורטל
शहर	העיר
शहर	עיר
शहर	סיטי
शहर	ערים
शहर	הערים
बार	ברים
बार	סורגים
बार	בארים
बार	בר
बार	באר
बार	סרגל
बार	פעמים
बार	הטיימס
बार	טיימס
बार	זמנים
वाली	ויילי
लगभग	כמעט
लगभग	בקירוב
फिल्म	סרט
फिल्म	קולנוע
फिल्म	סרט
यहाँ	פה
यहाँ	כאן
प्रसिद्ध	מפורסם
प्रसिद्ध	מפורסמים
प्रसिद्ध	המפורסם
प्रसिद्ध	מפורסמות
प्रसिद्ध	מפורסמת
विकास	פיתוח
विकास	התפתחות
विकास	צמיחה
विकास	גדילה
केवल	בלבד
केवल	רק
देश	מדינה
देश	ארץ
देश	ארצי
देश	אומה
देश	האומה
देश	מדינות
देश	ארצות
वेबसाइट	אתר
वेबसाइट	האתר
अलग	פרודים
अलग	נפרד
अलग	מופרדים
अलग	שונות
अलग	שונה
अलग	שונים
अलग	נפרד
अलग	בנפרד
अलग	נפרדים
विशेष	בבלעדיות
विशेष	בלעדיים
विशेष	בלעדי
विशेष	בלעדיות
