atom	àtom
mladu	núvia
leopard	lleopard
lijep	bonic
lijep	niça
pijesak	sorra
armenski	armeni
konstantno	ininterrompudament
konstantno	constantment
konstantno	constant
konstantno	constants
castro	castro
raja	raja
raja	cel
raja	heaven
raja	paradís
raja	paradise
manastira	monestirs
full	plens
full	ple
full	plena
povećan	incrementat
prefektura	prefectura
opisati	descrigui
opisati	descriu
opisati	descriure
misu	missa
misu	massa
autonomna	autònoma
spremnik	tanc
spremnik	contenidor
spremnik	recipient
efekti	efectes
violinu	violí
violinu	violí
povjerenstvo	comissió
atmosfera	atmosfera
pristaše	simpatitzants
pristaše	partidaris
abraham	abraham
zvezda	estel
zvezda	estrella
ice	gel
atrakcija	atracció
atrakcija	atraccions
izjave	declaracions
lipa	llavi
litve	lituània
liang	liang
staklo	vidre
lang	lang
biskupi	bisbes
negativno	negatiu
prestižnu	prestigiós
prestižnu	prestigiosa
milovan	milovan
prince	príncep
prince	prince
gov	gov
leća	lens
leća	lent
leća	lents
ponudi	oferta
skladišta	magatzem
skladišta	magatzems
ikona	emblemàtic
ikona	icona
main	main
main	principals
main	principal
magnitude	magnitud
usmjerena	dirigit
usmjerena	dirigida
zaključuje	conclou
pećina	cova
preci	avantpassats
mehmed	mehmet
dres	jersei
dres	jersey
voyager	voyager
lišće	fulls
lišće	fulles
inspiriran	inspirat
lubanja	crani
proze	prosa
sfr	sfr
projekcija	projecció
isteka	expiració
dominik	dominic
dominik	domènec
dominik	dominik
bear	ós
primirje	treva
primirje	armistici
studiji	studios
mitchell	mitchell
kljun	bec
jasenovac	jasenovac
neprijatelji	enemics
izložen	exposat
izložen	exposats
podjelu	partició
une	une
tmarus	tmarus
synodontis	synodontis
luna	luna
zvjezdana	estelada
zabrane	prohibicions
fotograf	fotògraf
fotograf	fotògrafa
alen	allen
alen	alen
ain	ain
bože	déu
make	make
mirjana	mirjana
ansambl	ensemble
edo	edo
divlji	wild
divlji	salvatge
rijetka	rars
rijetka	rares
nichols	nichols
singer	singer
singer	cantant
joan	joan
hardcore	hardcore
nila	nil
spisateljica	escriptor
otpad	residus
intermedia	intermedia
spremni	preparats
spremni	preparat
spremni	preparades
dvorište	pati
dvorište	pati
pogreške	errors
lisa	lisa
oslobodio	alliberat
marsa	marcià
marsa	mart
marsa	mars
kemija	química
groba	sepultura
siska	sisko
rossi	rossi
marketing	màrqueting
marketing	marketing
marketing	comercialització
izložena	exposat
izložena	exposats
mlijeko	llet
označeni	etiquetat
označeni	etiquetada
označeni	etiquetats
znakove	rètols
znakove	senyals
legije	legions
počast	homenatge
tehničar	tècnic
gljiva	bolet
generator	generador
peruu	perú
peruu	peru
ispit	test
ispit	prova
ispit	examen
tak	tak
poslužitelj	servidor
pomak	torn
pomak	desplaçament
inicijativa	iniciativa
wien	wien
gubitaka	pèrdues
jabuka	poma
jabuka	apple
bihać	bihać
pearl	pearl
pearl	perla
božanstvo	deïtat
božanstvo	divinitat
morris	morris
nastava	ensenyament
nastava	docència
nastava	classes
nedavni	recents
nedavni	recent
vjerska	religiós
baterije	bateria
baterije	bateries
baterije	piles
meksički	mexicà
sicilije	sicília
speg	speg
shvati	entendre
rothschild	rothschild
uvjerenja	creences
brojeve	nombres
brojeve	números
krater	cràter
vitamin	vitamina
aplikacija	aplicació
aplikacija	app
torino	torino
igračke	joguines
šupljine	cavitat
šupljine	cavitats
spašavanje	desant
spašavanje	estalvi
spašavanje	rescat
spašavanje	salvament
wei	wei
stambene	residencial
vrhova	cims
vrhova	pics
glover	glover
čuda	miracles
čuda	meravelles
opsada	setge
springs	springs
prodor	avenç
turista	turista
turista	turistes
kampanja	campanya
obveze	obligacions
obveze	compromisos
obveze	obligació
puebla	puebla
odredište	destinació
drvena	fusta
pošta	correu
cska	cska
fontana	fontana
sektora	sector
sektora	sectors
faust	faust
duke	duke
duke	duc
boban	boban
andreas	andreas
piramide	piràmide
piramide	piràmides
glad	fam
zeleno	green
zeleno	verd
dick	dick
izbjeglice	refugiats
senj	senj
spojena	fusionat
zastupljenost	representació
putanje	camins
izumio	inventat
trogir	trogir
izvješća	informes
zabave	parts
varijacije	variacions
varijacije	variació
siriji	síria
vrti	spinning
vrti	girant
sporedna	sideshow
postojeći	existent
postojeći	existents
standardna	estàndard
aluminija	alumini
aluminija	alumini
donald	donald
naredbe	ordres
naredbe	encàrrecs
naredbe	comandes
naredbe	ordres
umjetni	artificial
profesionalno	professional
profesionalno	professionals
profesionalno	professionalment
okus	gust
okus	sabor
tropske	tropical
almanah	almanac
poplava	inundació
poplava	inundacions
sergio	sergio
primjeni	aplica
tramvaj	tramvia
kraljevsko	royal
sim	slm
sim	sim
leone	leone
leone	leon
probiti	penetren
urb	urb
ukratko	breument
ukratko	curt
japansko	japonès
pečat	segell
pečat	foca
pečat	segell
ebert	ebert
prehrane	nutrició
natječaj	licitació
natječaj	tendra
natječaj	concurs
natječaj	certamen
violina	violí
maxim	maksim
maxim	maxim
počinio	comès
proteina	proteïna
proteina	proteïnes
odbacio	desestimat
lyon	lyon
lyon	lió
jajce	jajce
osvajača	invasors
danilo	danilo
barcelone	barcelona
augustin	augustin
miles	milles
miles	kilòmetres
miles	quilòmetres
zrcala	miralls
similis	similis
argumentum	argumentum
konvencije	convencions
konvencije	convenis
konvencije	conveni
konvencije	convenció
odražava	reflectint
iznutra	inside
iznutra	endins
iznutra	dins
grijeha	pecat
karakterističan	distintiu
bratstvo	fraternitat
bratstvo	germandat
bratstvo	germanor
bratstvo	hermandad
pgp	pgp
krzno	pelatge
satima	hores
vuka	llop
vuka	wolf
deutsche	deutsche
glasine	rumors
glasine	rumor
radionica	curset
radionica	taller
vjenčanja	casaments
vjenčanja	bodes
camp	campament
camp	camp
revoluciju	revolució
maribor	maribor
hampshire	hampshire
leptir	papallona
prikazano	mostrat
prikazano	mostrat
prikazano	destacat
ubojice	assassins
ubojice	assassins
ubojice	assassins
tvrdeći	discutint
tvrdeći	reivindicar
glasom	veu
suha	secà
komercijalno	comercialment
bora	bora
nakai	nakai
hunt	hunt
uši	polls
uši	orelles
uši	espigues
uši	oïdes
bitaka	batalles
graf	gràfica
potpora	suport
baterija	bateria
mita	suborns
fritz	fritz
poznavanje	coneixements
poznavanje	coneixement
atlanta	atlanta
historia	historia
petru	petra
vjenčanje	boda
vjenčanje	casament
kuge	plaga
kuge	pesta
kurt	kurt
pomogli	ajudat
sul	sul
zahvalnosti	gratitud
zahvalnosti	agraïment
gene	gene
gene	gen
bojan	bojan
ekološki	ecològica
ekološki	ecològic
ekološki	ecològiques
vice	vici
vice	vice
parovi	parelles
uništavanje	destruint
uništavanje	destrucció
cheiracanthium	cheiracanthium
horor	horror
linux	linux
faraon	faraó
zenit	zenit
liječnici	doctors
liječnici	metges
zamjene	substitucions
susjeda	veí
susjeda	veí
susjeda	veïna
ahmed	ahmed
ahmed	ahmet
tekuće	líquid
tekuće	liquid
molio	recitat
molio	oró
preuzimanja	descàrregues
preuzimanja	baixades
malus	pomera
malus	malus
ograničeno	limitades
ograničeno	limitat
ograničeno	limitats
ograničeno	restringits
ograničeno	restringida
ograničeno	restringeix
ograničeno	restringit
testiranje	provant
testiranje	assaig
testiranje	proves
dog	gos
definicije	definicions
definicije	definició
audi	audi
čitanja	lectures
tokyo	tòquio
tokyo	tokyo
stavove	actituds
besplatno	lliure
besplatno	gratuït
besplatno	lliures
forest	bosc
promatranje	observació
karen	karen
chamberlain	chamberlain
trening	entrenament
trening	formació
trening	pràctica
trening	entrenament
poduzetnik	empresari
poduzetnik	emprenedor
poljoprivredne	agrícola
grebena	esculls
catherine	caterina
catherine	catherine
studentima	estudiants
studentima	alumnat
studentima	alumnes
pretpostavke	supòsits
anđeli	àngels
anđeli	angels
pita	empanada
pita	pastís
prijetnje	amenaces
odobrio	aprovades
odobrio	aprovat
odobrio	aprovada
odobrio	aprovats
snyder	snyder
dale	dale
pacijent	pacient
snova	somnis
malta	malta
justin	justin
dostignuća	èxits
dostignuća	realitzacions
hoffman	hoffman
liber	liber
edgar	edgar
mučenika	màrtirs
koraka	passes
koraka	passos
japanci	japonès
austin	austin
iznimka	excepció
okrenuo	tornà
pogreška	error
pogreška	error
kriterij	criteri
kriterij	criteris
membrane	membranes
marijana	marianne
opseg	circumferència
opseg	àmbit
opseg	abast
pobjedio	guanyat
povezivanje	connexió
povezivanje	connecta
povezivanje	connectant
ugljik	carboni
powell	powell
kontrolira	controls
slaba	dèbil
slaba	feble
konji	cavalls
pristaje	fits
odobrenje	autorització
odobrenje	aprovació
odobrenje	autorització
mostova	ponts
novinarka	periodista
novinarka	reporter
flora	flora
propast	doom
promatrati	observar
stilova	estils
hbo	hbo
opremljena	equipada
opremljena	equipats
opremljena	equipat
izvanredno	extraordinaris
izvanredno	extraordinària
izvanredno	extraordinàries
tvoj	teva
tvoj	teu
velimir	velimir
seattle	seattle
catocala	catocala
planeti	planetes
protokol	protocol
umjetna	artificial
svinja	porc
tesla	tesla
luigi	luigi
metro	metro
kamenje	pedres
kamenje	roques
operativne	operatiu
operativne	operatius
operativne	operativa
reinhold	reinhold
pumpe	bombes
vodoravno	horitzontalment
vodoravno	horitzontal
neven	neven
vela	vel
golf	golf
sklonost	inclinació
sugerira	suggereix
palazzo	palazzo
većinski	majoria
optički	òptic
napoleona	napoleó
ovaca	ovella
ovaca	ovelles
ovaca	oví
beck	beck
helen	helen
manga	mango
manga	manga
sigurnošću	certesa
organi	òrgans
kantona	cantons
kantona	cantó
branitelji	defensors
teritoriji	territori
sutra	demà
kariba	carib
maroko	marroc
unutarnja	intern
unutarnja	interna
zapovjednici	comandants
moguć	possible
moguć	possibles
građanima	ciutadans
jačanje	enfortiment
trinidad	trinidad
trinidad	trinitat
alpe	alps
slučajevi	casos
springer	springer
jupitera	júpiter
gif	gif
sebastian	sebastian
sebastian	sebastián
novinari	press
novinari	premsa
novinari	periodistes
novinari	reporters
plaže	platja
plaže	platges
masters	masters
masters	amos
dekan	degà
dekan	dean
dekan	vicedegà
dekan	degana
shadab	shadab
sony	sony
privukao	atret
zec	hare
zec	llebre
zec	conill
šećer	sucre
hentschel	hentschel
sfera	esfera
profesionalna	professional
profesionalna	professionals
sex	sexe
sex	sex
invazija	invasió
govornici	altaveus
govornici	parlants
genocid	genocidi
imenice	substantius
blackmore	blackmore
bare	estany
bare	pond
preporod	revival
potaknuti	esperó
plodovi	fruites
plodovi	fruits
loša	bad
promjeru	diàmetre
laboratorij	laboratori
laboratorij	laboratori
rezidencija	residència
lange	lange
boca	boca
boca	ampolla
minas	minas
košarka	basquetbol
košarka	bàsquet
tragedija	tragèdia
nominaciju	candidatura
specifična	específics
specifična	específic
divlja	wild
divlja	salvatge
iznenađenje	sorpresa
prikupljanje	recollint
prikupljanje	recollida
greda	feix
ličnost	personalitat
božanstva	deïtat
elongata	elongata
izričito	explícitament
drukčije	diferent
drukčije	diferents
tribina	grades
panorama	panorama
incident	incident
veleposlanik	ambaixador
slovaci	eslovacs
pijanist	pianista
christie	christie
bodovi	punts
gume	pneumàtics
gume	pneumàtics
turističko	turista
gps	gps
mjuzikl	musical
daj	donar
tjedno	setmanal
tjedno	setmanals
delaware	delaware
mauzolej	mausoleu
torpedo	torpede
carvalho	carvalho
zavjet	pacte
zavjet	testament
dante	dante
poljaci	polonesos
englezi	anglès
tragove	vies
tragove	peces
tragove	pistes
salona	saló
hat	barret
klan	clan
križevci	križevci
ferula	ferula
stvori	crear
stvori	crea
venera	venus
bugojno	bugojno
razdvojba	desambiguació
kopno	land
palma	palma
postignuća	èxits
postignuća	realitzacions
voldemort	voldemort
posuda	embarcació
planirao	planificat
planirao	planejat
otrov	verí
eksplozija	explosió
berry	berry
poplave	inundacions
poplave	inundació
ordo	ordo
alt	alt
gorski	gorski
pružiti	proveir
pružiti	aportar
pružiti	proporcionar
irena	irena
irena	irene
poljoprivredu	agricultura
susjedi	veïns
susjedi	veïns
buna	buna
alkohol	alcohol
janković	jankovic
dora	dora
obiteljima	famílies
peto	peto
peto	cinquè
peto	cinquena
mustafa	mustafa
mustafa	mustafà
kamp	campament
kamp	camp
dojke	mamella
komentara	comentaris
komentara	observacions
naglasiti	subratllat
