guadalajara	guadalajara
örökre	forever
örökre	evig
örökre	evighet
egyszerűsített	forenklet
kognitív	kognitiv
kognitív	kognitive
irányítás	control
irányítás	kontroll
irányítás	kontroller
irányítás	kontrollere
irányítás	management
irányítás	ledelse
irányítás	styring
zaragoza	zaragoza
kígyó	slange
kígyó	snake
lanka	lanka
trevor	trevor
remete	eneboer
remete	eremitt
remete	eremitt
építő	byggmester
luc	luc
kevert	blanda
kevert	blandet
tengerészeti	naval
tengerészeti	maritime
ásványi	mineral
mérnökök	ingeniører
gyalog	fot
gyalog	foten
gyalog	går
gyalog	walking
gyalog	vandrende
gyalog	vandring
gyalog	gå
gyalog	gange
gyalog	spasertur
gyalog	walk
doboz	box
doboz	eske
doboz	kasse
doboz	boks
churchill	churchill
teljesül	oppfylt
teljesül	fullført
formáció	formasjon
szörnyű	forferdelig
szörnyű	fryktelig
szörnyű	skrekkelig
szörnyű	grusomt
szörnyű	forferdelig
szörnyű	fryktelig
szörnyű	skrekkelig
szörnyű	grusomt
szörnyű	forferdelig
szörnyű	grusom
szörnyű	forferdelige
szörnyű	grusomt
magyarázatot	forklaring
magyarázatot	forklaringer
classic	klassisk
classic	klassiker
classic	klassiske
classic	classic
wood	trevirke
wood	wood
wood	treverk
mátrix	matrise
mátrix	matrix
global	global
global	globalt
könyvtári	bibliotek
könyvtári	biblioteket
fenyő	furu
fenyő	pine
weiss	weiss
felette	ovenfor
felette	over
felette	above
békák	froskene
békák	frosker
urak	lords
urak	herrer
koncertek	konserter
austin	austin
indítás	lansering
indítás	utskyting
indítás	lanser
feloszlott	oppløst
statisztikák	statistikk
statisztikák	statistikk
cigányok	romanifolket
cigányok	sigøynere
kilátás	visning
kilátás	utsikt
kilátás	vis
sophie	sophie
etióp	etiopisk
barnabás	barnabas
barlangok	huler
barlangok	grotter
barlangok	hulene
utazik	reiser
utazik	reiser
utazik	reise
utazik	reising
előkészítő	forberedende
előkészítő	prep
schneider	schneider
élve	levende
élve	alive
borbély	barbereren
borbély	barber
borbély	frisøren
edwards	edwards
leszármazottai	avkom
leszármazottai	etterkommere
őrzött	bevoktet
őrzött	voktes
őrzött	voktet
bella	bella
adatlap	profil
adatlap	profilen
tevékenységek	aktivitetene
tevékenységek	aktiviteter
tevékenységek	aktivitet
harcosok	warriors
harcosok	krigere
harcosok	krigerne
harcosok	jagerfly
szintetizátor	synthesizer
képességeit	evner
orvostudomány	medisin
germain	germain
láz	feber
nitrogén	nitrogen
jonas	jonas
szárnya	fløyen
szárnya	ving
szárnya	vinge
növekedés	øk
növekedés	øke
növekedés	økning
növekedés	vekst
tanulás	studerer
tanulás	studere
tanulás	studie
tanulás	læring
tanulás	lærer
egyenlet	ligning
flash	flash
flash	blits
támogatója	supporter
támogatója	tilhenger
computer	computer
computer	datamaskinen
computer	datamaskin
toszkána	toscana
moto	moto
börtön	fengsel
una	una
okos	flinke
okos	snedig
okos	smart
okos	smart
mélység	dybde
mélység	dybden
lane	lane
grafika	grafikk
divízió	divisjon
személyisége	personlighet
atlas	atlas
kalózok	sjørøvere
kalózok	pirater
kalózok	pirates
isère	isère
brad	brad
kapcsolódott	koblet
kapcsolódott	tilkoblet
kapcsolódott	sammenkoblet
kapcsolódott	tilknyttet
kapcsolódott	knyttet
kapcsolódott	lenket
kapcsolódott	koblet
problémás	problematisk
problémás	bekymret
problémás	urolig
problémás	plaget
alexandre	alexandre
szászok	saksere
fehéroroszország	hviterussland
fehéroroszország	hviterusslands
fehéroroszország	hviterussisk
versailles	versailles
sainte	sainte
tények	fakta
tények	faktaene
gironde	gironde
ger	ger
bass	bass
spirituális	spirituell
spirituális	åndelig
sekély	grunt
sekély	grunne
kulcs	nøkler
kulcs	keys
kulcs	nøklene
kulcs	nøkkel
ajánlatot	tilbudet
ajánlatot	tilby
ajánlatot	tilbud
újonc	nykommer
újonc	rekrutt
újonc	rookie
hannover	hannover
schiller	schiller
leone	leone
jövőbeli	fremtidig
jövőbeli	fremtiden
jövőbeli	future
jövőbeli	fremtid
jövőbeli	framtid
jövőbeli	framtida
kezeli	håndtak
humoros	humoristisk
asszonyok	kvinner
asszonyok	kvinnfolk
jogszabályok	jus
jogszabályok	loven
jogszabályok	lov
jogszabályok	lovgivning
jogszabályok	lovgivning
jogszabályok	lover
legendája	legende
legendája	legend
chuck	chuck
planet	planet
megközelítőleg	omtrentlig
megközelítőleg	tilnærmet
megközelítőleg	omtrent
megközelítőleg	cirka
torres	torres
hong	hong
indre	indre
miles	miles
miles	mil
szárnyak	vingene
szárnyak	vinger
szárnyak	wings
gees	gees
műveletek	operasjoner
műveletek	handlingene
műveletek	handlinger
szenátus	senatet
szenátus	senat
rendezvények	hendelser
rendezvények	arrangementer
rendezvények	hendingar
arányos	proporsjonal
humanista	humanist
athenaeum	athenaeum
festői	naturskjønne
aragón	aragón
aragón	aragon
nancy	nancy
filmeket	kino
filmeket	filmer
filmeket	filmer
mesterek	masters
anita	anita
lausanne	lausanne
készülék	enheten
készülék	enhets
készülék	enhet
készülék	apparater
készülék	apparat
hétvégén	helger
hétvégén	helgene
hétvégén	helg
hétvégén	helgen
házas	gift
tirol	tirol
extrém	ekstrem
extrém	ekstremt
extrém	ekstreme
extrém	extreme
aug	aug
márka	merke
márka	brand
márka	merkevare
terra	terra
sawyer	sawyer
birkózó	bryting
birkózó	bryter
birkózó	bryting
vladimir	vladimir
atom	atomic
atom	atom
menő	kult
menő	stilig
menő	kul
hotspur	hotspur
basszusgitáros	bassist
janus	janus
szabványos	standard
októberi	oktober
októberi	october
arabul	arabisk
milliméter	millimeter
kábel	kabel
kábel	cable
büntetést	straffet
nyak	hals
nyak	neck
nyak	nakken
nyak	nakke
légitársaság	flyselskap
légitársaság	flyselskaper
légitársaság	airlines
többségi	flertall
többségi	majoritet
többségi	flertallet
spears	spyd
univerzum	universe
univerzum	univers
univerzum	universet
indulás	avreise
indulás	avgangen
indulás	avgang
kenny	kenny
jakob	jakob
műholdas	satellitt
cső	pipe
cső	rør
cső	tube
könyvtárosok	bibliotekarer
gyümölcs	frukt
gyümölcs	frukter
gyümölcs	frukt
model	modell
szociológiai	sociological
elisabeth	elisabeth
specifikus	spesifikk
specifikus	spesifikt
specifikus	spesifikke
természettudós	naturforsker
diktatúra	diktatur
rachel	rachel
projektek	prosjekter
projektek	prosjektene
viselkedése	atferd
viselkedése	oppførsel
montréal	montréal
oldódik	løselig
firenzei	florentine
csillagkép	stjernebilde
#fff	#fff
holló	crow
holló	kråke
holló	ravn
holló	raven
anti	anti
hírességek	kjendis
hírességek	kjendis
hírességek	kjendiser
auguste	auguste
werder	werder
hetente	ukentlige
hetente	ukentlig
köd	mist
köd	dis
köd	tåke
köd	stjernetåke
tang	tang
demográfiai	demografi
demográfiai	demografi
demográfiai	demografiske
demográfiai	demografisk
értékelte	verdsatt
értékelte	verdsatte
baptista	baptist
mostanában	nylig
kompatibilis	kompatible
kompatibilis	kompatibel
kompatibilis	kompatibelt
edge	kant
edge	edge
edge	kanten
fokozott	økt
jam	syltetøy
jam	jam
creek	creek
ajánlom	anbefale
ajánlom	anbefaler
sarki	polar
figyelmeztetés	advarsel
figyelmeztetés	warning
figyelmeztetés	alarm
figyelmeztetés	varsel
figyelmeztetés	beredskap
figyelmeztetés	varsle
figyelmeztetés	advarslene
figyelmeztetés	advarsler
narancssárga	orange
narancssárga	appelsin
narancssárga	oransje
meggyilkolták	myrdet
meggyilkolták	drept
scooby	scooby
lent	nedenfor
lent	below
lent	under
lent	nede
lent	nedenunder
boldogság	lykken
boldogság	lykke
boldogság	happiness
boldogság	lykkelig
boldogság	fornøyd
boldogság	glad
boldogság	fornøyde
szög	spiker
szög	negl
szög	vinkling
szög	vinkel
megválasztott	valgt
julian	julian
biológus	biolog
vienne	vienne
trombita	trompeten
trombita	trompet
pan	pan
péntek	fredag
moldova	moldovas
moldova	moldova
monumentális	monumental
bányászati	gruvedrift
poroszország	preussen
korrekt	riktig
korrekt	korriger
korrekt	korrekt
korrekt	korrigere
korrekt	riktige
korrekt	rettferdig
korrekt	fair
annie	annie
kalauz	veiledningen
kalauz	veiledning
kalauz	guide
kalauz	veiviser
kalauz	dirigent
vizsgált	testet
vizsgált	undersøkte
vizsgált	undersøkt
vizsgált	etterforsket
vizsgált	undersøkt
tölgy	eikeslekten
tölgy	eik
tölgy	oak
tölgy	eika
tojás	eggs
tojás	egg
tojás	egg
létesítmény	installasjon
létesítmény	installering
létesítmény	installasjonen
létesítmény	installeringen
létesítmény	anlegg
értelmezhető	meningsfulle
értelmezhető	meningsfull
értelmezhető	meningsfylt
megszállt	besatt
megszállt	okkupert
mialatt	mens
fix	fiks
fix	fikse
fix	fikset
fix	fast
fix	reparert
homok	sand
homok	sands
csók	kyssing
csók	kysse
csók	kysser
csók	kisses
csók	kyss
csók	kiss
csók	kyss
veszteségeket	tapene
veszteségeket	tap
spontán	spontane
spontán	spontan
spontán	spontant
spontán	spontant
derby	derby
evolúció	evolusjon
szurkolók	fans
szurkolók	tilhengere
üzemeltető	operatør
conrad	conrad
conrad	konrad
analízis	analyse
mongólia	mongolia
luna	luna
luna	lulla
privát	menig
privát	privat
privát	enerom
privát	private
kezdetek	begynnelsen
kezdetek	begynner
kezdetek	begynnelse
bizonyítani	beviser
bizonyítani	bevise
bizonyítani	bevise
főnök	høvding
főnök	sjef
főnök	boss
szülő	foreldre
szülő	forelder
szülő	overordnet
harvey	harvey
áruház	butikk
jackie	jackie
atlanta	atlanta
koordináta	koordinere
koordináta	koordinatene
koordináta	koordinater
claudius	claudius
átadott	overført
csillagkapu	stargate
potenciális	potensial
potenciális	potensielt
potenciális	potensielle
potenciális	potensiale
lambert	lambert
horror	redsel
horror	horror
horror	skrekk
szaxofon	saksofon
utasok	passasjerene
utasok	passasjerer
utasok	reisende
teológia	teologi
eltávolították	fjernet
eltávolították	fjerna
diszkográfia	diskografi
