細分	подразделение
スクロール	свитък
会う	среща
セクター	сектора
セクター	сектор
セクター	секторите
セクター	отрасли
セクター	сектори
濃い	силни
濃い	силен
濃い	силно
濃い	силна
減らす	намаление
減らす	намаляване
減らす	спадане
減らす	намали
減らす	намаляване
ショパン	шопен
トロンボーン	тромбон
ネック	врат
ネック	врата
ネック	шия
ネック	нек
ストライキ	страйк
ストライキ	стачка
最低限	минимален
最低限	минимално
最低限	минимална
最低限	минимум
スクランブル	бъркани
レター	писмо
レター	буква
回廊	коридор
回廊	коридора
プレゼン	представяне
プレゼン	презентация
プレゼン	представяме
プレゼン	презентации
モスク	джамии
モスク	джамията
モスク	джамия
ルーカス	лукас
ルーカス	лукас
プライド	гордост
プライド	прайд
清算	ликвидиране
清算	ликвидация
テロリスト	терорист
テロリスト	терористична
テロリスト	терористите
テロリスト	терористи
バーンズ	барнс
バーンズ	бърнс
バーンズ	гори
バーンズ	изгаряния
管理人	админ
管理人	администратор
管理人	администратори
管理人	администратори
管理人	администратор
持ち込み	носи
持ち込み	носене
持ち込み	донеси
コスチューム	костюм
コスチューム	костюми
コスチューム	костюмите
カージナルス	кардиналите
美智子	мичико
波動	вълната
波動	вълна
エアバス	airbus
スペック	спецификации
ボリス	борис
サンバ	самба
原告	ищеца
原告	ищецът
原告	ищеца
地主	хазяина
チキン	пилешко
チキン	кокошка
チキン	пиле
チキン	пиленце
インデックス	индекс
インデックス	индекси
インデックス	показател
インデックス	индекси
中道	умерено
中道	умерен
中道	умерена
ピックアップ	пикапи
ピックアップ	взимане
ピックアップ	пикап
コールド	студ
コールド	студен
コールド	студено
コールド	студена
プライス	цена
ハロルド	харолд
ハロルド	харълд
待遇	третиране
待遇	лечение
待遇	обработка
北極	арктика
西園寺	сайонджи
フレンチ	френско
フレンチ	французи
フレンチ	френска
フレンチ	френски
フレンチ	французин
すごい	страхотни
すごい	страхотен
すごい	страхотно
すごい	страхотна
すごい	супер
すごい	невероятна
すごい	удивително
すごい	изумително
すごい	невероятен
すごい	невероятно
吹雪	виелица
ライプツィヒ	лайпциг
アダムズ	адамс
ジュース	сокове
ジュース	сок
ジュース	сокове
ルージュ	руж
従兄弟	братовчед
従兄弟	братовчеда
従兄弟	братовчедка
痴漢	опипване
用心棒	бияч
ギルド	гилдията
ギルド	гилдия
ギルド	гилдии
ニュルンベルク	нюрнберг
ブラザー	братко
ブラザー	брат
チューリッヒ	цюрих
チューリッヒ	цюрих
内線	продължение
内線	удължаване
内線	разширение
字体	глиф
ルクス	люкс
ルクス	лукс
ステッカー	лепенка
ステッカー	стикер
ステッカー	стикери
ステッカー	лепенки
浅い	повърхностен
浅い	плитко
浅い	повърхностно
浅い	повърхностни
浅い	повърхностна
カブ	ряпа
パウル	пол
パウル	паул
故人	починали
故人	починала
故人	покойник
故人	починал
アッパー	ъперкът
ハンドボール	хандбал
オークス	оукс
エッグ	яйца
エッグ	яйцата
エッグ	яйцето
エッグ	яйца
エッグ	яйце
更生	рехабилитация
スキン	кожи
スキン	кожата
スキン	кожа
ピンチ	щипка
まさし	масаши
パース	пърт
エマ	ема
エマ	емма
ヌード	голотата
ヌード	голота
ヌード	голо
ヌード	голи
ヌード	гола
ヌード	голи
メビウス	мьобиус
公害	замърсяване
コペンハーゲン	копенхаген
りんご	ябълки
りんご	епъл
りんご	ябълков
りんご	ябълка
りんご	apple
ヒカル	хикару
インフルエンザ	грип
インフルエンザ	инфлуенца
インフルエンザ	грип
イラ	ила
関税	тарифата
関税	тарифни
関税	тарифа
オーボエ	обой
毒性	токсично
毒性	токсичен
毒性	токсични
毒性	токсична
毒性	токсичност
メカニズム	механизмите
メカニズム	механизми
メカニズム	механизъм
ファンタジア	фантазия
やさしい	леко
やさしい	лесно
ジャンボ	джъмбо
ネギ	праз
燃える	горене
燃える	гори
