から	출신
日本	재팬
日本	일본
日本	닛폰
この	이거
また	또한
もの	것들
もの	사물
大学	대학
大学	대학교
大学	대학
大学	대학교
大学	대학
大学	칼리지
大学	대학생
大学	대학교
大学	대학
テレビ	텔레비전
テレビ	텔레비전
放送	방송
放送	방송
東京	도쿄
東京	동경
削除	삭제됨
削除	삭제함
削除	삭제되었습니다
削除	삭제
削除	삭제
削除	지우기
削除	제거
削除	삭제하기
削除	삭제
削除	지우기
削除	삭제하기
現在	현재
現在	전류
現在	현재
現在	현재
現在	선물
平成	헤이세이
学校	학교
学校	학교
学校	학교는
学校	스쿨
学校	학원
これ	이거
世界	월드
世界	세상
世界	세계
アメリカ	아메리카
でも	그런데
でも	그러나
でも	근데
でも	하지만
について	소개
について	대략
作品	웍스
作品	작동
作品	작품
時代	era
時代	시대
映画	영화
映画	시네마
映画	영화
映画	필름
映画	영화
映画	영화
監督	디렉터
監督	감독
鉄道	철도
鉄道	철도
鉄道	철도
使用	이용하기
使用	사용하기
使用	사용
使用	이용
使用	사용하다
出演	외모
出演	출연
出演	외모
出演	모양
出演	출연
出演	깁스
出演	캐스트
出演	캐스팅
明治	메이지
時間	영업시간
時間	시간
時間	시간
時間	시간
時間	타임
時間	time
開始	시작
開始	시작하기
開始	시작
開始	개시
開始	입문
シリーズ	시리즈
のみ	단발
のみ	오직
記事	기사
記事	이야기
記事	스토리
記事	소식
記事	스토리
記事	소식
記事	기사
活動	활동
選手	플레이어
選手	선수
選手	플레이어스
選手	운동선수
しかし	그런데
しかし	그러나
しかし	근데
しかし	하지만
研究	공부
研究	조사
研究	연구
会話	대화하기
会話	대화
会話	대화
大阪	오사카
大会	조약
大会	협약
大会	컨벤션
チーム	team
存在	존재
優勝	우승
優勝	승리
作詞	노랫말
所属	소속
国際	국제
国際	인터내셔널
一部	일부
一部	부분적으로
結果	결과
結果	결과
アルバム	앨범
アルバム	음반
アルバム	앨범
アルバム	음반
バス	버스
バス	베이스
バス	배스
バス	버스
ゲーム	게임
ゲーム	게이밍
ゲーム	게임
ゲーム	경기
ゲーム	게임
問題	이슈
問題	문제
問題	문제
問題	문제
問題	쟁점
問題	이슈
問題	문제
リーグ	동맹
リーグ	리그
リーグ	리그
利用	사용하기
利用	사용
開発	개발
開発	발달
事業	업체
事業	사업
事業	비즈니스
決定	의사결정
決定	결정
決定	결정
音楽	음악
音楽	뮤직
転送	전진
転送	전달
転送	앞으로
転送	전송
転送	전송
情報	정보
情報	정보
公式	공식
公式	포뮬러
公式	공식
公式	official
参加	참여하기
参加	가입하기
参加	참여
参加	가입
参加	참가
参加	참여
地域	지역
地域	지방
地域	지역
変更	변화
変更	변경
変更	수정
変更	바뀌기
変更	변화
変更	변경
変更	바꾸기
編曲	편곡
編曲	편곡
サイト	사이트
サイト	사이트
記録	녹음
記録	녹화
記録	레코드
記録	녹음
記録	녹화
記録	기록
関係	관계
関係	관계
クラブ	클럽
クラブ	클럽
中央	주오
中央	중부
中央	센트럴
中央	중앙
中央	중심
中央	센터
中央	중앙
中央	센터
同じ	같은
同じ	동일
同じ	똑같이
設立	설립
設立	설립
考え	생각
考え	생각
教育	교육학
教育	교육
教育	학력
プロ	프로
設置	설치
発表	발표
発表	공지
発表	공지사항
発表	발표
発表	공지사항
発表	공지
小学校	초등
編集	편집
編集	편집하기
編集	수정
編集	편집
編集	수정
編集	편집
編集	수정
編集	수정
シーズン	시즌
シーズン	계절
シーズン	시즌
シーズン	계절
ファイル	파일
ファイル	파일
フランス	프랑스
都市	도시
都市	시티
都市	도시
出版	출판사
出版	퍼블리셔
出版	출판
出版	게시
出版	출판
出版	출판물
出版	출판
会社	회사
会社	컴퍼니
会社	기업
会社	회사
世紀	세기
世紀	세기
ノート	노트
ノート	참고
ノート	공책
ノート	노트북
ノート	노트
ノート	공책
ノート	노트북
京都	교토
社会	사회
ドイツ	독일
シングル	싱글
シングル	단일
センター	중앙
センター	중심
センター	센터
センター	중앙
センター	센터
終了	종료
終了	끝내기
終了	완료
終了	마무리
終了	마침
終了	끝내기
終了	종료
終了	끝내기
終了	완료
終了	완료되었습니다
終了	종료
終了	출구
終了	나가기
終了	exit
終了	끝내기
中心	중앙
中心	중심
中心	센터
中心	중앙
中心	센터
内容	콘텐츠
内容	컨텐츠
内容	내용
内容	목차
内容	콘텐츠
内容	내용
文化	문화
イギリス	잉글랜드
ドラマ	드라마
中国	중국인
中国	중국
中国	차이나
撮影	사진
撮影	사진술
選手権	챔피언십
選手権	챔피언쉽
野球	베이스볼
野球	야구
指定	명명법
指定	명명
指定	지정하기
指定	지정합니다
指定	지정
位置	직위
位置	위치
位置	포지션
以下	아래쪽
以下	아래
以下	아래에
マン	mann
卒業	졸업
卒業	졸업식
卒業	졸업
人物	사람
公開	공공
公開	공개
公開	공중
公開	게시
公開	출판
公開	발행
北海道	홋카이도
北海道	홋카이도
北海道	도오
最終	마지막
最終	라스트
最終	기말고사
最終	파이널
最終	결승전
アニメ	애니메이션
確認	확인
確認	확인하기
確認	확인
一般	장군
一般	일반
一般	일반인
歴史	역사
歴史	내역
歴史	히스토리
歴史	기록
選挙	선거
選挙	선거
計画	예정된
計画	계획
計画	플래닝
計画	계획
計画	기획
計画	플랜
計画	계획
計画	플랜
計画	계획
経済	경제
ページ	페이지
ページ	페이지
教授	교수
教授	교수님
ラジオ	라디오방송
ラジオ	라디오
劇場	연극
劇場	극장
劇場	영화관
劇場	연극
劇場	극장
グループ	그룹
グループ	집단
グループ	그룹
英語	영어
英語	잉글리시
女性	여인
女性	여자
女性	여성
女性	암컷
女性	여성
女性	여자들
女性	여자
女性	여성
獲得	적립
