limp	куцање
stebėjimai	набљудување
pelkėtose	мочурливи
tretjakovo	третјаков
nurodymai	упатство
nurodymai	инструкции
nurodymai	упатства
bundesarchiv	bundesarchiv
pieva	ливада
pieva	ливадата
biala	biała
powell	пауел
pasaulietinės	секуларна
japonica	japonica
orlaiviai	летала
orlaiviai	авионски
privatizavimo	приватизација
privatizavimo	приватизацијата
įvaizdžio	совршенство
įvaizdžio	совршеност
tikslios	прецизни
tikslios	точна
tikslios	прецизен
tikslios	точен
tikslios	прецизно
drėkinimo	наводнување
genai	гените
genai	гени
šieno	сено
galingų	моќен
nissan	нисан
baptiste	батист
xxiii	xxiii
nervai	нервите
nervai	нерви
nėščia	бремена
nėščia	трудна
nėščia	бремени
tostring	tostring
euras	еврото
euras	euro
euras	еуро
euras	евро
tomasz	томаш
atsistatydinimo	оставка
švyturio	светилникот
švyturio	светилник
susitarimai	аранжмани
susitarimai	договори
sunkvežimis	камион
eto	ето
kalifatas	калифатот
genesis	genesis
drėgnumas	влага
drėgnumas	влага
drėgnumas	влажност
genetiniai	генетски
genetiniai	генетска
kenneth	кенет
okupuotoje	окупирана
okupuotoje	окупирани
okupuotoje	зафатено
ism	зам
programuotojas	развивач
programuotojas	програмер
skandalas	скандал
vertinga	збогатуваат
vertinga	вредно
vertinga	вредни
kapitolijaus	капитол
audrų	бури
audrų	невреме
laiptų	скалите
laiptų	скали
laiptų	скалила
dekoruoti	декорирање
vežimo	вагон
fermentai	ензими
levinas	левин
susidūrimas	судар
navbox	navbox
mažylis	бебе
mažylis	орце
mažylis	душичка
mažylis	срце
jeep	џип
jeep	џипот
kalė	кучка
kalė	кучката
vėžiagyvių	школки
skundas	жалба
skundas	апел
snoop	снуп
kieno	чија
kieno	чиј
kieno	чии
kieno	чие
geograph	geograph
astronomai	астрономи
pagrobti	киднапира
kaštonų	костен
kompleksų	комплекси
fulham	fulham
butas	стан
butas	станот
butas	апартман
tarpininkas	посредници
tarpininkas	посредник
iliustratorius	illustrator
sauga	сигурност
sauga	безбедност
kepler	кеплер
ožys	коза
ožys	козата
pokalbis	разговор
