категорија	kategori
година	tahun
година	year
како	bagaimana
како	how
како	suka
како	sukai
како	seperti
како	like
што	what
што	apa
дека	that
дека	itu
дека	bahwa
дека	yang
бил	tagihan
бил	bill
бил	tagih
бил	ruu
бил	been
кои	siapa
кои	who
кој	siapa
кој	who
тоа	that
тоа	itu
тоа	bahwa
тоа	yang
други	lain
други	lainnya
други	lain
други	lainnya
има	telah
има	has
има	memiliki
била	euy
била	was
била	been
македонија	makedonia
додека	sambil
додека	sementara
додека	selagi
кога	kapan
кога	saat
кога	apabila
кога	ketika
страна	sisi
страна	side
страна	samping
биле	were
дел	part
дел	bagian
дел	del
дел	dell
околу	tentang
околу	ttg
околу	perihal
околу	sekitar
околу	seputar
околу	sekitar
време	kali
време	waktu
време	waktunya
време	time
век	abad
век	century
под	under
под	dibawah
може	dapat
може	can
може	bisa
неговата	his
неговата	nya
еден	satu
еден	one
врски	dasi
врски	taut
врски	pranala
врски	link
врски	tautan
врски	links
исто	same
надворешни	eksternal
повеќе	selengkapnya
повеќе	lebih
повеќе	lainnya
повеќе	lagi
податоци	data
каде	mana
каде	dimana
многу	sangat
многу	much
многу	banyak
многу	lot
објекти	fasilitas
објекти	obyek
објекти	objek
објекти	benda
години	tahun
календар	kalender
сите	all
сите	aii
сите	semua
сите	semuanya
една	satu
една	one
меѓу	antara
меѓу	diantara
било	setiap
било	sembarang
било	any
пред	sebelum
пред	sebelumnya
пред	before
ова	ini
јазик	lidah
јазик	bahasa
само	only
само	saja
само	hanya
само	cuma
само	hanya
каталог	katalog
каталог	katalog
таа	she
број	angka
број	nomor
број	bilangan
број	nomer
овој	ini
градот	city
градот	kota
беше	euy
беше	was
беше	been
општ	generik
односно	masing
кај	bei
оваа	ini
тие	mereka
нов	new
нов	baru
селото	sapporo
времето	cuaca
времето	kali
времето	waktu
времето	waktunya
времето	time
некои	some
некои	beberapa
претставува	mewakili
претставува	pose
место	spot
место	tempatkan
место	place
место	tempat
општина	kotamadya
општина	munisipalitas
започнува	dimulai
светот	world
светот	dunia
преку	via
преку	melalui
преку	lewat
преку	through
преку	melalui
македонски	makedonia
неколку	beberapa
земјата	bumi
земјата	earth
две	dua
две	two
небо	sky
небо	langit
небо	angkasa
небо	langit
небо	skies
уште	masih
уште	selengkapnya
уште	lebih
уште	lainnya
уште	lagi
список	daftar
список	list
неговиот	his
неговиот	nya
септември	september
споменува	mention
споменува	penyebutan
споменува	mentions
споменува	sebutan
сјај	berkilauan
сјај	glitter
сјај	bersinar
сјај	glow
град	kotamadya
град	town
град	kota
град	city
град	kota
агол	pojok
агол	corner
агол	pojokan
агол	sudut
агол	angle
агол	sudut
село	selo
село	kampung
село	dusun
село	desa
село	village
информации	info
информации	information
информации	informasi
германија	germania
германија	jerman
помеѓу	antara
помеѓу	diantara
црква	gereja
црква	church
подоцна	kemudian
подоцна	nanti
познати	dikenal
познати	diketahui
познати	famous
познати	terkenal
жители	penghuninya
жители	penduduk
жители	warga
жители	penghuni
бидејќи	karena
треба	membutuhkan
треба	perlukan
треба	perlu
треба	kebutuhan
треба	need
треба	butuh
својата	menta
својата	its
мини	mini
мини	ranjau
мини	tambang
мини	mines
мини	minnie
против	menentang
против	melawan
против	against
против	terhadap
голем	besar
голем	big
голем	besar
период	periode
луѓе	pria
луѓе	men
луѓе	rakyat
луѓе	orang
луѓе	people
војна	perang
војна	peperangan
војна	war
сад	as
сад	usa
скопје	skopje
република	republika
република	republik
три	tiga
три	three
без	tanpa
помош	bantuan
помош	bantu
помош	bantuan
помош	membantu
помош	mayday
поделба	divisi
поделба	pembagian
поделба	division
поделба	partisi
поделба	membagi
поделба	kesenjangan
космос	kosmos
космос	cosmos
космос	kosmos
освен	kecuali
над	over
над	diatas
неговите	his
неговите	nya
иако	meskipun
иако	walaupun
иако	though
иако	meskipun
иако	walaupun
иако	meski
иако	walau
низ	through
низ	melalui
низ	palung
села	desa
почетокот	kickoff
пример	contoh
јазици	bahasa
потоа	lalu
потоа	maka
потоа	kemudian
потоа	sesudahnya
денес	today
начин	way
два	dua
два	two
точка	dot
точка	poin
точка	titik
точка	point
заедно	bareng
заедно	together
заедно	bersama
литература	sastra
пак	lagi
пак	pac
него	nya
него	him
сепак	namun
сепак	masih
сепак	yet
постојат	eksis
своите	menta
своите	its
објект	obyek
објект	objek
објект	fasilitas
јануари	januari
систем	sistem
систем	system
име	nama
десно	kanan
десно	benar
десно	right
основни	esensial
основни	penting
основни	dasar
основни	basic
сателитот	satellite
сателитот	satelit
можат	dapat
можат	can
можат	bisa
користи	menggunakan
користи	gunakan
користи	pakai
користи	penggunaan
нив	mereka
класификација	klasifikasi
група	group
група	kelompokkan
група	grup
група	kelompok
истражувања	survei
истражувања	riset
истражувања	penelitian
европа	eropa
прв	pertama
прв	duluan
прв	dulu
прв	first
држави	negara
држави	negara
откриен	terdeteksi
откриен	dideteksi
откриен	mendeteksi
откриен	mengungkapkan
откриен	diungkap
откриен	terungkap
проучување	belajar
проучување	kajian
проучување	belajar
проучување	studi
пат	tepuk
пат	pat
пат	jalan
пат	road
галаксии	galaksi
август	august
август	agustus
вклучен	melibatkan
вклучен	terlibat
вклучен	terlibat
вклучен	bertunangan
вклучен	berinteraksi
предмет	barang
предмет	butir
предмет	item
предмет	obyek
предмет	objek
предмет	subyek
предмет	subjek
предмет	perihal
астрономски	astronomi
соѕвездие	constellation
соѕвездие	konstelasi
набљудување	observasi
набљудување	pengamatan
мај	may
мај	mei
истражувачи	penjelajah
истражувачи	peneliti
критериуми	kriteria
март	march
март	maret
користена	digunakan
користена	terpakai
користена	used
користена	dipakai
ѕвезди	bintang
ѕвезди	stars
голема	besar
голема	big
голема	besar
секој	anyone
секој	siapapun
секој	setiap
секој	every
цел	tujuan
цел	gawang
цел	sasaran
цел	goal
цел	gol
поделби	divisi
поделби	pembagian
јули	juli
америка	amerika
америка	america
америка	amerika
цар	tsar
цар	kaisar
цар	tsar
често	sering
често	seringkali
често	sering
поправени	diperbaiki
поправени	tetap
поправени	fixed
поправени	diperbaiki
припаѓа	milik
истражување	survey
истражување	survei
истражување	riset
истражување	penelitian
работи	things
работи	hal
работи	perkara
работи	karya
работи	bekerja
работи	works
работи	berfungsi
работи	bekerja
работи	hal
работи	barang
градови	kota
места	tempat
места	bintik
места	kursi
места	slot
места	slots
април	april
роден	born
роден	lahir
роден	terlahir
роден	dilahirkan
октомври	oktober
земја	negara
земја	bumi
земја	earth
повторно	lagi
око	eye
око	mata
франција	prancis
франција	france
франција	perancis
димензии	dimensi
округот	kabupaten
округот	county
округот	daerah
округот	powiat
округот	shire
позната	dikenal
позната	diketahui
позната	famous
позната	terkenal
позната	familiar
позната	akrab
позната	terbiasa
галаксија	galaxy
галаксија	galaksi
игри	permainan
игри	games
игри	game
деклинација	deklinasi
историја	history
историја	riwayat
историја	sejarah
откако	sesudah
откако	after
откако	setelah
ноември	november
ноември	nopember
јуни	juni
лакот	busur
лакот	bow
теме	verteks
живот	kehidupan
живот	life
живот	hidup
северна	utara
северна	northern
настани	peristiwa
настани	kegiatan
настани	event
настани	acara
ширина	lebar
култура	kultur
култура	kebudayaan
култура	budaya
пласман	klasemen
центар	tengah
центар	pusat
центар	center
центар	tengah
центар	pusat
центар	centre
втората	detik
втората	kedua
втората	second
население	penduduk
население	populasi
декември	desember
декември	december
мери	meri
мери	mary
мери	maria
трае	berlangsung
дела	karya
дела	bekerja
дела	works
дела	deeds
дела	della
ден	siang
ден	hari
ден	day
состојба	negara
состојба	keadaan
состојба	state
состојба	syarat
состојба	kondisi
дијаметар	diameter
рим	rome
рим	romawi
рим	roma
особено	terutama
особено	khususnya
особено	terutama
означена	ditandai
означена	ditandai
италија	italia
италија	italy
италија	italia
тогаш	lalu
тогаш	maka
тогаш	kemudian
реката	sungai
реката	river
леќа	lensa
леќа	lens
земји	negara
шаблон	pola
шаблон	template
шаблон	templat
вид	kind
вид	jenis
член	anggota
член	member
член	pasal
член	artikel
беа	were
познат	dikenal
познат	diketahui
познат	famous
познат	terkenal
округ	kabupaten
округ	county
округ	daerah
округ	powiat
округ	distrik
округ	kecamatan
округ	raionul
округ	kabupaten
округ	daerah
американски	american
американски	amerika
област	oblast
област	daerah
област	wilayah
област	luas
област	kawasan
област	area
јужна	southern
јужна	selatan
јужна	selatan
јужна	south
едно	satu
едно	one
етапа	pentas
етапа	tahap
етапа	panggung
етапа	stage
забележан	rabun
износ	jumlah
филмови	films
филмови	film
филмови	movies
филмови	bioskop
филмови	film
англиски	inggris
англиски	indonesian
англиски	english
бугарија	bulgaria
првенство	championship
првенство	kejuaraan
опсерваторија	observatorium
дури	even
дури	genap
дури	bahkan
грција	yunani
однос	hubungan
содржи	mengandung
содржи	berisi
милиони	juta
милиони	million
милиони	sejuta
милиони	jutaan
милиони	juta
милиони	berjuta
збор	kata
збор	word
збор	firman
февруари	februari
февруари	pebruari
работа	tugas
работа	job
работа	pekerjaan
работа	ayub
работа	pekerjaan
работа	kerja
работа	bekerja
функција	fungsi
држава	negara
држава	negara
држава	keadaan
држава	state
календари	kalender
секоја	setiap
секоја	every
секоја	setiap
секоја	tiap
секоја	each
русија	rusia
русија	russia
постои	ada
метри	meter
метри	meter
нејзината	nya
нејзината	her
големи	besar
големи	big
големи	besar
четири	empat
четири	four
џон	john
џон	yohanes
џон	jon
олимписки	olympic
олимписки	olimpiade
делови	parts
делови	bagian
делови	onderdil
политика	polis
политика	kebijakan
политика	politik
видови	varietas
видови	spesies
видови	species
империја	imperium
империја	empire
империја	kekaisaran
главен	chief
главен	ketua
главен	kepala
главен	utama
врска	pranala
врска	link
врска	tautan
врска	taut
врска	hubungan
врска	ikatan
врска	obligasi
врска	bond
свети	shine
свети	bersinar
свети	suci
свети	sakral
свети	santo
свети	saint
свети	bersinar
свети	glow
вклучувајќи	termasuk
телескоп	teleskop
групи	grup
групи	kelompok
најчесто	kebanyakan
награда	reward
награда	hadiah
награда	imbalan
награда	pahala
награда	pahalanya
награда	prize
награда	penghargaan
награда	award
значи	maksud
значи	berarti
значи	galak
значи	mean
значи	berarti
значи	artinya
значи	sarana
разговор	percakapan
разговор	obrolan
разговор	chat
филм	movie
филм	bioskop
филм	film
филм	film
википедија	wikipedia
крај	akhiri
крај	end
крај	akhir
вода	water
вода	air
резултат	score
резултат	skor
резултат	hasil
резултат	result
улога	peran
улога	peranan
претседател	presiden
училиште	sekolah
страница	page
страница	halaman
западна	barat
западна	western
нови	new
нови	baru
песни	alunan
песни	lagu
песни	songs
организација	organisasi
организација	organisasi
лидери	pemimpin
познато	familiar
познато	akrab
познато	terbiasa
случај	case
случај	kasus
редослед	pesanan
редослед	pemesanan
редослед	order
редослед	urutan
сезона	season
сезона	musim
сезона	musimnya
игра	permainan
игра	game
веќе	sudah
основа	basis
населба	penyelesaian
населба	pemukiman
населба	lingkungan
обично	biasanya
обично	normalnya
обично	biasanya
обично	biasa
промени	perubahan
промени	mengubah
промени	berubah
промени	ganti
промени	perubahan
промени	mengubah
промени	ubah
разлика	perbedaan
разлика	diff
разлика	bedanya
разлика	perbedaan
употреба	penggunaan
употреба	kegunaan
употреба	pemakaian
употреба	menggunakan
употреба	gunakan
употреба	pakai
употреба	penggunaan
форма	shape
форма	bentuk
форма	formulir
форма	membentuk
форма	form
форма	bentuk
договор	deal
договор	penawaran
договор	kesepakatan
договор	kesepakatan
договор	perjanjian
договор	persetujuan
договор	kontrak
договор	perjanjian
договор	traktat
изграден	membangun
изграден	dibangun
изграден	built
изграден	dibangun
некој	anyone
некој	siapapun
некој	seseorang
некој	someone
некој	seseorang
некој	somebody
лига	league
лига	liga
лига	liga
влијание	impact
влијание	berdampak
влијание	dampak
влијание	benturan
влијание	pengaruhi
влијание	memengaruhi
влијание	pengaruh
друга	another
членови	anggota
починал	meninggal
површина	permukaan
површина	dekstop
површина	desktop
неа	nya
неа	her
неа	nea
после	sesudah
после	after
после	setelah
острови	pulau
острови	kepulauan
вештачки	artifisial
вештачки	artifisial
вештачки	buatan
самиот	myself
самиот	diri
самиот	diri
самиот	sendiri
самиот	yourself
ред	pesanan
ред	pemesanan
ред	order
ред	urutan
ред	dayung
ред	baris
ред	row
лица	muka
лица	wajah
лица	faces
друг	another
почеток	mulai
почеток	mulailah
почеток	start
почеток	permulaan
почеток	awal
народи	bangsa
син	nak
син	putra
син	son
син	anak
албум	album
никола	nikola
никола	nicola
македонска	makedonia
нова	new
нова	baru
австралија	australia
тур	tour
тур	tur
тур	wisata
повеќето	kebanyakan
повеќето	paling
александар	aleksandar
александар	alexander
вилијам	william
татко	ayah
татко	ayah
татко	bapa
татко	bapak
движење	gerakan
движење	motion
движење	gerak
движење	mosi
движење	memindahkan
движење	pindah
движење	bergerak
движење	gerakan
движење	pergerakan
дело	akta
дело	pekerjaan
дело	kerja
дело	bekerja
дело	delo
власт	otoritas
власт	kewenangan
власт	authority
власт	tenaga
власт	kekuasaan
власт	kekuatan
власт	power
власт	daya
прва	pertama
прва	duluan
прва	dulu
прва	first
мора	harus
мора	mesti
мора	keharusan
мора	must
англија	inggris
развој	pengembangan
развој	perkembangan
развој	pembangunan
развој	berkembang
развој	kembangkan
развој	mengembangkan
деца	anak
лево	kiri
лево	tersisa
главно	terutama
главно	kebanyakan
србија	serbia
сега	sekarang
сега	now
сега	kini
кариера	karir
кариера	karier
кариера	berkarir
кариера	karir
кариера	karier
храм	temple
храм	candi
храм	kuil
ниво	aras
ниво	level
ниво	tingkatan
ниво	tingkat
облик	shape
облик	bentuk
тим	tim
тим	tim
тим	team
сателити	satelit
ера	zaman
ера	era
музика	music
музика	musik
германски	german
германски	jerman
видете	lihat
археолошки	arkeologi
археолошки	purbakala
близина	terdekat
близина	sekitar
универзитет	universitas
универзитет	university
море	laut
пати	kali
пати	times
пет	lima
пет	five
париз	paris
целосно	sepenuhnya
целосно	seutuhnya
целосно	sepenuhnya
поле	bidang
поле	lapangan
поле	field
поле	medan
поле	kolom
минути	menit
листа	daftar
листа	list
мала	small
мала	kecil
мала	little
мала	kecil
мала	sedikit
мала	beraktifitas
вредност	bernilai
вредност	nilai
поделени	dibagi
поделени	terbagi
британија	britania
поврзани	terhubung
поврзани	terkoneksi
поврзани	tersambung
поврзани	ditautkan
поврзани	terkait
поврзани	terhubung
поврзани	berhubungan
поврзани	berkaitan
поврзани	terkait
саксонија	sachsen
свет	world
свет	dunia
потекло	origin
потекло	asal
потекло	keturunan
потекло	asal
владетел	penguasa
владетел	penggaris
шпанија	spanyol
спорт	sport
спорт	olahraga
спорт	olahraga
спорт	sports
програма	program
програма	program
мали	small
мали	kecil
мали	little
мали	kecil
мали	sedikit
мали	beraktifitas
мали	mali
куќа	house
куќа	rumah
институции	institusi
институции	lembaga
буда	budha
буда	buddha
трка	balapan
трка	race
трка	perlombaan
трка	ras
трка	lomba
крал	raja
крал	king
таму	ada
веднаш	segera
слика	picture
слика	gambar
слика	gambar
слика	image
слика	citra
слика	melukis
слика	lukisan
статија	pasal
статија	artikel
ссср	soviet
статии	artikel
евреите	yahudi
евреите	ibrani
француски	prancis
француски	perancis
партија	party
партија	berpesta
партија	partai
партија	pesta
партија	pihak
природни	alamiah
природни	natural
природни	alami
кралство	kingdom
кралство	kerajaan
државите	negara
река	sungai
река	river
политички	politik
области	distrik
области	kegubernuran
области	area
право	straight
право	lurus
право	kanan
право	benar
право	right
серија	deret
серија	series
серија	seri
серија	serie
енергија	tenaga
енергија	energi
енергија	energy
значајни	signifikan
значајни	berarti
значајни	bermakna
островот	pulau
островот	island
образование	edukasi
образование	pendidikan
хершел	hershel
дена	days
дена	hari
добро	bagus
извршување	mengeksekusi
извршување	mengeksekusi
извршување	eksekusi
извршување	laksanakan
извршување	eksekusi
извршување	pelaksanaan
негово	his
негово	nya
нејзините	menta
нејзините	its
наведени	tercantum
наведени	terdaftar
тука	disini
тука	here
тука	sini
смртта	kematian
смртта	death
смртта	maut
смртта	mati
римјаните	romans
римјаните	romawi
родени	born
родени	lahir
родени	terlahir
родени	dilahirkan
натпревари	cocok
натпревари	kecocokan
натпревари	pertandingan
натпревари	kompetisi
натпревари	kontes
натпревари	lomba
егејска	aegea
албанија	albania
книга	kitab
книга	book
книга	buku
речиси	almost
речиси	hampir
речиси	nyaris
азија	asia
песна	lacak
песна	trek
песна	track
песна	lagu
песна	song
всушност	sebenarnya
всушност	actually
боја	warna
боја	color
боја	berwarna
боја	paint
боја	cat
боја	warna
боја	colour
прави	melakukan
понекогаш	terkadang
понекогаш	kadang
води	prospek
води	pimpin
води	lead
води	waters
води	perairan
води	air
води	memimpin
води	prospek
води	pimpin
води	lead
поглед	melihat
поглед	tampilan
поглед	lihat
заедница	komunitas
заедница	masyarakat
заедница	community
стил	gaya
стил	style
стил	bergaya
рок	batuan
рок	batu
рок	rock
мухамед	muhamed
мухамед	muhammad
мухамед	muhammed
комитет	komite
комитет	panitia
африка	africa
африка	afrika
населени	dihuni
континент	benua
животот	kehidupan
животот	life
животот	hidup
регион	daerah
регион	wilayah
регион	provinsi
регион	region
регион	kawasan
моќ	tenaga
моќ	kekuasaan
моќ	kekuatan
моќ	power
моќ	daya
сила	kekuatan
сила	force
сила	memaksa
сила	angkatan
сила	paksa
сила	paksakan
исток	east
исток	timur
извештај	lapor
извештај	laporkan
извештај	melaporkan
извештај	laporan
лондон	london
лондон	banjarmasin
кина	tiongkok
кина	china
кина	jatim
кина	cina
права	hak
елементи	unsur
елементи	elemen
елементи	entri
елементи	masukan
теорија	teori
најголем	biggest
најголем	terbesar
значење	arti
значење	artinya
значење	makna
значење	makna
значење	signifikansi
орбита	orbital
орбита	orbit
орбита	orbit
езеро	danau
руски	russian
руски	rusia
битола	bitola
нешто	something
нешто	sesuatu
црна	hitam
црна	black
натпревар	kompetisi
натпревар	persaingan
натпревар	lomba
натпревар	korek
натпревар	cocok
натпревар	pertandingan
натпревар	kecocokan
натпревар	kontes
