исполнува	cumpliendo
гвајана	guayana
гвајана	guyana
омега	omega
комунистите	comunistas
комунистите	comunista
комунистите	comunismo
мешани	mixtas
мешани	mixta
мешани	mixto
мешани	mixtos
мешани	mezclado
церемонијата	ceremonia
церемонијата	ceremonias
конфедерација	confederación
познавање	conocimiento
познавање	conocimientos
ленин	lenin
работен	trabajando
работен	funcionando
работен	trabajar
бокс	boxeo
зелено	verde
зелено	green
зелено	verdes
разновидност	diversidad
разновидност	variedad
реони	precintos
јава	paseos
јава	jre
јава	java
моја	míos
моја	mio
моја	mina
моја	mías
моја	mío
моја	mía
балет	ballet
убеди	convencido
убеди	persuadido
убеди	convencer
убеди	convence
убеди	persuadir
убеди	convencer
убеди	persuadir
вечера	cenas
вечера	cenar
вечера	cena
наполи	nápoles
наполи	napoli
наведено	especificó
наведено	especificada
наведено	especificado
наведено	especificados
зачувана	almacenados
зачувана	almacenadas
зачувана	almacenado
зачувана	almacenada
зачувана	salvados
зачувана	salvado
зачувана	salvó
зачувана	guardado
зачувана	guardados
зачувана	conservado
зачувана	conservas
зачувана	preservado
зачувана	conservados
шпанците	españoles
прикажано	mostrada
прикажано	mostrado
прикажано	demostrado
прикажано	mostrados
осман	osman
презиме	apellidos
презиме	apellido
присуствувале	asistió
присуствувале	asistieron
присуствувале	asistido
сигурни	confiables
сигурни	fiable
сигурни	confiable
сигурни	fiables
обична	plain
обична	llanura
обична	llano
можностите	oportunidades
патуваат	viajando
патуваат	viajar
меша	mezclas
вејн	díaz
вејн	wayne
крокодил	cocodrilo
крокодил	cocodrilos
драчево	connecticut
толкува	interpreta
толкува	interpretar
толкува	interpretados
толкува	interpretado
толкува	interpretadas
толкува	interpretada
мзт	mzt
надворешно	exteriores
надворешно	exterior
надворешно	externa
надворешно	externo
надворешно	externos
надворешно	exterior
луизијана	luisiana
кутии	casillas
кутии	cajas
купер	cooper
чичко	tio
чичко	tío
верувал	creyó
верувал	creyeron
верувал	creído
верувал	creía
момчиња	boys
момчиња	muchachos
момчиња	chicos
убиец	killer
убиец	asesino
убиец	asesina
убиец	matador
убиец	asesino
убиец	homicida
убиец	asesina
убиец	asesino
убиец	asesina
стојанов	stoyanov
бери	barry
мермер	mármol
сличности	similitudes
сличности	semejanzas
жупанија	condado
покана	invitación
бирмингем	birmingham
слаби	débiles
слаби	débil
другари	compañeros
другари	camaradas
путин	putin
орландо	orlando
скулптура	escultura
ветрови	viento
ветрови	vientos
сродни	kindred
емануел	emanuel
емануел	manuel
емануел	emmanuel
брдо	brdo
брдо	colina
брдо	cerro
брдо	hill
трајно	permanente
трајно	permanentes
трајно	permanentemente
еднаквост	igualdad
племето	tribu
реченици	sentencias
реченици	frases
реченици	oraciones
атланта	atlanta
мориња	mares
супстанци	substancias
супстанци	sustancias
кампањи	campañas
власи	valaco
власи	valacos
преводи	traducción
преводи	traducciones
белег	cicatriz
белег	mark
белег	marcar
белег	marca
белег	marcos
митови	mitos
фелпс	phelps
астрономијата	astronomía
реагира	reacciona
реагира	reaccionar
реагира	reaccionan
реагира	reacciona
бомби	bombas
еврото	eurocopa
еврото	euro
еврото	euros
