категорија	категорія
година	рік
како	як
како	подобається
како	зразок
како	like
што	що
што	яка
што	чим
дека	той
бил	білла
бил	білл
бил	фактура
бил	біл
бил	був
бил	було
бил	були
кои	хто
кои	who
кои	какой
кои	який
кои	які
кои	яке
кои	яка
или	або
кој	хто
кој	who
тоа	той
други	інший
други	інша
други	інші
други	інше
други	інших
други	інших
други	інші
други	іншими
која	какой
која	який
која	які
која	яке
која	яка
има	має
била	був
била	була
била	було
била	був
била	було
била	були
македонија	македонія
македонија	македонії
додека	поки
кога	коли
страна	збоку
страна	сторона
страна	бічна
страна	бік
страна	сторони
биле	були
дел	частина
дел	дель
дел	del
дел	dell
дел	делл
околу	приблизно
околу	інфо
околу	про
околу	щодо
околу	around
околу	довкола
околу	навколо
време	тайм
време	час
век	ст
век	століття
век	century
под	під
под	під
под	під
под	under
може	зміг
може	могла
може	змогли
може	вдалось
може	міг
може	можна
неговата	його
еден	одна
еден	one
еден	одне
еден	один
врски	стосунку
врски	лінки
врски	посилання
врски	посиланнями
врски	посилань
исто	збігається
исто	однаковий
исто	однакові
исто	same
исто	самий
надворешни	зовнішнє
надворешни	зовнішні
надворешни	зовнішній
надворешни	зовнішня
повеќе	більше
податоци	дані
податоци	data
каде	звідки
каде	де
каде	where
каде	куди
многу	дуже
многу	багато
многу	сильно
многу	лот
објекти	споруди
објекти	предмети
години	роки
календар	календар
сите	усі
сите	всі
сите	все
сите	всіх
сите	всім
сите	усіх
сите	усі
сите	усім
сите	всіх
една	одна
една	one
една	одне
една	один
меѓу	серед
меѓу	серед
меѓу	поміж
меѓу	між
било	якісь
пред	перед
пред	before
ова	цей
ова	ця
јазик	язик
јазик	язика
јазик	мова
јазик	мови
јазик	мову
само	лише
само	тільки
само	просто
само	щойно
каталог	каталог
каталог	каталог
таа	вона
таа	she
број	число
број	кількість
број	номер
број	номера
овој	цей
овој	ця
градот	місто
беше	був
беше	була
беше	було
беше	був
беше	було
беше	були
општ	загальна
општ	загальні
општ	звичайний
општ	загальний
општ	загальне
односно	відповідно
оваа	цей
оваа	ця
тие	ті
тие	тих
тие	тими
тие	вони
нов	нові
нов	нове
нов	нова
нов	новий
нов	створити
селото	саппоро
времето	погода
времето	тайм
времето	час
некои	дехто
некои	деякі
некои	якесь
некои	якийсь
некои	трохи
претставува	представляє
место	місце
место	пляма
место	місце
овие	ці
општина	муніципалітет
општина	край
започнува	починається
започнува	починає
