yang	யாங்
dan	மற்றும்
dan	இன்னும்
dan	டான்
dengan	குல
dengan	கொண்டு
dengan	இதனால்
dengan	உடன்
the	என்ற
untuk	இதற்கு
untuk	க்கு
untuk	இதற்காக
untuk	க்காக
juga	also
juga	அத்துடன்
juga	கூட
terletak	பொய்கள்
indonesia	இந்தோனேசியா
dari	இருந்து
dari	விட்டும்
dari	அனுப்புநர்
dari	முதல்
daerah	மாவட்ட
daerah	மாவட்டம்
tahun	ஆண்டுகள்
tahun	வருடங்கள்
tahun	ஆண்டு
tahun	வருடம்
tahun	வருடமும்
adalah	இருக்கிறார்கள்
telah	கொண்டுள்ளது
telah	has
wilayah	மாகாணம்
wilayah	பிராந்தியம்
wilayah	மண்டலம்
wilayah	பகுதி
wilayah	பிரதேசங்கள்
lihat	பார்
lihat	பார்க்க
lihat	காண்கிறேன்
kawasan	பரப்பு
kawasan	பரப்பளவு
kawasan	பகுதியில்
kawasan	பகுதி
kawasan	பிராந்தியம்
kawasan	மண்டலம்
kawasan	பகுதி
kawasan	பகுதிகள்
kawasan	மண்டலங்கள்
sekolah	பள்ளிகள்
sekolah	பள்ளிக்கு
sekolah	பள்ளி
sekolah	பாடசாலை
sekolah	பள்ளிக்கூடம்
tidak	அல்ல
tidak	இல்லை
tidak	கூடாது
komun	commune
komun	communes
bahasa	மொழிகள்
bahasa	மொழி
orang	நபர்
orang	மக்களே
orang	நபர்கள்
orang	மக்களின்
orang	மக்கள்
pautan	இணைப்பை
pautan	இணைப்பு
pautan	இணைப்பைப்
pautan	இணைப்புகள்
pautan	இணைப்புக்கள்
malaysia	மலேசியா
malaysia	மலேஷியா
daripada	இருந்து
daripada	விட்டும்
daripada	அனுப்புநர்
daripada	முதல்
daripada	விட
kampung	கம்போங்
kampung	கிராம
kampung	கிராமத்து
kampung	கிராமம்
kampung	கிராமத்தில்
kampung	கிராமத்திற்கு
jabatan	துறை
satu	ஒன்று
satu	ஒன்றை
satu	ஒரு
negara	நாடு
negara	நாட்டின்
negara	நிலை
negara	மாநிலம்
negara	நெகாரா
negara	நாடுகள்
mereka	அவர்கள்
mereka	அவர்களை
mereka	அவர்களுக்கு
mereka	இவர்களுக்கு
mereka	அவர்கள்
kebangsaan	தேசிய
kebangsaan	தேசியக்
bandar	ஊர்
bandar	ஊருக்கு
bandar	டவுன்
bandar	நகரம்
bandar	சிட்டி
bandar	நகரங்கள்
bandar	பந்தர்
imperial	இம்பீரியல்
lelaki	நாயகன்
lelaki	மனிதா
lelaki	மனிதனின்
lelaki	மனிதனுக்கு
lelaki	மனிதன்
negeri	நிலை
negeri	மாநிலம்
menjadi	இருப்பது
barat	வேஸ்ட்
barat	மேற்கு
barat	மேற்கு
lain	மற்றவை
lain	பிற
lain	வேறு
lain	மற்ற
lain	மற்றவை
lain	மற்றவர்கள்
lain	பேர்
lain	பிறர்
lain	பிறரை
lebih	பலவற்றிற்கு
lebih	அதிகம்
lebih	மேலும்
etnik	இன
etnik	இனக்குழு
etnik	இனம்
mempunyai	கொண்டுள்ளது
mempunyai	has
mempunyai	உண்டு
perancis	பிரெஞ்சு
perancis	பிரான்சு
perancis	பிரான்ஸ்
akan	செய்வான்
nama	பெயர்
nama	பெயர்கள்
perbandaran	நகராட்சி
boleh	முடியும்
filem	திரைப்படம்
filem	மூவி
filem	திரைப்படம்
filem	திரைப்படங்கள்
timur	கிழக்கு
