som	kot
det	to
det	tisto
for	za
ble	postala
ble	postal
ble	ostal
ble	ostala
var	var
var	bil
var	bila
var	bili
han	hana
han	han
fra	iz
fra	od
har	dobil
har	got
har	ima
har	imajo
har	imeti
ikke	ni
ikke	ne
også	tudi
også	preveč
ved	drva
men	toda
men	ampak
men	vendar
etter	po
lenker	verige
lenker	povezave
under	spodaj
under	pod
eksterne	zunanji
eksterne	zunanja
eksterne	zunanje
kan	lahko
hadde	imelo
hadde	imeli
hadde	imel
hadde	imela
andre	andre
andre	drugi
andre	drugo
andre	druga
andre	druge
andre	drugi
andre	drugih
andre	druge
dette	to
dette	ta
dette	tole
dette	tega
over	konec
over	zgoraj
første	prva
første	prvo
første	prvi
første	najprej
hun	hun
hun	ona
sin	njegovo
sin	njegove
sin	njegov
sin	njegova
sin	its
født	rojen
født	rojena
født	rojene
født	rojeni
født	rodil
mot	pogum
mot	proti
mot	zoper
mot	mot
der	tam
denne	to
denne	ta
denne	tole
denne	tega
hans	hans
hans	njegovo
hans	njegove
hans	njegov
hans	njegova
norsk	norveško
norsk	norveške
norsk	norveška
norsk	norveški
norsk	norsk
mellom	med
flere	večkratno
flere	večkratni
flere	več
flere	bolj
fikk	dobil
fikk	got
norge	norveško
norge	norveška
noen	kogarkoli
noen	kdorkoli
noen	nekdo
noen	nekatere
noen	nekaterim
noen	nekateri
noen	nekaj
noen	neki
noen	katerekoli
noen	katerokoli
noen	katerikoli
noen	kdorkoli
blir	ostal
blir	bivanje
alle	vsi
alle	vsi
alle	vsem
alle	vse
alle	vseh
alle	vsi
noe	nekoliko
noe	nekaj
noe	karkoli
hvor	kjer
hvor	kje
kom	pridi
mange	številni
mange	mnogi
mange	veliko
siden	stran
wikipedia	wikipedia
tidligere	predhodno
tidligere	prej
tidligere	prej
tidligere	nekdanje
tidligere	nekdanja
tidligere	nekdanji
tidligere	predhodna
tidligere	prejšnja
tidligere	predhodni
tidligere	prejšnji
tidligere	predhodno
sammen	skupaj
ligger	polaganje
før	pred
før	preden
før	prej
død	smrt
død	mrtev
disse	teh
disse	te
disse	tele
senere	pozneje
senere	kasneje
del	del
del	delno
del	del
del	deli
del	delimo
del	delež
del	delim
norske	norveško
norske	norveške
norske	norveška
norske	norveški
tre	tre
tre	jelka
tre	drevo
tre	tri
tre	trije
tre	tremi
tre	three
mer	več
mer	bolj
vil	želiš
vært	bil
vært	bila
oslo	oslo
selv	celo
annet	drugi
annet	drugo
annet	druga
annet	druge
samme	ista
samme	enaka
samme	enako
samme	isto
store	velika
store	veliki
store	velike
store	velik
and	duck
and	račka
and	raca
kjent	znana
kjent	znane
kjent	znan
kjent	znani
kjent	znano
kjent	poznan
kjent	znano
kjent	poznano
sitt	sedi
mai	mai
mai	maj
mai	maja
bare	le
bare	samo
bare	le
bare	samo
kommune	župnijo
kommune	občina
nord	severna
nord	severni
nord	severno
nord	sever
nord	nord
kunne	lahko
gjennom	skoz
gjennom	skozi
slik	takšne
slik	takšna
slik	take
ord	beseda
ord	besedo
ord	besed
ord	besede
sør	južno
sør	jug
sør	južna
mens	mens
rundt	naokrog
rundt	okoli
rundt	okrog
rundt	krog
rundt	okrogla
rundt	okrogle
rundt	rundo
rundt	okrogel
rundt	okroglo
sine	njihovi
sine	njihov
sine	njihovo
sine	njuna
sine	njihova
sine	njihove
sine	its
usa	zda
usa	usa
her	tukaj
når	kadar
når	ko
når	kdaj
både	obe
både	oba
byen	mestu
byen	mesto
byen	city
byen	mesto
byen	mestu
gikk	hodil
januar	januar
januar	januarja
august	avgusta
august	august
august	avgust
vant	zmagali
vant	zmagala
vant	zmagal
navn	ime
navn	imena
navn	imen
meter	metrov
meter	meter
meter	metrov
dag	dag
dag	dan
dag	day
navnet	ime
mars	marec
mars	marca
