mørket	darkness
waterhouse	waterhouse
domenico	domenico
berømmelse	fame
rotasjon	xoay
rotasjon	quay
airbus	airbus
gale	gale
gale	khùng
gale	điên
trærne	cây
josh	josh
murer	walls
murer	tường
kirby	kirby
afc	afc
betaler	trả
betaler	trả
ambisjoner	tr
shi	shi
shi	thạch
armer	tay
krigere	warriors
egeerhavet	aegean
lima	lima
durham	durham
tørt	lau
tørt	khô
forandring	đổi
forandring	thay
cornell	cornell
hubert	hubert
bekymret	troubled
bekymret	lo
wedel	wedel
poulsen	poulsen
connor	connor
luftwaffe	luftwaffe
abdul	abdul
rwanda	rwanda
lynn	lynn
klikk	click
klikk	nhấn
klikk	nhấp
klikk	ấn
klikk	bấm
pensjonerte	hưu
aquitaine	aquitaine
kuwait	kuwait
bois	bois
lennart	lennart
tifotkreps	decapoda
botswana	botswana
mad	giận
variabel	biến
mia	mia
croix	croix
malm	quặng
legende	legend
kanton	tổng
kanton	canton
nordby	nordby
neue	neue
uniform	uniform
cecil	cecil
uendelig	infinite
uendelig	vá
becker	becker
claire	claire
thing	điều
thing	thứ
café	cafe
café	café
café	café
madonna	madonna
gates	gates
gates	cổng
drikker	drinker
drikker	nhậu
drikker	uống
lensmann	constable
lensmann	sheriff
barrett	barrett
billig	cheap
billig	rẻ
henge	treo
ros	khen
rally	rally
grunne	cạn
bjørnar	bjørnar
porsche	porsche
ekstrem	extreme
undersøkelsen	survey
louvre	louvre
argumenterer	argues
florø	florø
pavel	pavel
pavel	panel
kjede	chán
kjede	chán
kjede	xích
kjede	đinh
fron	fron
unngår	tránh
theben	thebes
eden	eden
grønnsaker	rau
grønnsaker	rau
hunan	hunan
kristina	kristina
capitol	capitol
bahrain	bahrain
belize	be
belize	belize
alonso	alonso
armensk	armenia
bitter	đắng
egersund	egersund
mauritius	mauritius
samveldet	commonwealth
sabel	sabre
sabel	saber
sms	sms
estadio	estadio
skjerm	bày
kule	viên
spore	vết
spore	rãnh
ulster	ulster
making	making
armen	tay
joshua	joshua
ingvar	ingvar
sung	soong
sung	sung
