operze	opéra
kazachstanu	kazakhs
kazachstanu	kazakhe
kazachstanu	kazakh
kazachstanu	kazakhstan
fal	ondes
fal	vagues
newcastle	newcastle
krok	step
krok	étape
wolę	préfère
wolę	préférer
wolę	préférez
wolę	préfèrent
sycylii	sicile
miecz	épée
miecz	glaive
miecz	sabre
szkła	vitre
szkła	verre
szkła	verres
larwy	larve
larwy	larve
larwy	larves
larwy	asticots
hamburgu	hambourg
hamburgu	hamburg
motor	bicyclette
motor	vélo
motor	motocyclette
motor	motocycle
motor	motocyclettes
motor	moto
motor	moteur
motor	motocyclette
motor	moto
wirtualny	virtuel
wirtualny	virtuels
wirtualny	virtuelle
wirtualny	virtual
wirtualny	virtuelles
mnich	monk
mnich	moine
wolna	gratuit
wolna	gratuits
wolna	free
wolna	gratuitement
wolna	libre
rick	rick
hitler	hitler
instrument	instrument
chrześcijaństwa	chrétienté
chrześcijaństwa	christianisme
oskarżony	accusés
oskarżony	inculpé
oskarżony	accusé
oskarżony	accusée
oskarżony	accusé
oskarżony	défendeur
oskarżony	accusée
got	got
mezoregionie	méso
harold	harold
mur	paroi
mur	muraille
mur	mur
katalonii	catalogne
kadłub	hull
kadłub	coque
kadłub	coques
zawierał	contenues
zawierał	contenaient
murowana	murowana
arkadiusz	arkadiusz
pochodząca	originaire
pochodząca	originaires
ustanowiony	établies
ustanowiony	établie
ustanowiony	établi
ustanowiony	établis
rozporządzenie	ordonnance
rozporządzenie	réglementation
rozporządzenie	règlement
rozporządzenie	régulation
rozporządzenie	règlementation
but	démarrer
but	botte
but	amorcer
but	chaussure
but	soulier
marion	marion
niemożliwe	impossible
niemożliwe	impossibles
emma	emma
ręcznie	manuellement
gniazda	nids
gniazda	nest
gniazda	nid
gniazda	socket
gniazda	nids
gniazda	douilles
gniazda	imbrication
gniazda	nidification
lyon	lyonnais
lyon	lyon
robinson	robinson
funkcjonariusz	officier
louise	louise
budżetu	budgétaire
budżetu	budget
dot	dot
sedan	sedan
sedan	berline
heleny	hélène
heleny	helena
know	connaitre
know	connaître
know	sais
know	sachez
know	savoir
gloria	gloria
hubert	hubert
iihf	iihf
porażka	échec
porażka	défaillance
porażka	défaite
porażka	défaites
porażka	vaincre
uczniowie	étudiants
uczniowie	etudiants
uczniowie	élèves
uczniowie	élèves
curie	curie
włączone	incluses
włączone	inclus
włączone	incluse
włączone	compris
włączone	activées
włączone	activés
włączone	activée
włączone	activé
równowagi	balance
równowagi	solde
równowagi	équilibre
równowagi	équilibre
rolach	rôles
short	courte
short	court
short	courts
short	courtes
jules	jules
napoleon	napoléon
zlokalizowane	situés
zlokalizowane	située
zlokalizowane	localisé
zlokalizowane	situé
zlokalizowane	localisées
zlokalizowane	localisée
zlokalizowane	localisés
zlokalizowane	localisé
zlokalizowane	localisés
zlokalizowane	localisées
zlokalizowane	localisée
zlokalizowane	localisé
craig	craig
poznać	rencontrez
poznać	rencontre
poznać	rencontrer
rozpocząć	commencez
rozpocząć	commencer
rozpocząć	commencez
oświecenia	illumination
komunistów	communistes
konferencja	conférences
konferencja	conférence
lloyd	lloyd
produktu	produit
produktu	produits
judy	judy
amy	amy
romans	romantisme
romans	idylle
romans	romance
romans	romantique
rolnych	agricole
rolnych	agricoles
współpracownicy	associés
współpracownicy	collaborateurs
współpracownicy	collègues
stwierdza	conclut
ofiara	vic
ofiara	civ
ofiara	sacrifices
ofiara	sacrifié
ofiara	sacrifice
ofiara	sacrifier
ofiara	victime
leonardo	léonard
leonardo	leonardo
harrison	harrison
ice	verglas
ice	ice
ice	glace
sánchez	sánchez
naturalny	naturel
naturalny	naturelles
naturalny	naturels
