katalonii	catalonië
kadłub	hull
kadłub	romp
zawierał	ingeperkt
murowana	murowana
arkadiusz	arkadiusz
ustanowiony	opgericht
ustanowiony	gevestigde
ustanowiony	gevestigd
rozporządzenie	verordening
rozporządzenie	regelgeving
rozporządzenie	regulering
rozporządzenie	verordening
but	laars
but	schoen
marion	marion
niemożliwe	onmogelijke
niemożliwe	onmogelijk
emma	emma
ręcznie	manueel
ręcznie	handmatig
gniazda	nest
gniazda	nestje
gniazda	socket
gniazda	stopcontact
gniazda	nesten
gniazda	sockets
gniazda	nestelen
lyon	lyon
robinson	robinson
funkcjonariusz	officier
funkcjonariusz	agent
louise	louise
budżetu	budget
budżetu	begroting
dot	puntje
dot	dot
dot	stip
sedan	sedan
heleny	helena
know	weten
know	weet
gloria	gloria
hubert	hubert
iihf	iihf
porażka	falen
porażka	mislukkingen
porażka	mislukking
porażka	mislukken
porażka	mislukkeling
porażka	nederlaag
porażka	verslaan
uczniowie	studenten
uczniowie	leerlingen
uczniowie	pupillen
uczniowie	leerlingen
curie	curie
włączone	inclusief
włączone	inbegrepen
włączone	ingeschakeld
równowagi	saldo
równowagi	balans
równowagi	evenwicht
równowagi	evenwicht
rolach	rollen
short	kort
short	short
short	korte
jules	jules
napoleon	napoleon
zlokalizowane	gelokaliseerd
zlokalizowane	gelokaliseerd
zlokalizowane	gelokaliseerde
craig	craig
poznać	ontmoet
poznać	ontmoeten
rozpocząć	begin
rozpocząć	beginnen
oświecenia	verlichting
komunistów	communisten
konferencja	conferentie
lloyd	lloyd
produktu	product
produktu	produkt
judy	judy
amy	amy
romans	romance
romans	romantiek
romans	affaire
współpracownicy	associates
współpracownicy	vennoten
współpracownicy	medewerkers
współpracownicy	compagnons
stwierdza	concludeert
ofiara	vic
ofiara	offeren
ofiara	opoffering
ofiara	offer
ofiara	slachtoffer
leonardo	leonardo
harrison	harrison
ice	ijs
ice	ice
sánchez	sánchez
naturalny	natuurlijk
naturalny	natuurlijke
podobno	zogenaamd
podobno	vermeend
podobno	vermoedelijk
złożona	composiet
złożona	samengesteld
złożona	samengestelde
złożona	gecomponeerd
złożona	samengesteld
złożona	complexe
złożona	complex
złożona	ingewikkeld
złożona	gevouwen
złożona	opgevouwen
niski	laag
niski	low
niski	lage
umowa	deal
umowa	overeenkomst
umowa	akkoord
umowa	contract
zwraca	retourneren
zwraca	retour
zwraca	geeft
tytularny	titulair
maksymalny	maximale
maksymalny	maximaal
maksymalny	maximum
jewgienij	jevgeni
deportivo	deportivo
rzesza	rijk
rzesza	reich
przetrwał	overleefden
przetrwał	overleefde
przetrwał	overleefd
nakład	inspanning
nakład	circulatie
nakład	oplage
nakład	bloedsomloop
wcześniejsze	eerder
wcześniejsze	voorgaande
wcześniejsze	vorig
wcześniejsze	vorige
wcześniejsze	eerdere
kanclerz	bondskanselier
kanclerz	kanselier
summer	zomer
niedziela	zondag
niedziela	sunday
gorzów	gorzów
sporadycznie	incidentele
sporadycznie	incidenteel
sporadycznie	sporadisch
sporadycznie	sporadische
sporadycznie	incidenteel
after	na
after	after
skrzyżowaniu	kruispunt
skrzyżowaniu	kruising
skrzyżowaniu	kruispunt
budapeszt	boedapest
obozach	kampen
wady	tekortkomingen
wady	zwaktes
wady	zwakheden
wady	tekortkomingen
wady	gebreken
wady	gebreken
wady	defecten
wady	mankementen
wady	nadelen
małopolska	upland
administracja	admin
administracja	beheerder
administracja	administratie
administracja	toediening
oryginalne	oorspronkelijke
oryginalne	origineel
oryginalne	originele
owadów	insecten
owadów	insect
owadów	insecten
human	menselijk
human	menselijke
human	mens
przepływu	flow
podręcznik	handboek
podręcznik	handmatige
podręcznik	manueel
podręcznik	handleiding
podręcznik	handmatig
podręcznik	handboek
mayer	mayer
liter	letteren
liter	letters
liter	brieven
możliwa	mogelijke
możliwa	mogelijk
alonso	alonso
podoficerów	onderofficieren
collins	collins
turecki	turkse
turecki	turks
juliana	julian
juliana	juliana
dodatkowa	bijkomend
dodatkowa	bijkomende
dodatkowa	aanvullend
dodatkowa	aanvullende
dodatkowa	extra
dodatkowa	extra
prosta	eenvoudige
prosta	simpel
prosta	eenvoudig
western	western
western	westelijk
helen	helena
helen	hellen
helen	helen
strój	kostuum
strój	outfit
klientów	klanten
klientów	afnemers
klientów	cliënten
klientów	klanten
norfolk	norfolk
win	win
win	winnen
win	wijn
win	wijnen
nadzór	supervisie
nadzór	toezicht
nadzór	toezicht
nadzór	bewaking
nadzór	surveillance
nadzór	oversight
nadzór	toezicht
mas	mas
klasyczne	klassiek
klasyczne	klassieke
klasyczne	klassiek
klasyczne	klassieker
klasyczne	klassieke
klasyczne	classic
połączeń	fusies
połączeń	concentraties
phoenix	feniks
phoenix	phoenix
wnętrz	interieur
wnętrz	binnenland
wnętrz	interieur
jelenia	hert
jelenia	herten
jelenia	hert
euroncap	euroncap
konfliktów	conflicten
konfliktów	conflict
wikicytaty	wikiquote
piersi	borst
piersi	borstkas
piersi	borsten
piersi	borst
piersi	borsten
piersi	borsten
uderzenia	impact
uderzenia	inslag
uderzenia	effect
uderzenia	botsing
rozdzielczość	resolutie
raper	rapper
osadników	kolonisten
operacje	bewerkingen
operacje	operaties
operacje	operation
operacje	bewerking
operacje	operatie
operacje	exploitatie
symbole	symbolen
kongresie	congres
tablicy	array
kentucky	kentucky
ważna	belangrijke
ważna	belangrijk
ważna	valide
ważna	geldig
ważna	geldige
agata	agatha
agata	agata
badacz	onderzoeker
szanse	chance
szanse	kans
rezygnacji	ontslagbrief
rezygnacji	aftreden
rezygnacji	ontslag
niezależny	zelfstandig
niezależny	onafhankelijke
niezależny	onafhankelijk
niezależny	freelance
olivier	olivier
podpisano	ondertekend
podpisano	ondertekende
podpisano	gesigneerd
podpisano	getekend
luigi	luigi
fritz	fritz
ron	ron
ncaa	ncaa
włosy	haar
włosy	haren
włosy	haartjes
włosy	hair
starsze	oudere
starsze	ouder
pancerna	panzer
mieszkalnych	residentiële
wódz	stamhoofd
żydowska	joodse
żydowska	jood
żydowska	joods
ball	bal
ball	ball
pozytywnie	positief
pozytywnie	positieve
waży	weegt
wątroby	lever
pasy	gordels
pasy	riemen
przedstawiony	afgebeeld
przedstawiony	ingezonden
przedstawiony	ingediende
przedstawiony	ingediend
przedstawiony	gepresenteerde
przedstawiony	aangeboden
przedstawiony	gepresenteerd
girls	meiden
girls	meisjes
girls	girls
neutralności	neutraliteit
bilans	saldo
bilans	balans
bilans	evenwicht
potter	potter
julien	julien
kalendarza	agenda
kalendarza	kalender
wyborczych	electorale
marshall	marshall
znaczący	substantiële
znaczący	substantieel
znaczący	aanzienlijk
znaczący	aanzienlijke
znaczący	betekenisvolle
znaczący	zinvolle
znaczący	zinvol
znaczący	betekenisvol
znaczący	significant
autostrady	autowegen
autostrady	snelwegen
autostrady	snelweg
autostrady	autosnelweg
autostrady	snelweg
autostrady	autoweg
autostrady	autowegen
autostrady	snelwegen
autostrady	autosnelwegen
autostrady	snelweg
morris	morris
lipsku	leipzig
spadła	fell
spadła	viel
spadła	gedropt
zakupu	aanschaf
zakupu	aankoop
zakupu	inkoop
zakupu	aankoop
zakupu	aanschaffen
zakupu	inkoop
znaczące	opmerkelijk
znaczące	opmerkelijke
znaczące	betekenisvolle
znaczące	zinvolle
znaczące	zinvol
znaczące	betekenisvol
znaczące	significant
samiec	mannelijk
samiec	male
samiec	mannetje
samiec	mannelijke
lokalizacji	locaties
panna	virgo
panna	maagd
panna	juffrouw
panna	miss
panna	mejuffrouw
panna	missen
geografia	geografie
geografia	aardrijkskunde
naukowcy	onderzoekers
naukowcy	wetenschappers
warren	warren
castle	kasteel
napisała	schreven
napisała	schreef
uda	dijbeen
uda	dijen
uda	dij
uda	dijen
algierii	algerijnse
algierii	algerije
loty	vlucht
loty	vluchten
badacze	ontdekkingsreizigers
badacze	verkenners
badacze	onderzoekers
współczesna	modern
współczesna	moderne
współczesna	hedendaags
współczesna	hedendaagse
współczesna	eigentijdse
współczesna	eigentijds
pozbawione	beroofd
pozbawione	ontnomen
włącznie	inclusief
włącznie	inclusieve
psy	psy
psy	honden
psy	hond
psy	hondje
poetów	dichters
apg	apg
liczyć	telling
liczyć	graaf
liczyć	tellen
liczyć	tel
liczyć	tellen
portrety	portretten
ofiarą	slachtoffer
warstwa	laag
warstwa	stratum
pomiaru	meting
pomiaru	meten
pomiaru	opmeten
pomiaru	meting
pomiaru	meten
pomiaru	metingen
pomiaru	opmeten
osobowości	persoonlijkheden
osobowości	persoonlijkheid
kamiński	kamiński
seulu	seoul
seulu	seoel
poprzednie	voormalig
poprzednie	voormalige
poprzednie	voorgaande
poprzednie	vorig
poprzednie	vorige
poprzednie	eerdere
maryland	maryland
electric	elektrische
electric	electrische
electric	elektrisch
schumacher	schumacher
królową	koningin
królową	queen
komentarze	opmerkingen
komentarze	commentaren
komentarze	reacties
komentarze	commentaar
keith	keith
naczynia	vaartuigen
naczynia	afwas
zastąpić	vervangen
zastąpić	vervang
zastąpić	vervangen
zastąpić	plaatsvervanger
zastąpić	substituut
zastąpić	vervanger
zastąpić	vervanging
reakcje	reacties
reakcje	reactie
oddziela	scheidt
ekipa	team
ekipa	bemanning
ekipa	crew
piętrze	vloer
piętrze	verdieping
piętrze	floor
reklamy	advertenties
reklamy	advertenties
reklamy	reclame
reklamy	adverteren
odznaki	penningen
odznaki	insignes
odznaki	badges
kent	kent
zestawienie	samenvatting
mali	mali
pruski	pruisische
nieprzerwanie	voortdurend
nieprzerwanie	doorlopend
nieprzerwanie	continu
colin	collin
colin	colin
początkowa	initiële
pacific	pacific
ralph	ralph
todd	todd
joan	johanna
joan	joan
encyklopedyczna	encyclopedisch
global	global
global	mondiale
global	globaal
global	wereldwijd
karla	karla
karla	karl
ośrodki	resorts
ośrodki	centra
ośrodki	centra
stwierdzenie	statement
stwierdzenie	verklaring
zwalczania	uitroeiing
zwalczania	uitroeien
zwalczania	bestrijden
zwalczania	combat
autonomii	autonomie
autonomii	zelfstandigheid
powszechne	universal
powszechne	universeel
powszechne	universele
powszechne	wijdverbreid
powszechne	wijdverspreide
powszechne	wijdverbreide
fotografie	fotos
fotografie	fotografie
fotografie	fotograferen
zależne	afhankelijke
zależne	afhankelijk
zależne	dochtermaatschappijen
zależne	dochterondernemingen
niebieskie	blue
niebieskie	blauw
niebieskie	blauwe
zenon	zenon
niszczyciele	destroyers
owoców	vruchten
owoców	fruit
owoców	vrucht
owoców	vruchten
owoców	fruit
pius	pius
męski	mannelijk
męski	male
męski	mannetje
męski	mannelijke
męski	mannelijk
męski	mannelijk
tarnów	tarnów
weryfikacji	keuring
weryfikacji	verificatie
chińskich	chinezen
chińskich	chinees
chińskich	chinese
narzędzie	gereedschap
narzędzie	hulpprogramma
narzędzie	tool
narzędzie	instrument
narzędzie	hulpmiddel
narzędzie	werktuig
uznawane	herkende
uznawane	erkende
uznawane	herkend
uznawane	erkend
uznawane	erkende
uznawane	herkend
uznawane	erkend
organizmów	organisme
organizmów	organismen
używanie	gebruiken
cząstek	deeltjes
cząstek	deeltje
cząstek	deeltjes
przypuszczalnie	zogenaamd
przypuszczalnie	vermeend
przypuszczalnie	vermoedelijk
przypuszczalnie	vermoedelijk
xxx	xxx
duchu	ghost
duchu	geest
duchu	spook
duchu	geest
duchu	spirit
komputerów	computers
amt	amt
niebo	hemel
niebo	hemels
niebo	heaven
niebo	hemel
niebo	lucht
niebo	sky
niebo	luchten
kłopoty	problemen
kłopoty	moeilijkheden
kłopoty	vervloekingen
węgierska	hongaarse
węgierska	hongaars
cleveland	cleveland
kampanię	campagne
kampanię	veldtocht
tłumaczy	verklaart
tłumaczy	vertalers
piątej	vijfde
wood	hout
odkryte	blootgelegd
odkryte	ontdekte
odkryte	ontdekt
mont	mont
tlenu	zuurstof
tlenu	zuurstofgehalte
franciszkanów	franciscaner
classic	klassiek
classic	klassieker
classic	klassieke
classic	classic
konto	rekening
konto	account
pat	impasse
pat	patstelling
pat	pat
solidarność	solidariteit
castro	castro
zalecenia	aanbeveling
zalecenia	aanbevelingen
roberts	roberts
róża	rose
róża	roos
róża	rosa
armaty	kanonnen
armaty	kanon
armaty	kanonnen
jung	jung
dowody	bewijzen
dowody	bewijs
dowody	bewijzen
dowody	bewijzen
dowody	bewijs
dowody	bewijsmateriaal
zachowany	ingehouden
zachowany	behouden
zachowany	bewaard
zachowany	geconserveerd
amerykanie	amerikaan
amerykanie	amerikanen
ósemka	acht
ósemka	eight
obsługiwane	gesteund
obsługiwane	ondersteunde
obsługiwane	ondersteund
obsługiwane	gesteunde
obsługiwane	geopereerd
obsługiwane	geëxploiteerd
kwitnie	bloeit
basista	bassist
notowania	citaten
notowania	noteringen
notowania	citaat
notowania	notering
notowania	offerte
impreza	feest
impreza	partij
impreza	feestje
impreza	party
uszkodzony	beschadigd
uszkodzony	beschadigde
uszkodzony	corrupt
uszkodzony	bedorven
uszkodzony	beschadigd
uszkodzony	defect
uszkodzony	gebrekkig
administratorem	admin
administratorem	beheerder
administratorem	beheerder
administratorem	administrateur
kierunki	richtingen
kierunki	routebeschrijving
kompozycje	samenstellingen
kompozycje	composities
airways	luchtwegen
airways	airways
trofeum	trofee
trofeum	beker
mandatu	mandaat
legia	legioen
legia	legia
gabinet	kabinet
zniszczenie	verwoestingen
zniszczenie	verwoesting
zniszczenie	vernietiging
zniszczenie	ravage
zniszczenie	verwoesting
zniszczenie	vernietiging
zniszczenie	destructie
zniszczenie	vernieling
libertadores	libertadores
umieścić	zet
pfalz	pfalz
zabrze	zabrze
iran	iraanse
iran	iran
icao	icao
han	han
dekret	decreet
pisanie	typen
pisanie	schrijven
olympic	olympic
olympic	olympisch
słownika	woordenboek
dochód	inkomsten
dochód	ontvangsten
dochód	inkomen
dochód	inkomsten
winter	winter
poprawki	correcties
poprawki	amendementen
poprawki	wijzigingen
poprawki	herzieningen
samolotem	vliegtuig
samolotem	vliegtuig
samolotem	vliegtuig
zhang	zhang
anioł	engel
anioł	angel
anioł	engeltje
seattle	seattle
nadawania	uitzending
nadawania	omroep
nadawania	uitzenden
łączna	cumulatief
łączna	cumulatieve
zbędne	overbodig
zbędne	overbodige
zbędne	overbodig
zbędne	onnodige
zbędne	onnodig
zbędne	overbodig
przekracza	overschrijdt
przekracza	overtreft
dzieciństwie	jeugd
dzieciństwie	kinderjaren
dzieciństwie	kindertijd
santo	santo
bristol	bristol
jolanta	jolanta
mosty	bruggen
traci	traci
traci	verliest
działki	percelen
działki	percelen
działki	perceel
działki	plot
działki	perceel
działki	complot
krajowym	binnenlands
krajowym	binnenland
krajowym	huiselijk
krajowym	huishoudelijk
nazwane	genoemd
nazwane	genaamd
nazwane	benoemde
autorskie	auteursrechten
autorskie	auteursrecht
autorskie	copyright
parafie	parishes
gilbert	gilbert
równanie	vergelijking
równanie	vergelijkingen
davisa	davis
rzekomo	zogenaamd
rzekomo	vermeend
więzień	gevangene
więzień	gevangene
więzień	gedetineerde
więzień	gevangenissen
poinformował	geïnformeerd
poinformował	ingelicht
telefon	telefoon
telefon	telefoon
jasno	helder
jasno	fel
jasno	bright
kuba	cuba
utc	utc
felix	felix
aktualne	huidig
aktualne	huidige
aktualne	actueel
franka	frank
ujednoznacznienie	doorverwijspagina
dachau	dachau
przemiany	transformatie
dziwne	raar
dziwne	vreemd
dziwne	strange
dziwne	raar
dziwne	vreemd
dziwne	vreemde
dziwne	oneven
dziwne	vreemd
dziwne	odd
gerard	gérard
gerard	gerard
zagraniczne	uitgaand
zagraniczne	uitgaande
zagraniczne	buitenlands
wyrzutni	launcher
wyrzutni	starter
turynie	turijn
recenzji	reviews
recenzji	beoordelingen
recenzji	recensies
pastor	dominee
pastor	pastor
pastor	predikant
pastor	pastoor
brzegi	randen
urban	urban
urban	stedelijk
urban	stedelijke
fotograf	fotografe
fotograf	fotograaf
zaatakował	aangevallen
zaatakował	aangerand
zaatakował	aangevallen
turystyczna	toerist
symboli	symbolen
podania	toepassingen
podania	applicaties
podania	aanvragen
zabił	gedood
zabił	vermoord
rzeczywistość	werkelijkheid
rzeczywistość	realiteit
korporacji	corporatie
korporacji	corporation
ludzkości	menselijkheid
ludzkości	mensheid
ludzkości	mensheid
twierdza	burcht
twierdza	vesting
twierdza	fort
obserwacje	opmerkingen
obserwacje	waarnemingen
obserwacje	observaties
obserwacje	observatie
obserwacje	waarneming
obserwacje	observaties
satelity	satellieten
satelity	satelliet
szyi	hals
szyi	nek
młodzi	jonge
młodzi	jong
młodzi	young
akademickich	academisch
akademickich	academische
ligue	ligue
stalina	stalin
borys	boris
uznana	herkende
uznana	erkende
uznana	herkend
uznana	erkend
uznana	erkende
uznana	herkend
uznana	erkend
tożsamość	identiteit
machine	machine
składników	ingrediënten
sławy	beroemdheden
sławy	bekendheid
sławy	beroemdheid
sławy	roem
sławy	faam
wykonawcy	kunstenaars
wykonawcy	artiesten
wykonawcy	aannemer
wykonawcy	artiesten
wykonawcy	aannemers
zaliczony	telden
zaliczony	telde
zaliczony	meegeteld
zaliczony	geteld
beta	beta
beta	bèta
rodríguez	rodriguez
rodríguez	rodríguez
zysk	winsten
zysk	winst
zysk	winsten
zysk	winst
ring	ring
instruktor	instructeur
iata	iata
ludzkie	menselijk
ludzkie	menselijke
ludzkie	mens
wykonywanie	optreden
wykonywanie	uitvoeren
wykonywanie	presteren
resztki	restjes
resztki	kliekjes
resztki	restjes
zagrożony	bedreigde
zagrożony	bedreigd
zagrożony	bedreigd
zagrożony	bedreigde
martínez	martínez
dzieciństwa	jeugd
dzieciństwa	kinderjaren
dzieciństwa	kindertijd
portów	havens
portów	poorten
nicholas	nicolaas
nicholas	nicholas
mateusza	matthew
punk	punk
brać	neem
brać	nemen
specjalistów	specialisten
specjalistów	professionals
specjalistów	professionelen
specjalistów	vakmensen
spencer	spencer
wiatru	wind
ósmy	achtste
syberii	siberië
tarcza	schilden
tarcza	afschermen
tarcza	afscherming
tarcza	schild
romuald	romuald
przedstawiciela	representatief
przedstawiciela	representatieve
przedstawiciela	vertegenwoordiger
piwo	bieren
piwo	biertje
piwo	bier
piwo	biertjes
piwo	bieren
piwo	beers
arystokrata	aristocraat
kultur	cultures
kultur	culturen
willi	willi
katastrof	rampen
komenda	commando
komenda	opdracht
uni	uni
pokonać	beat
pokonać	overwinnen
pokonać	overwonnen
pokonać	nederlaag
pokonać	verslaan
age	ouderdom
age	leeftijd
rysunek	foto
rysunek	sketch
rysunek	schets
rysunek	figuur
rysunek	tekenen
rysunek	tekening
urzędnicy	klerken
urzędnicy	ambtenaren
urzędnicy	functionarissen
panorama	panorama
gitarze	guitar
gitarze	gitaar
karne	penalty
karne	straf
karne	sanctie
dole	dole
dole	bodem
dole	onderkant
dole	bottom
marsa	mars
podpis	onderschrift
