biodiversidade	biodiversity
contraste	contrast
kiss	kiss
natação	swim
natação	swimming
cheia	full
desporto	sport
desporto	sports
quantidades	amounts
quantidades	quantities
quantidades	quantity
minissérie	miniseries
utilidade	useful
utilidade	usefulness
utilidade	utility
sessões	session
sessões	sessions
templos	temples
polonês	polish
oitavo	eighth
years	years
fair	fair
point	point
knight	knight
vendo	sell
vendo	seeing
vendo	watching
vinicius	vinicius
trabalhava	worked
cooper	cooper
chase	chase
celeste	celeste
celeste	celestial
bryan	bryan
true	true
modern	modern
walker	walker
clínica	clinic
clínica	clinical
ossos	bones
ossos	bone
vincent	vincent
ordenado	ordained
ordenado	ordered
destruído	destroyed
mendonça	mendonça
influenciado	influenced
seguiram	followed
expressões	expressions
gonzález	gonzález
gonzález	gonzalez
judaica	jewish
protestos	protest
protestos	protests
guerreiros	warriors
servidores	servers
greg	greg
queiroz	queiroz
mistério	mystery
legado	legacy
revolucionário	revolutionary
excesso	excess
entradas	inputs
entradas	entries
ruim	bad
croácia	croatia
variantes	variants
judicial	judicial
amy	amy
modalidades	modalities
eficiente	efficient
hierarquia	hierarchy
demonstrar	demonstrate
premiação	awards
abadia	abbey
walt	walt
encontraram	found
complexos	complexes
complexos	complex
destacando	highlighting
caldas	caldas
spencer	spencer
terry	terry
duma	duma
polêmica	controversial
polêmica	controversy
crescer	grow
organizou	organised
secreto	secret
mágico	wizard
mágico	magician
mágico	magic
mágico	magical
protocolo	protocol
cristiano	cristiano
cristiano	christian
animado	animated
animado	excited
lema	motto
stars	stars
clemente	clemente
clemente	clement
localizados	located
localizados	localised
localizados	localized
son	son
germânico	germanic
ângulo	angle
procedimentos	procedures
noção	notion
típica	typical
johannes	johannes
vivendo	living
beatles	beatles
beatles	beatle
murray	murray
famosas	famous
gonzaga	gonzaga
fantasy	fantasy
tommy	tommy
metais	metal
metais	metals
four	four
abandonado	abandoned
carey	carey
existiam	existed
capita	capita
obtendo	fetching
obtendo	obtaining
obtendo	getting
broadway	broadway
dick	dick
africanos	africans
africanos	african
testemunhas	witnesses
testemunhas	eyewitnesses
guitarras	guitars
determinação	determination
nicolas	nicolas
fighting	fighting
minerais	minerals
minerais	mineral
separado	separated
separado	separately
separado	separate
decoração	decoration
decoração	decor
decoração	decorating
secret	secret
herschel	herschel
azuis	blue
azuis	blues
nucleares	nuclear
diretora	director
diretora	headmistress
analisar	analyze
analisar	analyse
moléculas	molecule
moléculas	molecules
previsão	forecasting
previsão	prediction
previsão	forecast
comentou	commented
julio	julio
acre	acre
melhoria	improving
melhoria	improvement
oral	oral
carmen	carmen
estimado	estimated
modernas	modern
hab	hab
resolve	solve
resolve	solves
vilas	towns
vilas	villages
censura	censor
censura	uncensored
censura	censorship
velhos	old
assembléia	assembly
movido	moved
agir	act
jersey	jersey
atlântica	atlantic
hell	hell
chineses	chinese
supervisor	supervisor
renascimento	renaissance
renascimento	revival
renascimento	rebirth
colonos	colonists
colonos	settlers
campbell	campbell
cultivo	cultivation
galo	cock
galo	rooster
namorado	boyfriend
determinados	determined
reuniões	meetings
gerações	generations
sabendo	knowing
capitais	capitals
capitais	capital
piso	floor
minnesota	minnesota
pagina	page
leme	helm
leme	rudder
liberais	liberals
liberais	liberal
selvagem	wild
selvagem	savage
transmitida	transmitted
formatos	formats
aceitação	acceptance
recebem	receive
sítios	sites
sítios	places
evans	evans
bandeiras	flags
bandeiras	banners
túmulo	tomb
túmulo	grave
leonor	eleanor
leonor	eleonora
causada	caused
acampamento	camp
acampamento	camping
graham	graham
fabaceae	fabaceae
publicar	publishing
publicar	publish
publicar	post
publicar	posting
vencido	loser
vencido	beaten
vencido	defeated
gera	generates
gera	generate
pedindo	asking
atribuída	assigned
atribuída	attributed
imigração	immigration
celso	celso
maurice	maurice
controvérsia	controversy
roman	roman
aumentando	increasing
coloração	coloring
coloração	colouring
coloração	coloration
semelhança	likeness
semelhança	similarity
semelhança	resemblance
expressa	expresses
expressa	express
expressa	expressed
mars	mars
proprietários	owners
proprietários	homeowners
proprietários	landowners
ava	ava
actividades	activities
polaco	polish
rapaz	boy
estabelece	establishes
irlandês	irish
irlandês	irishman
combates	fights
enviados	shipped
enviados	envoys
enviados	sent
possuindo	possessing
saiba	know
divisa	currency
reunir	gather
reunir	reunite
sonda	probe
longd	longd
fiscal	fiscal
guatemala	guatemala
kent	kent
terrestres	terrestrial
contínua	continuous
pleno	full
ofensiva	offensive
mancha	stain
mancha	smudge
tokyo	tokyo
quartel	barracks
mamíferos	mammals
mamíferos	mammal
fracasso	fail
fracasso	failure
solos	soils
solos	solos
solos	soil
armazenamento	storage
got	got
códigos	codes
thompson	thompson
cidadania	citizenship
acompanhar	accompany
plena	full
citados	cited
citados	quoted
distribuído	distributed
wolf	wolf
variam	vary
danilo	danilo
ricos	rich
ricos	wealthy
tópicos	topic
tópicos	topics
tópicos	threads
colaboradores	collaborators
colaboradores	contributors
rotação	rotating
rotação	rotation
catolicismo	catholic
catolicismo	catholicism
perfeitamente	perfectly
destruída	destroyed
ciclone	cyclone
magno	magnus
terrenos	land
terrenos	terrain
exclusiva	exclusive
mandatos	mandates
júri	jury
lançamentos	launches
lançamentos	releases
caribe	caribbean
roque	roque
giuseppe	giuseppe
dita	dictates
internos	interns
internos	internal
palestina	palestine
palestina	palestinian
taiwan	taiwan
taiwan	taiwanese
sara	sarah
sara	sara
aldeias	villages
choque	shock
restrições	restrictions
restrições	restriction
restrições	constraints
neil	neil
desfile	parade
noronha	noronha
cândido	cândido
regularmente	regularly
pesos	weights
pesos	pesos
douro	douro
inserção	insertion
diminuir	decrease
fischer	fischer
atingindo	reaching
evil	evil
premiado	awarded
igualdade	equality
aonde	where
coleópteros	beetles
reações	reactions
rubens	rubens
visitar	visit
xuxa	xuxa
run	run
capturado	captured
reno	rhine
reno	reno
oposto	opposite
edit	edit
primário	primary
coberta	covered
valley	valley
traduções	translation
traduções	translations
neo	neo
defensores	defenders
defensores	advocates
lar	home
lar	lar
heitor	hector
completou	completed
facilidade	ease
vasta	vast
parabéns	congratulations
parabéns	congrats
gases	gas
gases	gases
mecanismos	mechanisms
acreditar	believe
acreditar	believing
concluída	completed
eleitores	electorate
eleitores	electors
eleitores	voters
australiana	australian
august	august
bizantinos	byzantine
bizantinos	byzantines
qualificação	qualifying
qualificação	qualification
luke	luke
deep	deep
concluído	completed
concluído	finished
robinson	robinson
pátio	courtyard
pátio	yard
pátio	patio
fortificações	fortification
fortificações	fortifications
western	western
culpa	blame
culpa	guilt
holmes	holmes
zool	zool
kurt	kurt
falado	spoken
emancipação	emancipation
mina	mina
mina	mine
pietro	pietro
circunstâncias	circumstance
circunstâncias	circumstances
orange	orange
xxi	xxi
abastecimento	sourcing
abastecimento	supply
residentes	resident
residentes	residents
derrotas	defeat
derrotas	defeats
mundialmente	worldwide
tanque	tank
tito	tito
tito	titus
museus	museums
museus	museum
ferido	injured
ferido	wounded
ferido	hurt
dallas	dallas
plástico	plastics
plástico	plastic
malásia	malaysia
malásia	malaysian
card	card
positivas	positive
positivas	positives
cartão	cardboard
cartão	card
violação	violation
violação	rape
violação	breach
fort	fort
cargas	loads
diretores	directors
susan	susan
sex	fri
sex	sex
alcançando	reaching
cerâmica	pottery
cerâmica	ceramic
cerâmica	ceramics
falsa	false
falsa	fake
cinematografia	cinematography
idéias	ideas
manifestação	demonstration
manifestação	manifestation
pianista	pianist
postura	stance
postura	posture
melbourne	melbourne
edwards	edwards
prof	prof
melhorias	improvements
melhorias	enhancements
melhorias	improvement
exige	requires
referenciado	referenced
java	java
controlo	control
eficiência	efficiency
eficiência	effectiveness
