dores	valu
centre	keskus
augusta	augusta
multi	mitme
massas	pasta
marta	marta
marta	martha
reduzido	vähendatud
gospel	evangeeliumi
lorenzo	lorenzo
assegurar	tagada
assegurar	tagama
provocou	provotseeris
legais	legaalne
legais	õiguslik
legais	seaduslik
mineira	kaevandamine
lúcia	lucy
lúcia	lucia
naturalmente	loomulikult
gustav	gustav
horta	aia
horta	aed
madrugada	dawn
madrugada	koidik
madrugada	koidu
amostra	proovi
amostra	valim
amostra	näidis
amostra	proov
cbs	cbs
vegetal	taimsed
estabelecimentos	ettevõtted
conteúdos	sisu
conteúdos	sisaldus
conteúdos	sisu
correr	jooks
georges	georges
empregado	töötaja
empregado	kelner
empregado	ettekandja
sexuais	seksuaalse
sexuais	seksuaalne
reduzida	vähendatud
keith	keith
funk	funk
entrando	sisenemine
entrando	sisestamine
costume	kohandatud
ronald	ronald
estabilidade	püsivus
estabilidade	stabiilsus
escultor	skulptor
horizontal	horisontaalsed
horizontal	horisontaalne
magic	maagiline
magic	võlu
magic	magic
magic	maagia
sensação	tunne
convidada	kutsus
convidada	kutsutud
convidada	külaline
permanecendo	jäämine
permanecendo	jäänud
poetas	poeedid
efetivamente	efektiivselt
efetivamente	tõhusalt
ludwig	ludwig
samurai	samurai
pretendia	mõeldud
ron	ron
espectro	spectre
espectro	spektri
anunciada	teatas
fósseis	fossiilid
catalunha	kataloonia
puro	puhas
iugoslávia	jugoslaavia
lloyd	lloyd
currículo	õppekava
currículo	jätka
visuais	visuaalne
warren	warren
conquistado	vallutanud
conquistado	vallutatud
cuidados	hooli
barras	baarid
barras	trellide
barras	trellid
premio	auhinna
premio	auhind
premio	auhinnaks
slam	slam
tive	oli
arsenal	arsenali
turcos	türklased
turcos	türgi
colina	hill
farol	tuletorn
farol	majaka
farol	majakas
farol	majaka
farol	majakas
conselhos	nõuanded
conselhos	nõuanne
conselhos	nõu
marítima	merendus
parou	peatus
parou	peatatud
bombas	pumbad
bombas	pommid
visa	viisa
equipas	meeskonnad
equipas	rühmad
escocês	šoti
debates	arutelud
acusação	süüdistus
acusação	süüdistus
acusação	süüdistuse
investigações	uurimised
investigações	uuringud
adequada	piisav
adequada	piisavad
adequada	adekvaatne
adequada	sobiv
adequada	sobilik
adequada	sobivad
misericórdia	halastus
misericórdia	halastust
mínimos	miinimumid
mínimos	minimaalselt
mínimos	miinimum
mínimos	minimaalne
mínimos	minimaalne
válidos	kehtiv
válidos	kehtib
assumindo	eeldades
guiana	guajaana
guiana	guajaana
make	make
esquadrão	eskadrill
registo	registreerida
registo	register
registo	registrisse
registo	registreeru
registo	register
registo	kantselei
registo	registreerimine
governante	valitseja
piratas	piraadid
piratas	piraat
kids	lapsed
corredor	jooksja
corredor	koridor
corredor	koridor
kingdom	kuningriik
