din	출신
care	who
care	어느
mai	기타
lui	그의
sit	사이트
lea	리아
lea	레아
prin	통해
regiunea	지방
regiunea	지역
mare	바다
anul	year
anul	연도
externe	외부
locuitori	레지던트
locuitori	주민들
legaturi	링크
legaturi	커넥션
legaturi	연결
legaturi	링크
dar	그런데
dar	그러나
dar	근데
dar	하지만
cod	코드
cod	부호
cod	대구
populatie	인구순
populatie	인구
bucuresti	부쿠레슈티
bucuresti	부쿠레슈티
bucuresti	부쿠레슈티
romania	루마니아
romania	루마니아인
romania	루마니아어
romania	루마니아
romania	루마니아인
romania	루마니아어
jpg	jpeg
jpg	jpg
lista	리스트
lista	목록
lista	명단
lista	리스트
lista	목록
lista	명단
ucraina	우크라이나
nume	이름
ani	수년
pana	깃털
poate	아마도
poate	아마
poate	아마도
poate	아마
doua	두두
doua	두분
doua	두두
doua	두분
alte	기타
alte	다른
cand	언제쯤
cand	언제
cand	언제쯤
cand	언제
regiune	지방
regiune	지역
anii	수년
parte	부분
parte	부품
parte	파트
centura	벨트
centura	벨트
dinastia	왕조
septembrie	구월
timp	시간
timp	타임
timp	time
despre	소개
despre	대략
unde	어디서
unde	어디
unde	어디에
unde	어디로
majoritatea	대부분의
majoritatea	대부분
majoritatea	다수
densitate	밀도
limba	언어
limba	언어
multe	많은
prima	우선
prima	퍼스트
prima	처음
prima	먼저
prima	프리미엄
august	아우구스트
sat	빌리지
sat	마을
sat	sat
martie	행진
martie	행진곡
biserica	교회
biserica	교회
fisier	파일
fisier	파일
toate	모두
toate	전체
ianuarie	일월
adresa	주소
adresa	주소
cum	어떻게
imagine	사진
imagine	그림
imagine	그림
imagine	이미지
statul	상태
statul	국가
lor	그들의
familia	가족
familia	가족과
familia	패밀리
numele	이름
timpul	시간
timpul	타임
timpul	time
nord	북부
nord	북쪽
nord	노스
principala	메인
principala	메인
sud	남부
sud	사우스
sud	남쪽
aprilie	에이프릴
aprilie	사월
loc	장소
primul	우선
primul	퍼스트
primul	처음
primul	먼저
doar	단발
doar	오직
doar	단지
doar	그냥
editura	출판사
editura	퍼블리셔
editura	출판
asteroid	소행성
recensamantului	인구조사
asteroizi	소행성
discutie	토론
discutie	논의
discutie	토론
discutie	논의
discutie	토론
discutie	논의
franta	프랑스
franta	프랑스
franta	프랑스
partea	부분
partea	부품
partea	파트
mult	많이
mult	훨씬
fara	without
fara	without
departamentul	부서
foarte	아주
foarte	매우
raionul	통로
raionul	통로로
data	날짜
data	데이트
data	자료
data	데이터
data	날짜
data	데이트
departament	부서
unul	하나
apoi	그렇다면
apoi	그러면
apoi	그때
grup	그룹
grup	집단
locul	장소
oras	시내
oras	도시
oras	타운
oras	마을
oras	도시
oras	시티
oras	시내
oras	도시
oras	타운
oras	마을
oras	도시
oras	시티
oras	시내
oras	도시
oras	타운
oras	마을
oras	도시
oras	시티
camp	캠프
camp	필드
camp	현장
germania	독일
face	make
satul	빌리지
satul	마을
national	국립
national	내셔널
national	국민
national	국립
national	내셔널
national	국민
national	국립
national	내셔널
national	국민
note	노트
perioada	기간
perioada	시대
perioada	주기
perioada	기간
perioada	시대
perioada	주기
minoritate	소수
ucraineana	우크라이나
ucraineana	우크라이나어
cadrul	프레임워크
general	장군
general	일반
general	일반인
razboi	전쟁
razboi	전쟁
peste	피쉬
peste	피시
peste	생선
peste	물고기
romana	루마니아
romana	루마니아인
romana	루마니아어
romana	로만
romana	로마
afla	배운다
afla	배워
