aires	айресе
roberts	робертс
kingdom	царство
kingdom	королевство
amandoi	оба
amandoi	обе
statuie	статуя
tennessee	теннесси
mostenirea	наследие
mostenirea	наследство
mostenirea	наследование
mostenirea	наследования
mostenirea	наследство
oslo	осло
turner	тернер
turner	тёрнер
adaugate	добавлены
adaugate	добавил
adaugate	добавлена
adaugate	добавлено
adaugate	добавлен
beta	бета
aripi	крылья
golf	гольф
interzisa	запрещена
interzisa	запрещенные
interzisa	запретный
interzisa	запрещается
interzisa	запрещено
interzisa	запрещенные
interzisa	запрещается
interzisa	запрещена
interzisa	запрещено
numirea	назначение
contactul	контакт
contactul	связаться
contactul	контакты
java	java
alexandre	александр
siberia	сибирь
siberia	сибири
inspector	инспектор
ocean	океан
ocean	океана
claudia	клаудия
placut	понравилось
placut	нравится
placut	понравилась
placut	понравились
placut	понравился
placut	приятный
placut	приятная
evans	эванс
wien	wien
edge	край
edge	краю
edge	края
declaratie	ведомость
declaratie	заявление
declaratie	декларация
declaratie	заявление
discursul	речь
discursul	речи
alabama	алабама
folosire	использование
folosire	употребление
folosire	использования
intrand	ввод
tabel	стол
tabel	таблица
indiei	индию
indiei	индия
indiei	индии
keith	кит
keith	кита
corrèze	коррез
emise	выпущено
emise	издан
emise	выдано
emise	изданы
campionatele	чемпионат
louisiana	луизиана
baschet	баскетбол
organ	орган
hotelul	hotel
hotelul	отель
hotelul	гостиница
oarecum	несколько
oarecum	отчасти
finistère	финистер
tranzitie	переход
distante	расстояния
distante	расстояния
cald	горячие
cald	hot
cald	жарко
cald	горячо
cald	горячая
cald	тепло
cald	теплая
cald	теплые
cald	тёплый
cald	теплый
adanc	глубокую
adanc	глубокое
adanc	глубокая
adanc	глубокие
adanc	глубоко
adanc	глубокий
adanc	глубокую
adanc	глубокое
adanc	глубокая
adanc	глубокие
adanc	глубоко
adanc	глубокий
salvare	спасение
salvare	спасатели
salvare	спасти
salvare	спасение
vacanta	праздником
vacanta	праздник
vacanta	отдых
vacanta	отдых
vacanta	каникулы
vacanta	отпуск
vacanta	отдых
vacanta	каникулы
vacanta	отпуск
vacanta	праздником
vacanta	праздник
vacanta	отдых
vacanta	отдых
vacanta	каникулы
vacanta	отпуск
malta	мальте
malta	мальта
malta	мальты
manifestari	проявления
manifestari	проявлениях
fotbalul	футбол
radical	радикально
radical	радикальные
asalt	штурм
asalt	нападение
asalt	атака
renault	рено
renault	renault
sierra	сьерра
specializate	специализированных
specializate	специализированный
specializate	специализированная
specializate	специализированных
specializate	специализированный
specializate	специализированная
specializate	специализированные
buenos	буэнос
dificultati	трудности
dificultati	трудность
dificultati	сложность
dificultati	трудности
raurile	реки
raurile	рек
tribuna	трибун
lapte	молочный
lapte	молоко
lapte	молока
grove	гроув
memoriile	мемуары
memoriile	мемуары
studios	студии
studios	studios
vieti	живёт
vieti	жизней
vieti	живет
vieti	жизни
vieti	живёт
vieti	жизней
vieti	живет
vieti	жизни
boemia	богемии
oferind	предлагая
oferind	предлагаю
letonia	латвия
letonia	латвии
islanda	исландии
islanda	исландия
hanovra	ганновер
hanovra	ганновер
rahman	рахман
edinburgh	эдинбург
hlist	hlist
silva	силва
silva	сильва
democratic	демократически
democratic	демократический
democratic	демократические
democratic	демократическое
democratic	демократической
democratic	демократическая
vrei	хотеть
vrei	хочу
vrei	хочешь
strategice	стратегическое
strategice	стратегическая
utilizand	использование
utilizand	используя
numeric	numeric
simte	чувствовать
simte	чувствую
lloyd	ллойд
robinson	робинсон
oldenburg	ольденбург
controverse	споры
lunile	месяца
lunile	месяцы
lunile	месяцев
rase	гонки
rase	породы
rase	порождает
rase	пород
bordeaux	бордо
lectii	уроки
lectii	уроки
jay	джей
teste	тесты
teste	испытания
aventuri	приключения
aventuri	приключения
aventuri	приключение
autoritati	власти
estimare	смета
estimare	оценить
comparativ	сравнительные
comparativ	сравнительный
comparativ	сравнительно
islamice	исламские
islamice	исламская
islamice	исламский
islamice	исламское
salt	прыгать
salt	прыжок
salt	прыгнуть
salt	соли
salt	соль
tensiune	напряжение
tensiune	напряженность
tensiune	напряженности
tensiune	напряжение
tensiune	напряжения
batman	бэтмен
pius	пий
traiasca	живи
traiasca	живите
traiasca	live
traiasca	живу
traiasca	жить
exprimate	бросили
exprimate	выражено
exprimate	выразил
exprimate	выраженное
exprimate	выраженные
exprimate	выраженную
instalatii	установки
instalatii	установок
instalatii	сооружения
instalatii	установки
instalatii	установок
instalatii	сооружения
romeo	ромео
concomitent	сопутствующих
arunca	бросить
arunca	бросок
arunca	бросить
arunca	бросок
conservare	сохранение
conservare	сохранения
conservare	сохранение
matilda	матильда
recenta	недавние
recenta	последние
recenta	недавнее
recenta	недавно
recenta	недавние
recenta	последние
recenta	недавнее
recenta	недавно
accentul	акцент
trenul	поезд
philodromus	philodromus
bate	бит
bate	победить
bate	бьется
bate	бьет
bate	биты
propuse	предлагаемые
propuse	предлагаемая
manuscris	рукопись
tanc	танк
tanc	цистерны
tanc	цистерна
zguduit	потрясен
zguduit	потрясли
zguduit	потрясли
bolnav	больная
bolnav	больным
bolnav	больна
bolnav	больные
bolnav	болен
bolnav	больной
prix	prix
nguyen	нгуен
afecteaza	затрагивает
afecteaza	влияет
afecteaza	затрагивает
afecteaza	влияет
fiice	дочери
fiice	дочки
fiice	дочерей
nigeria	нигерии
nigeria	нигерию
nigeria	нигерия
gust	вкус
gilbert	гилберт
minnesota	миннесота
minnesota	миннесоты
allah	аллах
joan	джоан
dysdera	dysdera
vila	вила
vila	вилла
vila	вилла
bor	бор
bor	бора
bor	бор
muncitori	трудящиеся
muncitori	работники
muncitori	рабочие
muncitori	работников
muncitori	трудящихся
gabrovo	габрово
strategic	стратегически
strategic	стратегическое
strategic	стратегическая
privit	посмотрел
privit	посмотрела
privit	смотрела
privit	посмотрели
privit	смотрели
privit	смотрел
dennis	деннис
dennis	дэннис
geografia	географии
geografia	география
miami	майами
lang	лэнг
bugetul	бюджет
matthew	мэттью
matthew	мэтью
intervalul	дальность
intervalul	диапазон
intervalul	интервал
intervalul	промежуток
wisconsin	висконсин
strazile	улицы
strazile	улицах
sunete	звучит
sunete	звуки
cablu	кабельное
cablu	трос
cablu	кабель
barajul	дам
barajul	плотины
barajul	гэс
autonom	автономные
autonom	автономных
autonom	самостоятельный
lucas	лукас
lucas	люка
justin	джастин
laurent	лоран
lingvistice	языковым
northern	северный
northern	северная
northern	северные
northern	северное
northern	северной
astea	эти
procedura	процедура
procedura	процедуры
procedura	процедура
procedura	процедуры
marx	маркс
lector	преподаватель
lector	лектор
aprox	приблизительно
gandirea	думаю
gandirea	мышление
consecutive	последовательно
asimov	азимов
repere	актуальное
repere	подчеркивает
repere	достопримечательности
repere	вехи
repere	этапы
singapore	сингапур
singapore	сингапура
singapore	сингапуре
interpreta	толковать
interpreta	интерпретировать
acoperire	покрытие
acoperire	обложки
acoperire	прикрытие
acoperire	обложка
acoperire	обложку
acoperire	покрытия
acoperire	охват
acoperire	охвата
fontsize	fontsize
wells	скважины
wells	уэллс
pasare	птичка
pasare	бёрд
pasare	птицы
pasare	птица
pasare	птичка
pasare	бёрд
pasare	птицы
pasare	птица
ocazional	изредка
dedesubt	ниже
atei	атеистов
fundul	зад
fundul	задницу
fundul	попа
stadiul	ступень
stadiul	этап
stadiul	стадия
stadiul	этапе
springs	спрингс
detaliate	подробные
detaliate	подробно
detaliate	подробный
detaliate	подробное
derivate	производных
derivate	производная
liban	ливан
liban	ливана
liban	ливане
scaune	кресла
scaune	председатели
scaune	стулья
scaune	места
scaune	сиденья
gov	gov
béla	бела
regii	королей
regii	короли
aparand	появляется
aparand	появляются
emma	эмма
persana	персидского
doyle	дойл
efectuarea	изготовление
organe	органы
organe	органов
organe	орган
surori	сёстры
surori	сестры
goethe	гёте
cazimir	казимир
eforturi	усилия
bobby	бобби
ring	ринг
ring	кольцо
ring	кольца
sever	суровое
sever	суровые
sever	серьезные
faze	этапы
faze	этапах
faze	фазы
pielea	кожи
pielea	кожа
abordare	подход
vorbind	выступая
vorbind	говорящие
mina	мина
mina	рука
mina	руку
pactului	пакт
pactului	пакта
cameron	камерон
cameron	кэмерон
revistele	журналы
decisiv	решающий
decisiv	решительный
decisiv	решительные
salbatice	wild
salbatice	дикий
salbatice	дикая
salbatice	дикие
definitia	определение
averea	богатства
averea	богатство
practicat	практиковали
dati	отдать
dati	дать
dati	дай
dati	дайте
tinta	мишень
tinta	цель
tinta	мишень
tinta	цель
comunitatile	сообщества
comunitatile	общины
nenumarate	бесчисленные
nenumarate	бесчисленные
vanzare	продажи
vanzare	продажа
vanzare	распродажа
vanzare	продажи
vanzare	продажа
vanzare	распродажа
cunostinta	знакомство
cunostinta	знакомый
cunostinta	знакомство
cunostinta	знакомый
varul	кузина
varul	кузен
mer	мер
automata	автоматические
automata	автоматическое
automata	автоматический
automata	автоматическая
automata	автоматического
automata	автоматически
refugiati	беженцы
refugiati	беженцы
fereastra	window
fereastra	окна
fereastra	окно
fereastra	window
fereastra	окна
fereastra	окно
rector	ректор
propaganda	пропаганды
propaganda	пропаганда
propaganda	пропаганду
propaganda	пропаганды
propaganda	пропаганда
propaganda	пропаганду
dominat	доминировали
creasca	расти
creasca	вырасти
rebel	повстанцев
lantul	цепочку
lantul	цепочка
lantul	цепь
uruguay	уругвая
uruguay	уругвай
uruguay	уругвае
pascal	паскаль
abbasid	аббасидов
iugoslaviei	югославии
iugoslaviei	югославия
damian	дэмиен
roll	ролл
preluarea	поглощение
judecator	судья
judecator	судья
semneaza	подписать
semneaza	знак
semneaza	подписать
semneaza	знак
palermo	палермо
hugh	хью
termica	тепловой
laos	лаос
argumentele	аргументы
argumentele	доводы
uesac	uesac
fir	провод
fir	нитки
fir	нити
fir	нить
legiunea	легион
chip	чип
prefect	префект
localizata	расположенных
localizata	расположенный
triburile	племен
triburile	племена
mon	мон
mon	пн
lisa	лиза
lisa	лиса
platoul	плато
jpg}}	jpg}}
pasarile	птички
pasarile	птицы
pasarile	птиц
pasarile	птички
pasarile	птицы
pasarile	птиц
arcul	поклон
arcul	лук
square	площадь
square	квадрат
square	квадратный
doc	док
incet	медленно
incet	потихоньку
call	звоните
call	позвонить
call	звонок
cerul	sky
cerul	скай
cerul	неба
cerul	небо
transferul	перенос
transferul	трансфер
transferul	передача
creatorul	творец
creatorul	создатель
companiile	компаниям
companiile	компании
companiile	компаний
silvia	сильвия
silvia	сильвия
gibson	гибсон
inconjurata	окружен
inconjurata	окружили
viktor	виктор
babes	красотки
babes	крошки
babes	красотки
babes	крошки
adulti	взрослых
adulti	взрослые
adulti	взрослая
adulti	взрослый
adulti	взрослых
adulti	взрослые
adulti	взрослых
adulti	взрослые
nivele	уровни
nivele	уровней
nivele	уровни
nivele	уровень
nivele	уровней
atribuita	назначенный
atribuita	назначенные
atribuita	назначен
wood	дерево
wood	древесина
wood	вуд
wood	дрова
wood	древесины
abc	abc
geo	гэп
coordonatele	координаты
johan	йохан
santos	сантос
gif	gif
armament	вооружение
armament	вооружения
armament	вооружений
armament	вооружение
armament	вооружения
credit	кредитная
credit	кредит
credit	кредита
simfonia	симфония
marcand	забив
visul	сон
visul	dream
visul	мечта
eddie	эдди
intreprinderi	предприятия
intreprinderi	предприятий
intreprinderi	предприятия
intreprinderi	предприятий
mir	мир
entitati	субъекты
pescuit	рыболовство
pescuit	рыболовства
pescuit	рыболовство
pescuit	рыболовства
pescuit	рыбалка
proportie	доля
proportie	пропорции
opozitia	оппозиции
opozitia	оппозиция
opozitia	противодействие
opozitia	противостояние
jorge	хорхе
atribuite	назначенный
atribuite	назначенные
atribuite	назначен
bursa	братство
bursa	стипендия
bursa	стипендий
bursa	стипендии
bursa	стипендия
bursa	стипендию
bursa	стипендии
bursa	бурса
bursa	стипендия
bursa	стипендию
bursa	стипендии
etaje	полы
reciproc	взаимный
reciproc	взаимно
reciproc	взаимной
reciproc	взаимные
reciproc	взаимная
extra	дополнительные
extra	дополнительное
extra	дополнительная
avansate	расширенный
avansate	передовые
avansate	передовых
trenuri	поезда
antena	блюдо
antena	антенна
antena	антенна
umbra	тени
umbra	тень
umbra	тени
umbra	оттенок
umbra	тень
umbra	тени
umbra	тень
umbra	тени
umbra	оттенок
umbra	тень
vocala	подъёма
vocala	подъёма
creuse	крёз
omorat	убита
omorat	убитый
omorat	убил
omorat	убит
omorat	убиты
omorat	убиты
omorat	убита
omorat	убил
omorat	убит
marturii	свидетельство
marturii	показания
aaron	аарон
aaron	аарона
falls	фоллс
falls	падает
paraná	парана
transformare	трансформация
transformare	преобразования
transformare	преобразование
transformare	трансформации
academica	академических
promoveaza	продвигать
promoveaza	повысить
promoveaza	поднятия
promoveaza	поднимать
digitale	цифровая
digitale	цифровой
digitale	цифровые
digitale	digital
abbas	аббас
grafic	граф
grafic	график
grafic	графический
grafic	графические
grafic	диаграмма
antrenori	тренеров
antrenori	инструкторов
contul	счёт
contul	аккаунт
contul	счет
pedeapsa	наказание
pedeapsa	наказание
