arhiducele	ерцхерцог
amintirea	спомен
amintirea	памет
amintirea	спомени
medicamente	лекарства
medicamente	дрога
medicamente	наркотици
medicamente	лекарства
întrebat	попитал
întrebat	попитала
întrebat	попита
stări	държави
stări	щати
stări	настроенията
stări	настроения
colaborator	сътрудник
colaborator	дарител
auf	auf
opiniile	мнение
opiniile	становища
opiniile	мнения
lunar	месечна
lunar	месечно
lunar	месечни
lunar	месечен
lunar	лунен
omenirii	човечеството
omenirii	човечество
celulele	килии
celulele	клетките
celulele	клетки
percuție	удряне
percuție	ударно
short	кратко
short	къса
short	кратка
short	късо
short	кратък
depășește	надвишава
baron	баронът
baron	барон
suficientă	достатъчен
suficientă	достатъчни
suficientă	достатъчна
atelier	работилница
atelier	работилницата
atelier	семинар
barry	бари
mercur	живак
mercur	меркурий
tun	оръдия
tun	кенън
tun	оръдие
tun	оръдието
tun	tun
păr	косми
păr	косъм
păr	коси
păr	косата
păr	коса
cresc	расте
cresc	растат
concluzie	заключение
concluzie	извод
admis	приета
admis	призна
admis	допуснати
admis	приет
astrofizică	астрофизика
egalitate	равенство
egalitate	равнопоставеност
egalitate	равенството
identificare	идентификация
identificare	идентифициране
astronomic	астрономически
ideal	идеален
ideal	идеални
ideal	идеал
găsită	намерено
găsită	намерени
găsită	открит
găsită	намерена
găsită	намерен
haine	дрехите
haine	дрехи
structurii	структура
structurii	конструкция
abdallah	абдала
repetat	повторен
repetat	многократно
repetat	неколкократно
tinere	млада
tinere	младо
tinere	млади
tinere	йънг
tinere	млад
gros	дебела
gros	плътна
gros	дебело
gros	дебел
calendar	календар
calendar	календара
patrimoniu	наследство
vocale	гласни
vocale	вокал
vocale	гласните
donat	дари
donat	дарени
dakota	дакота
valle	вале
mansur	мансур
susan	сюзън
holt	холт
federală	федерален
federală	федерално
federală	федерална
pont	понт
pont	съвет
pont	бакшиш
înlocuirea	подмяна
înlocuirea	замяна
înlocuirea	подмяна
înlocuirea	замяна
înlocuirea	заместване
apple	епъл
apple	ябълков
apple	ябълка
apple	apple
nepenthes	nepenthes
dame	дама
strasbourg	страсбург
sportivi	спортисти
sportivi	атлети
sportivi	спортистите
apostoli	пратеници
château	шато
adăugarea	добавка
adăugarea	добавяне
adăugarea	допълнение
formularul	формуляр
formularul	форма
grupate	групирани
crimă	убийства
crimă	убийство
crimă	престъпления
crimă	престъпление
crimă	престъпност
crimă	престъпността
gotic	готически
tre	тре
roz	розово
roz	розов
roz	розова
roz	розови
ahmed	ахмед
latine	латинска
latine	латински
frunzele	листа
frunzele	оставя
frunzele	листата
exprima	експресна
exprima	експрес
compoziții	състави
compoziții	композиции
moscovei	москва
kashmir	кашмир
belgian	белгийските
belgian	белгийски
wikimapia	уикимапия
orange	оранжев
orange	оранжева
orange	оранжево
orange	оранжеви
orange	портокал
pierderile	загуби
pierderile	загубите
naviga	плават
echipament	оборудване
echipament	екипировка
includerea	включване
includerea	приобщаване
simona	симона
joachim	йоахим
formal	формално
formal	официален
formal	формално
formal	официално
formal	официална
austin	остин
filozofia	философия
filozofia	философията
aedes	aedes
implicarea	участие
explica	обясни
wall	стена
wall	стената
wall	уол
harald	харалд
meridiane	меридиани
autonome	автономни
autonome	автономна
village	село
răspândirea	разпространява
răspândirea	разпространението
răspândirea	разпространение
intensă	интензивни
intensă	интензивна
intensă	напрегнато
intensă	интензивен
intensă	интензивно
mutată	преместени
mutată	преместен
mutată	преместена
strâmtoarea	пролива
refugiat	бежанец
ungară	унгарски
scăzută	долно
scăzută	ниско
scăzută	ниски
scăzută	нисък
scăzută	ниска
compune	композира
exterioară	външно
ofensivă	обидно
ofensivă	офанзива
intervenție	встъпване
intervenție	интервенция
intervenție	намеса
galilor	гали
fenomene	явления
fenomene	феномен
fenomene	феномени
austrieci	австрийци
austrieci	austrian
austrieci	австрия
austrieci	австрийски
costume	костюми
costume	костюмите
costume	костюми
cânta	пей
cânta	пея
grija	грижовен
grija	грижовна
grija	грижи
grija	грижа
corul	хор
corul	хор
modelele	модели
modelele	образци
modelele	моделите
reich	райх
józsef	йожеф
agricol	селскостопански
agricol	селскостопанска
agricol	земеделски
originile	произход
khan	кхан
khan	хан
khan	кан
mutarea	местене
mutarea	преместване
moscheea	джамията
moscheea	джамия
lățimea	широчина
lățimea	ширина
cooper	купър
invazie	инвазия
invazie	нашествие
invazie	нахлуване
ehf	ehf
brabant	брабант
dealuri	хълмове
dealuri	хилс
danny	дани
determinată	решително
determinată	определени
determinată	решителна
determinată	решени
determinată	решителен
determinată	решено
tag	отбелязване
tag	таг
tag	етикет
perete	стена
perete	стената
perete	уол
amenajare	монтаж
amenajare	монтиране
amenajare	подходящо
nicholas	николас
nicholas	никълъс
ixodes	ixodes
istoricii	историци
istoricii	историците
străină	чужди
străină	чуждестранни
străină	чужд
străină	чужда
străină	чужденец
iubit	обичах
iubit	обичана
iubit	обичаше
iubit	обичан
iubit	любими
iubit	любима
iubit	гадже
iubit	гаджето
entitate	образувание
platină	платина
rezolva	разрешаване
rezolva	решаване
indivizi	индивиди
continental	континентална
caesar	цезар
cruci	кръстове
maiorescu	майореску
pierdute	изгубено
pierdute	изгубени
pierdute	изгубена
pierdute	загубен
pierdute	загуби
pierdute	изгубен
perioadele	срокове
perioadele	периоди
bianco	бианко
ilustrează	илюстрира
ilustrează	илюстрират
cardinal	кардинале
cardinal	кардинал
clare	клеър
vulcan	вулкан
vulcan	вулкана
vulcan	вулкан
moștenit	наследствено
moștenit	наследил
curentului	ток
curentului	текущ
curentului	текуща
curentului	текущи
curentului	настоящ
destinație	дестинация
destinație	направление
destinație	местоназначение
destinație	посока
hawaii	хаваи
hawaii	хавай
hawaii	хаваите
sunetul	звук
sunetul	звука
xbox	xbox
inca	още
gama	гама
baby	бебе
baby	мила
baby	бейби
baby	скъпа
evaluarea	оценяване
evaluarea	оценка
evaluarea	преценка
evaluarea	оценяване
evaluarea	оценка
evaluarea	оценяване
evaluarea	оценката
evaluarea	оценка
cinematografie	кинематография
danez	датски
raportat	докладвани
raportat	съобщено
raportat	докладвано
râurilor	реки
râurilor	реките
râurilor	ривърс
paula	паула
paula	пола
acoperiș	покрив
acoperiș	покривът
acoperiș	покрив
acoperiș	покрива
conferință	конференция
legală	правно
legală	правни
legală	правна
legală	юридически
legală	правен
legală	законно
civili	цивилни
elisabeth	елизабет
citește	четете
citește	прочетете
citește	чета
citește	чети
citește	прочети
citește	четене
variate	разнообразни
bros	братя
