planificare	planificación
magie	maxia
magie	máxico
magie	máxica
finanțarea	financiamento
cooperarea	cooperación
creare	crear
creare	creamos
creare	unha
creare	crean
creare	creación
creare	crear
creare	creando
îngrijire	importa
îngrijire	igual
îngrijire	me
verificat	a
iordania	jordan
bacterii	as
bacterii	bacterias
cumpărată	mercou
cumpărată	merquei
cumpărată	merqueino
cumpărată	merqueille
cumpărată	comprou
tactică	táctica
clopot	campá
weekend	fin
weekend	de
weekend	semana
consumului	consumo
corner	esquina
corner	recuncho
atacată	atacado
dușmani	inimigos
comunică	forma
comunică	comunicarse
comunică	comunicarnos
comunică	comunicación
comunică	comunicar
fantezie	fantasía
fantezie	bonitas
văduvă	viúva
milă	mágoa
milă	misericordia
milă	piedade
milă	misericordioso
milă	milla
surpriză	sorpresa
surpriză	sorprenda
surpriză	unha
native	nativo
native	onde
native	terra
sâmbăta	sábado
cumpăra	mercar
cumpăra	comprar
declinul	declive
gasit	atopei
gasit	que
gasit	atopamos
gasit	atoparon
gasit	atopou
asigurare	seguro
asigurare	seguros
păi	ben
intervină	intervir
datorie	deber
datorie	obriga
datorie	de
datorie	servizo
datorie	co
datorie	débeda
confesiune	confesión
lichide	líquido
lichide	líquida
sand	area
impreuna	xuntos
rotund	redondo
rotund	redondos
rotund	xira
rotund	arredor
rotund	preto
edith	edith
apartament	apartamento
apartament	piso
sensibil	sensibles
sensibil	sensible
sensibil	sensible
scurta	pouco
scurta	curto
scurta	curta
scurta	curtas
ilegale	ilegal
zeitung	zeitung
statisticile	estatísticas
batista	pano
tind	a
tind	tendemos
tind	tenden
tind	adoita
chase	persecución
proprietarii	os
moderni	modernos
moderni	moderna
moderni	as
moderni	modernas
moderni	moderno
decorată	condecorado
restricții	restrición
particulele	partículas
indicii	indicios
ingineria	enxeñería
ingineria	enxeñaría
fraze	frases
dură	dura
dură	por
dură	duro
dură	duros
dură	difícil
vizuală	visual
vizuală	visuais
opțiune	opción
opțiune	esta
extensie	extensión
extensie	estensión
pistol	pistola
pistol	arma
pistol	pistola
pistol	revólver
pescuitul	pescar
pescuitul	pesca
precise	exacto
precise	preciso
precise	precisa
mese	mesas
paradis	paraíso
paradis	o
primitive	primitivos
primitive	primitiva
primitive	primitivo
dirijat	dirixida
custodia	custodia
custodia	baixo
stânci	rochas
stânci	xeo
stânci	pedras
uită	esquecer
uită	esquezas
uită	o
izolată	illado
izolată	illada
calculatorul	ordenador
calculatorul	computador
calculatorul	ordenadores
experimentul	experimento
experimentul	experimentos
haven	aínda
haven	non
haven	teño
mănâncă	comer
mănâncă	come
mănâncă	comen
baseball	béisbol
reprezinta	representa
reprezinta	representa
reprezinta	representan
gerald	gerald
valoros	valioso
gaură	buraco
gaură	burato
gaură	furado
gaură	hole
miere	cariño
miere	rula
miere	meu
miere	ben
dinamica	dinámica
dinamica	dinámicas
dinamica	dinámica
manualul	manual
creasta	cresta
profesia	profesión
fructul	froita
olandezi	dutch
misiunile	misións
ura	odio
ura	os
ura	o
ura	a
ura	odio
partenerul	socio
nobile	nobre
psihologic	psicolóxica
psihologic	psicolóxicas
adresate	a
jam	session
