montreal	मॉन्ट्रियल
scade	घटा
scade	घटी
ton	टूना
ton	टोन
cheia	चाबी
cheia	कुंजी
britannica	विश्वकोष
romanov	romanov
mecanice	यांत्रिक
mecanice	mechanical
ascunde	छुपाएँ
ascunde	छुपा
mobil	मोबाइल
mobil	मोबाईल
sean	शॉन
schi	स्की
schi	स्कीइंग
depozite	जमा
aeroport	एयरपोर्ट
aeroport	विमानक्षेत्र
talentul	प्रतिभा
talentul	हुनर
oklahoma	ओक्लाहोमा
terestră	स्थलीय
permisiunea	इजाजत
permisiunea	अनुमति
bernhard	बर्नहार्ड
nepoata	पोती
nepoata	भतीजी
nepoata	भांजी
bătut	पीटा
bătut	पिटे
pragul	पठार
pragul	दहलीज
ouă	अंडे
ușa	दरवाजे
ușa	दरवाजा
ușa	दरवाज़ा
ușa	द्वार
aristotel	अरस्तू
alpha	अल्फ़ा
alpha	पारदर्शिता
alpha	अल्फा
firmă	फर्म
firmă	कड़
atlético	एटलेटिको
tipărită	मुद्रित
rica	रिका
imnul	गान
chirurgie	सर्जरी
madison	मैडिसन
icoana	चिह्न
icoana	आइकन
icoana	प्रतीक
amy	एमी
klaus	क्लाउस
adriana	एड्रियाना
pași	चरण
pași	कदम
spațial	स्थानिक
legislația	विधान
butler	बटलर
inutil	बेकार
inutil	व्यर्थ
rolling	रोलिंग
explicație	व्याख्या
explicație	स्पष्टीकरण
ritm	लय
hudson	हडसन
placa	प्लैक
bursa	छात्रवृत्ति
bursa	स्कॉलरशिप
nori	बादलों
nori	बादल
edmund	एडमंड
mercedes	मर्सिडीज
intelectuali	बौद्धिक
împotrivă	खिलाफ
împotrivă	विरुद्ध
împotrivă	विरूद्ध
proprietari	मालिकों
proprietari	स्वामी
protejat	संरक्षित
protejat	सुरक्षित
ronald	रोनाल्ड
colective	सामूहिक
popularitate	लोकप्रियता
gândit	सोचा
gândit	विचार
homo	होमो
homo	गे
homo	gay
castle	किला
droguri	ड्रग्स
droguri	दवाएँ
droguri	डोप
droguri	नशा
droguri	ड्रग
willem	विलेम
execuție	चलाना
execuție	निष्पादन
generat	जनित
generat	उत्पन्न
succese	सफलताएँ
succese	सफलताओं
succese	सफल
succese	सफलता
succese	कामयाबी
damasc	दमिश्क
nuvelă	उपन्यास
nuvelă	अनोखा
publica	प्रकाशित
card	कार्ड
reformei	सुधार
necunoscute	अज्ञात
necunoscute	अनजान
filipine	फिलीपींस
filipine	फिलीपीन
secundară	माध्यमिक
secundară	द्वितीयक
rin	रिन
rin	राइन
incident	घटना
plecare	प्रस्थान
memorii	संस्मरण
gândire	सोच
identificate	पहचाना
farmacie	फार्मेसी
biți	बिट्स
rightarm	rightarm
mexican	मेक्सिकन
mexican	मैक्सिकन
five	पांच
five	पाँच
pictate	चित्रित
parcuri	पार्क
pozitivă	सकारात्मक
pozitivă	धनात्मक
tipărit	मुद्रित
sângele	खून
sângele	लहू
sângele	रक्त
marchiz	बिल्ले
yemen	यमन
cântând	गाना
cântând	गायकों
cântând	गायन
stiluri	शैलियाँ
norvegian	नॉर्वेजियाई
împușcat	गोली
împușcat	शॉट
sălbatică	जंगली
teamă	डर
teamă	ख़ौफ़
teamă	भय
statui	मूर्ति
statui	मूर्तियाँ
sâmbătă	शनिवार
profesioniști	पेशेवरों
profesioniști	पेशेवर
irlandez	आयरिश
consilieri	परामर्शदाता
bunica	दादी
bunica	दादी
lituaniei	लिथुआनिया
limitate	limited
limitate	सीमित
pereți	दीवारों
pereți	दीवारें
perry	पैरी
perry	पेरी
distincție	भेद
platformă	प्लेटफ़ॉर्म
platformă	प्लेटफॉर्म
platformă	मंच
cronici	क्रॉनिकल्स
