din	จาก
care	ผู้
care	ใคร
care	ซึ่ง
fost	ถูก
mai	เชียงใหม่
mai	อื่นๆ
mai	มากกว่า
pentru	สำหรับ
pentru	เพื่อ
sunt	กำลัง
sunt	คือ
sit	ไซต์
după	after
după	หลัง
lea	lea
prin	ผ่าน
regiunea	แคว้น
regiunea	ภูมิภาค
mare	เยี่ยม
mare	ยอด
mare	บิ๊ก
mare	ใหญ่
mare	big
mare	ทะเล
anul	ปี
comună	สามัญ
comună	ทั่วไป
are	ทรง
externe	ภายนอก
legături	ลิงก์
vezi	เห็น
vezi	ดู
dar	แต่
cod	รหัส
cod	โค้ด
cod	คอด
cod	cod
populație	ประชากร
bucurești	บูคาเรสต์
bucurești	bucurești
fiind	การ
românia	โรมาเนีย
jpg	jpg
lista	รายการ
ucraina	ยูเครน
nume	ชื่อ
ani	ปี
între	ระหว่าง
până	จนถึง
până	จนกว่า
până	จนถึง
până	จน
până	จนกว่า
comuna	เทศบาล
comuna	สามัญ
comuna	ทั่วไป
poate	บางที
poate	บางที
două	สอง
două	two
rege	กษัตริย์
rege	king
rege	ราชา
rege	คิง
sub	ใต้
alte	อื่นๆ
când	เมื่อไร
când	เมื่อ
când	ตอน
regiune	แคว้น
regiune	ภูมิภาค
anii	ปี
parte	ภาค
parte	ส่วน
parte	part
județul	มณฑล
județul	เปรม
centura	เข็มขัด
centura	สายพาน
dinastia	ราชวงศ์
septembrie	กันยา
septembrie	กันยายน
timp	เวลา
despre	เรื่อง
despre	ประมาณ
unde	ที่ไหน
majoritatea	ที่สุด
limbă	ลิ้น
limbă	ภาษา
iunie	จูน
iunie	มิถุนายน
multe	มากมาย
multe	หลาย
prima	ก่อน
prima	แรก
octombrie	ตุลาคม
sat	หมู่บ้าน
sat	นั่ง
martie	มีนาคม
martie	มาร์ช
martie	march
biserica	ศาสนจักร
biserica	โบสถ์
fișier	แฟ้ม
decembrie	ธันวาคม
decembrie	ธันวา
toate	ทั้งหมด
toate	ทุก
ianuarie	มกราคม
latns	latns
latd	latd
longd	longd
noiembrie	พฤศจิกายน
cum	วิธี
imagine	รูป
imagine	ภาพ
imagine	ภาพ
imagine	รูปภาพ
imagine	อิมเมจ
statul	สภาพ
statul	รัฐ
familia	ตระกูล
familia	ครอบครัว
familia	family
numele	ชื่อ
timpul	เวลา
nord	อุดร
nord	เหนือ
principală	หลัก
sud	south
sud	ใต้
aprilie	april
aprilie	เมษายน
primul	ก่อน
primul	แรก
iulie	กรกฎาคม
doar	เท่านั้น
doar	เฉพาะ
doar	แค่
februarie	กุมภาพันธ์
listă	รายการ
trei	three
trei	สาม
limba	ลิ้น
limba	ภาษา
lats	lats
longm	longm
latm	latm
discuție	อภิปราย
franța	ฝรั่งเศส
partea	ภาค
partea	ส่วน
partea	part
mult	มาก
mult	มากมาย
departamentul	แผนก
departamentul	กรม
foarte	มาก
data	เดท
data	อินเทอร์เน็ต
data	ข้อมูล
departament	แผนก
departament	กรม
unul	เดียว
unul	หนึ่ง
apoi	งั้น
grup	กลุ่ม
oraș	town
oraș	เมือง
oraș	ทาวน์
oraș	เมือง
oraș	ซิตี้
oraș	city
pot	สามารถ
pot	สา
camp	ค่าย
germania	เยอรมนี
face	ทำให้
satul	หมู่บ้าน
național	national
național	ชาติ
note	หมายเหตุ
note	บันทึก
note	โน้ต
ucraineană	ยูเครน
general	ทั่วไป
general	แม่ทัพ
război	สงคราม
peste	จบ
peste	โอเวอร์
peste	เหนือ
română	โรมาเนีย
început	เริ่ม
iii	iii
duce	ดุ๊ค
duce	ดุค
duce	ดุก
duce	ดุ๊ก
duce	duce
român	โรมาเนีย
provincia	จังหวัด
vedere	ดู
punct	ดอท
punct	dot
punct	จุด
punct	point
punct	ชี้
punct	จุด
punct	ประเด็น
stat	สภาพ
stat	รัฐ
unite	สามัคคี
unite	ยูไนเต็ด
unite	united
file	แท็บ
atunci	งั้น
secolul	ศตวรรษ
una	เดียว
una	หนึ่ง
aceasta	นี้
aceasta	นี่
aceasta	ดิส
life	ชีวิต
life	life
reședință	ที่พัก
orașul	เมือง
orașul	ซิตี้
orașul	city
tot	ทั้งหมด
tot	ทุก
tot	ยัง
chiar	แม้น
chiar	แม้
chiar	แม้แต่
chiar	แม้ว่า
făcut	ทำให้
film	หนัง
film	ภาพยนต์
film	ภาพยนตร์
film	ภาพยนตร์
film	ฟิล์ม
vorbitori	ลำโพง
date	อินเทอร์เน็ต
date	ข้อมูล
trebuie	ต้อง
decât	กว่า
mari	บิ๊ก
mari	ใหญ่
mari	big
mari	mari
zile	วัน
față	หน้า
față	ใบหน้า
față	หน้า
față	หน้าตา
față	face
club	คลับ
club	สโมสร
club	club
club	ชมรม
est	est
nou	นิว
nou	ใหม่
numai	เท่านั้น
numai	เฉพาะ
ioan	จอร์น
ioan	john
ioan	จอห์น
ion	ไอออน
rusă	รัสเซีย
populația	ประชากร
doi	สอง
doi	two
același	เดียวกัน
membru	member
membru	สมาชิก
dată	เดท
oficial	ทางการ
oficial	official
împotriva	ต่อ
deși	แม้ว่า
