federală	federal
pont	pont
pont	bahşiş
pont	ipucu
pont	ihbar
înlocuirea	değiştirme
apple	elma
apple	apple
apple	elmalı
dame	dama
dame	dame
strasbourg	strazburg
sportivi	sporcular
tulburări	bozuklukları
apostoli	havariler
apostoli	peygamberler
château	château
château	şato
adăugarea	ilave
adăugarea	ek
adăugarea	ekleme
adăugarea	eklemek
bois	bois
formularul	formu
formularul	biçim
formularul	form
crimă	cinayetten
crimă	cinayet
crimă	suç
crimă	suçlar
gotic	gotik
tre	tre
roz	pink
roz	pembe
ahmed	ahmed
ahmed	ahmet
latine	latince
latine	latin
frunzele	yapraklar
frunzele	yaprak
exprima	ekspres
exprima	express
exprima	ifade
exprima	ekspresi
compoziții	kompozisyonlar
moscovei	moskova
kashmir	kaşmir
belgian	belçikalı
wikimapia	wikimapia
orange	orange
orange	portakal
orange	turuncu
pierderile	kayıpları
pierderile	kayıplar
naviga	yelkenli
naviga	yelken
echipament	donatım
echipament	ekipman
echipament	donanım
simona	simona
joachim	joachim
formal	resmen
formal	resmi
austin	austin
filozofia	felsefe
filozofia	felsefesi
aedes	aedes
explica	açıklayın
wall	duvar
harald	harald
meridiane	meridyenleri
autonome	özerk
village	köyü
village	köy
răspândirea	yayılıyor
răspândirea	yayılması
răspândirea	yaymak
răspândirea	yayıldı
răspândirea	yay
intensă	şiddetli
intensă	yoğun
lugoj	lugoj
mutată	taşınmış
mutată	taşınan
mutată	taşındı
strâmtoarea	boğaz
strâmtoarea	boğazı
refugiat	mülteci
ungară	macar
ungară	macaristan
scăzută	alçak
scăzută	düşük
compune	beste
ofensivă	hücum
ofensivă	saldırgan
ofensivă	kırıcı
intervenție	müdahele
intervenție	müdahale
galilor	galyalılar
fenomene	fenomen
austrieci	avusturyalılar
austrieci	avusturyalı
costume	kostüm
costume	kostümleri
costume	kostümler
costume	takımlar
grija	şefkatli
grija	bakım
grija	umurumda
grija	özen
corul	korosu
corul	koro
corul	korosu
corul	koro
modelele	modeller
modelele	modelleri
modelele	mankenler
îndeplini	vefa
reich	reich
józsef	józsef
agricol	tarım
agricol	tarımsal
originile	köken
originile	kökeni
khan	khan
khan	han
mutarea	taşınma
mutarea	taşınıyor
moscheea	cami
moscheea	camii
lățimea	genişlik
lățimea	genişliği
ladislau	ladislaus
cooper	cooper
invazie	işgal
invazie	istila
ehf	ehf
brabant	brabant
dealuri	tepe
dealuri	tepeler
dealuri	dağlar
dealuri	hills
dealuri	tepeleri
danny	danny
determinată	azimli
determinată	kararlı
tag	etiketle
tag	tag
tag	etiket
perete	duvar
nicholas	nicholas
ixodes	ixodes
istoricii	tarihçiler
străină	yabancı
iubit	sevdiğini
iubit	sevilen
iubit	sevgili
iubit	sevilen
entitate	taraf
entitate	varlık
platină	platin
rezolva	çöz
