точное	precise
убийцы	killers
убийцы	murderers
убийцы	assassins
дисков	discs
взяты	taken
физиологии	physiology
осуществления	implementation
установок	installations
газету	newspaper
афганистана	afghanistan
кадры	footage
строитель	builder
владивосток	vladivostok
победить	beat
победить	win
победить	defeat
парень	boy
парень	guy
парень	kid
парень	boyfriend
чтение	reading
принесла	brought
лицей	lyceum
формулировка	phrasing
формулировка	formulation
захвачен	captured
резонанс	resonance
обход	circumvention
обход	rounds
обход	bypass
развивать	develop
отдать	give
процедура	procedure
мур	moor
мур	moore
осень	autumn
осень	fall
сел	sat
предотвратить	prevent
апостольский	apostolic
сервис	tools
сервис	service
электронные	electronic
сенат	senate
еврейская	jewish
содержащие	containing
убийца	killer
убийца	murderer
убийца	assassin
зон	zones
арабский	arab
арабский	arabic
предков	ancestors
предков	ancestral
ведущая	moderator
ведущая	leading
ведущая	lead
ведущая	presenter
президентских	presidential
пропустил	skipped
пропустил	missed
свидетельство	certificate
свидетельство	testimony
сервер	server
австралийский	australian
супер	super
рада	rada
рада	glad
пишу	writing
королей	kings
полицейский	cop
полицейский	police
полицейский	policeman
описано	describes
описано	described
кан	kang
кан	kahn
кан	kan
кан	kaan
фифа	fifa
косово	kosovo
атаковать	attack
абдул	abdul
эксперт	expert
розыгрыш	raffle
розыгрыш	giveaway
розыгрыш	prank
армяне	armenians
дружба	friendship
древняя	ancient
совершить	commit
ссылаться	invoke
ископаемых	fossil
фотограф	photographer
кислорода	oxygen
мэн	meng
мэн	maine
объединяет	unites
позади	behind
николас	nicolás
николас	nicholas
формировании	shaping
поправки	amendment
поправки	amendments
астроном	astronomer
экологии	ecology
анхальт	anhalt
альберта	alberta
жозеф	joseph
госпиталь	hospital
простое	simple
тихий	quiet
рой	roy
рой	swarm
альберто	alberto
электроэнергии	electricity
пьетро	pietro
кубы	cuba
задняя	posterior
задняя	rear
камер	chambers
возражения	objection
возражения	objections
уилсон	wilson
филологических	philological
старших	senior
юбилейная	jubilee
исаак	isaac
бесплатно	free
стекла	glass
показания	testimony
янг	yang
янг	young
кинотеатр	theater
кинотеатр	cinema
центральное	central
ушли	gone
эфиопии	ethiopia
эфиопии	ethiopian
важность	importance
подробное	detailed
неудачно	unfortunate
разновидности	varieties
разновидности	variety
венесуэлы	venezuelan
венесуэлы	venezuela
настоящая	real
пресса	press
гостиница	hotel
навигации	navigation
развиваться	evolve
хозяин	owner
хозяин	master
ранг	rank
дополнительное	supplementary
дополнительное	additional
дополнительное	extra
колония	colony
арнольд	arnold
борцы	wrestlers
боги	gods
обложка	cover
оформить	formalize
классическая	classical
классическая	classic
картинки	images
картинки	pictures
нынешней	current
перепись	census
принадлежали	belonged
объяснения	explanations
рад	glad
швейцарский	swiss
зубов	teeth
грант	grant
дискуссия	discussion
барабаны	drums
студент	student
историографии	historiography
водорода	hydrogen
шотландский	scottish
охоты	hunting
образы	images
вон	vaughn
проявляется	manifested
якутии	yakutia
домашние	homemade
дэн	dan
дэн	deng
приборы	instrumentation
приборы	instruments
квартиру	flat
арест	arrest
рисунки	pictures
рисунки	drawings
заказ	order
павлов	pavlov
социальный	social
обсуждается	discusses
красноярск	krasnoyarsk
выразил	expressed
реальность	reality
хасан	hasan
хасан	hassan
намерения	intentions
намерения	intent
гонсалес	gonzalez
гонсалес	gonzales
гонсалес	gonzález
хоп	hop
юлий	julius
мок	ioc
арбитр	arbitrator
арбитр	referee
арбитр	umpire
свадьба	wedding
вреда	harm
журналистики	journalism
преобразование	converting
преобразование	conversion
преобразование	transformation
преобразование	transform
ученый	scientist
ученый	scholar
театры	theatres
содружества	commonwealth
гитары	guitar
гитары	guitars
крейсеров	cruisers
неба	sky
политехнический	polytechnic
закрыто	closed
мельница	windmill
механик	mechanic
склад	warehouse
склад	storage
публично	publicly
джейсон	jason
