varšave	ורשה
ľudský	אנוש
ľudský	אנושי
ľudský	אדם
potrieb	צרכי
potrieb	צרכים
potrieb	הצרכים
útek	בריחה
útek	מילוט
útek	הבריחה
útek	הימלטות
útek	בריחה
útek	לברוח
zaťaženie	עומס
zaťaženie	טען
zaťaženie	לטעון
zaťaženie	המון
zaťaženie	טוען
zaťaženie	טעינה
tal	טל
vlastnil	בבעלות
vlastnil	בבעלותו
sarah	שרה
venované	מסורה
vyhlásenia	הצהרות
vyhlásenia	הצהרות
vyhlásenia	הכרזות
sebastian	סבסטיאן
klaus	קלאוס
obsahujúce	המכילים
obsahujúce	המכיל
obsahujúce	שמכיל
dôsledky	השלכות
váhy	קשקשים
váhy	מאזניים
váhy	מאזניים
váhy	משקולות
zámer	כוונה
zámer	כוונה
zámer	כוונת
hladina	רמה
čreva	מעי
iniciatívy	יוזמות
iniciatívy	היוזמה
iniciatívy	יוזמה
symbolov	סמלים
mons	מונס
empire	אמפייר
empire	אימפריה
empire	האימפריה
vietname	וייטנאם
piatok	שישי
tvarov	צורות
štúdiá	אולפני
štúdiá	סטודיו
používateľ	משתמש
používateľ	המשתמש
made	עשה
made	הכין
letci	עלונים
etapy	שלבים
pristál	נחת
pristál	נחתה
rozširuje	משתרע
rozširuje	מתרחב
osád	יישובים
žltý	צהוב
žltý	צהובה
odmietli	סירבה
odmietli	נדחה
odmietli	סרב
odmietli	דחה
náčelník	המפקדת
náčelník	ראשי
sociálny	חברתיות
sociálny	חברתית
sociálny	חברתי
porto	פורטו
rozdielne	שונות
rozdielne	שונה
rozdielne	שונים
rozdielne	מפוצלים
deutsche	דויטשה
adresu	כתובת
adresu	הכתובת
rumunský	רומניה
rumunský	רומנים
rumunský	רומני
lebky	גולגולות
lebky	גולגולת
lebky	סקאל
úseky	מחלקות
úseky	חלקים
priemyselná	תעשייתית
priemyselná	תעשייתי
pretekár	רייסר
kras	הקארסט
kras	הסלובקי
uhlie	פחם
uhlie	פחם
abeceda	אלפבית
abeceda	האלפבית
komédie	קומדיה
komédie	קומדיות
kopa	ערמה
kopa	ערימת
kopa	הערימה
kopa	ערימה
kopa	ערמת
duchovné	רוחנית
duchovné	רוחני
duchovné	רוחניות
extra	תוספת
extra	אקסטרה
nickelback	ניקלבק
vzdať	כניעה
vzdať	נכנע
snahu	מאמץ
nárok	בקשי
nárok	בקש
nárok	טוענים
nárok	זכאות
chýb	שגיאות
chýb	טעויות
chýb	שגיאות
chýb	באגים
chýb	חרקים
chýb	באגס
medi	נחושת
pokryté	מכוסה
pokryté	מכוסים
pokryté	מקורה
pokryté	כיסה
poskytnúť	לספק
poskytnúť	ספקי
zavedený	הציג
zavedený	הציגה
jednotlivcov	יחידים
archeológ	ארכיאולוג
archeológ	ארכיאולוג
organizmus	אורגניזם
junior	זוטר
frekvencie	תדרי
frekvencie	תדרים
frekvencie	תדר
frekvencie	תדירות
autobus	אוטובוס
autobus	האוטובוס
výrobcu	מפיק
výrobcu	מפיקה
výrobcu	היצרן
výrobcu	יצרן
tisícročia	מילניום
tisícročia	המילניום
prednášky	הרצאות
prednášky	הרצאה
prednášky	ההרצאה
ulrich	אולריך
akademický	אקדמי
akademický	אקדמית
návrhov	הצעות
praktické	מעשית
praktické	מעשי
počasie	מזג
trio	שלישייה
trio	שלישיית
skúsenosť	ניסיון
skúsenosť	חוויה
skúsenosť	נסיון
skúsenosť	התנסות
najmladší	הצעיר
sklo	זכוכית
sklo	גלאס
preložené	מתורגם
disciplíne	משמעת
wwe	wwe
elektrických	חשמלית
elektrických	חשמלי
elektrických	חשמל
elektrických	חשמלית
elektrických	חשמלי
adresy	כתובות
family	משפחה
operáciu	ניתוח
operáciu	כירורגיה
vzdialený	מרוחק
vzdialený	רחוק
vzdialený	מרוחקת
vzdialený	מרוחק
vzdialený	מרוחקת
naučil	למדתי
naučil	למד
naučil	למדה
naučil	לימדה
naučil	לימד
existoval	התקיים
existoval	קיים
porasty	מטעי
dmitrij	דמיטרי
dmitrij	דימיטרי
pohlavia	מין
pohlavia	מגדר
pohlavia	מין
pohlavia	סקס
wars	המלחמות
wars	מלחמות
dallas	דאלאס
karibiku	הקאריביים
karibiku	הקריביים
timeaxis	timeaxis
zrýchlenie	תאוצה
core	ליבה
core	ליבת
core	הליבה
paralelne	מקביל
paralelne	מקבילים
paralelne	במקביל
paralelne	מקבילה
challenger	המתמודד
bytov	דירות
bytov	בייטס
bytov	דירות
centrálny	סנטרל
centrálny	מרכזית
centrálny	מרכז
centrálny	מרכזי
rodičmi	הורים
rodičmi	ההורים
eddie	אדי
ross	רוס
média	מדיה
média	תקשורת
fritz	פריץ
afganistane	אפגניסטן
prístupné	נגיש
prístupné	נגישות
rádia	רדיו
afrických	אפריקאית
afrických	אפריקאי
afrických	אפריקני
terminál	טרמינל
terminál	סופני
terminál	מסוף
konstantin	קונסטנטין
výstupy	תפוקות
bruins	ברואינס
armstrong	ארמסטרונג
lekára	רופאה
lekára	רופא
lekára	דוקטור
lekára	רופא
shoemaker	שומייקר
