kostolov	цркви
nadal	надал
jacob	jacob
jacob	јакоб
jacob	џејкоб
ťažba	извлекување
ťažba	екстракција
ťažba	рударска
ťažba	рударство
ťažba	рударството
ťažba	рударски
lesné	шума
lesné	шумски
centrá	центри
centrá	центри
indonézie	индонезиски
indonézie	индонезија
bytia	битие
vlastná	сопствени
vlastná	сопствено
vlastná	сопствена
vlastná	сопствен
vlastná	сопствено
vlastná	сопствени
ministrov	министри
ministrov	министрите
ministrov	министерски
múzeá	музеите
múzeá	музеи
kováč	ковач
šírenie	шири
šírenie	ширење
šírenie	ширеше
šírenie	шират
šírenie	ширење
šírenie	шири
šírenie	рашири
šírenie	ширењето
obnovená	обновен
obnovená	обновено
obnovená	повторна
obnovená	обновен
obnovená	обновени
obnovená	обновено
botanik	ботаничар
benz	benz
benz	бенц
phoenix	феникс
rozvíjať	еволуира
rozvíjať	развие
rozvíjať	развивање
populárny	популарно
populárny	популарен
populárny	популарни
populárny	популарна
metre	метри
metre	метро
metre	метрото
metre	метри
rak	рак
rak	канцер
hovorovo	разговорно
obavy	стравувања
obavy	стравови
obavy	загриженост
obavy	загриженост
verlag	verlag
cit	cit
dlhší	подолго
dlhší	подолга
dlhší	подолг
dlhší	подолги
frekvencia	фрекфенција
frekvencia	фреквенција
minútu	минута
register	регистрираат
register	регистар
register	регистар
bosna	босна
tvoje	твојата
tvoje	твојот
tvoje	вашиот
tvoje	ваш
tvoje	твоја
tvoje	твое
tvoje	ваш
tvoje	твој
tvoje	твои
maximum	максимална
maximum	максимално
maximum	максимален
maximum	максимум
coa	coa
cas	cas
cas	кас
cas	кас
prijaté	преземено
prijaté	сликани
prijaté	сликано
prijaté	примен
prijaté	добиени
prijaté	доби
prijaté	примена
prijaté	примиле
prijaté	прифатен
prijaté	прифатена
prijaté	прифатено
prijaté	прифатени
prijaté	примена
prijaté	посвоен
prijaté	усвоена
prijaté	усвоени
prijaté	усвои
prijaté	посвоена
prijaté	усвоено
dno	дното
dno	долен
dno	дно
voz	вагон
dôstojníkov	офицери
dôstojníkov	полицајци
američania	американците
američania	американци
frederick	фредерик
rozdeľuje	дели
oheň	оган
oheň	пожар
garcía	гарсија
zrážky	судар
zrážky	врнежи
alberto	алберто
byzantský	византиски
byzantský	византиска
russell	расел
kopca	тешка
kopca	брдо
kopca	ридот
kopca	hill
kopca	хил
kopca	рид
kritici	критичари
kritici	критичарите
demokracia	демократија
autorstvo	авторските
kus	делче
kus	парче
možná	можно
možná	можни
možná	возможно
možná	можен
slávny	познат
slávny	познатата
slávny	славна
slávny	позната
slávny	познати
turbo	турбо
brazílie	бразил
nezávislých	независни
nezávislých	независна
nezávislých	независен
nezávislých	независно
nezávislých	независни
planétu	планет
planétu	планета
planétu	планетата
spoločenský	друштвени
spoločenský	социјална
spoločenský	социјално
spoločenský	општествени
postupnosť	низа
postupnosť	секвенца
arnold	арнолд
naplno	докрај
ľahšie	полесно
usporiadané	договорен
reaguje	реагира
harold	харолд
harold	херолд
studio	studio
studio	студио
teoreticky	теоретски
kódy	шифри
kódy	кодови
podporovať	подршка
podporovať	поддршка
podporovať	support
podporovať	охрабрување
podporovať	охрабри
koryto	корито
akt	чин
akt	акт
sultán	султан
sultán	султанот
nepriamo	индиректно
nepriamo	индиректни
nepriamo	индиректно
povedomia	свеста
povedomia	свесноста
povedomia	свест
povedomia	свесност
modelka	модел
občianskeho	граѓански
občianskeho	граѓанска
občianskeho	граѓанско
občianskeho	граѓанската
uskutočňuje	спроведува
blízkom	средина
blízkom	среден
vlk	волф
vlk	волк
sociológ	социологот
chemická	хемиско
chemická	хемиски
zur	zur
kongresu	конгресот
kongresu	конгрес
robot	бот
robot	робот
námornej	поморска
námornej	поморски
pevný	цврсто
pevný	цврст
pevný	цврста
pevný	солидно
pevný	цврсти
alexandrovič	александрович
zahraničné	странски
zahraničné	странска
stuttgart	штутгарт
kovy	метал
kovy	метали
hamburg	хамбург
hamburg	hamburg
oslobodenie	ослободителната
oslobodenie	олеснување
oslobodenie	олеснувања
bydlisko	жител
bydlisko	живеалиште
bydlisko	престој
bydlisko	резиденција
bydlisko	живеалиште
mag	mag
bobby	боби
náhodou	случајно
napísali	напишано
napísali	напишани
napísali	пишано
napísali	пишан
napísali	напиша
napísali	пишувал
napísali	напишаа
napísali	напишал
napísali	напишав
tiger	тигар
nadácie	темелите
nadácie	темели
nadácie	основи
nadácie	фондации
detaily	детали
kolektív	колективни
kolektív	колектив
kolektív	колективна
kolektív	колективно
kolektív	колективен
automobilový	автомобилски
automobilový	автомобилска
philippe	филипе
philippe	филип
ľad	лед
ľad	мраз
lese	шума
lese	вудс
lese	шуми
mostov	мостови
jadrovej	нуклеарна
jadrovej	нуклеарно
jadrovej	нуклеарни
jadrovej	нуклеарен
rap	рап
rap	рапот
výraznejšie	поостар
výraznejšie	поостри
odolnosť	отпорност
odolnosť	отпорот
odolnosť	отпор
