enrico	انريكو
sinove	ابناء
sinove	الابناء
receptorjev	مستقبلات
industrijska	صناعي
industrijska	صناعية
industrijska	الصناعية
putnam	بوتنام
standardna	قياسي
standardna	المعيار
standardna	معيار
encimi	الانزيمات
dassault	داسو
loke	اقواس
loke	اقواس
teamb	teamb
tokovi	التيارات
tokovi	التدفقات
tokovi	تدفقات
platon	افلاطون
lisica	ثعلب
lisica	فوكس
lisica	الثعلب
kalcijev	كالسيوم
kalcijev	الكالسيوم
pogovori	محادثات
pogovori	المحادثات
pogovori	الاحاديث
pogovori	محادثات
pogovori	المحادثات
pogovori	المقابلات
pogovori	مقابلات
pogovori	كلام
pogovori	الحديث
pogovori	الكلام
pogovori	التحدث
nazionale	nazionale
vmesnik	واجهة
vmesnik	الواجهة
jajčeca	البيض
jajčeca	بيض
valle	فالي
pištola	مسدس
pištola	مسدس
regionalni	اقليمية
regionalni	اقليمي
regionalni	الاقليمي
richardson	ريتشاردسون
razširjeni	موسعة
razširjeni	موسع
razširjeni	الموسع
razširjeni	مددت
razširjeni	مدد
razširjeni	موسعة
razširjeni	موسع
prihodnje	مستقبل
prihodnje	مستقبلا
prihodnje	المستقبل
prijateljstvo	الصداقة
prijateljstvo	صداقة
alternative	البديل
alternative	بديل
alternative	بديلة
alternative	البدائل
alternative	بدائل
industries	صناعات
industries	الصناعات
pozni	اواخر
pozni	تاخر
pozni	متاخرة
pozni	متاخر
pogledi	مشاهدات
pogledi	اراء
pogledi	المشاهدات
pogledi	الاراء
magnus	ماغنوس
magnus	ماجنوس
sorodniki	اقارب
sorodniki	الاقارب
podjetnik	مقاول
policist	الضابط
policist	ضابط
policist	ضابطة
mostovi	الجسور
mostovi	جسور
marseille	مرسيليا
marseille	مارسيليا
lastna	امتلك
posredovanje	الارسال
posredovanje	ارسال
posredovanje	الوساطة
posredovanje	وساطة
posredovanje	التوسط
posredovanje	التدخلات
posredovanje	التدخل
posredovanje	تدخل
zaključek	الاكتمال
zaključek	الانجاز
zaključek	اكمال
zaključek	الاغلاق
zaključek	اغلاق
zaključek	خاتمة
zaključek	الخلاصة
zaključek	خاتمة
zaključek	الخاتمة
zaključek	الختام
zaključek	استنتاج
zaključek	الاستنتاج
razstavi	المعرض
razstavi	معرض
lucas	لوكاس
gibson	جبسون
gibson	جيبسون
gibson	غيبسون
terme	منتجع
terme	سبا
terme	تيرمي
moon	قمر
moon	القمر
dama	السيدة
dama	سيدة
jezikovno	لغوي
jezikovno	لغوية
jezikovno	لغويا
jezikovno	لغة
jezikovno	اللغة
nadal	نادال
ščit	شيلد
ščit	الدرع
ščit	درعا
ščit	درع
programiranje	برمجة
programiranje	البرمجة
izpostavljenost	التعرض
izpostavljenost	تعرض
biološki	البيولوجية
biološki	بيولوجية
biološki	بيولوجي
#ffcc	#ffcc
perzijci	الفرس
utrdbo	حصن
utrdbo	الحصن
utrdbo	فورت
mdr	mdr
ted	تيد
ted	تد
fam	فام
imenovanja	التعيينات
imenovanja	المواعيد
imenovanja	تعيينات
emilio	اميليو
slab	سيئة
slab	باد
slab	سيء
slab	سيئ
slab	سئ
izbris	الحذف
izbris	الغاء
izbris	يحذف
izbris	الحذف
izbris	احذف
izbris	تحذف
izbris	حذف
dedek	جدي
dedek	جدى
dedek	الجد
dedek	الجد
ustavil	توقفت
opremljen	مجهزة
opremljen	مجهز
epizode	الحلقات
epizode	حلقات
epizode	حلقة
epizode	الحلقة
izidi	الحصيلة
izidi	النتائج
izidi	نتائج
izidi	النواتج
fisher	فيشر
puščave	الصحارى
porto	بورتو
realno	ريال
realno	حقيقي
realno	حقيقية
realno	واقعي
realno	واقعية
casa	كاسا
casa	كازا
virusi	الفيروس
virusi	فيروس
virusi	فيرس
virusi	فيروسات
virusi	الفيروسات
snega	ثلج
snega	الثلج
snega	سنو
mach	ماخ
leteči	طيران
leteči	الطيران
leteči	تطير
hitra	سريعة
hitra	سريع
ureditve	الترتيبات
ureditve	ترتيبات
priporoča	يوصي
priporoča	توصي
ekonomska	اقتصادية
zastrupitve	التسمم
zastrupitve	تسمم
warren	وارين
warren	وارن
komunikacija	الاتصالات
komunikacija	الاتصال
komunikacija	التواصل
rick	ريك
alkohol	الخمور
alkohol	الكحوليات
alkohol	كحول
alkohol	الكحول
kras	كراسوس
terry	تيري
osebje	الموظفين
osebje	الموظفون
osebje	الافراد
osebje	الموظفون
