jackie	jackie
opeke	cihly
opeke	cihel
režim	režim
delavca	pracovnice
delavca	dělník
delavca	pracovník
delavca	pracovníka
razdeljeno	rozdělený
razdeljeno	rozdělené
razdeljeno	rozdělená
razdeljeno	rozdělena
craig	craig
tatjana	tatiana
tatjana	tatjana
cvet	blossom
cvet	květ
cvet	kytka
cvet	květ
cvet	květina
izbere	vybere
izbere	vybírá
marne	marne
opremljena	vybaveni
opremljena	vybavené
opremljena	vybavená
opremljena	vybaveno
opremljena	zařízený
opremljena	zařízené
cape	cape
cape	mys
cape	plášť
srebotnik	srebotnik
angleži	česky
angleži	anglické
angleži	angličtina
angleži	anglicky
vili	vila
vili	villa
vili	vily
chan	chan
čet	čt
čet	jednotky
čet	vojska
čet	vojáci
ville	ville
mamo	máma
mamo	matku
mamo	matka
galaksij	galaxie
galaksij	galaxií
gost	host
bitk	bitev
bitk	bitvy
evangelij	evangelium
bruins	bruins
giacomo	giacomo
zaščiti	chránit
zaščiti	chraňte
zaščiti	ochránit
zaščiti	chrání
prečka	kříže
ledvic	ledvin
ledvic	ledvina
ledvic	ledviny
ledvic	ledvinu
spomini	vzpomínky
spomini	vzpomínka
spomini	vzpomínky
spomini	paměti
spomini	paměť
bakra	měď
bakra	mědi
poklicno	profesionálně
poklicno	odborné
miles	miles
miles	kilometry
miles	mil
miles	míle
kristus	kristus
kristus	kriste
vsebovala	obsahovala
vsebovala	obsahovaly
vsebovala	obsažené
vsebovala	obsažený
predsednica	předsedající
predsednica	prezident
predsednica	předseda
predsednica	president
predsednica	prezidenta
predsednica	prezidentka
predsednica	předsedkyně
shranjevanje	záchrana
shranjevanje	ukládání
shranjevanje	úspory
shranjevanje	záchranu
shranjevanje	uložení
shranjevanje	sklad
shranjevanje	úložiště
shranjevanje	uchovávání
shranjevanje	skladování
zdravniki	lékaře
zdravniki	lékaři
zdravniki	doktoři
zdravniki	doktorů
zdravniki	lékaři
raziskuje	zkoumání
raziskuje	objevování
raziskuje	zkoumá
lopez	lopez
veri	víra
veri	faith
veri	víru
federacije	federaci
federacije	federace
hudi	závažné
hudi	závažná
hudi	vážné
lisa	lisa
lisa	lisu
lisa	líza
lisa	lisy
nedelja	neděli
nedelja	nedělní
nedelja	neděle
sedmi	sedmé
sedmi	sedmá
