napadalec	jeanne
srbijo	serbiya
čustveno	emosyonal
čustveno	emosyonal
saturn	saturn
encima	enzyme
tokio	tokyo
dream	dream
dream	pinapangarap
dream	panaginip
dream	pangarap
germain	germain
matt	matt
nasledniki	successors
pérez	pérez
slovenia	eslobenya
alexandre	alexandre
centralne	central
centralne	gitnang
oscar	oscar
ronnie	ronnie
uefa	uefa
monarhija	monarkiya
propad	doom
propad	pagguho
propad	pagbagsak
turistične	turista
ngc	ngc
clarke	clarke
krona	korona
uran	uranyo
uran	urano
celično	cellular
resnica	totoo
resnica	true
resnica	katotohanan
bruhanje	suka
bruhanje	pagsusuka
dodana	naidagdag
dodana	idinagdag
menihi	monks
funtov	quid
funtov	pounds
odziva	pagtugon
odziva	sumasagot
odziva	tumutugon
tesla	tesla
sloj	patong
padli	bagsak
viktorija	victoria
akcija	aksiyon
akcija	pagkilos
akcija	aksyon
tiska	pindutin
razglašena	proclaimed
ščiti	pinoprotektahan
ščiti	shields
vickers	vickers
luknje	butas
waffen	waffen
presega	lumampas
game	gamma
vladanje	reign
andre	andre
andre	andré
ban	pagbawalan
opredeljuje	tumutukoy
ema	emma
ema	ema
doktorat	doctorate
doktorat	phd
listina	charter
pljuč	baga
pljuč	baga
okoliščine	pangyayari
altlink	altlink
krizo	sakuna
krizo	krisis
silver	pilak
silver	silver
léon	léon
planine	bundok
agent	ahente
agent	agent
vstaja	warsaw
vstaja	insurrection
vzpostavitev	gusali
vzpostavitev	pagtatatag
priznana	nakakilala
priznana	kinikilalang
priznana	nakilalang
priznana	kinikilala
priznana	nakilala
upokojen	retired
pre	pre
jason	jason
guillaume	guillaume
danny	danny
skrajno	grabe
skrajno	grave
ravna	flat
ravna	patag
instrument	pinapalo
instrument	instrumento
delec	butil
nationalgoals	nationalgoals
negativna	negatibong
negativna	negatibo
negativna	negative
konzulat	konsulado
učitelji	teachers
izkoristek	birtud
izkoristek	husay
izkoristek	kahusayan
zatočišče	tirahan
zatočišče	banal
zatočišče	sanctuary
brod	brod
zaposlitve	trabaho
zaposlitve	magtrabaho
sivo	gray
sivo	abo
sivo	grey
sod	barrel
prizor	pinangyarihan
prizor	eksena
prizor	tanawin
vlakna	fibers
vlakna	hibla
vlakna	fiber
tarča	target
arizona	arizona
zmogljivosti	kapasidad
zmogljivosti	makayanan
zmogljivosti	kakayahan
zmogljivosti	kakayahan
spektra	spectrum
dvoboj	duel
liverpool	liverpool
meč	tabak
meč	espada
meč	sword
upanje	umaasa
upanje	umasa
upanje	sana
avtomobilska	sasakyan
indeks	index
spoštovanje	respect
spoštovanje	respeto
spoštovanje	paggalang
arheološki	archaeological
definira	tumutukoy
eksplozije	pagsabog
demokratična	democratic
demokratična	demokratikong
marin	marin
preostale	natitira
preostale	natitirang
razvite	binuo
moralno	moral
negativni	negatibong
negativni	negatibo
negativni	negative
razni	miscellaneous
razni	kalokohan
kalif	kalipa
zadovoljstvo	satisfaction
zadovoljstvo	kasiyahan
zadovoljstvo	tuwa
zadovoljstvo	kasiyahan
predpisi	regulasyon
predpisi	alituntunin
predpisi	rules
predpisi	tuntunin
usmerjeno	itinuro
delovalo	nagtrabaho
hribi	bundok
hribi	burol
hribi	hills
oblačil	pananamit
oblačil	damit
oblačil	kasuotan
igrišče	palaruan
administrator	administrator
administrator	administrador
administrator	tagapangasiwa
klasifikacija	klasipikasyon
licenca	lisensya
licenca	licence
licenca	lisensiya
licenca	lisensya
ska	ska
tisoče	libo
ločitev	diborsiyo
ločitev	paghihiwalay
meritev	pagsukat
patent	patent
opiše	naglalarawan
opiše	inilalarawan
župnijo	parokya
glive	fungi
tommy	tommy
obiskala	pinuntahan
obiskala	bumisita
obiskala	binisita
bra	bra
videm	udine
težavah	nahirapan
doris	doris
primerni	angkop
auf	auf
tower	tore
tower	tower
tower	toreng
odvisni	dependent
odvisni	nakasalalay
dodajanje	addition
dodajanje	karagdagan
dodajanje	idinadagdag
dodajanje	pagdagdag
dodajanje	idinaragdag
dodajanje	magdagdag
dodajanje	add
dodajanje	idagdag
serena	serena
potrebovali	kailangan
običajna	normal
vroče	hot
vroče	mainit
por	por
por	leek
komercialni	pangkalakal
komercialni	commercial
komercialni	komersyal
komercialni	komersiyal
trio	trio
izbire	pagpipilian
manjšine	minorities
premiera	pangunahin
zime	winters
duhovni	espirituwal
duhovni	spiritual
erwin	erwin
mišica	masel
mišica	kalamnan
mišica	muscle
sredozemlju	mediterranean
algoritem	algorithm
preberite	mabasa
preberite	nabasa
preberite	basahin
posamezno	magkakahiwalay
posamezno	indibiduwal
možni	maaari
možni	posible
možni	possible
možni	maari
možni	posibleng
hudson	hudson
ohranjeno	nakapreserba
blake	blake
zlom	paglabag
zlom	breaking
zlom	bali
