eligió	vybral
firmar	podepsání
firmar	podpisu
firmar	znak
firmar	podpis
firmar	podepsat
describir	popište
describir	popsat
describir	popisující
xavier	xavier
chipre	kypru
chipre	kypr
guy	chlap
guy	guy
guy	borec
expresiones	výrazů
expresiones	výrazy
songs	písně
songs	písničky
songs	skladby
ruptura	rozchod
ruptura	prasknutí
emisora	hlasatel
filósofos	filozofové
previsto	plánované
previsto	plánováno
previsto	plánovaný
previsto	naplánované
previsto	plánovaná
adolescente	teen
adolescente	dospívající
adolescente	dospívající
adolescente	pubertální
adolescente	teenager
inés	inez
inés	inés
inés	agnes
actualizado	aktualizované
actualizado	aktualizováno
prototipo	prototyp
dinámica	dynamika
dinámica	dynamics
dinámica	dynamiku
dinámica	dynamika
dinámica	dynamický
dinámica	dynamická
dinámica	dynamické
mencionada	zmínila
mencionada	zmíněna
mencionada	zmínil
variación	varianty
variación	variace
variación	změnit
variación	změna
variación	změny
variación	variace
latitud	šířka
trío	trojka
trío	trojku
trío	trio
óleo	oleje
óleo	ropa
óleo	olej
usted	vy
usted	jsi
usted	ty
sabía	věděl
sabía	věděla
alfa	alpha
alfa	alfa
alfa	alfa
caudal	plynout
caudal	tok
caudal	průtok
caudal	toku
ann	ann
antecedentes	pozadí
antecedentes	zázemí
grabada	vyryté
irlandés	irský
irlandés	ir
irlandés	irské
irlandés	irská
irlandés	ir
asiático	asijský
asiático	asijská
asiático	asijské
guarda	stráž
guarda	strážný
guarda	hlídač
edgar	edgara
edgar	edgar
anchura	šířka
anchura	šířku
barry	barry
barry	barryho
utilidad	užitečná
utilidad	užitečný
utilidad	užitečné
utilidad	užitečnost
utilidad	užitečnost
manchester	manchesteru
manchester	manchester
beatles	beatles
higgins	higgins
celebrada	držené
celebrada	držen
celebrada	držel
celebrada	oslavili
receptor	receptoru
receptor	přijímače
receptor	příjemce
receptor	přijímač
receptor	příjemce
personalmente	osobně
desapareció	zmizela
desapareció	zmizel
prólogo	předmluvě
prólogo	předmluva
prólogo	prolog
xbox	xbox
force	síla
tramos	sekce
tramos	úseky
tramos	oddíly
contemporáneos	současná
contemporáneos	moderní
contemporáneos	současné
contemporáneos	současný
contemporáneos	současníci
ken	ken
campeona	šampion
campeona	šampion
campeona	šampión
lgbt	lgbt
automáticamente	automaticky
centre	centrum
centre	středisko
centre	střed
centre	centre
pacheco	pacheco
necesarias	nutná
necesarias	nezbytná
necesarias	nezbytné
necesarias	nutné
necesarias	nezbytný
abraham	abraham
colaboradores	parťáci
colaboradores	partnery
colaboradores	partneři
colaboradores	kolaboranty
colaboradores	spolupracovníci
colaboradores	přispěvatelé
lost	ztracený
lost	ztraceno
lost	ztratil
lost	ztraceni
lost	ztracen
lost	ztracená
baterista	bubeník
caras	nákladné
caras	drahé
caras	tváře
caras	obličeje
supercopa	superpohár
supercopa	supercopa
turín	torino
turín	turín
lesiones	léze
lesiones	zranění
lesiones	úraz
lesiones	újma
lesiones	poranění
lesiones	zranění
lesiones	poranění
disminución	pokles
disminución	odmítnout
disminución	úpadek
disminución	zamítnout
disminución	pokles
disminución	snížit
disminución	snížení
apoyó	podpořil
apoyó	podporovaných
apoyó	podporované
apoyó	podporováno
aceptación	přijímá
aceptación	přijetí
aceptación	přijetí
sídney	sydney
parra	parra
libras	libry
libras	liber
libras	kila
modificar	pozměnit
modificar	upravit
land	pozemky
land	pozemek
land	země
cedido	půjčil
definido	vymezené
definido	definovaný
definido	definováno
definido	definovaná
definido	definované
contribuyó	přispěli
contribuyó	přispěl
contribuyó	přispěla
contribuyó	přispěly
contribuyó	přispělo
rara	vzácný
rara	vzácné
rara	vzácná
soviéticos	sověti
soviéticos	sovětská
soviéticos	sovětské
soviéticos	sovětský
figueroa	figueroa
adquirido	získal
adquirido	získané
adquirido	získaná
adquirido	získán
adquirido	získány
adquirido	získána
adquirido	koupil
pérdidas	ztráty
pérdidas	ztráta
pérdidas	prohra
pérdidas	ztrát
pérdidas	ztráty
fantasía	fantasy
fantasía	fantazie
fantasía	fantazii
fenómenos	jevy
fenómenos	fenomén
fenómenos	šílenci
fenómenos	zrůdy
conecta	připojit
conecta	propojit
conecta	spojuje
bus	bus
bus	autobus
bus	autobusem
