que	那個
del	del
una	一
una	one
una	一個
categoría	類別
como	如何
como	讚
como	就像
como	像
como	喜歡
más	多
más	更多
más	更
sus	他的
sus	你的
también	還
también	也
también	太
este	這
este	這個
este	東
este	東部
este	東方
este	東區
pero	但
pero	不過
pero	但是
años	歲月
años	年份
dos	dos
dos	兩
dos	兩個
dos	二
sobre	關於
sobre	信封
año	年度
año	年份
año	年
desde	來自
desde	從
esta	這
esta	這個
hasta	甚至
hasta	直到
ciudad	城鎮
ciudad	鎮
ciudad	城市
ciudad	市
ciudad	城
parte	黨
parte	政黨
parte	宴會
parte	派對
parte	聚會
sin	罪孽
sin	罪過
sin	罪
sin	辛
sin	罪惡
san	san
san	聖人
san	聖
nacional	national
nacional	國家
primera	首先
primera	第一
team	團隊
team	球隊
team	隊伍
cuando	當
nombre	名字
nombre	名稱
nombre	姓名
estados	國家
utc	utc
siglo	siglo
siglo	世紀
después	後
después	之後
después	後來
después	稍後
después	以後
españa	西班牙
otros	其他
otros	其他
gran	big
gran	大
gran	棒
gran	偉大
gran	grand
estado	狀況
estado	狀態
estado	現況
estado	國家
estado	州
estado	條件
estado	狀況
uno	一
uno	one
uno	一個
lugar	地點
lugar	場地
lugar	會場
lugar	地方
lugar	地點
lugar	所在地
lugar	位置
lugar	地點
primer	首先
primer	第一
población	人口
muy	非常
mismo	相同
nueva	新
nueva	新的
historia	動態
historia	故事
historia	歷史
club	幫會
club	club
club	俱樂部
universidad	大學
universidad	學院
universidad	書院
universidad	大學
forma	形狀
forma	形式
forma	表格
tres	tres
tres	三
tres	三個
grupo	grupo
grupo	群組
grupo	群
guerra	戰
guerra	戰爭
aunque	儘管
aunque	雖然
aunque	雖然
tras	後
tras	之後
familia	家庭
familia	家人
familia	家屬
familia	家庭
además	還
además	也
además	加上
además	加
todo	一切都
todo	一切
todo	全部
todo	所有
todo	all
sur	南方
sur	南部
sur	sur
sur	南
sur	南方
sur	南部
mayor	少校
mayor	主要
mayor	主修
tiempo	天氣
tiempo	氣象
tiempo	時光
tiempo	時間
provincia	省
provincia	省省
provincia	省份
partido	黨
partido	政黨
partido	宴會
partido	派對
partido	聚會
partido	匹配
partido	比對
partido	match
contra	櫃台
encuentra	找到
encuentra	尋找
municipio	鄉
municipio	市
otras	其他
otras	其他
todos	每個人
todos	全部
todos	所有
todos	all
todos	大家
todos	每個人
juan	john
juan	瓊
juan	joan
josé	約瑟夫
josé	joseph
josé	約瑟
bajo	低低
bajo	低
bajo	低音
bajo	bass
serie	系列
serie	串列
cada	每個
cada	每一個
cada	每個
fútbol	足球
fútbol	足球
fútbol	美式足球
fútbol	橄欖球
equipo	裝備
equipo	團隊
equipo	球隊
equipo	隊伍
norte	北方
norte	北
norte	北部
norte	北方
norte	北部
norte	nord
río	rio
río	河
río	江河
río	河流
río	江
méxico	墨西哥
han	韓
han	漢
han	han
argentina	阿根廷
nuevo	新
nuevo	新的
véase	見
junto	沿
septiembre	九月份
septiembre	九月
octubre	十月
octubre	十月份
segunda	第二
segunda	秒
gobierno	施政
gobierno	治理
gobierno	政府
condado	郡
condado	縣
final	終結
final	結尾
final	結束
final	決賽
final	決賽
vida	生命
vida	人生
vida	生活
vida	vida
personas	人
personas	人們
personas	人民
español	西班牙文
español	西班牙語
centro	市區
centro	中心
centro	中心
julio	julio
julio	julius
julio	七月
julio	七月份
hay	乾草
lincoln	林肯
país	國家
web	網站
web	網頁
web	web
web	網
web	網路
internacional	國際
santa	神聖
santa	聖人
santa	聖
santa	聖誕老人
antes	早先
antes	先前
antes	以前
antes	前
antes	之前
oficial	官
oficial	軍官
quien	誰
