dhe	ja
një	yks
një	yksi
një	yhden
një	one
nga	alkaen
nga	from
për	varten
edhe	edes
edhe	jopa
tij	hänen
nuk	ei
ishte	oli
ishte	oliko
janë	ovat
janë	ovatko
shumë	hyvin
shumë	erittäin
por	mutta
pas	jälkeen
pas	after
pas	seuraan
pas	seuraavat
këtë	tämän
këtë	tätä
këtë	tästä
këtë	tämä
parë	nähnyt
parë	nähty
parë	nähneet
tyre	heidän
tyre	niiden
mund	vois
mund	voisi
mund	voi
gjatë	pitkät
gjatë	kauan
gjatë	pitkä
gjatë	pitkään
gjatë	long
disa	osa
disa	joitakin
disa	jotkut
lidhje	linkit
lidhje	yhteydet
lidhje	linkkejä
lidhje	linkkien
lidhje	suhde
lidhje	suhteet
lidhje	yhteys
lidhje	yhteyden
lidhje	yhteys
lidhje	linkistä
lidhje	linkkiä
lidhje	linkin
lidhje	linkki
kjo	tämän
kjo	tätä
kjo	tästä
kjo	tämä
kjo	tuo
kjo	että
kur	kun
kur	milloin
mbi	ohi
mbi	yli
mbi	yläpuolelle
mbi	yläpuolelta
mbi	yllä
mbi	yläpuolella
mbi	edellä
deri	till
deri	kunnes
deri	kunnes
jashtme	ulkoisen
jashtme	ulkoinen
jashtme	ulkoiset
jashtme	ulkopuolinen
jashtme	ulkoinen
saj	sen
saj	hänen
kishte	oli
ajo	hän
vetëm	yksistään
vetëm	yksin
vetëm	yksinään
vetëm	ainoastaan
vetëm	vain
vetëm	vain
ata	nuo
ata	noi
ata	ne
ata	he
tjera	muu
tjera	muut
pjesë	osat
pjesë	osia
pjesë	osa
pjesë	osaa
pjesë	osittain
atë	hänet
shqiptare	albanian
shqiptare	albania
shqiptare	albaniaa
madhe	iso
madhe	isot
madhe	suuri
rreth	noin
rreth	ympärillä
rreth	ympäri
rreth	maisemissa
para	raha
para	rahat
para	rahaa
para	käteistä
para	cash
para	rahaa
para	ennen
ishin	olivat
ishin	olivatko
per	noin
per	varten
këto	nämä
këto	näitä
banorë	asukkaita
banorë	asukkaat
banorë	asukasta
banorë	asukkaille
banorë	asukkaita
banorë	asukkaat
komuna	kunnat
komuna	kuntaa
komuna	kuntien
komuna	kunta
cila	jonka
cila	joka
cila	jota
cila	johon
cila	jotka
nje	yks
nje	yksi
nje	yhden
nje	one
kundër	vastoin
kundër	vastaan
lista	lista
lista	luettelo
lista	listan
lista	listaa
lista	luetteloon
lista	listat
lista	listoja
lista	luettelot
qenë	ollut
qenë	ollu
qenë	oltu
kantoni	canton
gjithashtu	lisäksi
gjithashtu	myöskin
gjithashtu	myös
cilat	jonka
cilat	joka
cilat	jota
cilat	johon
cilat	jotka
ndryshme	erilaiset
ndryshme	erilainen
ndryshme	eri
ndryshme	erilaista
etj	jne
duhet	tarve
duhet	tarvitaan
duhet	tarpeen
duhet	tarvita
duhet	tarvetta
duhet	täytyy
sipërfaqe	pinnat
sipërfaqe	pintaan
sipërfaqe	pinnalle
sipërfaqe	pinta
sipërfaqe	pintaa
ato	ne
ato	he
ato	nuo
ato	noi
përgjithshëm	yleinen
përgjithshëm	yleiset
përgjithshëm	kenraali
përgjithshëm	yleistä
tjetër	muu
tjetër	muut
tjetër	seuraava
tjetër	seuraavaksi
njohur	tutut
njohur	tuttu
njohur	tuttua
njohur	tuttuja
njohur	tutulta
njohur	tunnustettu
njohur	tunnistin
njohur	tunnisti
njohur	tunnustettu
njohur	tiedossa
njohur	tunnetaan
njohur	tunnetut
njohur	tunnettu
shqiptar	albanian
shqiptar	albania
shqiptar	albaniaa
style	style
style	tyyliä
style	tyyli
dytë	toisena
dytë	toiseksi
dytë	toinen
mirë	hyvää
mirë	hyvä
fundit	last
fundit	viimeisenä
fundit	viimeksi
fundit	viimeisin
fundit	viimeinen
fundit	viime
fundit	uusin
fundit	uusimmat
fundit	viimeisin
fundit	viimeisimmät
pasi	jälkeen
pasi	after
shiko	nää
shiko	katso
shiko	katso
nën	alapuolelle
nën	alle
nën	alapuolella
nën	alla
nën	alta
nën	alle
nën	alla
jpg	jpg
herë	aikoja
herë	ajat
herë	kertaa
herë	times
viti	vuoden
viti	vuosi
viti	vuonna
sot	tänään
sot	today
çdo	jokainen
lartë	high
lartë	korkea
lartë	korkeat
lartë	korkealla
popullsi	väestö
popullsi	väkiluku
popullsi	väestön
kosovës	kosovossa
kosovës	kosovon
kosovës	kosovo
komunë	kunta
jetë	life
jetë	elämää
jetë	elämän
jetë	elämä
president	puhemies
president	presidentti
president	puheenjohtaja
bërë	tehty
bërë	done
mes	keskimmäinen
mes	lähi
mes	keski
mes	puolivälissä
mes	väliin
mes	välillä
mes	välissä
vonë	myöhäinen
vonë	myöhässä
vonë	myöhään
vend	maa
vend	valtio
vend	maata
vend	maan
vend	paikassa
vend	paikka
vend	place
shqipëri	albaniassa
shqipëri	albanian
shqipëri	albania
shqipëri	albaniaa
pak	pieni
pak	pikku
pak	vähä
pak	hieman
pak	hiukan
francë	ranska
francë	ranskan
fshat	maaseudun
fshat	maaseutu
fshat	maaseutua
fshat	kylän
fshat	kylä
fshat	kylässä
fshat	kyl
zyrtare	virkamies
zyrtare	viralliset
zyrtare	virallinen
kryetari	kaiutin
kryetari	puhuja
kryetari	puhemies
kryetari	puheenjohtajan
kryetari	puheenjohtaja
vendosur	sijaitsee
pasur	oli
pasur	rikkaita
pasur	rikkaat
pasur	rich
pasur	rikas
sepse	koska
sepse	syy
sepse	aiheuttaa
sepse	koska
sepse	aatteen
kishin	oli
vitet	vuotta
vitet	vuodet
vitet	vuosien
vitet	vuosia
tre	kolmoset
tre	kolme
fund	hameen
fund	hame
fund	lopetus
fund	päättymässä
fund	päättyy
fund	loppu
fund	loppua
fund	päättyy
fund	lopussa
fund	päättynyt
marrë	vietiin
marrë	ottaa
marrë	viety
marrë	otettu
tjerë	muut
tjerë	toiset
tjerë	muita
harta	kartta
harta	karttaa
harta	karttoja
harta	kartat
mbreti	king
mbreti	kuningas
mbreti	kunkku
midis	väliin
midis	välillä
midis	välissä
kosovë	kosovossa
kosovë	kosovon
kosovë	kosovo
vjet	vuotta
vjet	vuodet
vjet	vuosien
vjet	vuosia
pastaj	sitten
shtetit	osavaltio
shtetit	valtion
shtetit	valtio
tiranë	tiranan
kombëtare	kansallinen
kombëtare	kansalliset
kombëtare	kansallisten
emrin	nimi
emrin	nimeä
mori	vastaanotettu
mori	saadut
mori	saanut
mori	saatu
mori	otti
mori	vei
filloi	alkanut
filloi	alkoi
filloi	aloitti
filloi	aloitettu
ish	entinen
ish	entiset
mars	marssi
mars	maaliskuu
mars	maaliskuuta
mars	marssia
mars	mars
file	tiedostoa
file	tiedosto
file	tiedoston
file	kansio
presidenti	puhemies
presidenti	presidentti
presidenti	puheenjohtaja
lindur	syntynyt
lindur	syntyneet
lindur	syntyi
lindi	lindy
lindi	synnytys
lindi	synty
lindi	syntymä
kryesore	main
