dhe	in
një	enga
një	ena
një	en
një	eden
një	eno
nga	iz
nga	od
për	za
edhe	celo
tij	njegovo
tij	njegove
tij	njegov
tij	njegova
nuk	ni
nuk	ne
ishte	bil
ishte	bila
janë	so
duke	imeti
shumë	zelo
por	toda
por	ampak
por	vendar
pas	po
pas	sledim
këtë	to
këtë	ta
këtë	tole
këtë	tega
parë	videli
parë	videl
parë	viden
parë	videna
tyre	njihovi
tyre	njihov
tyre	njihovo
tyre	njuna
tyre	njihova
tyre	njihove
tyre	njimi
tyre	jih
tyre	njih
mund	lahko
mund	lahko
gjatë	dolge
gjatë	dolg
gjatë	dolgo
gjatë	dolgi
gjatë	dolga
disa	nekatere
disa	nekaterim
disa	nekateri
disa	nekaj
disa	neki
lidhje	povezave
lidhje	razmerje
lidhje	zveza
lidhje	priključitev
lidhje	povezava
lidhje	link
lidhje	poveži
lidhje	povezava
kjo	to
kjo	ta
kjo	tole
kjo	tega
kjo	to
kjo	tisto
kur	kadar
kur	ko
kur	kdaj
mbi	konec
mbi	zgoraj
deri	do
deri	dokler
jashtme	zunanji
jashtme	zunanja
jashtme	zunanje
jashtme	zunanjost
jashtme	zunanjosti
saj	its
saj	njej
saj	njo
saj	njen
saj	her
saj	njena
kishte	imelo
kishte	imeli
kishte	imel
kishte	imela
ajo	ona
vetëm	sama
vetëm	sami
vetëm	sam
vetëm	le
vetëm	samo
vetëm	le
vetëm	samo
ata	njimi
ata	jih
ata	njih
ata	tiste
ata	so
tjera	drugi
tjera	drugo
tjera	druga
tjera	druge
pjesë	deli
pjesë	delno
pjesë	del
atë	njega
atë	ga
shqiptare	albansko
madhe	velika
madhe	veliki
madhe	velike
madhe	velik
rreth	glede
rreth	naokrog
rreth	okoli
rreth	okrog
para	denar
para	gotovino
para	gotovina
para	pred
para	preden
para	prej
ishin	bili
per	glede
per	za
këto	teh
këto	te
këto	tele
banorë	prebivalce
banorë	prebivalcev
banorë	prebivalci
banorë	stanovalci
banorë	prebivalcev
banorë	prebivalci
komuna	občin
komuna	občine
komuna	občina
cila	katero
cila	kateri
cila	katere
cila	katerih
cila	ki
cila	katerega
nje	enga
nje	ena
nje	en
nje	eden
nje	eno
kundër	števec
kundër	proti
kundër	zoper
lista	spisek
lista	seznam
lista	seznami
lista	sezname
qenë	bil
qenë	bila
kantoni	cantona
gjithashtu	tudi
cilat	katero
cilat	kateri
cilat	katere
cilat	katerih
cilat	ki
cilat	katerega
ndryshme	drugačna
ndryshme	drugačen
ndryshme	drugačni
ndryshme	drugačno
etj	etc
etj	itd
etj	idr
duhet	potrebo
duhet	potreba
duhet	mora
sipërfaqe	površine
sipërfaqe	površino
sipërfaqe	površje
sipërfaqe	ploskev
ato	njimi
ato	jih
ato	njih
ato	so
