dhe	та
një	одна
një	one
një	одне
një	один
nga	від
për	для
edhe	навіть
edhe	даже
tij	його
nuk	не
nuk	not
ishte	був
ishte	була
ishte	було
janë	надаються
shumë	дуже
por	але
pas	після
pas	такі
pas	стежать
këtë	цей
këtë	ця
parë	бачили
parë	бачив
tyre	своїх
tyre	їхньому
tyre	свої
tyre	їхнє
tyre	їх
tyre	їм
tyre	комплектів
mund	зміг
mund	могла
mund	змогли
mund	вдалось
mund	міг
mund	можна
gjatë	довгий
gjatë	хай
gjatë	лонг
gjatë	long
gjatë	довга
gjatë	довгі
disa	дехто
disa	деякі
disa	якесь
disa	якийсь
disa	трохи
lidhje	лінки
lidhje	посилання
lidhje	посиланнями
lidhje	посилань
lidhje	стосунки
lidhje	взаємовідношення
lidhje	посиланням
lidhje	посилання
lidhje	link
lidhje	лінк
kjo	цей
kjo	ця
kjo	той
kur	коли
mbi	закінчилося
mbi	над
mbi	закінчено
mbi	закінчилась
mbi	вище
deri	доки
deri	till
deri	поки
deri	доки
deri	до
deri	поки
jashtme	зовнішнє
jashtme	зовнішні
jashtme	зовнішній
jashtme	зовнішня
jashtme	зовнішня
saj	свої
saj	його
saj	her
saj	нею
saj	її
saj	їй
kishte	мали
kishte	мав
ajo	вона
ajo	she
vetëm	наодинці
vetëm	поодинці
vetëm	сама
vetëm	самі
vetëm	лише
vetëm	тільки
vetëm	просто
vetëm	щойно
ata	їх
ata	їм
ata	комплектів
ata	ті
ata	тих
ata	тими
ata	вони
tjera	інший
tjera	інша
tjera	інші
tjera	інше
tjera	інших
pjesë	частини
pjesë	частинами
pjesë	частина
atë	нього
atë	постане
atë	йому
atë	ним
atë	його
sipas	сп
shqiptare	албанська
madhe	великі
madhe	велике
madhe	велика
madhe	великий
madhe	біг
rreth	приблизно
rreth	інфо
rreth	про
rreth	щодо
rreth	around
rreth	довкола
rreth	навколо
para	гроші
para	грошовий
para	готівки
para	перед
para	before
ishin	були
per	приблизно
per	інфо
per	про
per	щодо
per	для
këto	ці
banorë	мешканці
banorë	мешканці
banorë	мешканців
komuna	підпорядкування
komuna	муніципалітет
komuna	край
cila	какой
cila	який
cila	які
cila	яке
cila	яка
nje	одна
nje	one
nje	одне
nje	один
kundër	лічильник
kundër	проти
lista	перелік
lista	list
lista	список
lista	списки
qenë	був
qenë	було
qenë	були
kantoni	кантон
gjithashtu	також
ndërsa	поки
cilat	какой
cilat	який
cilat	які
cilat	яке
cilat	яка
ndryshme	different
ndryshme	інше
ndryshme	різні
ndryshme	різних
ndryshme	відмінні
ndryshme	обрана
etj	тощо
etj	etc
duhet	need
duhet	треба
duhet	потрібно
duhet	потреби
duhet	потреба
duhet	мусить
duhet	має
duhet	повинен
sipërfaqe	поверхонь
sipërfaqe	поверхні
sipërfaqe	поверхня
ato	їх
ato	їм
ato	комплектів
ato	вони
ato	ті
ato	тих
ato	тими
përgjithshëm	загальні
përgjithshëm	генерал
përgjithshëm	загальний
përgjithshëm	загальне
tjetër	інший
tjetër	інша
tjetër	інші
tjetër	інше
tjetër	інших
tjetër	наступний
tjetër	наступна
tjetër	next
tjetër	наступне
tjetër	далі
njohur	знайомі
njohur	впізнав
njohur	визнано
njohur	визначив
njohur	впізнали
njohur	відома
njohur	відоме
njohur	відомі
shqiptar	албанська
style	стиль
dytë	другий
dytë	друге
dytë	друга
dytë	секунда
mirë	хороші
mirë	гарні
mirë	добрий
mirë	добре
fundit	останній
fundit	остання
fundit	останнє
fundit	останні
fundit	остання
pasi	після
shiko	подивитися
shiko	див
shiko	бачите
shiko	бачу
shiko	переглянути
shiko	погляд
shiko	вигляд
shiko	подивитися
shiko	дивіться
shiko	дивися
shiko	дивись
nën	нижче
nën	знизу
nën	sub
nën	під
nën	under
jpg	jpg
herë	таймс
herë	час
herë	часи
herë	times
viti	рік
sot	сьогодні
çdo	кожен
çdo	кожні
çdo	якісь
lartë	високий
lartë	висока
lartë	значне
lartë	високе
lartë	високі
popullsi	населення
kosovës	косова
kosovës	косово
komunë	муніципалітет
komunë	край
jetë	життя
jetë	лайф
president	президент
president	президенти
bërë	зроблено
bërë	закінчили
bërë	виконано
bërë	готово
bërë	done
mes	середня
mes	посередині
mes	середньої
mes	середина
mes	середній
mes	середина
mes	середини
mes	поміж
mes	між
vonë	запізнюється
vonë	пізно
vonë	запізно
vend	країни
vend	країна
vend	кантрі
vend	місце
shqipëri	албанії
shqipëri	албанія
pak	маленька
pak	маленький
pak	маленькі
pak	божественний
pak	трошки
pak	трохи
francë	франції
francë	франція
francë	францію
fshat	село
zyrtare	офіційні
zyrtare	офіційна
zyrtare	офіційний
zyrtare	офіційне
kryetari	доповідач
kryetari	гучномовець
kryetari	голова
kryetari	головою
vendosur	розташовані
vendosur	знаходиться
vendosur	розташовано
vendosur	розташований
pasur	мали
pasur	мав
pasur	багаті
pasur	багатий
pasur	rich
sepse	адже
sepse	бо
sepse	спричинити
sepse	причина
sepse	причиною
kishin	мали
kishin	мав
vitet	роки
tre	три
tre	втрьох
tre	трійка
fund	спідниця
fund	завершується
fund	кінець
fund	закінчується
fund	остаточний
fund	завершити
fund	кінець
fund	закінчити
fund	закінчиться
fund	закінчення
marrë	taken
marrë	взято
marrë	забрала
marrë	зроблено
tjerë	інших
tjerë	інші
tjerë	іншими
harta	карта
harta	мапа
harta	карти
harta	мапи
harta	картах
mbreti	кінг
mbreti	король
mbreti	цар
midis	поміж
midis	між
vogël	маленькі
kosovë	косова
kosovë	косово
vjet	роки
përbëhet	складається
përbëhet	складатись
përbëhet	складаються
pastaj	потім
pastaj	тоді
shtetit	стан
shtetit	держава
tiranë	тирана
kombëtare	національна
kombëtare	націонал
kombëtare	національне
kombëtare	національний
kombëtare	національні
emrin	назва
mori	отримано
mori	отримані
mori	отриманий
mori	отримали
mori	отримала
mori	взяли
mori	забрали
mori	взяв
mori	забрала
mori	забрав
filloi	почалося
filloi	почалось
filloi	почали
filloi	розпочато
filloi	почався
filloi	почато
ish	колишні
ish	колишній
mars	березні
mars	березень
mars	березня
mars	марс
mars	mars
file	файл
presidenti	президент
presidenti	президенти
lindur	народження
lindur	народився
lindur	борн
lindur	народилась
lindur	народилася
lindi	лінді
lindi	народження
kryesore	головний
kryesore	основне
kryesore	головна
kryesore	головні
kryesore	головне
aktualisht	зараз
aktualisht	наразі
qyteti	містечко
