med	med
som	jako
som	like
som	kterou
som	který
som	což
som	která
som	které
runt	okolo
runt	kolem
runt	kolo
runt	kulaté
runt	kulatá
runt	kulatý
månaden	měsíční
månaden	měsíčně
månaden	měsíc
nederbörd	srážek
nederbörd	srážky
nederbörd	srážek
nederbörd	srážení
nederbörd	srážky
ligger	lží
ligger	lži
ligger	umístěné
ligger	umístěno
ingår	zahrnut
ingår	zahrnuty
ingår	včetně
ingår	zahrnuto
ingår	zahrnuté
ingår	zahrnuje
att	to
att	že
ett	jedno
ett	jednu
ett	jeden
ett	jedna
över	over
över	konec
över	přes
familjen	rodina
familjen	rodinný
familjen	rodinná
familjen	rodinné
familjen	rodinka
för	pro
för	za
inga	žádný
inga	žádná
inga	žádné
inga	inga
delen	part
delen	část
släktet	rodu
underarter	poddruh
life	life
life	zivot
life	životní
life	život
listade	uvedených
landet	zemi
landet	země
meter	metr
meter	metry
meter	metrů
meter	metry
meter	metrů
meter	měřiče
meter	metr
meter	yardů
meter	loděnice
huvudstaden	kapitolu
huvudstaden	kapitol
huvudstaden	kapitál
havet	moře
havet	mořská
havet	ocean
havet	oceán
kallaste	nejchladnější
invånare	obyvatelé
invånare	obyvatel
invånare	obyvatelé
invånare	občané
invånare	občany
januari	lednu
januari	leden
januari	ledna
millimeter	milimetrech
millimeter	milimetrů
millimeter	milimetrů
genomsnitt	průměrný
genomsnitt	průměrné
genomsnitt	průměrná
genomsnitt	průměr
genomsnitt	průměry
genomsnittlig	průměrný
genomsnittlig	průměrné
genomsnittlig	průměrná
genomsnittlig	průměr
torraste	nejsušší
var	var
var	bylo
var	byl
var	byla
var	byli
var	byly
var	kde
var	kam
juli	červenec
juli	července
juli	juli
han	hana
han	han
har	má
har	mít
per	pere
per	per
vattendrag	řek
vattendrag	řeky
vattendrag	rivers
från	ze
från	od
kanada	kanada
kanada	kanady
provinsen	provincie
provinsen	provincii
närheten	blízkost
men	ale
högsta	nejvyšší
högsta	maximálně
högsta	maximální
högsta	maximum
högsta	nejvyšší
augusti	srpen
augusti	srpna
augusti	august
kan	mohl
kan	mohla
kan	může
kan	mohou
länkar	odkazy
externa	externí
externa	externích
externa	vnější
läge	lokace
läge	místo
läge	poloha
läge	umístění
läge	lokalita
läge	mód
läge	režim
läge	mode
även	dokonce
även	rovněž
även	také
även	též
även	taky
februari	února
februari	únor
under	během
under	behem
under	pod
lake	jezero
lake	lake
lake	jezera
sjö	jezero
sjö	lake
sjö	jezera
sjö	moře
sjö	mořská
inte	není
inte	ne
sig	sig
kommun	obec
två	dva
två	dvě
två	dvojka
lac	lac
terrängen	terénní
terrängen	terénu
terrängen	terén
long	dlouho
long	dlouhá
long	dlouhý
long	dlouhé
juni	juni
juni	červen
juni	června
lat	lat
lat	líná
lat	líní
lat	líný
december	prosince
december	prosinec
december	prosinci
växer	rostoucí
växer	pěstování
växer	roste
växer	rostou
växer	růst
växer	rostou
växer	roste
många	mnohé
många	mnozí
många	mnoha
många	mnoho
efter	po
efter	poté
nära	uzavřít
nära	zavřít
nära	blízko
nära	poblíž
nära	blízko
väster	west
väster	západ
väster	západní
provins	provincie
provins	provincii
öster	východ
öster	východní
först	nejdřív
först	nejprve
först	první
först	nejdříve
berg	hora
berg	hory
berg	horu
berg	berg
berg	hory
berg	pohoří
berg	hor
indonesien	indonésie
usa	usa
mars	březen
mars	března
mars	pochodovat
mars	pochod
mars	marsu
mars	mars
mindre	méně
mindre	menší
mindre	menší
mindre	nezletilý
mindre	menší
mindre	méně
mindre	míň
norr	sever
norr	severní
oktober	říjen
oktober	října
man	člověk
man	muž
man	man
september	září
större	major
större	větší
större	větších
större	větší
större	větší
centrala	ústřední
centrala	centrální
centrala	centrála
nordväst	severozápadním
nordväst	severozápadní
andra	druhé
andra	druhá
andra	druhý
andra	ostatní
andra	jiná
andra	jiné
andra	jiný
andra	ostatní
andra	jiní
andra	jiné
hade	měl
hade	měla
där	tam
där	kde
där	kam
nordost	severovýchodní
nordost	severovýchod
county	hrabství
county	okres
nog	dost
nog	nog
huvudsakligen	hlavně
huvudsakligen	převážně
huvudsakligen	primárně
ovanligt	nezvyklé
ovanligt	neobvyklé
ovanligt	neobvyklá
ovanligt	neobvyklý
namngivna	pojmenoval
söder	jižní
söder	jih
mycket	velice
mycket	velmi
mycket	moc
mycket	mnoho
jpg	jpg
regionen	region
regionen	regionu
regionen	oblast
regionen	kraj
ottawa	ottawě
creek	potoka
creek	potok
creek	creek
ganska	spravedlivě
närmaste	nejbližší
närmaste	nejblíže
närmaste	nejbližší
november	listopadu
november	listopad
maj	májový
maj	máj
maj	květen
maj	května
maj	maj
cest	selč
platt	platt
platt	plochý
platt	byt
platt	ploché
platt	plochá
född	narodil
född	narozena
född	narozen
finland	finsko
samhälle	společnosti
samhälle	společnost
samhälle	komunity
samhälle	společenství
samhälle	komunita
samhälle	obec
hon	ona
består	složil
består	skládá
består	sestává
består	složena
platser	sedadel
platser	sedadla
platser	sedačky
platser	lokace
platser	lokality
platser	místy
platser	místa
platser	míst
platser	stránky
platser	weby
platser	lokality
första	nejdřív
första	nejprve
första	první
första	nejdříve
fick	mám
fick	dostal
fick	přijata
fick	přijaté
fick	obdržené
fick	obdržel
fick	obdržela
sydväst	jihozápadní
sydväst	jihozápad
området	oblasti
området	oblast
området	plocha
australien	austrálie
sydöstra	jihovýchodní
sydöstra	jihovýchodní
april	duben
april	dubna
bar	baru
bar	bar
sydost	jihovýchodní
hans	hans
hans	hansi
hans	hanse
hans	jeho
södra	jižní
södra	jižní
södra	jih
södra	södra
toppen	skvělý
toppen	super
toppen	horní
toppen	top
toppen	vrchol
sverige	švédsko
sedan	pak
östra	východ
östra	východní
östra	východní
cet	seč
genom	skrz
genom	prostřednictvím
genom	přes
genom	skrze
kilometer	kilometrů
kilometer	kilometry
kilometer	kilometr
kilometer	kilometrů
kilometer	kilometry
norra	sever
norra	severní
norra	severní
också	rovněž
också	také
också	též
också	taky
också	taky
talet	proslov
talet	řeči
talet	projev
talet	řeč
detta	tento
detta	toto
detta	tohle
mot	vstříc
mot	proti
mot	stk
västra	west
västra	západ
västra	západní
västra	západ
västra	western
västra	západní
del	part
del	část
del	dela
del	dele
del	del
riktning	směr
namn	jméno
namn	jmeno
namn	name
namn	název
namn	názvy
namn	jména
bland	mezi
vilket	kterou
vilket	který
vilket	což
vilket	která
vilket	které
svenska	švédský
svenska	švédská
svenska	švédské
svenska	svenska
mellan	mezi
svensk	švédský
svensk	švédská
svensk	švédské
svensk	švéd
när	když
när	kdy
cerro	cerro
frankrike	francii
frankrike	francie
död	smrt
död	death
död	smrti
död	úmrtí
död	mrtvá
död	mrtvý
död	mrtví
kulle	kopce
kulle	hill
kulle	kopec
kina	čína
kina	číně
kina	člr
kommunen	obec
klimatet	klima
klimatet	podnebí
est	est
text	text
lista	seznam
annat	ostatní
annat	jiná
annat	jiné
annat	jiný
största	největší
största	největší
skulle	by
departementet	odbor
departementet	oddělení
denna	tento
denna	toto
denna	tohle
from	zbožné
tropiskt	tropické
park	parku
park	zaparkovat
park	park
hill	kopce
hill	hill
hill	kopec
flera	několik
flera	několika
flera	násobek
periodiskt	pravidelné
periodiskt	pravidelně
nord	sever
nord	severní
nord	nord
stockholm	stockholmu
stockholm	stockholm
alla	vse
alla	všichni
alla	všechno
