den	το
och	και
med	med
med	με
som	όπως
som	οπως
som	like
som	σαν
som	που
runt	γύρω
runt	γυρω
runt	τριγύρω
runt	στρογγυλό
runt	γύρο
runt	στρογγυλά
runt	στρογγυλή
runt	γύρος
månaden	μηνιαίως
månaden	μηνιαία
månaden	μηνιαίες
månaden	μηνιαίο
månaden	μήνα
månaden	μήνας
nederbörd	βροχοπτώσεις
nederbörd	κατακρήμνιση
ligger	ψέματα
ligger	ψέμματα
ligger	εντοπίστηκε
ingår	συμπεριλαμβάνεται
ingår	περιλαμβάνονται
ingår	συμπεριλαμβάνονται
ingår	περιλαμβάνεται
ingår	περιλαμβάνονται
ingår	περιλαμβάνει
att	αυτό
att	ότι
att	that
ett	ένας
ett	ενα
ett	μία
ett	ένα
ett	μια
över	over
familjen	οικογενεια
familjen	οικογένεια
för	για
för	for
inga	καμία
inga	κανένα
inga	ουδέν
inga	ίνγκα
delen	μέρος
delen	μεροσ
släktet	γένος
släktet	γένους
underarter	υποείδος
life	life
life	ζωή
life	ζωη
landet	χωρα
landet	χώρα
meter	μετρητές
meter	μετρητή
meter	μετρητής
meter	γιάρδες
meter	αυλές
huvudstaden	καπιτώλιο
huvudstaden	κεφάλαιο
huvudstaden	κεφαλαίου
huvudstaden	πρωτεύουσα
huvudstaden	κεφαλαίο
havet	θάλασσα
havet	θαλασσα
havet	ωκεανού
havet	ωκεανός
havet	ωκεανό
invånare	κάτοικοι
invånare	κατοίκους
invånare	κάτοικοι
invånare	κατοίκους
invånare	πολίτες
januari	ιανουαρίου
januari	ιανουάριο
januari	ιανουάριος
millimeter	χιλιοστά
millimeter	χιλιοστό
millimeter	χιλιοστά
genomsnitt	μέσος
genomsnitt	μέση
genomsnitt	μέσοι
genomsnittlig	μέσος
genomsnittlig	μέση
torraste	ξηρότερη
var	var
var	ήταν
var	όπου
var	πού
juli	ιούλιος
juli	ιούλιο
juli	ιουλίου
juli	ιουλιος
han	χαν
han	han
har	έχει
per	ανά
per	per
per	περ
vattendrag	ποτάμια
vattendrag	ρίβερς
vattendrag	ποταμών
vattendrag	ποταμούς
från	απο
från	από
kanada	καναδάς
kanada	καναδά
