den	the
och	and
med	med
med	with
som	like
som	which
runt	around
runt	round
månaden	monthly
månaden	month
nederbörd	rainfall
nederbörd	precipitation
ligger	lies
ligger	located
ingår	included
ingår	includes
att	that
ett	one
familjen	family
för	for
inga	none
inga	inga
delen	part
släktet	genus
underarter	subspecies
life	life
listade	listed
landet	country
meter	metres
meter	meters
meter	meter
meter	yards
huvudstaden	capitol
huvudstaden	capital
havet	sea
havet	ocean
invånare	inhabitants
invånare	residents
invånare	citizens
januari	january
millimeter	millimeter
millimeter	millimetres
millimeter	millimetre
millimeter	millimeters
genomsnitt	average
genomsnitt	averages
genomsnittlig	average
var	var
var	was
var	were
var	where
juli	july
juli	juli
han	han
har	has
har	have
per	per
vattendrag	rivers
från	from
kanada	canada
provinsen	province
närheten	proximity
men	buts
men	but
högsta	supreme
högsta	maximum
augusti	august
kan	could
kan	can
länkar	links
externa	external
läge	location
läge	mode
även	even
även	also
februari	february
under	during
under	under
lake	lake
sjö	lake
sjö	sea
inte	not
sig	sig
kommun	municipality
två	two
lac	lac
terrängen	terrain
long	long
juni	juni
juni	june
lat	lat
lat	lazy
december	december
växer	growing
växer	grow
växer	grows
många	many
efter	after
nära	close
nära	near
väster	west
provins	province
öster	east
först	first
berg	mountain
berg	berg
berg	mountains
indonesien	indonesia
usa	usa
mars	march
mars	mars
mindre	lesser
mindre	minor
mindre	less
norr	north
oktober	october
man	man
september	september
större	major
centrala	central
nordväst	northwest
andra	second
andra	other
andra	others
hade	had
där	there
där	where
nordost	northeast
county	county
nog	enough
nog	nog
huvudsakligen	mainly
huvudsakligen	primarily
ovanligt	unusual
namngivna	named
söder	south
mycket	very
mycket	much
jpg	jpg
regionen	region
ottawa	ottawa
creek	creek
november	november
maj	may
maj	maj
cest	cest
platt	platt
platt	flat
född	born
finland	finland
samhälle	society
samhälle	community
hon	she
består	composed
består	consists
platser	seats
platser	locations
platser	places
platser	sites
första	first
fick	got
fick	received
sydväst	southwest
området	area
australien	australia
sydöstra	southeast
sydöstra	southeastern
april	april
bar	bar
sydost	southeast
hans	hans
hans	his
södra	southern
södra	south
södra	södra
toppen	great
toppen	top
sverige	sweden
sedan	then
sedan	since
östra	east
östra	eastern
cet	cet
genom	through
sitt	sit
kilometer	kilometres
kilometer	kilometre
kilometer	kilometers
norra	north
norra	northern
också	also
också	too
talet	speech
detta	this
mot	towards
mot	against
mot	mot
västra	west
västra	western
del	part
del	del
riktning	direction
namn	name
namn	names
bland	among
vilket	which
svenska	swedish
svenska	svenska
mellan	between
svensk	swedish
svensk	swede
svensk	svensk
när	when
cerro	cerro
frankrike	france
död	death
död	dead
kulle	hill
kina	china
kina	prc
kommunen	municipality
klimatet	climate
est	est
text	text
lista	list
annat	other
edt	edt
största	greatest
skulle	would
inom	within
departementet	department
denna	this
from	pious
tropiskt	tropical
park	park
hill	hill
flera	several
flera	multiple
periodiskt	periodic
periodiskt	periodically
nord	north
nord	nord
stockholm	stockholm
alla	all
alla	everyone
samma	same
senare	later
olika	different
olika	various
point	point
ort	city
nya	new
island	iceland
sjön	lake
tidigare	previously
tidigare	earlier
tidigare	former
tidigare	previous
brasilien	brazil
colombia	columbia
colombia	colombia
utan	without
socken	parish
sina	their
score	score
spanien	spain
boreala	boreal
mount	mount
kom	come
kom	came
stora	large
stora	big
stora	stora
kinshasa	kinshasa
omgivande	surrounding
omgivande	ambient
basen	base
tre	tre
tre	three
shift	shift
algeriet	algeria
dessa	these
dessa	those
chile	chile
växtlighet	vegetation
mer	more
här	here
kongo	congo
öst	east
öst	eastern
region	region
von	von
jakarta	jakarta
wat	wat
file	file
släkte	generation
släkte	breed
släkte	genera
släkte	genus
sydlig	southern
västlig	western
blir	become
sydvästra	southwestern
sydvästra	southwest
tillsammans	together
samhällen	communities
samhällen	societies
lite	lite
republiken	republic
öppet	openly
öppet	open
öppet	transparent
delstat	state
innan	before
fram	front
canberra	canberra
mål	objectives
mål	goals
mål	goal
län	county
län	province
län	counties
bosnien	bosnia
afghanistan	afghanistan
john	john
hercegovina	herzegovina
administrativ	administrative
nordöstra	northeastern
nordöstra	northeast
bara	only
bara	just
ska	should
ska	ska
ska	shall
ontario	ontario
plats	place
plats	location
carl	carl
församling	parish
församling	congregation
församling	assembly
land	country
land	land
dess	its
amerikansk	american
helsingfors	helsinki
tid	time
ofta	frequently
ofta	often
tog	took
några	some
kommer	will
kommer	come
kommer	coming
exempel	example
exempel	examples
någon	anyone
någon	someone
någon	somebody
någon	any
gräsmarker	grasslands
saint	saint
något	slightly
något	something
gjorde	did
san	san
stor	large
stor	big
ingen	none
ingen	nobody
desa	desa
staden	town
staden	city
kallt	cold
jawa	jawa
får	sheep
naturlig	natural
mest	most
mest	mostly
webbplats	website
webbplats	site
ger	giving
ger	ger
ger	gives
mosaik	mosaic
team	teams
team	team
började	started
började	began
hela	heal
hela	whole
gör	doing
gör	make
honom	him
gick	walked
kyrka	church
nordvästra	northwestern
nordvästra	northwest
angola	angola
vad	what
columbia	columbia
tyskland	germany
svg	svg
distrikt	districts
distrikt	district
fuktigt	humid
fuktigt	moist
fyra	four
eftersom	because
mexiko	mexico
london	london
används	used
början	beginning
början	beginnings
vann	won
går	goes
hur	how
bay	bay
barn	kids
barn	children
barn	child
ekonomiska	economic
kunde	could
dem	them
både	both
övrigt	other
övrigt	miscellaneous
artikel	article
gunung	gunung
england	england
hennes	her
argentina	argentina
mountain	mountain
halvöar	peninsulas
grekland	greece
deras	their
förekommer	occurs
distriktet	district
dam	dam
dam	lady
karl	charles
karl	karl
idag	today
skådespelare	actors
skådespelare	actor
personer	persons
personer	people
fanns	existed
spelade	played
bli	become
endast	only
öar	islands
danmark	denmark
danmark	danmark
son	son
österrike	austria
river	river
helt	completely
helt	totally
artiklar	articles
därefter	subsequently
jean	jean
redan	already
cirka	circa
cirka	approximately
före	before
william	william
känd	known
känd	famous
engelska	english
departement	department
departement	ministries
departement	departments
departement	ministry
aïn	aïn
antal	count
antal	number
vill	wants
vill	want
des	des
författare	authors
författare	writer
författare	writers
författare	author
wikipedia	wikipedia
vissa	certain
vissa	some
cst	cst
äldre	elder
äldre	elderly
äldre	older
gamla	old
allt	everything
allt	all
lag	team
lag	law
lag	lag
lag	teams
brt	grt
johan	john
johan	johan
innebär	means
diskussion	discussion
medan	while
kommuner	communes
kommuner	municipalities
kyrkan	church
punta	punta
iucn	iucn
kullar	litters
kullar	hills
black	black
asien	asia
varje	every
varje	each
bild	picture
bild	image
france	france
vik	fold
vik	vik
politiker	politics
politiker	politicians
politiker	politician
göra	make
left	left
band	tapes
band	bands
band	band
band	tape
band	ribbon
rio	rio
rock	rock
söderut	south
sista	sista
sista	last
sista	final
george	george
delar	sharing
delar	parts
delar	shares
auto	auto
hett	hot
norrut	north
själv	self
åren	years
höjd	altitude
höjd	elevation
höjd	height
säsongen	season
poäng	points
poäng	score
poäng	scores
poäng	point
arroyo	arroyo
