och	oraz
med	med
som	jak
som	like
som	które
som	która
som	który
runt	okolice
runt	dookoła
runt	okrągła
runt	okrągły
runt	okrągłe
runt	runda
månaden	miesięcznie
månaden	miesięczne
månaden	miesięczny
månaden	miesiąc
månaden	miesiąca
månaden	miesiac
nederbörd	opady
nederbörd	opady
ligger	kłamstwo
ligger	kłamstwa
ligger	zlokalizowany
ligger	położony
ligger	zlokalizowane
ingår	włączone
ingår	uwzględnione
ingår	zawiera
ingår	obejmuje
att	że
ett	jeden
ett	jedna
över	ponad
över	over
över	odbiór
familjen	rodzina
familjen	rodziny
familjen	rodzinne
familjen	rodzinka
familjen	rodzinnie
för	na
för	dla
för	za
inga	inga
delen	część
delen	częściowo
släktet	rodzaj
släktet	rodzaju
underarter	podgatunki
life	zycie
life	life
life	życia
life	dożywocie
life	życie
listade	wymienionych
listade	wymienione
landet	ojczyzna
landet	kraje
landet	kraju
landet	kraj
landet	państwo
meter	metr
meter	metry
meter	metrach
meter	metrów
meter	metry
meter	metrów
meter	liczniki
meter	metr
meter	metrów
meter	licznik
meter	miernik
meter	jardów
huvudstaden	kapitolu
huvudstaden	capitol
huvudstaden	kapitał
huvudstaden	stolica
huvudstaden	kapitału
huvudstaden	stolicy
huvudstaden	capital
havet	morza
havet	morze
havet	oceanu
havet	ocean
invånare	mieszkańców
invånare	mieszkańcy
invånare	rezydentów
invånare	mieszkańców
invånare	mieszkańcy
invånare	obywatele
invånare	obywateli
invånare	obywatelami
januari	styczeń
januari	stycznia
januari	styczniu
millimeter	milimetrach
millimeter	milimetrów
millimeter	milimetrów
genomsnitt	średnio
genomsnitt	średnie
genomsnitt	średni
genomsnitt	przeciętny
genomsnitt	średnia
genomsnittlig	średnio
genomsnittlig	średnie
genomsnittlig	średni
genomsnittlig	przeciętny
genomsnittlig	średnia
var	var
var	była
var	był
var	było
var	były
var	byli
var	gdzie
juli	lipca
juli	lipiec
juli	juli
han	hana
han	han
har	posiada
har	ma
har	posiadać
har	mają
har	mieć
per	per
vattendrag	rzek
vattendrag	rzeki
vattendrag	rivers
från	from
från	od
kanada	kanada
kanada	kanady
provinsen	województwo
provinsen	prowincji
provinsen	prowincja
närheten	bliskość
men	ale
högsta	najwyższa
högsta	najwyższy
högsta	maksimum
högsta	maksymalnie
högsta	maksymalny
högsta	maksymalna
högsta	najwyższa
högsta	najwyższy
högsta	najwyższe
augusti	sierpnia
augusti	augusta
augusti	august
augusti	sierpień
kan	mógłby
kan	można
kan	can
länkar	linków
länkar	łącza
länkar	linki
länkar	odnośniki
externa	zewnętrzne
läge	lokalizacja
läge	położenie
läge	tryb
även	nawet
även	także
även	też
även	również
februari	luty
februari	lutego
under	podczas
under	pod
lake	jeziora
lake	jezioro
lake	lake
sjö	jeziora
sjö	jezioro
sjö	lake
sjö	morza
sjö	morze
inte	nie
sig	sig
kommun	gmina
två	dwie
två	dwóch
två	dwa
lac	lac
terrängen	teren
terrängen	tereny
terrängen	terenu
long	długi
long	długa
long	długo
long	długie
long	long
juni	juni
juni	czerwca
juni	june
juni	czerwiec
lat	lat
lat	leniwy
lat	leniwa
lat	leniwe
lat	lenistwo
december	grudzień
december	grudnia
december	grudniu
växer	rosnące
växer	rośnie
växer	rosnący
växer	uprawa
växer	uprawy
växer	rosną
växer	rosnąć
växer	rośnie
många	wielu
många	wiele
efter	after
efter	po
nära	zamknij
nära	blisko
nära	blisko
nära	niedaleko
väster	zachodnia
väster	west
väster	zachodni
väster	zachód
provins	województwo
provins	prowincji
provins	prowincja
öster	wschodnie
öster	east
öster	wschód
öster	wschodni
öster	wschodnia
först	pierwszy
först	pierwsze
först	najpierw
först	pierwsza
berg	górski
berg	mountain
berg	góra
berg	góry
berg	berg
berg	gór
berg	góry
indonesien	indonezja
usa	stany
usa	ameryka
usa	usa
mars	marzec
mars	marca
mars	marsz
mars	marsie
mars	marsa
mars	mars
mindre	mniejszej
mindre	mniejsze
mindre	mniejszy
mindre	mniejsza
mindre	drobne
mindre	mniejsza
mindre	mniej
norr	północnej
norr	północ
norr	north
oktober	październik
oktober	października
man	mężczyzna
man	człowiek
man	man
september	wrzesień
september	września
större	major
större	większy
större	większa
större	większe
större	większa
större	większe
större	większy
större	większej
större	większy
större	większa
större	większego
större	większe
centrala	centralnego
centrala	central
centrala	centralny
centrala	środkowa
centrala	centralne
centrala	centralna
nordväst	northwest
andra	druga
andra	drugi
andra	drugie
andra	innych
andra	inne
andra	pozostałe
andra	inny
andra	inne
andra	pozostałe
andra	inni
hade	mial
hade	miałem
hade	miała
hade	miał
där	tam
där	gdzie
county	hrabstwo
county	okręg
county	hrabstwa
county	powiat
nog	nog
huvudsakligen	głownie
huvudsakligen	głównie
ovanligt	niezwykła
ovanligt	niespotykane
ovanligt	nietypowe
ovanligt	niezwykłe
namngivna	nazwany
namngivna	nazwane
söder	południe
mycket	bardzo
mycket	much
mycket	wiele
mycket	dużo
jpg	jpg
regionen	region
regionen	regionie
regionen	regiony
regionen	regionu
ottawa	ottawa
creek	creek
närmaste	najbliższy
närmaste	najbliższa
närmaste	najbliższej
närmaste	najbliższe
närmaste	najbliżej
närmaste	najbliższy
närmaste	najbliższych
närmaste	najbliższe
närmaste	najbliżej
november	listopada
november	listopadzie
november	listopad
maj	majowe
maj	maja
maj	może
maj	majowy
maj	maj
maj	maj
cest	cest
platt	platt
platt	mieszkanie
född	urodzony
född	urodzona
född	urodzone
finland	finlandii
finland	finlandia
samhälle	społeczeństwo
samhälle	society
samhälle	towarzystwo
samhälle	społeczeństwa
samhälle	społeczność
samhälle	społeczności
samhälle	wspólnoty
samhälle	wspólnota
hon	ona
består	złożona
består	złożony
platser	fotele
platser	siedzenia
platser	lokalizacji
platser	lokalizacje
platser	miejsca
platser	lokale
platser	miejsca
platser	miejsc
platser	witryny
platser	witryn
första	pierwszy
första	pierwsze
första	najpierw
första	pierwsza
fick	got
fick	mam
fick	otrzymała
fick	otrzymana
fick	otrzymano
fick	otrzymany
fick	otrzymane
sydväst	southwest
området	teren
området	powierzchnia
området	obszarze
området	obszar
australien	australii
australien	australia
april	kwietnia
april	april
april	kwiecień
bar	bar
hans	hans
hans	hansa
hans	jego
södra	południowa
södra	południowej
södra	southern
södra	południowe
södra	południe
södra	södra
toppen	świetne
toppen	świetnie
toppen	super
toppen	wspaniale
toppen	top
toppen	szczyt
toppen	góra
sverige	szwecji
sverige	szwecja
sedan	wtedy
östra	wschodnie
östra	east
östra	wschód
östra	wschodni
östra	wschodnia
östra	wschodnie
östra	wschód
östra	wschodni
östra	wschodniej
östra	wschodnia
cet	cet
genom	poprzez
genom	przez
kilometer	kilometry
kilometer	kilometrów
kilometer	kilometra
kilometer	kilometr
kilometer	kilometry
kilometer	kilometrów
norra	północnej
norra	północ
norra	north
norra	północ
norra	północna
norra	północne
norra	północnej
norra	północny
också	także
också	też
också	również
också	tez
också	też
också	too
också	zbyt
talet	mowa
talet	przemowa
talet	przemówienie
talet	wystąpienie
detta	tym
mot	przeciwko
mot	przeciw
mot	mot
västra	zachodnia
västra	west
västra	zachodni
västra	zachód
västra	zachodnia
västra	zachodni
västra	zachodnie
västra	western
del	część
del	częściowo
del	del
riktning	kierunku
riktning	kierunek
namn	nazwisko
namn	imię
namn	nazwa
namn	imiona
namn	nazwiska
namn	nazwy
bland	wśród
bland	pośród
bland	wśród
bland	pośród
vilket	które
vilket	która
vilket	który
svenska	szwedzki
svenska	szwedzkie
svenska	szwedzka
svenska	svenska
mellan	między
mellan	pomiędzy
svensk	szwedzki
svensk	szwedzkie
svensk	szwedzka
svensk	szwed
svensk	svensk
när	gdy
när	kiedy
cerro	cerro
frankrike	francji
frankrike	francja
frankrike	france
död	śmierci
död	death
död	śmierć
död	martwa
död	martwe
död	martwy
död	dead
kulle	wzgórza
kulle	wzgórze
kulle	hill
kina	china
kina	chin
kina	chiny
kina	chrl
kommunen	gmina
klimatet	klimat
est	est
text	tekst
text	text
text	tekstowe
lista	listy
lista	wykaz
lista	lista
lista	spis
lista	listę
annat	innych
annat	inne
annat	pozostałe
annat	inny
största	największym
största	największa
största	najwięksi
största	największe
största	największy
största	najwspanialszy
största	największe
största	największy
största	największych
största	największa
största	największe
största	największy
departementet	wydział
departementet	departament
departementet	dział
denna	tym
from	pobożny
tropiskt	tropikalnych
tropiskt	tropikalne
park	parki
park	parka
park	park
hill	wzgórza
hill	wzgórze
hill	hill
flera	kilkanaście
flera	kilka
flera	kilku
flera	wielokrotne
flera	wiele
flera	wielu
periodiskt	okresowo
periodiskt	okresowe
periodiskt	okresowo
nord	północnej
nord	północ
nord	north
nord	nord
stockholm	sztokholmu
stockholm	sztokholmie
alla	wszystkie
alla	wszystko
alla	all
alla	wszyscy
alla	każdy
alla	wszyscy
senare	pozniej
senare	później
olika	inna
olika	różne
olika	inny
olika	różnych
olika	różnych
olika	różne
olika	rozmaite
point	punkt
point	pkt
point	point
ort	city
ort	miejscowość
ort	miasta
ort	miasto
nya	nowości
nya	nowe
nya	nowość
nya	nowy
nya	nowa
island	islandia
island	islandii
dock	jednak
dock	jednakże
dock	jakkolwiek
dock	jednak
dock	jednakże
sjön	jeziora
sjön	jezioro
sjön	lake
tidigare	wcześniej
tidigare	poprzednio
tidigare	wczesniej
tidigare	wcześniejszy
tidigare	wcześniej
tidigare	wcześniejsza
tidigare	wcześniejsze
tidigare	były
tidigare	poprzedni
tidigare	dawne
tidigare	poprzednie
tidigare	poprzednia
tidigare	poprzedni
tidigare	poprzednie
tidigare	wcześniejsze
brasilien	brazylia
colombia	columbia
colombia	kolumbia
colombia	kolumbii
colombia	kolumbia
utan	bez
socken	parafia
socken	parafii
sina	ich
score	wynik
mount	mount
mount	góra
kom	chodź
kom	przyszedł
kom	przyszło
stora	duża
stora	duży
stora	dużych
stora	duże
stora	duża
stora	duże
stora	big
stora	wielka
stora	duży
stora	wielki
stora	stora
kinshasa	kinszasa
omgivande	otoczenia
omgivande	otoczenie
basen	baza
basen	podstawa
basen	base
basen	bazy
tre	tre
tre	trzy
shift	przesunięcie
shift	shift
algeriet	algierii
algeriet	algieria
dessa	tych
dessa	te
dessa	tych
dessa	te
chile	chile
växtlighet	roślinności
mer	more
mer	bardziej
mer	więcej
här	tutaj
kongo	kongo
kongo	konga
öst	wschodnie
öst	east
öst	wschód
öst	wschodni
öst	wschodnia
öst	wschodnie
öst	wschód
öst	wschodni
öst	wschodniej
öst	wschodnia
region	region
region	regionie
region	regiony
region	regionu
von	von
jakarta	dżakarcie
wat	wat
file	plik
file	pliku
släkte	pokolenie
släkte	wytwarzanie
släkte	generacja
släkte	generowanie
släkte	rasy
släkte	rasa
släkte	rodzaje
släkte	rodzajów
släkte	rodzaj
släkte	rodzaju
sydlig	południowa
sydlig	południowej
sydlig	southern
sydlig	południowe
västlig	zachodnia
västlig	zachodni
västlig	zachodnie
västlig	western
blir	staje
sydvästra	southwest
tillsammans	razem
tillsammans	wspólnie
samhällen	społeczności
samhällen	wspólnot
samhällen	wspólnoty
samhällen	społeczeństw
samhällen	społeczeństwa
lite	lite
republiken	republiki
republiken	republika
öppet	jawnie
öppet	otwórz
öppet	otwarte
öppet	otwarty
öppet	przezroczysty
öppet	przejrzysta
öppet	przejrzysty
öppet	przejrzyste
delstat	stan
delstat	state
delstat	państwo
innan	zanim
innan	przed
innan	wcześniej
fram	front
fram	przodu
fram	przód
canberra	canberra
mål	cele
mål	bramki
mål	cele
mål	celów
mål	bramek
mål	bramka
mål	gol
mål	cel
län	hrabstwo
län	okręg
län	hrabstwa
län	powiat
län	województwo
län	prowincji
län	prowincja
län	okręgi
län	hrabstwa
bosnien	bośni
bosnien	bośnia
afghanistan	afganistan
afghanistan	afganistanu
afghanistan	afganistanie
john	jan
john	johna
john	janek
john	john
john	jana
hercegovina	hercegowina
administrativ	administracyjna
administrativ	administracyjny
administrativ	administracyjne
nordöstra	northeastern
bara	tylko
bara	tylko
ska	powinien
ska	powinny
ska	powinno
ska	powinna
ska	ska
ontario	ontario
plats	miejsce
plats	lokalizacja
plats	położenie
carl	carla
carl	carl
församling	parafia
församling	parafii
församling	zgromadzenie
församling	kongregacji
församling	zgromadzenia
församling	zgromadzenie
församling	montaż
río	río
land	ojczyzna
land	kraje
land	kraju
land	kraj
land	państwo
land	kraina
land	land
land	ląd
land	grunty
land	ziemia
dess	jego
amerikansk	amerykańska
amerikansk	american
amerikansk	amerykański
amerikansk	amerykańskie
amerikansk	amerykanin
helsingfors	helsinkach
tid	czasu
tid	czas
ofta	często
ofta	czesto
ofta	często
tog	zabrał
tog	wzięła
tog	wziął
några	niektóre
några	niektórzy
några	trochę
kommer	will
kommer	willa
kommer	będzie
kommer	chodź
kommer	przyjdzie
exempel	przykładowy
exempel	przykładowe
exempel	przykład
exempel	przykładów
exempel	przykłady
någon	ktokolwiek
någon	każdy
någon	ktoś
någon	ktoś
någon	jakikolwiek
någon	dowolny
någon	jakiekolwiek
gräsmarker	murawy
saint	święty
saint	święta
saint	saint
något	nieco
något	nieznacznie
något	lekko
något	nieco
något	coś
gjorde	zrobił
san	san
stor	duża
stor	duży
stor	dużych
stor	duże
stor	duża
stor	duże
stor	big
stor	wielka
stor	duży
stor	wielki
ingen	nikt
staden	town
staden	miasta
staden	miejscowość
staden	miasto
staden	city
staden	miejscowość
staden	miasta
staden	miasto
kallt	zimno
kallt	chłód
kallt	zimne
kallt	zimny
kallt	zimna
får	owcy
får	owca
får	owiec
får	owce
naturlig	naturalne
naturlig	naturalny
naturlig	naturalnych
naturlig	naturalna
mest	większość
mest	najczęściej
mest	większości
mest	najbardziej
mest	najczęściej
mest	przeważnie
mest	głównie
webbplats	witryna
webbplats	strona
webbplats	witryny
ger	daje
ger	dawanie
ger	ger
ger	oddaje
ger	nadaje
ger	daje
mosaik	mozaiki
team	zespoły
team	zespołów
team	drużyny
team	ekipy
team	ekipa
team	team
team	drużyny
team	drużyna
team	zespół
började	rozpoczęte
började	rozpoczęto
började	rozpoczęty
började	zaczął
hela	uleczyć
hela	całość
hela	cały
hela	cała
hela	całe
gör	robienie
gör	robię
gör	robi
gör	make
honom	go
gick	poszedł
gick	poszło
gick	chodził
gick	szedł
kyrka	kościoła
kyrka	kościół
kyrka	church
nordvästra	northwestern
nordvästra	northwest
angola	angoli
vad	jakie
vad	co
columbia	columbia
columbia	kolumbia
tyskland	niemcami
tyskland	niemcy
svg	svg
distrikt	dzielnice
distrikt	okręgi
distrikt	okręgów
distrikt	okręg
distrikt	dzielnicy
distrikt	dystrykt
distrikt	dzielnica
distrikt	rejon
distrikt	powiat
fuktigt	wilgotna
fuktigt	wilgotne
fuktigt	wilgoć
fuktigt	wilgotna
fuktigt	wilgotne
fyra	czterech
fyra	cztery
eftersom	bo
eftersom	ponieważ
mexiko	meksyk
london	londynu
london	london
london	londynie
london	londyn
används	stosowane
används	wykorzystane
används	użyte
används	używana
används	używany
används	używane
början	początku
början	poczatek
början	początek
början	początków
början	początki
vann	wygrane
vann	won
vann	wygrał
går	idzie
hur	jak
bay	zatoka
bay	zatoki
bay	bay
barn	dzieci
barn	dzieciaki
barn	dzieci
barn	dziecko
barn	child
ekonomiska	gospodarcza
ekonomiska	ekonomiczne
ekonomiska	gospodarcze
ekonomiska	ekonomiczna
ekonomiska	ekonomiczny
kunde	mógłby
dem	je
dem	ich
dem	im
både	obydwa
både	oboje
både	obie
både	oba
övrigt	innych
övrigt	inne
övrigt	pozostałe
övrigt	inny
övrigt	różne
artikel	artykułu
artikel	artykul
artikel	artykuł
england	anglia
england	anglii
england	england
hennes	jej
hennes	jej
hennes	ją
argentina	argentyna
mountain	górski
mountain	mountain
mountain	góra
mountain	góry
halvöar	półwyspy
grund	podstawa
grund	podstawie
grund	podstawy
grekland	grecji
grekland	grecja
deras	ich
förekommer	wystąpi
distriktet	okręg
distriktet	dzielnicy
distriktet	dystrykt
distriktet	dzielnica
distriktet	rejon
distriktet	powiat
dam	tamy
dam	zapora
dam	tama
dam	dam
dam	pani
dam	dama
karl	karol
karl	charles
karl	karola
karl	karla
karl	karol
karl	karl
idag	dzisiaj
idag	today
idag	dziś
skådespelare	aktorów
skådespelare	aktorzy
skådespelare	aktora
skådespelare	aktor
personer	osoby
personer	ludzi
personer	osoby
personer	people
personer	ludzie
fanns	istniał
fanns	istniały
fanns	istniała
fanns	istniało
spelade	grało
spelade	grał
spelade	zagrali
endast	tylko
öar	wyspy
danmark	dania
danmark	danii
danmark	danmark
son	synu
son	syn
österrike	austrię
österrike	austria
österrike	austrii
river	rzeki
river	river
river	rzeka
helt	całkowicie
helt	totalnie
helt	całkowicie
artiklar	wyroby
artiklar	artykułów
artiklar	artykuły
jean	jean
jean	jeana
redan	juz
redan	już
cirka	około
före	zanim
före	przed
före	wcześniej
william	william
william	williamie
william	wilhelm
william	williama
